No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	3011	015	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP			
557050	28/11/2014	ZSCR	551	040-1	NA	'015	A2C82167600	NA	A2C8216760093	2	3011	015	 	1401	pcb assy Top	NA	HALB	S.Real	341.32	S1_WK_WD RFHUB_A.ADRIAN	NO				
557050	28/11/2014	ZSCR	551	040-1	NA	'015	A2C82167800	NA	A2C8216780093	2	3011	015	 	1401	pcb assy TOP	NA	HALB	S.Real	324.94	S1_WK_WD RFHUB_A.ADRIAN	NO				
557051	28/11/2014	ZSCR	551	030-1	NA	'015	A2C32292400	NA	A2C8016290093	1	3011	015	 	1301	pcb assy RKE 433 w/oKG Var#3 TOP	NA	HALB	S.Real	116.55	S1_RFHM CUSW_A.ADRIANA	NO	4985024407			
557053	28/11/2014	ZSCR	551	040-1	NA	'015	A2C32297200	NA	A2C3229720093	4	3011	015	 	1401	CUSW PCB ASSY TOP	NA	HALB	S.Real	250.92	S1_IGNM CUSW_A.ADRIANA	NO	4985024583			
557056	28/11/2014	ZSCR	551	030-1	NA	'015	A2C32297200	NA	A2C3229720093	17	3011	015	 	1301	CUSW PCB ASSY TOP	NA	HALB	S.Real	1066.41	S1_IGNM CUSW_A.ADRIANA	NO	4985024583			
557063	28/11/2014	ZSCR	551	040-2	NA	'050	A2C31231400T	NA	A2C53428225	2				1402	PCB RIGID MY11 TIPM DV LOGIC PCB	NA	ROH	NA	102.12	S1_TIPM LOGIC_P.PABLO P	NO				
557066	28/11/2014	ZSCR	551	034-2	NA	'050	A2C30822000T	NA	A2C00056375	6				1342	"1,41V,10Ohm,7 pins HPAK,GENERAL PURPOSE,"	NA	ROH	NA	23.64	S1_TIPM LOGIC_P.PABLO P	NO				
557066	28/11/2014	ZSCR	551	034-2	NA	'050	A2C30889900T	NA	A2C00834100	2				1342	"IC SMART POW/-,QFN24,4,27V,35mOhm,HIGHSI"	NA	ROH	NA	32.12	S1_TIPM LOGIC_P.PABLO P	NO				
557074	28/11/2014	ZSCR	551	034-2	NA	'015	A2C74493401	NA	A2C74493401	2				1342	pcb topTHD BCU CHRDX CBC2	NA	HALB	S.Real/AutoBF	833.52	S1_CBC MY15_. (APROBAC	NO	4985023502			
557123	28/11/2014	MB1A	551	010-4	95000021	'015	NA	NA	A2C3813640092	9				1104	"""SUB FOBIK PCB T-ASM, NA/EU(P U L T RS) B"""	QN410098771	HALB	S.Real	452.16	410098771_PASE F	NO				
557123	28/11/2014	MB1A	551	010-4	95000021	'015	NA	NA	A2C7395960192	2				1104	pcb topSMD CHR UF 4-BTN bottom	QN410098771	HALB	S.Real	94.32	410098771_PASE F	NO				
557123	28/11/2014	MB1A	551	010-4	95000021	'015	NA	NA	A2C7441340092	4				1104	electronic assy PASE 433 Fiat E45 Bottom	QN410098771	HALB	S.Real	179.6	410098771_PASE F	NO				
557124	28/11/2014	ZSCR	551	034-2	NA	'015	A2C74094301	NA	A2C7441340092	1	3011	015	 	1342	electronic assy PASE 433 Fiat E45 Bottom	NA	HALB	S.Real	44.9	S1_PASE FOB CUSW_A.ADRI	NO				
557125	28/11/2014	ZSCR	551	034-2	NA	'015	A2C74094301	NA	A2C7441340092	1	3011	015	 	1342	electronic assy PASE 433 Fiat E45 Bottom	NA	HALB	S.Real	44.9	S1_PASE FOB CUSW_A.ADRI	NO				
557127	28/11/2014	ZSCR	551	034-2	NA	'015	A2C74493401	NA	A2C7449340193	3	3011	015	 	1342	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	1242.48	S1_CBC MY15_. (APROBAC	NO				
557129	28/11/2014	ZSCR	551	034-2	NA	'050	A2C53400204	NA	A2C00046612	3				1342	"S912XET256J2MALR,2M53J,112 LQFP,FLASH,16"	NA	ROH	NA	71.94	S1_TIPM LOGIC_P.PABLO P	NO				
557129	28/11/2014	ZSCR	551	034-2	NA	'050	A2C30850500	NA	A2C00058681	1				1342	"IC MCU BLK/MC9S12XET512BMAG,3M25J or1M12"	NA	ROH	NA	28.19	S1_TIPM LOGIC_P.PABLO P	NO				
557129	28/11/2014	ZSCR	551	034-2	NA	'050	A2C53428272T	NA	A2C00833800	10				1342	"IC SMART POW/-,12.00 X 12.00 / 1.00,4,41"	NA	ROH	NA	196.3	S1_TIPM LOGIC_P.PABLO P	NO				
557129	28/11/2014	ZSCR	551	034-2	NA	'050	A2C31231400T	NA	A2C00834100	1				1342	"IC SMART POW/-,QFN24,4,27V,35mOhm,HIGHSI"	NA	ROH	NA	16.06	S1_TIPM LOGIC_P.PABLO P	NO				
557135	28/11/2014	ZSCR	551	034-2	NA	'050	68165692AB	NA	A2C53428197	161				1342	TERMINAL STRIP	NA	ROH	NA	342.93	S1_TIPM LOGIC_P.PABLO P	NO				
557136	28/11/2014	ZSCR	551	034-2	NA	'050	A2C31231100	NA	A2C53428230	2158				1342	CONNECTOR FEADER	NA	ROH	NA	172.64	S1_TIPM MEDIUM_P.PABLO	NO				
557229	29/11/2014	ZSCR	551	034-2	NA	'015	A2C82168200	NA	A2C3813640092	1	3011	015	 	1342	"""SUB FOBIK PCB T-ASM, NA/EU(P U L T RS) B"""	NA	HALB	S.Real	50.24	S1_PASE FOB CUSW_A.ADRI	NO				
557229	29/11/2014	ZSCR	551	034-2	NA	'015	A2C74094301	NA	A2C7441340092	2	3011	015	 	1342	electronic assy PASE 433 Fiat E45 Bottom	NA	HALB	S.Real	89.8	S1_PASE FOB CUSW_A.ADRI	NO				
557234	29/11/2014	MB1A	551	012-1	95000021	'015	NA	NA	A2C3813640092	10				1121	"""SUB FOBIK PCB T-ASM, NA/EU(P U L T RS) B"""	QN410098771	HALB	S.Real	502.4	410098771_PASE F	NO				
557234	29/11/2014	MB1A	551	012-1	95000021	'015	NA	NA	A2C7395960192	8				1121	pcb topSMD CHR UF 4-BTN bottom	QN410098771	HALB	S.Real	377.28	410098771_PASE F	NO				
557234	29/11/2014	MB1A	551	012-1	95000021	'015	NA	NA	A2C7395980192	2				1121	pcb topSMD CHR UF 5-BTN top	QN410098771	HALB	S.Real	100.36	410098771_PASE F	NO				
557234	29/11/2014	MB1A	551	012-1	95000021	'015	NA	NA	A2C8393040092	11				1121	"""SUB FOBIK PCB TOP-ASM, NA/EU(P U L) B"""	QN410098771	HALB	S.Real	492.36	410098771_PASE F	NO				
557234	29/11/2014	MB1A	551	012-1	95000021	'015	NA	NA	A2C8393050092	1				1121	"""SUB FOBIK PCB T-ASM, NA/EU(P U L RS) B"""	QN410098771	HALB	S.Real	47.79	410098771_PASE F	NO				
557447	29/11/2014	ZSCR	551	034-2	NA	'015	A2C73789705	NA	A2C73789705	1				1342	pcb topTHD BCU CHR Wx CBC2	NA	HALB	S.Real/AutoBF	417.3	S1_CBC MY15_. (APROBAC	NO	4985023484			
557450	29/11/2014	ZSCR	551	034-2	NA	'015	A2C74493401	NA	A2C74493401	1				1342	pcb topTHD BCU CHRDX CBC2	NA	HALB	S.Real/AutoBF	416.76	S1_CBC MY15_. (APROBAC	NO	4985023502			
557461	29/11/2014	MB1A	551	023-2	K96019	'015	NA	NA	A2C86023300	38				1232	transceiver assy U/L/T/P	NA	HALB	S.Real/AutoBF	3139.18	S1_CUSW UF PASE_A.ADRIA	NO				
557462	29/11/2014	MB1A	551	023-2	K96019	'015	NA	NA	A2C86023300	11				1232	transceiver assy U/L/T/P	NA	HALB	S.Real/AutoBF	908.71	S1_PASE FOB CUSW_A.ADRI	NO				
557463	29/11/2014	MB1A	551	023-2	K96019	'015	NA	NA	A2C73751902	4				1232	transmitter CHR PASE 433 NV#05 4B	NA	HALB	S.Real	378.92	S1_CUSW UF PASE_A.ADRIA	NO				
557464	29/11/2014	MB1A	551	023-2	K96019	'015	NA	NA	A2C86023400	13				1232	transceiver assy ULTPRS	NA	HALB	S.Real/AutoBF	1107.99	S1_PASE FOB CUSW_A.ADRI	NO				
557465	29/11/2014	MB1A	551	023-2	K96019	'015	NA	NA	A2C74509900	3				1232	transmitter CHR PASE 433 GV#22 3B	NA	HALB	S.Real/AutoBF	255.78	S1_PASE FOB CUSW_A.ADRI	NO				
557466	29/11/2014	MB1A	551	023-2	K96019	'015	NA	NA	A2C73753202	5				1232	transmitter CHR PASE 433 GV#06 5B	NA	HALB	S.Real	479.7	S1_PASE FOB CUSW_A.ADRI	NO				
557468	29/11/2014	MB1A	551	023-2	K96019	'015	NA	NA	A2C74094301	31				1232	transmitter PASE 433 GV#20 3B	NA	HALB	S.Real/AutoBF	2530.22	S1_PASE FOB CUSW_A.ADRI	NO				
557470	29/11/2014	MB1A	551	023-2	K96019	'015	NA	NA	A2C73937202	35				1232	transmitter CHR PASE 433 GV#11 2B	NA	HALB	S.Real	3101	S1_PASE FOB CUSW_A.ADRI	NO				
557480	29/11/2014	ZSCR	551	034-2	NA	'015	A2C74493401	NA	A2C7449340193	1	3011	015	 	1342	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	414.16	S1_CBC MY15_. (APROBAC	NO				
557481	29/11/2014	ZSCR	551	034-2	NA	'050	A2C32292100	NA	A2C40000660	1				1342	"IC MCU BLK/MC9S12XEG384CAL,3M25J or 1M12"	NA	ROH	NA	21.08	S1_WK_WD RFHUB_A.ADRIAN	NO				
557481	29/11/2014	ZSCR	551	034-2	NA	'050	A2C32291400	NA	A2C53331174	9				1342	antenna	NA	ROH	NA	15.21	S1_WK_WD RFHUB_A.ADRIAN	NO				
557481	29/11/2014	ZSCR	551	034-2	NA	'050	A2C32292100	NA	A2C53375403	2				1342	receiver DIVZZDIV RXI-35-4	NA	ROH	NA	45.44	S1_WK_WD RFHUB_A.ADRIAN	NO				
557482	29/11/2014	MB1A	551	010-4	95000051	'015	NA	NA	A2C31231400	7				1104	pcb topMAN BCU CHR 7Ci S1	QN410106099	HALB	S.Real/AutoBF	1586.62	410106099_TIPM L	NO				
557482	29/11/2014	MB1A	551	010-4	95000051	'015	NA	NA	A2C31231400T	2				1104	SUB PCB TMI ASSY. D/BUX MY12 7Ci S1	QN410106099	HALB	S.Real	437.14	410106099_TIPM L	NO				
557483	29/11/2014	ZSCR	551	030-1	NA	'015	A2C74493401	NA	A2C7449340193	3	3011	015	 	1301	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	1242.48	S1_CBC MY15_. (APROBAC	NO				
557484	29/11/2014	ZSCR	551	040-4	NA	'015	A2C74493401	NA	A2C7449340193	1	3011	015	 	1404	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	414.16	S1_CBC MY15_. (APROBAC	NO				
557486	29/11/2014	ZSCR	551	034-2	NA	'015	A2C73789705	NA	A2C7378970593	1	3011	015	 	1342	pcb topTHD BCU CHR Wx CBC2 TOP	NA	HALB	S.Real	414.7	S1_CBC MY15_. (APROBAC	NO				
557490	29/11/2014	ZSCR	551	034-2	NA	'050	A2C30822000	NA	A2C00042519	2				1342	"4,36V,160mOhm,PowerSSO-24,GENERAL PURPOS"	NA	ROH	NA	11.2	S1_TIPM LOGIC_P.PABLO P	NO				
557490	29/11/2014	ZSCR	551	034-2	NA	'050	A2C30889900T	NA	A2C00834100	4				1342	"IC SMART POW/-,QFN24,4,27V,35mOhm,HIGHSI"	NA	ROH	NA	64.24	S1_TIPM LOGIC_P.PABLO P	NO				
