No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
59172	ZSCR	551	034-2	NA	A2C53395661	NA	A2C53186083	3	3011	073		1342	multipoint connector 128P H 3SYS N2GY	NA	ROH	NA	201.99	4954943030
74975	ZSCR	551	034-2	NA	5WY8769	NA	A2C53217005	13.47	3011	073		1342	therml transf compou Geneva GF1500	NA	ROH	NA	6.33	4954943966
74975	ZSCR	551	034-2	NA	5WY8769	NA	A2C53285205	1	3011	073		1342	housing GY	NA	ROH	NA	39.23	4954942847
85518	ZSCR	551	040-1	NA	A2C53344554	NA	A2C53344554	1	3011	073		1401	electronic assy SID904 FOR MY10 V	NA	HALB	S.Real/AutoBF	356.39	4954941629
87539	ZSCR	551	040-5	NA	A2C53395661	NA	A2C53186083	1	3011	073		1405	multipoint connector 128P H 3SYS N2GY	NA	ROH	NA	67.33	4954943030
88019	ZSCR	551	034-3	NA	A2C53395661	NA	A2C53186083	1	3011	073		1343	multipoint connector 128P H 3SYS N2GY	NA	ROH	NA	67.33	4954943030
88021	ZSCR	551	034-4	NA	A2C53375189	NA	A2C53186083	1	3011	073		1344	multipoint connector 128P H 3SYS N2GY	NA	ROH	NA	67.33	4954943017
90086	ZSCR	551	034-2	NA	A2C53395661	NA	A2C53186083	1	3011	073		1342	multipoint connector 128P H 3SYS N2GY	NA	ROH	NA	67.33	4954943030
90250	ZSCR	551	034-4	NA	A2C53331467	NA	A2C53311295	1	3011	073		1344	multipoint connector 196P H 2SYS 1	NA	ROH	NA	109.37	4954942913
91350	ZSCR	551	040-3	NA	6521017	NA	6594392053	2	3011	073		1403	"1UF,10%,160V,MKT,FILM CAP/"	NA	ROH	NA	3.3	4954943360
91350	ZSCR	551	040-3	NA	6521017	NA	6594602028	2	3011	073		1403	"TRANSISTOR, SUP75N08, TO 220"	NA	ROH	NA	18.26	4954943360
91350	ZSCR	551	040-3	NA	6521017613A	NA	6521017613A	1	3011	073		1403	TARJETA DE CIR ENS SMD CEC1.1	NA	HALB	S.Real	79.09	4954942204
91350	ZSCR	551	040-3	NA	6521017	NA	6581672044	2	3011	073		1403	OTHER IC'S / LM2524 / PWM_MOD.	NA	ROH	NA	10.98	4954943360
91350	ZSCR	551	040-3	NA	6521017	NA	6592392081	4	3011	073		1403	"3.3UF,10%,100V,MKT,FILM CAP/"	NA	ROH	NA	9.2	4954943360
91350	ZSCR	551	040-3	NA	6521017	NA	6592392082	2	3011	073		1403	"1.5UF,10%,400V,MKT,FILM CAP/"	NA	ROH	NA	6.74	4954943360
91350	ZSCR	551	040-3	NA	6521017	NA	6594312007	2	3011	073		1403	"DIODO, MUR840, TO 220"	NA	ROH	NA	4	4954943360
91350	ZSCR	551	040-3	NA	6521017	NA	6592392087	1	3011	073		1403	"68UF,10%,60V,MKT,FILM CAP/"	NA	ROH	NA	39.82	4954943360
91350	ZSCR	551	040-3	NA	6521017	NA	6576372069	1	3011	073		1403	"TRANSFORMADOR, 24V/7V/135V/4A"	NA	ROH	NA	41.36	4954943360
91350	ZSCR	551	040-3	NA	6521017	NA	6581672043	2	3011	073		1403	OTHER IC'S / 104571P / PWM_CON	NA	ROH	NA	12.8	4954943360
91350	ZSCR	551	040-3	NA	6521017	NA	A2C53184152	9	3011	073		1403	"pan head screw SF-M4 x10,00 T20"	NA	ROH	NA	2.16	4954943360
91350	ZSCR	551	040-3	NA	6521017	NA	6521010304	1	3011	073		1403	MARCO DE ALUMINIO DC/DC	NA	ROH	NA	26.56	4954943360
91350	ZSCR	551	040-3	NA	6521017	NA	6594312052	1	3011	073		1403	"10A 100V, TO220, DIODES RECTIF"	NA	ROH	NA	3.68	4954943360
91350	ZSCR	551	040-3	NA	6521017	NA	A2C53184151	2	3011	073		1403	"pan head screw M4 x30,00 T20"	NA	ROH	NA	0.86	4954943360
91350	ZSCR	551	040-3	NA	6521017	NA	6576372041	2	3011	073		1403	"TRANSFORMADOR, 60V/120V, EPV 2"	NA	ROH	NA	62.3	4954943360
91350	ZSCR	551	040-3	NA	6521017	NA	6521010706	6	3011	073		1403	SOPORTE PARA CAPACITOR RM15	NA	ROH	NA	6.12	4954943360
91350	ZSCR	551	040-3	NA	6521017	NA	6521010708	2	3011	073		1403	MUELLE 5 POS	NA	ROH	NA	14.08	4954943360
91350	ZSCR	551	040-3	NA	6521017	NA	6596392003	2	3011	073		1403	"47UF,-20+30%,200V,HOL,AL,ELEC"	NA	ROH	NA	13.2	4954943360
91350	ZSCR	551	040-3	NA	6521017	NA	6591602099	1	3011	073		1403	"TRANSISTOR, BUZ31L, TO 220"	NA	ROH	NA	4.27	4954943360
91350	ZSCR	551	040-3	NA	6521017	NA	6592392083	2	3011	073		1403	"22UF,10%,160V,MKT,FILM CAP/"	NA	ROH	NA	31.16	4954943360
91350	ZSCR	551	040-3	NA	6521017	NA	6576372068	1	3011	073		1403	"INDUCTOR, 2UH, 20%, 4A, AX"	NA	ROH	NA	2.8	4954943360
