tipo	no_parte	costo	descripcion	unidad	global_pc
ROH	A2C00004059	0.0158	"1K,1%,TK100,125mW,0805,LIN RES/"	EA	30301-006
ROH	A2C00022743	0.1536	"100pF,2%,100V,C0G,0805,TINNED,CER CAP/"	EA	30301-008
ROH	A2C00044450	0.0071	"R LIN,22R,1%,TK100,100mW,0603"	EA	30301-065
ROH	A2C00048076	0.057	"47nF,10%,100V,X7R,0805,Sn,CER CAP/++ Ope"	EA	30301-011
ROH	A2C00061984	4.1528	"IC BUS DRIV/TJA1043T and TLE6251-3G,SO14"	EA	30301-006
ROH	A2C00898900	55.6686	"ATIC255,8L2S,QFP80,8,40V,1.6Ohm,BOTH HS/"	EA	30301-002
ROH	A2C01113302	71.878	"SEN/SCR2100-D17,X-ROS-300-GO"	EA	30301-002
ROH	A2C01685200	46.9783	"ATIC155 12L C2 Topo2, QFP100,33V,1.6Ohm,"	EA	30301-002
