No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	p
295148	29/04/2013	ZSCR	551	040-2	NA	'045	A2C8341070093	NA	A2C8341070093	5	1402	GM GLOBAL A BCM HIGH TOP THD ASM TOP	NA	HALB	S.Real	2134.65	S1_GLOBAL A_LUIS LIZARR	NO	4966993420
295157	29/04/2013	ZSCR	551	030-1	NA	'015	A2C3752390093	NA	A2C3752390093	4	1301	circuit board assy BMWZZDIV 868MHZ TOP	NA	HALB	S.Real	273.24	S1_BMW_ADRIAN CEBALLOS	NO	4966993949
295191	29/04/2013	ZSCR	551	034-2	NA	'015	A2C3752390093	NA	A2C3752390093	17	1342	circuit board assy BMWZZDIV 868MHZ TOP	NA	HALB	S.Real	1161.27	S1_BMW_ADRIAN CEBALLOS	NO	4966994024
295194	29/04/2013	ZSCR	551	034-2	NA	'015	6598177632	NA	6598177632	1	1342	SMD CS - RS MINIVAN NA	NA	HALB	S.Real	24.31	S1_CORPORATE_ADRIAN CEB	NO	4966994010
295195	29/04/2013	ZSCR	551	030-1	NA	'015	6598177652	NA	6598177652	56	1301	SMD ASSY SKREEK KJ EU	NA	HALB	S.Real	1386.56	S1_CORPORATE_ADRIAN CEB	NO	4966993899
295376	29/04/2013	ZSCR	551	030-1	NA	'015	5WY7361	NA	A2C53310663	2	1301	circuit board assy CHR DCX MY	NA	HALB	S.Real	40.92	S1_LF_ADRIAN CEBALLOS (	NO	4966993974
295440	29/04/2013	ZSCR	551	040-5	NA	'015	5WY7633	NA	6598177652	4	1405	SMD ASSY SKREEK KJ EU	NA	HALB	S.Real	99.04	S1_CORPORATE_ADRIAN CEB	NO	4966994223
295441	29/04/2013	ZSCR	551	030-1	NA	'015	5WY7633	NA	6598177652	2	1301	SMD ASSY SKREEK KJ EU	NA	HALB	S.Real	49.52	S1_CORPORATE_ADRIAN CEB	NO	4966993899
295442	29/04/2013	ZSCR	551	040-1	NA	'015	5WY7632	NA	6598177632	2	1401	SMD CS - RS MINIVAN NA	NA	HALB	S.Real	48.62	S1_CORPORATE_ADRIAN CEB	NO	4966994143
295485	29/04/2013	ZSCR	551	040-3	NA	'045	A2C83410700	NA	A2C83410700	2	1403	GM GLOBAL A BCM HIGH TOP THD ASM	NA	HALB	S.Real/AutoBF	955.56	S1_GLOBAL A_LUIS LIZARR	NO	4966993731
295505	29/04/2013	ZSCR	551	040-1	NA	'045	S122736090A	NA	A2C53386110	2	1401	pcb assy TLS_BCM_ USM L42A NAM	NA	HALB	S.Real/AutoBF	521.66	S2_BCM_RODRIGO CERVANTE	NO	4966993536
