No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP			
644032	21/07/2015	ZSCR	551	040-1	NA	'054	A2C89730900	NA	A2C8021660002	1				1401	pcb assy HONHRS6 V04	NA	HALB	S.Real/AutoBF	317.05	PS_HONDA HRS6_J.JUAN CH	NO	4992174209			
644115	22/07/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8522100193	1				1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	176.21	PSAD_DAIMLER SMART_F.FE	NO	4992172474			
644127	22/07/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8522100193	1				1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	176.21	PSAD_DAIMLER SMART_F.FE	NO	4992172474			
644211	22/07/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8522100193	1				1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	176.21	PSAD_DAIMLER SMART_F.FE	NO	4992172474			
644500	23/07/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8522140193	1				1095	pcb assy DAGSM D_4 SMD TOP	NA	HALB	S.Real	177.45	PSAD_DAIMLER SMART_F.FE	NO	4992172474			
644520	23/07/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8522140193	1				1095	pcb assy DAGSM D_4 SMD TOP	NA	HALB	S.Real	177.45	PSAD_DAIMLER SMART_F.FE	NO	4992172474			
644533	23/07/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8522140193	1				1095	pcb assy DAGSM D_4 SMD TOP	NA	HALB	S.Real	177.45	PSAD_DAIMLER SMART_F.FE	NO	4992172474			
644535	23/07/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8522140193	1				1095	pcb assy DAGSM D_4 SMD TOP	NA	HALB	S.Real	177.45	PSAD_DAIMLER SMART_F.FE	NO	4992172474			
644536	23/07/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8522140193	1				1095	pcb assy DAGSM D_4 SMD TOP	NA	HALB	S.Real	177.45	PSAD_DAIMLER SMART_F.FE	NO	4992172543			
644538	23/07/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8522140193	1				1095	pcb assy DAGSM D_4 SMD TOP	NA	HALB	S.Real	177.45	PSAD_DAIMLER SMART_F.FE	NO	4992172543			
644542	23/07/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8522140193	1				1095	pcb assy DAGSM D_4 SMD TOP	NA	HALB	S.Real	177.45	PSAD_DAIMLER SMART_F.FE	NO	4992172543			
644544	23/07/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8522100193	6				1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	1057.26	PSAD_DAIMLER SMART_F.FE	NO	4992172543			
