No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
589710	19/02/2015	MB1A	551	010-4	B30301-00210	'054	NA	NA	A2C9257230093	39				1104	pcb assy GMSMD30 Top	QN410105180	HALB	S.Real	10174.32	410105180_SDM30_	NO	
589765	19/02/2015	ZSCR	551	022-2	NA	'054	A2C80644602	NA	A2C81531200	1	3011	054	 	1222	pcb assy DAGARM3 V14	NA	HALB	S.Real	459.82	PS_ARAMIS III_.	NO	
590054	20/02/2015	ZSCR	551	042-4	NA	'054	A2C84661700	NA	A2C85779300	1	3011	054	 	1424	pin header 90/ 67P H 3R PF YE XI	NA	ROH	NA	37.21	PS_VW20 MQB_.	NO	
590055	20/02/2015	ZSCR	551	042-4	NA	'054	A2C86816800	NA	A2C53125066	2	3011	054	 	1424	multipoint connector 96P H 2SYS E-B	NA	ROH	NA	82.9	PS_ARAMIS III_.	NO	
590056	20/02/2015	ZSCR	551	040-2	NA	'054	A2C83042700	NA	A2C8304280093	2	3011	054	 	1402	pcb assy MGNT75 Top	NA	HALB	S.Real	296.7	PSAD_PSA CAN_J.JOSE ORT	NO	
590057	20/02/2015	ZSCR	551	042-4	NA	'054	A2C82544800	NA	A2C82544900	3	3011	054	 	1424	pcb assy OPLA4400 440XXESE	NA	HALB	S.Real	693.87	PSAD_OPEL 4400_J.JOSE O	NO	
590064	20/02/2015	ZSCR	551	034-8	NA	'054	A2C91764400	NA	A2C40000025	7	3011	054	 	1348	"C ELEC,AL,6.8mF,20%,35V"	NA	ROH	NA	58.66	PS_SDM30_.	NO	
590079	20/02/2015	ZSCR	551	034-2	NA	'054	A2C91763800	NA	A2C53338471	500	3011	054	 	1342	contact element	NA	ROH	NA	550	PS_SDM30_.	NO	
590081	20/02/2015	ZSCR	551	034-2	NA	'054	A2C81542600	NA	A2C81543200	1	3011	054	 	1342	pcb assy	NA	HALB	S.Real	442.38	PS_ARAMIS 2012_.	NO	
590083	20/02/2015	ZSCR	551	042-4	NA	'054	A2C82540900	NA	A2C82541000	2	3011	054	 	1424	pcb assy OPLA4400 4401XESA	NA	HALB	S.Real	520.8	PSAD_OPEL 4400_J.JOSE O	NO	
590085	20/02/2015	ZSCR	551	040-1	NA	'054	A2C81542500	NA	A2C81543200	1	3011	054	 	1401	pcb assy	NA	HALB	S.Real	442.38	PS_ARAMIS 2012_.	NO	
590087	20/02/2015	ZSCR	551	022-2	NA	'054	A2C80612810	NA	A2C53409090	1	3011	054	 	1222	base plate	NA	ROH	NA	8.12	PS_RENAULT_.	NO	
590092	20/02/2015	ZSCR	551	040-2	NA	'054	A2C53350937MI	NA	A2C53345668	1	3011	054	 	1402	multipoint connector 96P H 2SYS D-A	NA	ROH	NA	43.63	PS_ARAMIS III_.	NO	4987147031
590281	21/02/2015	ZSCR	551	030-1	NA	'054	A2C85621400	NA	A2C53412223	1	3011	054	 	1301	circuit board assy	NA	HALB	S.Real	133.47	PSAD_GM BRASIL_A.ANA TA	NO	
590282	21/02/2015	ZSCR	551	030-1	NA	'054	A2C85800900	NA	A2C8334150093	1	3011	054	 	1301	pcb topSMD TOP	NA	HALB	S.Real	240.23	PS_SDM10+_.	NO	
590287	21/02/2015	ZSCR	551	030-1	NA	'054	A2C34527200	NA	A2C53388687	1	3011	054	 	1301	circuit board assy	NA	HALB	S.Real	378.24	PS_ARAMIS 2012_.	NO	4987146634
590288	21/02/2015	ZSCR	551	030-1	NA	'054	A2C34527200	NA	A2C53388687	1	3011	054	 	1301	circuit board assy	NA	HALB	S.Real	378.24	PS_ARAMIS 2012_.	NO	4987146634
