No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Parte Padre 2	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
671087	08/10/2015	ZSCR	551	040-5	NA	'054	5WK44465	5WK44465	#N/A	A2C53405650	5	3011	054	 	1405	multipoint connector 82P H 2SYS YE	5	ROH	NA	118.15	PS_HONDA HRS6_J.JUAN CH	NO	
671088	08/10/2015	ZSCR	551	040-5	NA	'054	5WK44465	5WK44465	#N/A	A2C53330105	8	3011	054	 	1405	socket	5	ROH	NA	101.12	PS_HONDA HRS6_J.JUAN CH	NO	
671088	08/10/2015	ZSCR	551	040-5	NA	'054	5WK44462	5WK44462	#N/A	A2C53330107	2	3011	054	 	1405	socket	3	ROH	NA	27.52	PS_HONDA HRS6_J.JUAN CH	NO	
671088	08/10/2015	ZSCR	551	040-5	NA	'054	5WK44465	5WK44465	#N/A	A2C53405650	4	3011	054	 	1405	multipoint connector 82P H 2SYS YE	5	ROH	NA	94.52	PS_HONDA HRS6_J.JUAN CH	NO	
671090	08/10/2015	ZSCR	551	040-1	NA	'054	A2C84374600	A2C84374600	#N/A	A2C83009000	1	3011	054	 	1401	pcb assy VOLP1X P1007 P15	3	HALB	S.Real	565.17	PSAD_VOLVO P15_.	NO	
671093	08/10/2015	ZSCR	551	040-1	NA	'054	A2C83377600	A2C83377600	#N/A	A2C83377700	1	3011	054	 	1401	pcb assy RCMT5 LR	2	HALB	S.Real	513.47	PSAD_LAND ROVER_.	NO	
671102	08/10/2015	ZSCR	551	040-3	NA	'054	A2C83011900	A2C83011900	#N/A	A2C40005692	6	3011	054	 	1403	"C ELEC,AL,100uF,20%,50V"	4	ROH	NA	1.98	PSAD_OPEL 3300_.	NO	
671102	08/10/2015	ZSCR	551	040-3	NA	'054	A2C83011900	A2C83011900	#N/A	A2C40005932	2	3011	054	 	1403	"C ELEC,AL,4.7mF,20%,35V"	4	ROH	NA	13.46	PSAD_OPEL 3300_.	NO	
671102	08/10/2015	ZSCR	551	040-3	NA	'054	A2C83011900	A2C83011900	#N/A	A2C83012100	2	3011	054	 	1403	pcb assy OPLA3 370	4	HALB	S.Real	517.84	PSAD_OPEL 3300_.	NO	
671102	08/10/2015	ZSCR	551	040-3	NA	'054	A2C83011900	A2C83011900	#N/A	A2C8301210093	2	3011	054	 	1403	pcb assy OPLA3 370 lado TOP	4	HALB	S.Real	397.22	PSAD_OPEL 3300_.	NO	
