No.Item	Fecha	Txs SAP	Mov	C—digo Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	DŽficit Stock	No.Docto.SAP
184229	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53362292	NA	A2C53383913A	1	1301	SMD ACCORD 11 TOP	NA	HALB	S.Real	254.01	PS_HONDA ACCORD_GERARDO	NO	4959974938
184230	27/07/2012	ZSCR	551	030-1	NA	'054	5WK43611	NA	A2C53108385MI	1	1301	Manual insertion assy for CCG	NA	HALB	S.Real	445.24	PS_ARAMIS I_GERARDO ECH	NO	4959974782
184231	27/07/2012	ZSCR	551	030-1	NA	'054	5WK43611	NA	A2C53108385MI	1	1301	Manual insertion assy for CCG	NA	HALB	S.Real	445.24	PS_ARAMIS I_GERARDO ECH	NO	4959974782
184233	27/07/2012	ZSCR	551	030-1	NA	'054	5WK43611	NA	A2C53108385MI	1	1301	Manual insertion assy for CCG	NA	HALB	S.Real	445.24	PS_ARAMIS I_GERARDO ECH	NO	4959974782
184234	27/07/2012	ZSCR	551	030-1	NA	'054	5WK44285	NA	A2C53367544	1	1301	ACU VW10 MY10 8 RdW	NA	HALB	S.Real	226	PS_VW10 LC_GERARDO ECHE	NO	4959974828
184236	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53362292	NA	A2C53383913A	1	1301	SMD ACCORD 11 TOP	NA	HALB	S.Real	254.01	PS_HONDA ACCORD_GERARDO	NO	4959974938
184264	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53429875A	NA	A2C53429875B	1	1301	Hyundai circuit board assy 12FL SMD Bot	NA	HALB	S.Real/AutoBF	100.5	PS_HYUNDAI_GERARDO ECHE	NO	4959974274
184265	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53429875A	NA	A2C53429875B	1	1301	Hyundai circuit board assy 12FL SMD Bot	NA	HALB	S.Real/AutoBF	100.5	PS_HYUNDAI_GERARDO ECHE	NO	4959974274
184606	28/07/2012	ZSCR	551	030-1	NA	'054	A2C53372300A	NA	A2C53372300B	1	1301	VW10G circuit board assy 16FL SMD Bottom	NA	HALB	S.Real/AutoBF	38.55	PS_VW10 LC_GERARDO ECHE	NO	4959974281
184269	27/07/2012	ZSCR	551	030-1	NA	'054	5WK44600	NA	A2C8021660093	1	1301	pcb assy HONHRS6 V04 TOP	NA	HALB	S.Real	308.98	PS_HONDA HRS6_GERARDO E	NO	4959974877
