No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
398421	09/01/2014	ZSCR	551	034-3	NA	'054	A2C5339962902	NA	A2C5339962902	1	3011	054		1343	pcb assy HONHRS5 RO V13B	NA	HALB	S.Real/AutoBF	328.78	PS_HONDA HRS5_.	NO	4974329516
398422	09/01/2014	ZSCR	551	034-1	NA	'054	5WK44461	NA	A2C53404914	1	3011	054		1341	pcb assy HONHRS5 V30	NA	HALB	S.Real/AutoBF	326.89	PS_HONDA HRS5_.	NO	4974329352
398436	09/01/2014	ZSCR	551	042-4	NA	'054	5WK44781	NA	A2C80954100	1	3011	054		1424	pcb assy VW10 V07	NA	HALB	S.Real/AutoBF	258.41	PS_VW10 LC_U.ULISES VIL	NO	4974330390
398454	09/01/2014	ZSCR	551	034-2	NA	'054	5WK43024	NA	6593331401	50	3011	054		1342	ETIQUETA DE IDENTIFIC. HONDA	NA	ROH	NA	13	PS_HONDA HRS6_J.JUAN CH	NO	4974331149
398462	09/01/2014	ZSCR	551	040-5	NA	'054	5WY78891	NA	A2C53241830	4	3011	054		1405	circuit board assy	NA	HALB	S.Real	994.96	PS_FORD_.	NO	4974331837
398463	09/01/2014	ZSCR	551	040-1	NA	'054	5WY75811	NA	A2C53095265	4	3011	054		1401	circuit board assy	NA	HALB	S.Real	819.52	PS_FORD_.	NO	4974331875
398467	09/01/2014	ZSCR	551	040-1	NA	'054	5WY88040	NA	A2C53412214	1	3011	054		1401	pcb assy	NA	HALB	S.Real/AutoBF	149.71	PSAD_GM BRASIL_A.ANA TA	NO	4974329924
398468	09/01/2014	ZSCR	551	040-1	NA	'054	5WY88040	NA	A2C53412214	1	3011	054		1401	pcb assy	NA	HALB	S.Real/AutoBF	149.71	PSAD_GM BRASIL_A.ANA TA	NO	4974329924
398472	09/01/2014	ZSCR	551	034-3	NA	'054	5WK44469	NA	A2C53108387	15	3011	054		1343	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	2.7	PS_HONDA HRS5_.	NO	4974332639
398472	09/01/2014	ZSCR	551	034-3	NA	'054	5WK44690	NA	A2C53397769	3	3011	054		1343	housing	NA	ROH	NA	62.25	PS_HONDA HRS5_.	NO	4974332639
398472	09/01/2014	ZSCR	551	034-3	NA	'054	5WK44591	NA	A2C53397780	3	3011	054		1343	cover	NA	ROH	NA	9.54	PS_HONDA HRS5_.	NO	4974332639
398472	09/01/2014	ZSCR	551	034-3	NA	'054	5WK44462	NA	A2C53404915	3	3011	054		1343	pcb assy HONHRS5 V31	NA	HALB	S.Real/AutoBF	978.99	PS_HONDA HRS5_.	NO	4974329530
398475	09/01/2014	ZSCR	551	050-3	NA	'054	5WK44470	NA	A2C53108387	10	3011	054		1503	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	1.8	PS_HONDA HRS5_.	NO	4974332639
398475	09/01/2014	ZSCR	551	050-3	NA	'054	5WK44690	NA	A2C53397769	2	3011	054		1503	housing	NA	ROH	NA	41.5	PS_HONDA HRS5_.	NO	4974332639
398475	09/01/2014	ZSCR	551	050-3	NA	'054	5WK44591	NA	A2C53397780	2	3011	054		1503	cover	NA	ROH	NA	6.36	PS_HONDA HRS5_.	NO	4974332639
398475	09/01/2014	ZSCR	551	050-3	NA	'054	A2C81622000	NA	A2C53399629	2	3011	054		1503	pcb assy HONHRS5 RO V13	NA	HALB	S.Real/AutoBF	657.56	PS_HONDA HRS5_.	NO	4974330417
398479	09/01/2014	ZSCR	551	034-9	NA	'054	5WK43232	NA	6593571403	2	3011	054		1349	ETIQUETA C/ROTULO DE ADVERTENC s/d	NA	ROH	NA	1.62	PS_HONDA HRS5_.	NO	4974332639
398479	09/01/2014	ZSCR	551	034-9	NA	'054	5WK44758	NA	A2C53108387	15	3011	054		1349	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	2.7	PS_HONDA HRS5_.	NO	4974332639
398479	09/01/2014	ZSCR	551	034-9	NA	'054	5WK44690	NA	A2C53397769	2	3011	054		1349	housing	NA	ROH	NA	41.5	PS_HONDA HRS5_.	NO	4974332639
398479	09/01/2014	ZSCR	551	034-9	NA	'054	5WK44591	NA	A2C53397780	2	3011	054		1349	cover	NA	ROH	NA	6.36	PS_HONDA HRS5_.	NO	4974332639
398479	09/01/2014	ZSCR	551	034-9	NA	'054	5WK44763	NA	A2C8021730002	2	3011	054		1349	pcb assy HONHRS6 V06B	NA	HALB	S.Real	359.02	PS_HONDA HRS5_.	NO	4974332752
398543	10/01/2014	ZSCR	551	034-2	NA	'054	5WK43167	NA	6593331401	50	3011	054		1342	ETIQUETA DE IDENTIFIC. HONDA	NA	ROH	NA	13	PS_HONDA HRS6_J.JUAN CH	NO	4974331149
398543	10/01/2014	ZSCR	551	034-2	NA	'054	5WK44690	NA	A2C53397769	3	3011	054		1342	housing	NA	ROH	NA	62.25	PS_HONDA HRS6_J.JUAN CH	NO	4974331149
