No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP	
544930	04/11/2014	ZSCR	551	030-1	NA	'054	A2C86887711	NA	A2C86884501	1	3011	054	 	1301	pcb assy DAGSTAR2 D_14	NA	HALB	S.Real	499.67	PSAD_DAIMLER STAR 2_A.A	NO		
544933	04/11/2014	ZSCR	551	030-1	NA	'054	A2C83341500	NA	A2C8334150093	1	3011	054	 	1301	pcb topSMD TOP	NA	HALB	S.Real	221.99	PS_SDM10+_.	NO	4984023933	
544939	04/11/2014	ZSCR	551	030-1	NA	'054	A2C86816802	NA	A2C86617100	1	3011	054	 	1301	pcb assy DAGARM3 RO V17EDR	NA	HALB	S.Real	426.57	PS_ARAMIS III_E.EDWIN R	NO		
545010	04/11/2014	ZSCR	551	030-1	NA	'054	A2C86816802	NA	A2C86617100	1	3011	054	 	1301	pcb assy DAGARM3 RO V17EDR	NA	HALB	S.Real	426.57	PS_ARAMIS III_E.EDWIN R	NO		
545044	04/11/2014	ZSCR	551	034-9	NA	'054	A2C91764100	2800	A2C91764100	1	3011	054	 	1349	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	NA	FERT	NA	313.1	PS_SDM30_.	NO		
545048	04/11/2014	ZSCR	551	040-5	NA	'054	A2C32453912	3	A2C32453912	1	3011	054	 	1405	ACU DAGSTAR2 MY12 S15 24 08 0 1 0 000	NA	FERT	NA	425.24	PSAD_DAIMLER STAR 2_A.A	NO		
545107	04/11/2014	ZSCR	551	040-3	NA	'054	5WK44692	3	5WK44692	2	3011	054	 	1403	ACU HONHRS3 MY07 M30 xx xx 0 1 0	NA	FERT	NA	931.76	OES_HONDA CR-V HE_.	NO		
545109	04/11/2014	ZSCR	551	040-3	NA	'054	5WK43949	102	5WK43949	3	3011	054	 	1403	ACU HONHRS3 MY07 M30 xx xx 0 1 0	NA	FERT	NA	1417.86	OES_HONDA CR-V HE_.	NO		
545110	04/11/2014	ZSCR	551	040-3	NA	'054	5WK44014	8	5WK44014	1	3011	054	 	1403	ACU HONHRS3 MY07 M30 xx xx 0 1 0	NA	FERT	NA	461.36	OES_HONDA CR-V HE_.	NO		
545112	04/11/2014	ZSCR	551	040-3	NA	'054	5WK43771	201	5WK43771	8	3011	054	 	1403	ACU HONHRS3 MY07 M30 xx xx 0 0 0	NA	FERT	NA	2476.64	OES_HONDA CR-V MC_.	NO		
545115	04/11/2014	ZSCR	551	050-1	NA	'054	5WY72880	FE	5WY72880	1	3011	054	 	1501	Epsilon SDM GMX381 6 Loops - SP	NA	FERT	NA	425.8	PSAD_EPSILON_O.OSCAR FO	NO		
545115	04/11/2014	ZSCR	551	050-1	NA	'054	5WY87210	3	5WY87210	2	3011	054	 	1501	EPSILON MY2010 GMX386	NA	FERT	NA	673.5	PSAD_EPSILON_O.OSCAR FO	NO		
545115	04/11/2014	ZSCR	551	050-1	NA	'054	5WY86580	DAAE	5WY86580	1	3011	054	 	1501	EPSILON MY10 GMT001 (Non Turbo)8 Loops	NA	FERT	NA	394.86	PSAD_EPSILON_O.OSCAR FO	NO		
545115	04/11/2014	ZSCR	551	050-1	NA	'054	5WY72980	FE	5WY72980	3	3011	054	 	1501	Epsilon SDM GMX380A 6 Loops - SP	NA	FERT	NA	1288.2	PSAD_EPSILON_O.OSCAR FO	NO		
545115	04/11/2014	ZSCR	551	050-1	NA	'054	5WY79360	9	5WY79360	1	3011	054	 	1501	EPSILON MY08 GMX001 6L MLFB	NA	FERT	NA	393.52	PSAD_EPSILON_O.OSCAR FO	NO		
545116	04/11/2014	ZSCR	551	040-3	NA	'054	5WY75801	FE	5WY75801	2	3011	054	 	1403	MODUL CONTROL FOR AIRBAG P356	NA	FERT	NA	469.36	PS_FORD_.	NO		
545117	04/11/2014	ZSCR	551	040-3	NA	'054	5WY70460	EAG	5WY70460	1	3011	054	 	1403	AIRBAG FORD ADRCM P131 1C3A-14	NA	FERT	NA	344.33	OES_P131_.	NO		
545119	04/11/2014	ZSCR	551	040-3	NA	'054	5WK44014	8	5WK44014	1	3011	054	 	1403	ACU HONHRS3 MY07 M30 xx xx 0 1 0	NA	FERT	NA	461.36	OES_HONDA CR-V HE_.	NO		
545120	04/11/2014	ZSCR	551	040-3	NA	'054	5WK43950	102	5WK43950	1	3011	054	 	1403	ACU HONHRS4 MY08 M30 XX XX 0 0 0	NA	FERT	NA	342.3	OES_HONDA ACCORD_.	NO		
545127	04/11/2014	ZSCR	551	034-9	NA	'054	5WY78891	FE	5WY78891	2	3011	054	 	1349	MODUL CONTROL FOR AIRBAG E240	NA	FERT	NA	582.44	PS_FORD_.	NO		
545129	04/11/2014	ZSCR	551	040-3	NA	'054	5WY75801	FE	5WY75801	1	3011	054	 	1403	MODUL CONTROL FOR AIRBAG P356	NA	FERT	NA	234.68	PS_FORD_.	NO		
545131	04/11/2014	ZSCR	551	050-1	NA	'054	5WY87210	3	5WY87210	1	3011	054	 	1501	EPSILON MY2010 GMX386	NA	FERT	NA	336.75	PSAD_EPSILON_O.OSCAR FO	NO		
545139	04/11/2014	ZSCR	551	040-1	NA	'054	A2C84370400	NA	A2C84370500	1	3011	054	 	1401	MRS*C3 AML-VH400 PCB TOP MAN. ASSEMBLY	NA	HALB	S.Real	334.62	PSAD_ASTON MARTIN_J.JOS	NO		
545144	04/11/2014	ZSCR	551	034-2	NA	'054	A2C73614500	7986	A2C73614500	3	3011	054	 	1342	PPSC*G3T75 FL MAGNA-PSA	NA	FERT	NA	657.54	PSAD_PSA MAGNA_J.JOSE O	NO		
545152	04/11/2014	ZSCR	551	034-2	NA	'054	A2C85801200	NA	A2C53333520	100	3011	054	 	1342	TYPE LABLE	NA	ROH	NA	38	PS_SDM10+_.	NO		
545156	04/11/2014	ZSCR	551	034-2	NA	'054	A2C91764300	NA	A2C83145200	100	3011	054	 	1342	certification label identificati	NA	ROH	NA	33	PSAD_GM BRASIL_A.ANA TA	NO		
545172	04/11/2014	ZSCR	551	022-2	NA	'054	NA	NA	A2C35116101	3	3011	054	 	1222	pcb assy DAGSTAR2 D_12	NA	HALB	S.Real	1148.76	PSAD_DAIMLER STAR 2_A.A	NO		
545172	04/11/2014	ZSCR	551	022-2	NA	'054	NA	NA	A2C87057001	59	3011	054	 	1222	pcb assy DAGSTAR2 D_18	NA	HALB	S.Real	24799.47	PSAD_DAIMLER STAR 2_A.A	NO		
545172	04/11/2014	ZSCR	551	022-2	NA	'054	NA	NA	A2C35116201	1	3011	054	 	1222	pcb assy DAGSTAR2 D_13	NA	HALB	S.Real	398.7	PSAD_DAIMLER STAR 2_A.A	NO		
545172	04/11/2014	ZSCR	551	022-2	NA	'054	NA	NA	A2C86884501	4	3011	054	 	1222	pcb assy DAGSTAR2 D_14	NA	HALB	S.Real	1998.68	PSAD_DAIMLER STAR 2_A.A	NO		
545173	04/11/2014	MB1A	951	025-4	NA	'054	NA	3	A2C32453911	5				1254	ACU DAGSTAR2 MY12 S15 24 XX 0 1 0 000	NA	FERT	NA	2138.4	PSAD_DAIMLER STAR 2_A.A	NO	4984019366	
545177	04/11/2014	ZSCR	551	022-2	NA	'054	A2C85901110	NA	A2C87057001	62	3011	054	 	1222	pcb assy DAGSTAR2 D_18	NA	HALB	S.Real	26060.46	PSAD_DAIMLER STAR 2_A.A	NO		
545177	04/11/2014	ZSCR	551	022-2	NA	'054	NA	NA	A2C53424040	315	3011	054	 	1222	"pan head screw M3,5 x 12,00 1268"	NA	ROH	NA	85.05	PSAD_DAIMLER STAR 2_A.A	NO		
545177	04/11/2014	ZSCR	551	022-2	NA	'054	NA	NA	A2C83435000	63	3011	054	 	1222	cover FIP T BK	NA	ROH	NA	1198.26	PSAD_DAIMLER STAR 2_A.A	NO		
545177	04/11/2014	ZSCR	551	022-2	NA	'054	NA	NA	A2C32523400	63	3011	054	 	1222	base plate B	NA	ROH	NA	642.6	PSAD_DAIMLER STAR 2_A.A	NO		
545243	04/11/2014	ZSCR	551	035-1	0	'054	A2C8681670092	NA	A2C40002657	1	3011	054	 	1351	"D SUP/MMBZ27VDA,SOT23"		ROH	NA	0.21	PS_ARAMIS III_F.FERNAND	NO		
545243	04/11/2014	ZSCR	551	035-1	0	'054	A2C8681670092	NA	A2C00020895	2	3011	054	 	1351	"70V,150mA,2, common anode, FAST,SOT323_3"		ROH	NA	0.14	PS_ARAMIS III_F.FERNAND	NO		
545243	04/11/2014	ZSCR	551	035-1	0	'054	A2C8681670092	NA	A2C00010918	1	3011	054	 	1351	"R LIN,100K,1%,TK100,63mW,0402"		ROH	NA	0.01	PS_ARAMIS III_F.FERNAND	NO		
545243	04/11/2014	ZSCR	551	035-1	0	'054	A2C8681670092	NA	A2C00000568	1	3011	054	 	1351	"T BIP/BC 847S E6327,SOT363"		ROH	NA	0.14	PS_ARAMIS III_F.FERNAND	NO		
545243	04/11/2014	ZSCR	551	035-1	0	'054	A2C8681670092	NA	A2C00016442	1	3011	054	 	1351	"R LIN,165R,1%,TK100,100mW,0603"		ROH	NA	0.01	PS_ARAMIS III_F.FERNAND	NO		
545243	04/11/2014	ZSCR	551	035-1	0	'054	A2C8661710093	NA	A2C53041436	106	3011	054	 	1351	"1,NPN,RET,R<b>=10k,R<e-b>=47k,100mA,50V,"		ROH	NA	9.54	PS_ARAMIS III_F.FERNAND	NO		
545243	04/11/2014	ZSCR	551	035-1	0	'054	A2C8661710093	NA	A2C00034350	9	3011	054	 	1351	"32V,33V,7VA,FLYBACKCONV,TRAFO/"		ROH	NA	63.9	PS_ARAMIS III_F.FERNAND	NO		
545243	04/11/2014	ZSCR	551	035-1	0	'054	A2C8661710092	NA	A2C40002657	143	3011	054	 	1351	"D SUP/MMBZ27VDA,SOT23"		ROH	NA	30.03	PS_ARAMIS III_F.FERNAND	NO		
545243	04/11/2014	ZSCR	551	035-1	0	'054	A2C8661710092	NA	A2C00050073	4	3011	054	 	1351	"2,N_CHAN,MOS,SMALLSIGNAL,30V,250mA,1.5Oh"		ROH	NA	1.36	PS_ARAMIS III_F.FERNAND	NO		
545243	04/11/2014	ZSCR	551	035-1	0	'054	A2C8661710093	NA	A2C00019595	16	3011	054	 	1351	"R LIN,22K1,1%,TK100,63mW,0402"		ROH	NA	0.16	PS_ARAMIS III_F.FERNAND	NO		
545243	04/11/2014	ZSCR	551	035-1	0	'054	A2C8661710093	NA	A2C00047538	15	3011	054	 	1351	"27V,500mW,SOD123,ZENER/MMSZ5254B"		ROH	NA	1.8	PS_ARAMIS III_F.FERNAND	NO		
545243	04/11/2014	ZSCR	551	035-1	0	'054	A2C8661710093	NA	A2C00028102	244	3011	054	 	1351	"2,OP AMP,0Hz,TSSOP8,OP-COMP/TLC2272-QPW"		ROH	NA	431.88	PS_ARAMIS III_F.FERNAND	NO		
545243	04/11/2014	ZSCR	551	035-1	0	'054	A2C8661710093	NA	A2C00037378	3	3011	054	 	1351	"TA CAP,TA,47uF,10%,6.3V,SMD"		ROH	NA	2.19	PS_ARAMIS III_F.FERNAND	NO		
545243	04/11/2014	ZSCR	551	035-1	0	'054	A2C8661710093	NA	A2C00046196	27	3011	054	 	1351	"47uF,20%,35V,SMD,AL,ELEC CAP/"		ROH	NA	18.09	PS_ARAMIS III_F.FERNAND	NO		
545243	04/11/2014	ZSCR	551	035-1	0	'054	A2C8661710093	NA	A2C00037522	2	3011	054	 	1351	"1,P_CHAN,MOS,POWER,30V,5.3A,48mOhm,TSOP"		ROH	NA	1.76	PS_ARAMIS III_F.FERNAND	NO		
545243	04/11/2014	ZSCR	551	035-1	0	'054	A2C8661710092	NA	A2C00023274	10	3011	054	 	1351	"D REC/BAS16S E6327,70V,200mA,SOT363,0s"		ROH	NA	1.7	PS_ARAMIS III_F.FERNAND	NO		
545243	04/11/2014	ZSCR	551	035-1	0	'054	A2C8661710092	NA	A2C00010918	3	3011	054	 	1351	"R LIN,100K,1%,TK100,63mW,0402"		ROH	NA	0.03	PS_ARAMIS III_F.FERNAND	NO		
545243	04/11/2014	ZSCR	551	035-1	0	'054	A2C8661710092	NA	A2C00004349	37	3011	054	 	1351	"R JUMP,0R05,100mW,1A,0603"		ROH	NA	0.37	PS_ARAMIS III_F.FERNAND	NO		
545243	04/11/2014	ZSCR	551	035-1	0	'054	A2C8661710092	NA	A2C00004324	59	3011	054	 	1351	"R LIN,22K1,1%,TK100,100mW,0603"		ROH	NA	0.59	PS_ARAMIS III_F.FERNAND	NO		
545243	04/11/2014	ZSCR	551	035-1	0	'054	A2C8661710092	NA	A2C00008506	1	3011	054	 	1351	"0R1,5%,TK100,1W,MELF0207,LIN RES/MMB"		ROH	NA	0.62	PS_ARAMIS III_F.FERNAND	NO		
545243	04/11/2014	ZSCR	551	035-1	0	'054	A2C8661710092	NA	A2C00019595	21	3011	054	 	1351	"R LIN,22K1,1%,TK100,63mW,0402"		ROH	NA	0.21	PS_ARAMIS III_F.FERNAND	NO		
545243	04/11/2014	ZSCR	551	035-1	0	'054	A2C8661710092	NA	A2C00010760	22	3011	054	 	1351	"1,PNP,NORMAL,100mA,50V,SOT323,BIP/BCR158"		ROH	NA	2.2	PS_ARAMIS III_F.FERNAND	NO		
545246	04/11/2014	ZSCR	551	035-1	0	'054	A2C9449080093	NA	A2C00010444	21	3011	054	 	1351	"0R05,63mW,1A,0402,JUMPER/+++please use A"		ROH	NA	0.21	PS_HONDA HRS5_N.NORTON	NO		
545246	04/11/2014	ZSCR	551	035-1	0	'054	A2C9449080092	NA	A2C00019595	3	3011	054	 	1351	"R LIN,22K1,1%,TK100,63mW,0402"		ROH	NA	0.03	PS_HONDA HRS5_N.NORTON	NO		
