No.Item	Txs SAP	Mov	C—digo Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP
141325	ZSCR	551	034-2	NA	5WY8919	NA	A2C32144600	2	1342	MY12 SPDJB LOOP PROGRAM ASM MODEL B	NA	HALB	S.Real/AutoBF	584.52	S1 SPDJB (APROBACION	4957297934
141326	ZSCR	551	040-3	NA	5WY8919	NA	A2C32144600	4	1403	MY12 SPDJB LOOP PROGRAM ASM MODEL B	NA	HALB	S.Real/AutoBF	1169.04	S1 SPDJB (APROBACION	4957297946
141329	MB1A	551	010-3	B30301-01410	NA	NA	A2C53215552	8	1103	sealing	QN410081925	ROH	NA	68.88	S5 TXK (APROBACION AU	4957299219
141330	MB1A	551	034-1	B30301-01495	NA	NA	A2C53338452	2	1095	circuit board assy	NA	HALB	S.Real/AutoBF	124.54	S1 DCU (APROBACION AU	4957299492
141331	MB1A	551	050-1	B30301-01495	NA	NA	A2C53328412	34	1095	circuit board assy	NA	HALB	S.Real/AutoBF	4183.36	S1 DCU (APROBACION AU	4957299492
141333	ZSCR	551	034-2	NA	5WK49845	NA	A2C53335101	1	1342	pin header 20P H 2R PF BK	NA	ROH	NA	48.02	S5 TG ECU (APROBACION	4957298293
141333	ZSCR	551	034-2	NA	5WK49845	NA	A2C53339918	1	1342	housing assy	NA	ROH	NA	3.77	S5 TG ECU (APROBACION	4957298293
141333	ZSCR	551	034-2	NA	A2C53404863	NA	A2C53404863	1	1342	circuit board assy HONZZDIV V02	NA	HALB	S.Real/AutoBF	134.1	S5 TG ECU (APROBACION	4957298127
141336	ZSCR	551	030-1	NA	A2C53364288	NA	A2C53364288	40	1301	circuit board assy HONDA ZZDI	NA	HALB	S.Real/AutoBF	1364.4	S5 FOB ACURA 08 (APRO	4957298033
141339	MB1A	551	030-1	B30301-01495	NA	NA	A2C53338452T	5	1095	circuit board assy	NA	HALB	S.Real	293.2	S1 DCU (APROBACION AU	4957299492
141340	MB1A	551	040-2	B30301-01495	NA	NA	A2C53328411	1	1095	circuit board assy	NA	HALB	S.Real/AutoBF	118.26	S1 DCU (APROBACION AU	4957299492
141341	ZSCR	551	034-2	NA	A2C53345109	NA	A2C53402231	2	1342	parts kit assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	95.08	S5 TG1C HONDA (APROBA	4957298055
141342	ZSCR	551	042-4	NA	S180052025	NA	A2C53345109	1	1424	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	56.85	S5 TG1C HONDA (APROBA	4957297989
141343	ZSCR	551	034-2	NA	S180052025	NA	A2C53345109	2	1342	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	113.7	S5 TG1C HONDA (APROBA	4957297998
141344	ZSCR	551	040-2	NA	A2C53345109	NA	A2C53402231	1	1402	parts kit assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	47.54	S5 TG1C HONDA (APROBA	4957298073
141345	ZSCR	551	042-4	NA	S180052025	NA	A2C53345109	2	1424	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	113.7	S5 TG1C HONDA (APROBA	4957297989
141346	ZSCR	551	034-2	NA	A2C53402231	NA	A2C53402230	1	1342	module assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	47.15	S5 TG1C HONDA (APROBA	4957298043
141452	ZSCR	551	034-2	NA	5WY8817	NA	A2C34827100	1	1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	52.61	S1 TG1C UNIVERSAL CARLO	4957297971
141454	ZSCR	551	034-2	NA	5WY8817	NA	A2C53410193	1	1342	wheel unit TPM 433 MHz	NA	HALB	S.Real/AutoBF	63.23	S1 TG1C UNIVERSAL CARLO	4957298144
141526	ZSCR	551	034-2	NA	5WY8548	NA	A2C53402832	1	1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	47.71	S1 TG1C DCX CARLOS MONT	4957298109
141528	ZSCR	551	034-2	NA	A2C53348717	NA	A2C53311707	10	1342	housing	NA	ROH	NA	26.7	S1 TG1C DCX CARLOS MONT	4957298418
141531	ZSCR	551	034-2	NA	A2C53348717	NA	A2C53311707	18	1342	housing	NA	ROH	NA	48.06	S1 TG1C DCX CARLOS MONT	4957298418
141538	ZSCR	551	034-2	NA	5WY8547	NA	A2C53402830	1	1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	48.31	S1 TG1C DCX CARLOS MONT	4957298086
141541	ZSCR	551	034-2	NA	5WY8548	NA	A2C53402832	2	1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	95.42	S1 TG1C DCX CARLOS MONT	4957298109
141543	ZSCR	551	034-2	NA	5WY8547	NA	A2C53348715	2	1342	control device TPM 315 MHz	NA	HALB	S.Real/AutoBF	115.84	S1 TG1C DCX CARLOS MONT	4957298015
141544	ZSCR	551	034-2	NA	5WK49830	NA	A2C53248674	3	1342	Housing bottom fob	NA	ROH	NA	18.33	S5 FOB ACURA 08 (APRO	4957298278
