No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
574800	14/01/2015	MB1A	551	034-3	K96019	'054	NA	KAAF	A2C85215000	1				1095	ACU VW20 MY12 S15 12 04 0 0 0 000	NA	FERT	NA	217.85	PS_VW20 MQB_.	NO	Deficit of SL		
574810	14/01/2015	ZSCR	551	98	NA	'054	A2C83972000	NA	A2C8397200093	5	3011	054	 	1098	pcb topSMD Top	NA	HALB	S.Real	1793.75	PS_SDM10+_.	NO	No stock		
574818	14/01/2015	MB1A	551	042-4	K96019	'054	NA	NA	A2C85221001	1				1095	pcb assy DAGSM D_2	NA	HALB	S.Real	246.56	PSAD_DAIMLER SMART_F.FE	NO	4985736384		
574821	14/01/2015	ZSCR	551	040-3	NA	'054	A2C85841501	NA	A2C8145580001	1	3011	054	 	1403	pcb assy RENT4 V01 (SW 02)	NA	HALB	S.Real	132.3	PS_RENAULT_.	NO	4985741462		
574827	14/01/2015	MB1A	551	040-5	K96019	'054	NA	NA	A2C85779300	4				1095	pin header 90/ 67P H 3R PF YE XI	NA	ROH	NA	134.6	PS_VW20 MQB_.	NO	4985736295		
574840	14/01/2015	MB1A	551	040-3	K96019	'054	NA	NA	A2C84661700	1				1095	pcb assy VW20 D_4	NA	HALB	S.Real	248.8	PS_VW20 MQB_.	NO	4985736295		
574861	14/01/2015	ZSCR	551	034-3	NA	'054	A2C80612806	NA	A2C53409092	2				1343	cover	NA	ROH	NA	6.88	PS_RENAULT_.	NO	No product cost collector		
574865	14/01/2015	MB1A	551	040-5	K96019	'054	NA	NA	A2C84661700	1				1095	pcb assy VW20 D_4	NA	HALB	S.Real	248.8	PS_VW20 MQB_.	NO	4985736295		
574866	14/01/2015	MB1A	551	040-2	K96019	'054	NA	NA	A2C96631600	1				1095	pcb assy DAGSTAR2 ISC with SW	NA	HALB	S.Real	410.46	PSAD_DAIMLER STAR2_ISC_	NO	4985736431		
574882	14/01/2015	ZSCR	551	030-1	NA	'054	A2C37817202	NA	A2C5334566993	2				1301	pcb assy DAGARM3 V03 Top	NA	HALB	S.Real	733.68	PS_ARAMIS III_.	NO	No product cost collector		
574888	14/01/2015	MB1A	951	025-3	NA	'054	NA	6	5WK44675	29				1253	ACU FIA326 MY10 S10 06 02 0 0 0	VUG018245	FERT	NA	4933.48	PS_FIAT BRAZIL_.	NO	Deficit of SL		
575110	15/01/2015	ZSCR	551	030-1	NA	'054	A2C83972000	NA	A2C8397200093	1	3011	054	 	1301	pcb topSMD Top	NA	HALB	S.Real	358.75	PS_SDM10+_.	NO	No stock		
575113	15/01/2015	ZSCR	551	030-1	NA	'054	A2C83972000	NA	A2C8397200093	1	3011	054	 	1301	pcb topSMD Top	NA	HALB	S.Real	358.75	PS_SDM10+_.	NO	No stock		
575116	15/01/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C84661700	1				1095	pcb assy VW20 D_4	NA	HALB	S.Real	248.8	PS_VW20 MQB_.	NO	4985736295		
575139	15/01/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C84661700	1				1095	pcb assy VW20 D_4	NA	HALB	S.Real	248.8	PS_VW20 MQB_.	NO	4985736295		
575163	15/01/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C85221001	1				1095	pcb assy DAGSM D_2	NA	HALB	S.Real	246.56	PSAD_DAIMLER SMART_F.FE	NO	4985736384		
575164	15/01/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C35116101	1				1095	pcb assy DAGSTAR2 D_12	NA	HALB	S.Real	382.92	PSAD_DAIMLER STAR2_ISC_	NO	4985736431		
575169	15/01/2015	ZSCR	551	030-1	NA	'054	A2C9257210093	NA	A2C9257210093	1	3011	054	 	1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	247	PS_SDM30_.	NO	No stock		
575175	15/01/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C35116101	1				1095	pcb assy DAGSTAR2 D_12	NA	HALB	S.Real	382.92	PSAD_DAIMLER STAR2_ISC_	NO	4985736431		
