No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
593461	28/02/2015	ZSCR	551	034-2	NA	'050	A2C32292100	NA	A2C40000660	8	1342	NA	ROH	NA	173.2	S1_WK_WD RFHUB_A.ADRIAN	NO	4988225269		
593461	28/02/2015	ZSCR	551	034-2	NA	'050	A2C32295400	NA	A2C53331174	15	1342	NA	ROH	NA	27.15	S1_WK_WD RFHUB_A.ADRIAN	NO	4988225648		
593461	28/02/2015	ZSCR	551	034-2	NA	'050	A2C81624200	NA	A2C89522000	4	1342	NA	ROH	NA	40.08	S1_WK_WD RFHUB_A.ADRIAN	NO			
593485	28/02/2015	ZSCR	551	040-3	NA	'015	A2C73601801	NA	A2C73637100	3	1403	NA	ROH	NA	73.23	S1_CBC MY15_. (APROBAC	NO			
593630	28/02/2015	ZSCR	551	040-2	NA	'050	A2C73789705	NA	A2C37574700	950	1402	NA	ROH	NA	228	S1_CBC MY15_. (APROBAC	NO			
593775	01/03/2015	ZSCR	551	030-1	NA	'050	A2C89861600	NA	A2C32464500	20	1301	NA	ROH	NA	111	S1_RKE FOB CUSW_A.ADRIA	NO	4988225071		
594125	02/03/2015	ZSCR	551	040-3	NA	'050	A2C73785403	NA	A2C73599005	2	1403	NA	ROH	NA	159.58	S1_CBC MY15_. (APROBAC	NO			
594197	02/03/2015	ZSCR	551	040-4	NA	'015	A2C86022600	NA	A2C73749500	1	1404	NA	ROH	NA	12.34	S1_PASE FOB CUSW_A.ADRI	NO			
594197	02/03/2015	ZSCR	551	040-4	NA	'015	A2C86022700	NA	A2C73750400	1	1404	NA	ROH	NA	8.41	S1_PASE FOB CUSW_A.ADRI	NO			
594197	02/03/2015	ZSCR	551	040-4	NA	'015	A2C86022600	NA	A2C73750700	2	1404	NA	ROH	NA	11.2	S1_PASE FOB CUSW_A.ADRI	NO			
594198	02/03/2015	ZSCR	551	034-2	NA	'015	A2C86022600	NA	A2C73750400	3	1342	NA	ROH	NA	25.23	S1_PASE FOB CUSW_A.ADRI	NO	4988224491		
594198	02/03/2015	ZSCR	551	034-2	NA	'015	A2C86022600	NA	A2C73750700	3	1342	NA	ROH	NA	16.8	S1_PASE FOB CUSW_A.ADRI	NO	4988224491		
594249	02/03/2015	ZSCR	551	034-2	NA	'050	A2C32292300	NA	A2C35130000	12	1342	NA	ROH	NA	120.12	S1_WK_WD RFHUB_A.ADRIAN	NO	4988225316		
594249	02/03/2015	ZSCR	551	034-2	NA	'050	A2C32292100	NA	A2C40000660	6	1342	NA	ROH	NA	129.9	S1_WK_WD RFHUB_A.ADRIAN	NO	4988225269		
594249	02/03/2015	ZSCR	551	034-2	NA	'050	A2C81624200	NA	A2C89521800	1	1342	NA	ROH	NA	8.82	S1_WK_WD RFHUB_A.ADRIAN	NO			
594249	02/03/2015	ZSCR	551	034-2	NA	'050	A2C81624200	NA	A2C89522000	1	1342	NA	ROH	NA	10.02	S1_WK_WD RFHUB_A.ADRIAN	NO			
594251	02/03/2015	ZSCR	551	034-2	NA	'050	A2C32292300	NA	A2C35130000	1	1342	NA	ROH	NA	10.01	S1_WK_WD RFHUB_A.ADRIAN	NO	4988225316		
