No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad			Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
563846	12/12/2014	ZSCR	551	022-2	NA	'015	A2C83144100	NA	A2C8314440093	1			1222	circuit board assy TPM Top	NA	HALB	S.Real	32.2	S1_TG1C UNIVERSAL_J.JAI	NO	4985093409
563906	12/12/2014	ZSCR	551	034-2	NA	'015	A2C31563500	NA	A2C31563500	11			1342	circuit board assy TPM	NA	HALB	S.Real/AutoBF	308.11	S1_TG1C NISSAN_J.JAIME	NO	4985094272
563908	12/12/2014	ZSCR	551	034-2	NA	'015	A2C31563500	NA	A2C31563500	10			1342	circuit board assy TPM	NA	HALB	S.Real/AutoBF	280.1	S1_TG1C NISSAN_J.JAIME	NO	4985094272
563909	12/12/2014	ZSCR	551	034-2	NA	'015	A2C92739501	NA	A2C92739501	1			1342	module assy TPM	NA	HALB	S.Real/AutoBF	39.21	S1_TG1C NISSAN_J.JAIME	NO	4985094879
563970	12/12/2014	ZSCR	551	034-9	NA	'015	A2C53328412	NA	A2C53328412	20			1349	circuit board assy	NA	HALB	S.Real	1604.8	S1_DCU_A.ADRIAN CEBALLO	NO	4985092679
563971	12/12/2014	ZSCR	551	034-9	NA	'015	A2C53328411	NA	A2C53328411	4			1349	circuit board assy	NA	HALB	S.Real	302.32	S1_DCU_A.ADRIAN CEBALLO	NO	4985092561
563972	12/12/2014	ZSCR	551	034-9	NA	'015	A2C53338452	NA	A2C53338452	19			1349	circuit board assy	NA	HALB	S.Real	984.58	S1_DCU_A.ADRIAN CEBALLO	NO	4985092679
563988	12/12/2014	ZSCR	551	040-3	NA	'015	A2C92739501	NA	A2C92739501	1			1403	module assy TPM	NA	HALB	S.Real/AutoBF	39.21	S1_TG1C NISSAN_J.JAIME	NO	4985094887
564328	13/12/2014	ZSCR	551	034-2	NA	'015	S180052056	NA	A2C8551390093	1			1342	circuit board assy TPM Bottom	NA	HALB	S.Real	23.23	S1_TIS1C127 BMW_A.ADRIA	NO	4985093527
564331	13/12/2014	ZSCR	551	034-2	NA	'015	A2C95968801	NA	A2C9637240093	1			1342	circuit board assy TPM SMD TOP	NA	HALB	S.Real	28.47	S1_TIS 1C GREAT WALL_.	NO	4985092509
564342	13/12/2014	ZSCR	551	034-2	NA	'015	A2C92738801	NA	A2C92738801	1			1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	40.37	S1_TG1C NISSAN_J.JAIME	NO	4985094879
564366	13/12/2014	ZSCR	551	022-2	NA	'050	A2C8158270093	NA	A2C8158270093	2			1222	circuit board assy TPM TOP	NA	HALB	S.Real	51.98	S1_TG1C NISSAN_J.JAIME	NO	4985093030
564369	13/12/2014	ZSCR	551	022-2	NA	'050	A2C3156350093	NA	A2C3156350093	2			1222	circuit board assy TPM LOCAPASE TOP	NA	HALB	S.Real	56.02	S1_TG1C NISSAN_J.JAIME	NO	4985093039
564371	13/12/2014	ZSCR	551	022-2	NA	'015	A2C84975300	NA	A2C8676770093	2			1222	circuit board assy TPM Top	NA	HALB	S.Real	47.14	S5_TIS1C127 HMC_A.ADRIA	NO	4985093588
564373	13/12/2014	ZSCR	551	022-2	NA	'015	5WY8548	NA	A2C53402832	2			1222	parts kit assy TPM	NA	HALB	S.Real/AutoBF	80.38	S1_TG1C DCX_J.JAIME JIM	NO	4985094169
564374	13/12/2014	ZSCR	551	022-2	NA	'015	5WY8548	NA	A2C32163500	2			1222	module assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	78.16	S1_TG1C DCX_J.JAIME JIM	NO	4985093658
564377	13/12/2014	ZSCR	551	022-2	NA	'015	5WY8548	NA	A2C3144250093	1			1222	circuit board assy TPM 433 MHz	NA	HALB	S.Real	28.03	S1_TG1C DCX_J.JAIME JIM	NO	4985092939
564383	13/12/2014	ZSCR	551	050-1	NA	'015	A2C92738801	NA	A2C92738801	4			1501	parts kit assy TPM	NA	HALB	S.Real/AutoBF	161.48	S1_TG1C NISSAN_J.JAIME	NO	4985094900
564388	13/12/2014	ZSCR	551	050-1	NA	'015	A2C92270400	NA	A2C92739101	1			1501	parts kit assy TPM	NA	HALB	S.Real/AutoBF	38.36	S1_TG1C NISSAN_J.JAIME	NO	4985095145
564467	13/12/2014	ZSCR	551	034-2	NA	'015	A2C92270400	NA	A2C92739101	2			1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	76.72	S1_TG1C NISSAN_J.JAIME	NO	4985094879
564469	13/12/2014	ZSCR	551	034-2	NA	'015	A2C86767700	NA	A2C8676770093	2			1342	circuit board assy TPM Top	NA	HALB	S.Real	47.14	S5_TIS1C127 HMC_A.ADRIA	NO	4985093575
564480	13/12/2014	ZSCR	551	034-2	NA	'015	A2C81582700	NA	A2C8158270093	1			1342	circuit board assy TPM TOP	NA	HALB	S.Real	25.99	S1_TG1C NISSAN_J.JAIME	NO	4985093158
564482	13/12/2014	ZSCR	551	034-2	NA	'015	A2C31563500	NA	A2C3156350093	1			1342	circuit board assy TPM LOCAPASE TOP	NA	HALB	S.Real	28.01	S1_TG1C NISSAN_J.JAIME	NO	4985093118
564484	13/12/2014	ZSCR	551	034-1	NA	'015	A2C31563500	NA	A2C3156350093	1			1341	circuit board assy TPM LOCAPASE TOP	NA	HALB	S.Real	28.01	S1_TG1C NISSAN_J.JAIME	NO	4985093059
564486	13/12/2014	ZSCR	551	034-2	NA	'015	A2C96372400	NA	A2C9637240093	2			1342	circuit board assy TPM SMD TOP	NA	HALB	S.Real	56.94	S1_TIS 1C GREAT WALL_.	NO	4985092509
564487	13/12/2014	ZSCR	551	034-2	NA	'015	A2C96372400	NA	A2C9637240093	1			1342	circuit board assy TPM SMD TOP	NA	HALB	S.Real	28.47	S1_TIS 1C GREAT WALL_.	NO	4985092509
564490	13/12/2014	ZSCR	551	034-2	NA	'015	A2C96372400	NA	A2C9637240093	1			1342	circuit board assy TPM SMD TOP	NA	HALB	S.Real	28.47	S1_TIS 1C GREAT WALL_.	NO	4985092509
564491	13/12/2014	ZSCR	551	034-2	NA	'015	A2C86767700	NA	A2C8676770093	1			1342	circuit board assy TPM Top	NA	HALB	S.Real	23.57	S5_TIS1C127 HMC_A.ADRIA	NO	4985093575
564494	13/12/2014	ZSCR	551	034-1	NA	'015	A2C96372400	NA	A2C9637240093	1			1341	circuit board assy TPM SMD TOP	NA	HALB	S.Real	28.47	S1_TIS 1C GREAT WALL_.	NO	4985092487
564495	13/12/2014	ZSCR	551	040-1	NA	'015	A2C31563500	NA	A2C3156350093	1			1401	circuit board assy TPM LOCAPASE TOP	NA	HALB	S.Real	28.01	S1_TG1C NISSAN_J.JAIME	NO	4985093176
564496	13/12/2014	ZSCR	551	034-2	NA	'015	S180150004	NA	A2C8673320193	4			1342	circuit board assy TPM Top	NA	HALB	S.Real	87.88	S1_TIS 1D MMC_J.JAIME J	NO	4985093491
564541	13/12/2014	ZSCR	551	034-2	NA	'015	A2C53397013	NA	A2C53328411	4			1342	circuit board assy	NA	HALB	S.Real	302.32	S1_DCU_A.ADRIAN CEBALLO	NO	4985092569
564541	13/12/2014	ZSCR	551	034-2	NA	'015	A2C53399195	NA	A2C53328412	1			1342	circuit board assy	NA	HALB	S.Real	80.24	S1_DCU_A.ADRIAN CEBALLO	NO	4985092643
564542	13/12/2014	ZSCR	551	030-1	NA	'015	A2C53397013S	NA	A2C53328411	2			1301	circuit board assy	NA	HALB	S.Real	151.16	S1_DCU_A.ADRIAN CEBALLO	NO	4985092578
564542	13/12/2014	ZSCR	551	030-1	NA	'015	A2C53304030	NA	A2C53338452	1			1301	circuit board assy	NA	HALB	S.Real	51.82	S1_DCU_A.ADRIAN CEBALLO	NO	4985092617
564543	13/12/2014	ZSCR	551	030-1	NA	'050	A2C53328412B	NA	A2C53328412B	8			1301	circuit board assy	NA	HALB	S.Real/AutoBF	134.8	S1_DCU_A.ADRIAN CEBALLO	NO	4985093624
564569	14/12/2014	ZSCR	551	034-2	NA	'015	A2C31556000	NA	A2C3156350093	8			1342	circuit board assy TPM LOCAPASE TOP	NA	HALB	S.Real	224.08	S1_TG1C NISSAN_J.JAIME	NO	4985093118
564569	14/12/2014	ZSCR	551	034-2	NA	'015	A2C37350900	NA	A2C8158270093	3			1342	circuit board assy TPM TOP	NA	HALB	S.Real	77.97	S1_TG1C NISSAN_J.JAIME	NO	4985093158
564570	14/12/2014	ZSCR	551	034-2	NA	'015	A2C37966400	NA	A2C8551390093	9			1342	circuit board assy TPM Bottom	NA	HALB	S.Real	209.07	S1_TIS1C127 BMW_A.ADRIA	NO	4985093527
564572	14/12/2014	ZSCR	551	034-2	NA	'015	A2C53402102	NA	A2C9637240093	2			1342	circuit board assy TPM SMD TOP	NA	HALB	S.Real	56.94	S1_TIS 1C GREAT WALL_.	NO	4985092509
564573	14/12/2014	ZSCR	551	034-2	NA	'015	A2C35115200	NA	A2C8676770093	1			1342	circuit board assy TPM Top	NA	HALB	S.Real	23.57	S5_TIS1C127 HMC_A.ADRIA	NO	4985093575
564574	14/12/2014	ZSCR	551	034-2	NA	'015	A2C82208300	NA	A2C8749600093	1			1342	pcb assy BCU Top	NA	HALB	S.Real	21.21	S5_TIS1C127 NISSAN_C.CA	NO	4985093595
564611	14/12/2014	ZSCR	551	034-2	NA	'015	A2C53304030	NA	A2C53338452	3			1342	circuit board assy	NA	HALB	S.Real	155.46	S1_DCU_A.ADRIAN CEBALLO	NO	4985092643
564612	14/12/2014	ZSCR	551	034-2	NA	'015	A2C53387020	NA	A2C53328412	5			1342	circuit board assy	NA	HALB	S.Real	401.2	S1_DCU_A.ADRIAN CEBALLO	NO	4985092643
564623	14/12/2014	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C32880100	3			1342	module assy TPM	NA	HALB	S.Real/AutoBF	123.9	S1_TIS 1D CHRYSLER_J.JA	NO	4985094854
