No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad			Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
561939	08/12/2014	ZSCR	551	034-2	NA	'015	A2C37350900	NA	A2C81582700	1			1342	circuit board assy TPM	NA	HALB	S.Real/AutoBF	25.99	S1_TG1C NISSAN_J.JAIME	NO	4985094552
561985	08/12/2014	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C32880100	8			1342	module assy TPM	NA	HALB	S.Real/AutoBF	330.4	S1_TIS 1D CHRYSLER_J.JA	NO	4985094854
562015	08/12/2014	ZSCR	551	034-2	NA	'015	A2C8158270093	NA	A2C8158270093	10			1342	circuit board assy TPM TOP	NA	HALB	S.Real	259.9	S1_TG1C NISSAN_J.JAIME	NO	4985093158
562035	08/12/2014	ZSCR	551	034-2	NA	'015	A2C3156350093	NA	A2C3156350093	26			1342	circuit board assy TPM LOCAPASE TOP	NA	HALB	S.Real	728.26	S1_TG1C NISSAN_J.JAIME	NO	4985093118
562041	08/12/2014	ZSCR	551	034-2	NA	'015	A2C92739500	NA	A2C92739500	1			1342	module assy TPM	NA	HALB	S.Real/AutoBF	39.02	S1_TG1C NISSAN_J.JAIME	NO	4985094879
562042	08/12/2014	ZSCR	551	034-2	NA	'015	A2C3144240093	NA	A2C3144240093	3			1342	circuit board assy TPM 315 MHz Top	NA	HALB	S.Real	83.79	S1_TG1C DCX_J.JAIME JIM	NO	4985092916
562046	09/12/2014	ZSCR	551	040-3	NA	'015	A2C9637240093	NA	A2C9637240093	3			1403	circuit board assy TPM SMD TOP	NA	HALB	S.Real	85.41	S1_TIS 1C GREAT WALL_.	NO	4985092524
562051	09/12/2014	ZSCR	551	034-2	NA	'015	A2C8676770093	NA	A2C8676770093	1			1342	circuit board assy TPM Top	NA	HALB	S.Real	23.57	S5_TIS1C127 HMC_A.ADRIA	NO	4985093575
562072	09/12/2014	ZSCR	551	030-1	NA	'015	A2C3818940093	NA	A2C3818940093	1			1301	circuit board assy TPM 315 MHz TOP	NA	HALB	S.Real	27.88	S1_TG1C HYUNDAI_M.MIGUE	NO	4985093009
562099	09/12/2014	ZSCR	551	030-1	NA	'015	A2C53328412B	NA	A2C53328412B	8			1301	circuit board assy	NA	HALB	S.Real/AutoBF	134.8	S1_DCU_A.ADRIAN CEBALLO	NO	4985093624
