No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
383036	27/11/2013	ZSCR	551	040-4	NA	'054	5WK43611	NA	A2C53108385MI	1	3011	054		1404	Manual insertion assy for CCG	NA	HALB	S.Real	464.75	PS_ARAMIS I_E.EDWIN ROD	NO	4973074820
384122	29/11/2013	ZSCR	551	034-2	NA	'054	5WK44252	2	5WK44252	1	3011	054		1342	BoSe VW	NA	FERT	NA	113.87	OC_BOSE VW_A.ANA TAPIA-	NO	4973073844
384124	29/11/2013	ZSCR	551	030-1	NA	'054	5WY86930	NA	A2C53108379	1	3011	054		1301	cover FIP T GY	NA	ROH	NA	3.49	PS_ARAMIS 2012_E.EDWIN	NO	4973075591
384124	29/11/2013	ZSCR	551	030-1	NA	'054	5WY86930	NA	A2C53108387	5	3011	054		1301	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	0.95	PS_ARAMIS 2012_E.EDWIN	NO	4973075591
384124	29/11/2013	ZSCR	551	030-1	NA	'054	5WY86930	NA	A2C53324560	1	3011	054		1301	certification label spool part p	NA	ROH	NA	0.52	PS_ARAMIS 2012_E.EDWIN	NO	4973075591
384124	29/11/2013	ZSCR	551	030-1	NA	'054	5WY86930	NA	A2C53331574	1	3011	054		1301	"housing FIP 157,0x 130,8"	NA	ROH	NA	19.13	PS_ARAMIS 2012_E.EDWIN	NO	4973075591
384124	29/11/2013	ZSCR	551	030-1	NA	'054	A2C81542500	NA	A2C81543200	1	3011	054		1301	pcb assy	NA	HALB	S.Real	451.04	PS_ARAMIS 2012_E.EDWIN	NO	4973074739
384125	29/11/2013	ZSCR	551	042-4	NA	'054	A2C38081601	NA	A2C53375496	1	3011	054		1424	pcb assy DAGARM3 V04	NA	HALB	S.Real	318.89	PS_ARAMIS III_E.EDWIN R	NO	4973074443
384126	29/11/2013	ZSCR	551	042-4	NA	'054	5WK44252	2	5WK44252	4	3011	054		1424	BoSe VW	NA	FERT	NA	455.48	OC_BOSE VW_A.ANA TAPIA-	NO	4973073898
384130	29/11/2013	ZSCR	551	040-1	NA	'054	5WY86930	NA	A2C53331574	1	3011	054		1401	"housing FIP 157,0x 130,8"	NA	ROH	NA	19.13	PS_ARAMIS 2012_E.EDWIN	NO	4973075591
