No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624300T	NA	A2C00036967	62	"8K25,1%,TK100,62.5mW,0603,LIN RES/CR1/16"		ROH	NA	0.62	ES_V8 V10_ALVARO MEDINA	NO	4963087512	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624100B	NA	A2C00036967	15	"8K25,1%,TK100,62.5mW,0603,LIN RES/CR1/16"		ROH	NA	0.15	ES_V8 V10_ALVARO MEDINA	NO	4963087428	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624500T	NA	A2C00036967	3	"8K25,1%,TK100,62.5mW,0603,LIN RES/CR1/16"		ROH	NA	0.03	ES_V8 V10_ALVARO MEDINA	NO	4963087690	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624400T	NA	A2C00036971	225	"1K,1%,TK100,100mW,0805,LIN RES/CR1/10 10"		ROH	NA	2.25	ES_V8 V10_ALVARO MEDINA	NO	4963087610	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624400B	NA	A2C00036971	36	"1K,1%,TK100,100mW,0805,LIN RES/CR1/10 10"		ROH	NA	0.36	ES_V8 V10_ALVARO MEDINA	NO	4963087576	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624300T	NA	A2C00036971	7	"1K,1%,TK100,100mW,0805,LIN RES/CR1/10 10"		ROH	NA	0.07	ES_V8 V10_ALVARO MEDINA	NO	4963087512	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624600T	NA	A2C00036971	11	"1K,1%,TK100,100mW,0805,LIN RES/CR1/10 10"		ROH	NA	0.11	ES_V8 V10_ALVARO MEDINA	NO	4963087732	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624100B	NA	A2C00036971	77	"1K,1%,TK100,100mW,0805,LIN RES/CR1/10 10"		ROH	NA	0.77	ES_V8 V10_ALVARO MEDINA	NO	4963087428	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624500T	NA	A2C00036971	4	"1K,1%,TK100,100mW,0805,LIN RES/CR1/10 10"		ROH	NA	0.04	ES_V8 V10_ALVARO MEDINA	NO	4963087690	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624400T	NA	A2C00036997	103	"150R,1%,TK100,125mW,0805,LIN RES/CR1/10"		ROH	NA	1.03	ES_V8 V10_ALVARO MEDINA	NO	4963087610	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624400T	NA	A2C00037013	31	"182K,1%,TK100,125mW,0805,LIN RES/MCR10FZ"		ROH	NA	0.62	ES_V8 V10_ALVARO MEDINA	NO	4963087610	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624400T	NA	A2C00037035	118	"2K2,5%,TK200,125mW,0805,LIN RES/CR1/10 2"		ROH	NA	1.18	ES_V8 V10_ALVARO MEDINA	NO	4963087610	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624100T	NA	A2C00037035	23	"2K2,5%,TK200,125mW,0805,LIN RES/CR1/10 2"		ROH	NA	0.23	ES_V8 V10_ALVARO MEDINA	NO	4963087450	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624300T	NA	A2C00037035	6	"2K2,5%,TK200,125mW,0805,LIN RES/CR1/10 2"		ROH	NA	0.06	ES_V8 V10_ALVARO MEDINA	NO	4963087512	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624600T	NA	A2C00037035	12	"2K2,5%,TK200,125mW,0805,LIN RES/CR1/10 2"		ROH	NA	0.12	ES_V8 V10_ALVARO MEDINA	NO	4963087732	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624100T	NA	A2C00037089	11	"41K2,1%,TK100,125mW,0805,LIN RES/MCR10FZ"		ROH	NA	0.22	ES_V8 V10_ALVARO MEDINA	NO	4963087450	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624400B	NA	A2C00037248	163	"2K,5%,TK200,250mW,1210,LIN RES/CR1/4 202"		ROH	NA	4.89	ES_V8 V10_ALVARO MEDINA	NO	4963087576	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624100B	NA	A2C00037248	185	"2K,5%,TK200,250mW,1210,LIN RES/CR1/4 202"		ROH	NA	5.55	ES_V8 V10_ALVARO MEDINA	NO	4963087428	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624400T	NA	A2C00041399	165	"38K3,1%,TK100,125mW,0805,LIN RES/"		ROH	NA	3.3	ES_V8 V10_ALVARO MEDINA	NO	4963087610	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624100T	NA	A2C00041399	54	"38K3,1%,TK100,125mW,0805,LIN RES/"		ROH	NA	1.08	ES_V8 V10_ALVARO MEDINA	NO	4963087450	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624300T	NA	A2C00041399	5	"38K3,1%,TK100,125mW,0805,LIN RES/"		ROH	NA	0.1	ES_V8 V10_ALVARO MEDINA	NO	4963087512	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624600T	NA	A2C00041399	19	"38K3,1%,TK100,125mW,0805,LIN RES/"		ROH	NA	0.38	ES_V8 V10_ALVARO MEDINA	NO	4963087732	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624100B	NA	A2C00041399	46	"38K3,1%,TK100,125mW,0805,LIN RES/"		ROH	NA	0.92	ES_V8 V10_ALVARO MEDINA	NO	4963087428	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624500T	NA	A2C00041399	5	"38K3,1%,TK100,125mW,0805,LIN RES/"		ROH	NA	0.1	ES_V8 V10_ALVARO MEDINA	NO	4963087690	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624400T	NA	A2C00047063	22	"4,0V,60Ohm,P-DSO-28,GENERAL PURPOSE,DRIV"		ROH	NA	389.62	ES_V8 V10_ALVARO MEDINA	NO	4963087610	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624100T	NA	A2C00047063	11	"4,0V,60Ohm,P-DSO-28,GENERAL PURPOSE,DRIV"		ROH	NA	194.81	ES_V8 V10_ALVARO MEDINA	NO	4963087450	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624300T	NA	A2C00047063	4	"4,0V,60Ohm,P-DSO-28,GENERAL PURPOSE,DRIV"		ROH	NA	70.84	ES_V8 V10_ALVARO MEDINA	NO	4963087512	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624300T	NA	A2C00047318	2	"40V,120mA,1,,SOT323,RECT DIODE/BAS40-06W"		ROH	NA	0.4	ES_V8 V10_ALVARO MEDINA	NO	4963087512	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624400T	NA	A2C00048196	17	"1K6,5%,TK200,500mW,2010,LIN RES/"		ROH	NA	2.21	ES_V8 V10_ALVARO MEDINA	NO	4963087610	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624300T	NA	A2C00048196	44	"1K6,5%,TK200,500mW,2010,LIN RES/"		ROH	NA	5.72	ES_V8 V10_ALVARO MEDINA	NO	4963087512	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624100B	NA	A2C00048205	72	4 channel 256 position Digital Potentiom		ROH	NA	1368.72	ES_V8 V10_ALVARO MEDINA	NO	4963087428	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624400B	NA	A2C00052465	1	"1,OP AMP,0Hz,5 PINS SOT23,OP-COMP/NCV200"		ROH	NA	2.08	ES_V8 V10_ALVARO MEDINA	NO	4963087576	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624400T	NA	A2C00054017	16	"1K,5%,TK100,3W,1225,LIN RES/High Power D"		ROH	NA	27.84	ES_V8 V10_ALVARO MEDINA	NO	4963087610	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624100T	NA	A2C00054017	14	"1K,5%,TK100,3W,1225,LIN RES/High Power D"		ROH	NA	24.36	ES_V8 V10_ALVARO MEDINA	NO	4963087450	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624300T	NA	A2C00054017	13	"1K,5%,TK100,3W,1225,LIN RES/High Power D"		ROH	NA	22.62	ES_V8 V10_ALVARO MEDINA	NO	4963087512	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624600T	NA	A2C00054017	11	"1K,5%,TK100,3W,1225,LIN RES/High Power D"		ROH	NA	19.14	ES_V8 V10_ALVARO MEDINA	NO	4963087732	
238666	28/11/2012	ZSCR	551	035-1	0	'050	A2C31624500T	NA	A2C00054017	2	"1K,5%,TK100,3W,1225,LIN RES/High Power D"		ROH	NA	3.48	ES_V8 V10_ALVARO MEDINA	NO	4963087690	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C3286560192	NA	A2C00000242	29	"5.6V,300mW,SOT23,ZENER/BZX84C5V6/T1"		ROH	NA	2.9	ES_EMS 2208_ARTURO NERI	NO	4963087842	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300T	NA	A2C00000262	14	"Dual 40W,22V,SOT23, common cathode SUP D"		ROH	NA	2.1	ES_EMS 2208_ARTURO NERI	NO	4963087827	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300T	NA	A2C00000305	37	"D SUP/P6SMB33A,DO214AA"		ROH	NA	18.5	ES_EMS 2208_ARTURO NERI	NO	4963087827	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300B	NA	A2C00000346	11	"70V,250mA,2,common anode,FAST,SOT23,RECT"		ROH	NA	0.77	ES_EMS 2208_ARTURO NERI	NO	4963087788	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300B	NA	A2C00000349	2	"120V,200mA,1,STANDARD,SOT23,RECT DIODE/B"		ROH	NA	0.14	ES_EMS 2208_ARTURO NERI	NO	4963087788	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300B	NA	A2C00000357	139	"250V,150mA,1,FAST,SOT23,RECT DIODE/BAS21"		ROH	NA	9.73	ES_EMS 2208_ARTURO NERI	NO	4963087788	
