No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	 	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
637005	01/07/2015	ZSCR	551	040-3	NA	'054	A2C91764100	A2C91764100	#N/A	A2C91764100	4	3011	054	 	1403	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	#N/A	FERT	NA	1340.44	PS_SDM30_.	NO	4991581373
637006	01/07/2015	ZSCR	551	050-1	NA	'054	A2C86852400	A2C86852400	#N/A	A2C86852400	1	3011	054	 	1501	ACU HMCUD MY13 S10 12 XX 0 0 0 000	#N/A	FERT	NA	244.18	PS_HYUNDAI_.	NO	4991581612
637153	01/07/2015	ZSCR	551	035-1	0	'054	A2C8397190093	A2C91085500	#N/A	A2C00056785	4	3011	054	 	1351	"T FET/SY4948PEY lead-free,MOS,POWER,SO8"	#N/A	ROH	NA	7.48	PS_SDM10+_A.APROBACION	NO	
637251	02/07/2015	ZSCR	551	030-1	NA	'054	A2C86816504	A2C86816504	#N/A	A2C9663010092	1	3011	054	 	1301	pcb assy DAGA3R231 V18-1 SMD BOT	#N/A	HALB	S.Real/AutoBF	90.98	PS_ARAMIS III_.	NO	4991580620
637406	02/07/2015	ZSCR	551	034-9	NA	'054	A2C91764100	A2C91764100	#N/A	A2C91764100	2	3011	054	 	1349	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	#N/A	FERT	NA	670.22	PS_SDM30_.	NO	4991580729
637519	02/07/2015	ZSCR	551	050-3	NA	'054	A2C85621400	A2C85621400	#N/A	A2C53412213	1	3011	054	 	1503	pcb assy	#N/A	HALB	S.Real/AutoBF	157.98	PSAD_GM BRASIL_A.ANA TA	NO	4991581637
637811	03/07/2015	ZSCR	551	034-9	NA	'054	A2C91764100	A2C91764100	#N/A	A2C91764100	1	3011	054	 	1349	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	#N/A	FERT	NA	335.11	PS_SDM30_.	NO	4991580729
637812	03/07/2015	ZSCR	551	034-2	NA	'054	A2C91764100	A2C91764100	#N/A	A2C91764100	1	3011	054	 	1342	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	#N/A	FERT	NA	335.11	PS_SDM30_.	NO	4991580674
637821	03/07/2015	ZSCR	551	040-2	NA	'054	A2C85215100	A2C85215100	#N/A	A2C85215100	1	3011	054	 	1402	ACU VW20 MY12 S15 16 04 0 0 0 000	#N/A	FERT	NA	270.5	PS_VW20 MQB_.	NO	4991581006
637850	03/07/2015	ZSCR	551	040-3	NA	'054	5WK43807	5WK43807	01	5WK43807	1	3011	054	 	1403	ACU DAGARM2 MY08 M30 xx xx 0 0 0	01	FERT	NA	613.05	PS_ARAMIS II MCG_F.FERN	NO	4991581103
637850	03/07/2015	ZSCR	551	040-3	NA	'054	5WK43967	5WK43967	06	5WK43967	2	3011	054	 	1403	ACU DAGARM2 MY08 M30 xx xx 0 0 0	06	FERT	NA	1053.94	PS_ARAMIS II MCG_F.FERN	NO	4991581130
637850	03/07/2015	ZSCR	551	040-3	NA	'054	5WK44073	5WK44073	02	5WK44073	1	3011	054	 	1403	ACU DAGARM2 MY08 M30 xx xx 0 1 0	02	FERT	NA	714.3	PS_ARAMIS II MCG_F.FERN	NO	4991581146
637851	03/07/2015	ZSCR	551	040-3	NA	'054	A2C85800900	A2C85800900	#N/A	A2C83341500	1	3011	054	 	1403	pcb topSMD	#N/A	HALB	S.Real/AutoBF	244.98	PS_SDM10+_.	NO	4991581215
637851	03/07/2015	ZSCR	551	040-3	NA	'054	A2C91085700	A2C91085700	#N/A	A2C91085700	2	3011	054	 	1403	ACU MY11 G40 18 XX 0 1 0 000	#N/A	FERT	NA	966.3	PS_SDM10+_.	NO	4991581345
638005	04/07/2015	ZSCR	551	040-3	NA	'054	A2C91764100	A2C91764100	#N/A	A2C91764100	2	3011	054	 	1403	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	#N/A	FERT	NA	670.22	PS_SDM30_.	NO	4991581373
638005	04/07/2015	ZSCR	551	040-3	NA	'054	A2C96810400	A2C96810400	#N/A	A2C96810400	1	3011	054	 	1403	ACU GMSDM30 MY14 S15 18 XX 0 1 0 SDM30.1	#N/A	FERT	NA	473.16	PS_SDM30_.	NO	4991581451
638006	04/07/2015	ZSCR	551	034-2	NA	'054	A2C91764100	A2C91764100	#N/A	A2C91764100	2	3011	054	 	1342	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	#N/A	FERT	NA	670.22	PS_SDM30_.	NO	4991580674
638078	04/07/2015	ZSCR	551	040-3	NA	'054	A2C91764100	A2C91764100	#N/A	A2C91764100	1	3011	054	 	1403	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	#N/A	FERT	NA	335.11	PS_SDM30_.	NO	4991581373
638396	06/07/2015	ZSCR	551	030-1	NA	'054	A2C80644604	A2C80644604	#N/A	A2C9592370093	1	3011	054	 	1301	pcb assy DAGARM3 V14-1 SMD TOP	#N/A	HALB	S.Real	392.31	PS_ARAMIS III_.	NO	4991583219
638397	06/07/2015	ZSCR	551	030-1	NA	'054	A2C80644604	A2C80644604	#N/A	A2C9592370093	1	3011	054	 	1301	pcb assy DAGARM3 V14-1 SMD TOP	#N/A	HALB	S.Real	392.31	PS_ARAMIS III_.	NO	4991583219
638398	06/07/2015	ZSCR	551	030-1	NA	'054	A2C80644604	A2C80644604	#N/A	A2C9592370093	1	3011	054	 	1301	pcb assy DAGARM3 V14-1 SMD TOP	#N/A	HALB	S.Real	392.31	PS_ARAMIS III_.	NO	4991583219
638400	06/07/2015	ZSCR	551	030-1	NA	'054	A2C80644604	A2C80644604	#N/A	A2C9592370093	1	3011	054	 	1301	pcb assy DAGARM3 V14-1 SMD TOP	#N/A	HALB	S.Real	392.31	PS_ARAMIS III_.	NO	4991583219
638411	06/07/2015	ZSCR	551	030-1	NA	'054	A2C31080700	5WY89360	01	A2C3108070093	1	3011	054	 	1301	SMT Top Chrysler RT ORC MY13	#N/A	HALB	S.Real	282.38	PS_CHRYSLER MY2013_.	NO	4991582914
638413	06/07/2015	ZSCR	551	030-1	NA	'054	A2C31080700	5WY89360	01	A2C3108070093	1	3011	054	 	1301	SMT Top Chrysler RT ORC MY13	#N/A	HALB	S.Real	282.38	PS_CHRYSLER MY2013_.	NO	4991582914
638415	06/07/2015	ZSCR	551	030-1	NA	'054	A2C31080700	5WY89360	01	A2C3108070093	1	3011	054	 	1301	SMT Top Chrysler RT ORC MY13	#N/A	HALB	S.Real	282.38	PS_CHRYSLER MY2013_.	NO	4991582914
638465	06/07/2015	ZSCR	551	030-1	NA	'054	A2C53429875	5WK44354	#N/A	A2C53429875A	1	3011	054	 	1301	Hyundai circuit board assy 12FL SMD Top	#N/A	HALB	S.Real	169.81	PS_HYUNDAI_.	NO	4991582672
638501	06/07/2015	ZSCR	551	030-1	NA	'054	A2C81455800	A2C80612810	#N/A	A2C8145580093	1	3011	054	 	1301	pcb assy RENT4 V01 TOP	#N/A	HALB	S.Real	120.62	PS_RENAULT_.	NO	4991583178
638509	06/07/2015	ZSCR	551	030-1	NA	'054	A2C81455800	A2C80612810	#N/A	A2C8145580093	1	3011	054	 	1301	pcb assy RENT4 V01 TOP	#N/A	HALB	S.Real	120.62	PS_RENAULT_.	NO	4991583178
638510	06/07/2015	ZSCR	551	030-1	NA	'054	A2C81455800	A2C80612810	#N/A	A2C8145580093	1	3011	054	 	1301	pcb assy RENT4 V01 TOP	#N/A	HALB	S.Real	120.62	PS_RENAULT_.	NO	4991583178
638512	06/07/2015	ZSCR	551	030-1	NA	'054	A2C81455800	A2C80612810	#N/A	A2C8145580093	1	3011	054	 	1301	pcb assy RENT4 V01 TOP	#N/A	HALB	S.Real	120.62	PS_RENAULT_.	NO	4991583178
638514	06/07/2015	ZSCR	551	030-1	NA	'054	A2C8145580092	A2C80612810	#N/A	A2C81455600	3	3011	054	 	1301	pcb 4-lay FR-4 ImSn	#N/A	ROH	NA	35.67	PS_RENAULT_.	NO	4991583178
638536	06/07/2015	ZSCR	551	030-1	NA	'054	A2C83711000	A2C83711000	#N/A	A2C84661700	1	3011	054	 	1301	pcb assy VW20 D_4	#N/A	HALB	S.Real	268.94	PS_VW20 MQB_.	NO	
638538	06/07/2015	ZSCR	551	030-1	NA	'054	A2C80644604	A2C80644604	#N/A	A2C95923700	1	3011	054	 	1301	pcb assy DAGARM3 V14-1	#N/A	HALB	S.Real	460.28	PS_ARAMIS III_.	NO	4991583219
638545	06/07/2015	ZSCR	551	030-1	NA	'054	A2C81542300	A2C81542300	01	A2C81543200	1	3011	054	 	1301	pcb assy	#N/A	HALB	S.Real	442.38	PS_ARAMIS 2013_.	NO	4991583271
638546	06/07/2015	ZSCR	551	030-1	NA	'054	A2C80644604	A2C80644604	#N/A	A2C95923700	1	3011	054	 	1301	pcb assy DAGARM3 V14-1	#N/A	HALB	S.Real	460.28	PS_ARAMIS III_.	NO	4991583219
638550	06/07/2015	ZSCR	551	030-1	NA	'054	A2C31080700	5WY89360	01	A2C3108070093	1	3011	054	 	1301	SMT Top Chrysler RT ORC MY13	#N/A	HALB	S.Real	282.38	PS_CHRYSLER MY2013_.	NO	4991582914
638624	06/07/2015	ZSCR	551	030-1	NA	'054	A2C53243155MI	5WK43967	06	A2C53243155A	1	3011	054	 	1301	SMD assy C207 WITH PPS/WITHOUT RO side A	#N/A	HALB	S.Real	346.37	PS_ARAMIS II MCG_F.FERN	NO	4991582494
638627	06/07/2015	ZSCR	551	030-1	NA	'054	A2C53243156MI	5WK43968	06	A2C53243156A	1	3011	054	 	1301	SMD assy C207 WITHOUT PPS / RO side A	#N/A	HALB	S.Real	298.64	PS_ARAMIS II MCG_F.FERN	NO	4991582526
