No.Item	Txs SAP	Código Scrap	O.I.	Parte Padre	No.Parte	Cantidad	Reason Code	Info.Obl.	Tipo	Tipo Sub	Doc. Header Tex	No.Docto.SAP
340206	ZSCR	040-4	NA	5WY8906	A2C31623800	2	1404	NA	HALB	S.Real/AutoBF	ES_V8 V10_ALVARO MEDINA	4970121040
340210	MB1A	030-1	K96019	NA	A2C3278250093	1	1095	NA	HALB	S.Real	ES_SIMOS 12.2_SAMUEL ME	4970120370
340326	MB1A	064-2	NA	NA	A2C31623800	1	1642	NA	HALB	S.Real/AutoBF	ES_V8 V10_ALVARO MEDINA	4970120976
340332	MB1A	064-2	NA	NA	A2C8084140093	1	1642	NA	HALB	S.Real	ES_EMS 2208_ARTURO NERI	4970120413
340422	ZSCR	040-2	NA	5WY8903	A2C31623500	1	1402	NA	HALB	S.Real/AutoBF	ES_V8 V10_ALVARO MEDINA	4969800315
340423	ZSCR	034-2	NA	5WY8906	A2C31623800	2	1342	NA	HALB	S.Real/AutoBF	ES_V8 V10_ALVARO MEDINA	4970121023
340426	ZSCR	040-1	NA	5WY8906	A2C31624400T	1	1401	NA	HALB	S.Real	ES_V8 V10_ALVARO MEDINA	4970120349
340570	ZSCR	030-1	NA	A2C8197350393	A2C8197350393	1	1301	NA	HALB	S.Real	ES_EMS 2214_ARTURO NERI	4970120540
340575	ZSCR	030-1	NA	A2C8084140093	A2C8084140093	1	1301	NA	HALB	S.Real	ES_EMS 2208_ARTURO NERI	4970120425
340579	ZSCR	042-4	NA	A2C8084140093	A2C8084140093	1	1424	NA	HALB	S.Real	ES_EMS 2208_ARTURO NERI	4970120445
340581	ZSCR	030-1	NA	A2C8084140093	A2C8084140093	2	1301	NA	HALB	S.Real	ES_EMS 2208_ARTURO NERI	4970120425
340586	ZSCR	030-1	NA	A2C8084140093	A2C8084140093	1	1301	NA	HALB	S.Real	ES_EMS 2208_ARTURO NERI	4970120425
340590	ZSCR	030-1	NA	A2C8084140093	A2C8084140093	1	1301	NA	HALB	S.Real	ES_EMS 2208_ARTURO NERI	4970120425
340609	MB1A	034-2	K96019	NA	A2C32782500	1	1095	NA	HALB	S.Real/AutoBF	ES_SIMOS 12.2_SAMUEL ME	4970121180
340611	ZSCR	040-1	NA	A2C8084140093	A2C8084140093	1	1401	NA	HALB	S.Real	ES_EMS 2208_ARTURO NERI	4970120456
340710	MB1A	034-9	K96019	NA	A2C84336000	1	1095	NA	HALB	S.Real/AutoBF	ES_ACM_ALVARO MEDINA-GA	4970121279
340718	ZSCR	034-2	NA	5WY8908	A2C31624000	1	1342	NA	HALB	S.Real/AutoBF	ES_V8 V10_ALVARO MEDINA	4970121068
340752	ZSCR	040-2	NA	5WY8906	A2C31623800	1	1402	NA	HALB	S.Real/AutoBF	ES_V8 V10_ALVARO MEDINA	4970121056
340761	MB1A	040-5	K96019	NA	A2C8197350193	1	1095	NA	HALB	S.Real	ES_EMS 2214_ARTURO NERI	4970120485
340763	MB1A	040-5	K96019	NA	A2C8197350193	1	1095	NA	HALB	S.Real	ES_EMS 2214_ARTURO NERI	4970120485
