No.Item	Fecha	Txs SAP	Mov	C—digo Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	DŽficit Stock	No.Docto.SAP
580073	27/01/2015	MB1A	951	064-2	NA	'045	5WK49895C	NA	A2C53385701	1	1642	"sealing L= 61,77 BK"	NA	ROH	NA	1.42	S2_NISSAN KEY FOB SQUAR	NO	4986691313
585571	09/02/2015	ZSCR	551	034-2	NA	'045	5WK49608SC	NA	A2C00004906	7	1342	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	11.41	S2_KEY FOB_A.ANTONIO AL	NO	4986688491
585571	09/02/2015	ZSCR	551	034-2	NA	'045	5WK49610C	NA	A2C53319341	7	1342	"compression spring D= 1,20x 0,25x 9,40"	NA	ROH	NA	0.49	S2_KEY FOB_A.ANTONIO AL	NO	4986688567
585571	09/02/2015	ZSCR	551	034-2	NA	'045	5WK49610C	NA	A2C53323911	7	1342	housing	NA	ROH	NA	7.91	S2_KEY FOB_A.ANTONIO AL	NO	4986688582
585571	09/02/2015	ZSCR	551	034-2	NA	'045	5WK49610C	NA	A2C53323916	7	1342	slide	NA	ROH	NA	5.88	S2_KEY FOB_A.ANTONIO AL	NO	4986688595
585571	09/02/2015	ZSCR	551	034-2	NA	'045	5WK49670RC	NA	A2C53358639	7	1342	contact spring	NA	ROH	NA	3.71	S2_KEY FOB_A.ANTONIO AL	NO	4986688628
585571	09/02/2015	ZSCR	551	034-2	NA	'045	5WK49612SC	NA	A2C53365040	7	1342	housing bottom	NA	ROH	NA	7.07	S2_KEY FOB_A.ANTONIO AL	NO	4986688656
585572	09/02/2015	ZSCR	551	040-3	NA	'045	5WK49608SC	NA	A2C00004906	33	1403	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	53.79	S2_NISSAN KEY FOB SQUAR	NO	4986690861
585572	09/02/2015	ZSCR	551	040-3	NA	'045	A2C85283500	NA	A2C30115900	33	1403	housing bottom	NA	ROH	NA	128.04	S2_NISSAN KEY FOB SQUAR	NO	4986690878
585572	09/02/2015	ZSCR	551	040-3	NA	'045	5WK49670RC	NA	A2C53358639	33	1403	contact spring	NA	ROH	NA	17.49	S2_NISSAN KEY FOB SQUAR	NO	4986690909
585600	09/02/2015	ZSCR	551	034-2	NA	'045	A2C90899400	NA	A2C90899400	3	1342	electronic assy	NA	HALB	S.Real/AutoBF	244.59	S1_ABM_. (APROBACION A	NO	4986688709
585632	09/02/2015	ZSCR	551	034-2	NA	'045	A2C87582100	NA	A2C87582100	1	1342	pcb assy SCU	NA	HALB	S.Real/AutoBF	266.57	S2_BCM SQUARE D_R.RODRI	NO	4986688722
585633	09/02/2015	ZSCR	551	040-3	NA	'045	5WK49608C	NA	A2C00004906	10	1403	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	16.3	S2_NISSAN KEY FOB SQUAR	NO	4986690861
585633	09/02/2015	ZSCR	551	040-3	NA	'045	5WK49670RC	NA	A2C53358639	6	1403	contact spring	NA	ROH	NA	3.18	S2_NISSAN KEY FOB SQUAR	NO	4986690909
585633	09/02/2015	ZSCR	551	040-3	NA	'045	5WK49612	NA	A2C53394918	6	1403	certification label	NA	ROH	NA	25.26	S2_NISSAN KEY FOB SQUAR	NO	4986690939
585634	09/02/2015	ZSCR	551	040-1	NA	'045	A2C31221300	NA	A2C3122130092	1	1401	PCB Assy 5B 433.92 MHz	NA	HALB	S.Real	46.42	S2_NISSAN KEY FOB SQUAR	NO	4986688821
585635	09/02/2015	ZSCR	551	040-3	NA	'045	S180144202S	NA	A2C3280500092	1	1403	circuit board assy TPM bottom	NA	HALB	S.Real	40.62	S2_NISSAN KEY FOB CMF1_	NO	4986691058
585635	09/02/2015	ZSCR	551	040-3	NA	'045	A2C3280590092	NA	A2C3280590092	1	1403	circuit board assy TPM bottom	NA	HALB	S.Real	41.55	S2_NISSAN KEY FOB CMF1_	NO	4986691074
585696	10/02/2015	ZSCR	551	030-1	NA	'045	5WY8467	NA	A2C53282673	12	1301	pcb panel multiple 4-up	NA	ROH	NA	159.36	S1_ABM_. (APROBACION A	NO	4986687075
585698	10/02/2015	ZSCR	551	030-1	NA	'045	S180144004S	NA	A2C53405173	30	1301	pcb TLS_SQUARE_	NA	ROH	NA	114.3	S2_NISSAN KEY FOB SQUAR	NO	4986687100
585700	10/02/2015	ZSCR	551	030-1	NA	'045	A2C5340873192	NA	A2C5340873192	2	1301	PCB Assy 4B 433.92 MHz	NA	HALB	S.Real	91	S2_NISSAN KEY FOB SQUAR	NO	4986687845
585701	10/02/2015	ZSCR	551	030-1	NA	'045	A2C81621300	NA	A2C30236101	4	1301	pcb	NA	ROH	NA	120.12	S2_BCM SQUARE D_R.RODRI	NO	4986686935
585702	10/02/2015	ZSCR	551	030-1	NA	'045	A2C8758210092	NA	A2C8758210092	4	1301	pcb assy SCU Bottom	NA	HALB	S.Real/AutoBF	239.16	S2_BCM SQUARE D_R.RODRI	NO	4986688307
585714	10/02/2015	ZSCR	551	030-1	NA	'045	A2C9050840093	NA	A2C9050840093	3	1301	pcb assy BCU P42J/K Top	NA	HALB	S.Real	699.36	S2_BCM SQUARE D_R.RODRI	NO	4986688117
585717	10/02/2015	ZSCR	551	030-1	NA	'045	A2C9050840093	NA	A2C9050840093	1	1301	pcb assy BCU P42J/K Top	NA	HALB	S.Real	233.12	S2_BCM SQUARE D_R.RODRI	NO	4986688117
585718	10/02/2015	ZSCR	551	030-1	NA	'045	A2C9050840093	NA	A2C9050840093	1	1301	pcb assy BCU P42J/K Top	NA	HALB	S.Real	233.12	S2_BCM SQUARE D_R.RODRI	NO	4986688117
585729	10/02/2015	ZSCR	551	040-3	NA	'045	5WK48041	NA	6598037603	2	1403	CARCASA-ANTENA NISSAN	NA	ROH	NA	36.78	S2_NISSAN STEPS_A.ANTON	NO	4986689001
585729	10/02/2015	ZSCR	551	040-3	NA	'045	5WK48041	NA	6598037611	2	1403	SUBENSAMBLE NISSAN 5.6 V-A	NA	HALB	S.Real	65.1	S2_NISSAN STEPS_A.ANTON	NO	4986691028
585819	10/02/2015	ZSCR	551	030-1	NA	'045	A2C8758210093	NA	A2C8758210093	1	1301	pcb assy SCU Top	NA	HALB	S.Real	228.98	S2_BCM SQUARE D_R.RODRI	NO	4986687910
585821	10/02/2015	ZSCR	551	030-1	NA	'045	A2C89819300	NA	A2C89819300	1	1301	pcb assy BCU P42M NAM	NA	HALB	S.Real	282.6	S2_BCM SQUARE D_R.RODRI	NO	4986687924
