No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
169355	19/06/2012	ZSCR	551	035-1	0	A2C3286560093	NA	A2C00034014	1	3011	050		1351	"33uF,20%,35V,SMD,AL,ELEC CAP/"		ROH	NA	0.99	ES_B299_ARTURO NERI-LOZ	NO	4959216224
169356	19/06/2012	ZSCR	551	035-1	0	6521017609A	NA	A2C00000802	4	3011	050		1351	"2,OP AMP,0Hz,SO8,OP-COMP/LM2904_________"		ROH	NA	2.16	ES_CEC_NORA ANCHONDO	NO	4959217563
169356	19/06/2012	ZSCR	551	035-1	0	6521017613A	NA	A2C00003727	38	3011	050		1351	"270R,5%,TK250,125mW,0805,LIN RES/"		ROH	NA	0.38	ES_CEC_NORA ANCHONDO	NO	4959215386
169356	19/06/2012	ZSCR	551	035-1	0	6521017614A	NA	A2C00003727	23	3011	050		1351	"270R,5%,TK250,125mW,0805,LIN RES/"		ROH	NA	0.23	ES_CEC_NORA ANCHONDO	NO	4959215409
169356	19/06/2012	ZSCR	551	035-1	0	6521017609A	NA	A2C00044674	1	3011	050		1351	"SRAM,256KBit,32Kx8,35ns,SOP28,-40C,125C,"		ROH	NA	10.67	ES_CEC_NORA ANCHONDO	NO	4959217584
169357	19/06/2012	ZSCR	551	035-1	0	6521037632A	NA	6596362040	8	3011	050		1351	50V 5% NPO CERAMIC CAPACITOR 2.2 nF		ROH	NA	0.56	ES_IDM_NORA ANCHONDO	NO	4959215512
169359	19/06/2012	ZSCR	551	035-1	0	A2C53344555T	NA	A2C00000802	85	3011	050		1351	"2,OP AMP,0Hz,SO8,OP-COMP/LM2904_________"		ROH	NA	45.9	ES_SID904_HERIBERTO SAN	NO	4959217563
169361	19/06/2012	ZSCR	551	035-1	0	A2C53331467A	NA	A2C00017148	1	3011	050		1351	"47R,5%,TK200,63mW,0402,LIN RES/"		ROH	NA	0.01	ES_SID908_HERIBERTO SAN	NO	4959216420
169361	19/06/2012	ZSCR	551	035-1	0	A2C53331468B	NA	A2C00049140	5	3011	050		1351	"9uH,22A,SMD,COIL/"		ROH	NA	49.55	ES_SID908_HERIBERTO SAN	NO	4959216693
169364	19/06/2012	ZSCR	551	035-1	0	A2C8086160193	NA	A2C00034014	4	3011	050		1351	"33uF,20%,35V,SMD,AL,ELEC CAP/"		ROH	NA	3.96	ES_EMS 2208_ARTURO NERI	NO	4959217413
169365	19/06/2012	ZSCR	551	035-1	0	A2C8086160192	NA	A2C00032133	2	3011	050		1351	"1,N_CHAN,MOS,POWER,55V,35A,70mOhm,D2PACK"		ROH	NA	4.5	ES_EMS 2208_ARTURO NERI	NO	4959217387
172125	26/06/2012	ZSCR	551	035-1	0	A2C3286560093	NA	A2C00000305	3	3011	050		1351	"D SUP/P6SMB33A,DO214AA"		ROH	NA	1.5	ES_B299_ARTURO NERI-LOZ	NO	4959216224
172125	26/06/2012	ZSCR	551	035-1	0	A2C3286560092	NA	A2C00000576	1	3011	050		1351	"1,PNP,NORMAL,100mA,50V,SOT23,BIP/BCR192"		ROH	NA	0.1	ES_B299_ARTURO NERI-LOZ	NO	4959216177
172125	26/06/2012	ZSCR	551	035-1	0	A2C3286560092	NA	A2C00000609	5	3011	050		1351	"1,N_CHAN,-,SMALLSIGNAL,50V,200mA,3.5Ohm,"		ROH	NA	1.1	ES_B299_ARTURO NERI-LOZ	NO	4959216177
172125	26/06/2012	ZSCR	551	035-1	0	A2C3286560092	NA	A2C00002014	16	3011	050		1351	"100nF,10%,25V,X7R,0805,TINNED,CER CAP/"		ROH	NA	0.64	ES_B299_ARTURO NERI-LOZ	NO	4959216177
172125	26/06/2012	ZSCR	551	035-1	0	A2C3286560093	NA	A2C00002014	1	3011	050		1351	"100nF,10%,25V,X7R,0805,TINNED,CER CAP/"		ROH	NA	0.04	ES_B299_ARTURO NERI-LOZ	NO	4959216224
172125	26/06/2012	ZSCR	551	035-1	0	A2C3286560093	NA	A2C00002060	3	3011	050		1351	"47pF,5%,50V,C0G,0603,TINNED,CER CAP/"		ROH	NA	0.06	ES_B299_ARTURO NERI-LOZ	NO	4959216224
172125	26/06/2012	ZSCR	551	035-1	0	A2C3286560093	NA	A2C00002340	12	3011	050		1351	"1nF,2%,50V,C0G,0805,TINNED,CER CAP/"		ROH	NA	1.44	ES_B299_ARTURO NERI-LOZ	NO	4959216224
172125	26/06/2012	ZSCR	551	035-1	0	A2C3286590092	NA	A2C00002578	4	3011	050		1351	"10uF,20%,25V,SMD,TA,ELEC CAP/"		ROH	NA	3.32	ES_B299_ARTURO NERI-LOZ	NO	4959216256
172125	26/06/2012	ZSCR	551	035-1	0	A2C3286560093	NA	A2C00003400	55	3011	050		1351	"0R05,125mW,2A,0805,JUMPER/"		ROH	NA	0.55	ES_B299_ARTURO NERI-LOZ	NO	4959216224
172125	26/06/2012	ZSCR	551	035-1	0	A2C3286560092	NA	A2C00003404	2	3011	050		1351	"3K3,5%,TK250,125mW,0805,LIN RES/"		ROH	NA	0.02	ES_B299_ARTURO NERI-LOZ	NO	4959216177
172125	26/06/2012	ZSCR	551	035-1	0	A2C3286590092	NA	A2C00003434	4	3011	050		1351	"470K,5%,TK250,125mW,0805,LIN RES/"		ROH	NA	0.04	ES_B299_ARTURO NERI-LOZ	NO	4959216256
172125	26/06/2012	ZSCR	551	035-1	0	A2C3286560093	NA	A2C00003465	1	3011	050		1351	"470R,5%,TK250,250mW,1206,LIN RES/"		ROH	NA	0.03	ES_B299_ARTURO NERI-LOZ	NO	4959216224
172125	26/06/2012	ZSCR	551	035-1	0	A2C3286590092	NA	A2C00003492	4	3011	050		1351	"1K5,5%,TK250,250mW,1206,LIN RES/"		ROH	NA	0.08	ES_B299_ARTURO NERI-LOZ	NO	4959216256
172125	26/06/2012	ZSCR	551	035-1	0	A2C3286560092	NA	A2C00003492	21	3011	050		1351	"1K5,5%,TK250,250mW,1206,LIN RES/"		ROH	NA	0.42	ES_B299_ARTURO NERI-LOZ	NO	4959216177
172125	26/06/2012	ZSCR	551	035-1	0	A2C3286590093	NA	A2C00003517	8	3011	050		1351	"150R,5%,TK250,250mW,1206,LIN RES/"		ROH	NA	0.16	ES_B299_ARTURO NERI-LOZ	NO	4959216306
172125	26/06/2012	ZSCR	551	035-1	0	A2C3286560093	NA	A2C00003517	69	3011	050		1351	"150R,5%,TK250,250mW,1206,LIN RES/"		ROH	NA	1.38	ES_B299_ARTURO NERI-LOZ	NO	4959216224
172125	26/06/2012	ZSCR	551	035-1	0	A2C3286560092	NA	A2C00003529	9	3011	050		1351	"3K,5%,TK250,250mW,1206,LIN RES/"		ROH	NA	0.18	ES_B299_ARTURO NERI-LOZ	NO	4959216177
172125	26/06/2012	ZSCR	551	035-1	0	A2C3286560092	NA	A2C00003588	129	3011	050		1351	"1K1,1%,TK50,250mW,MINIMELF0204,LIN RES/"		ROH	NA	10.32	ES_B299_ARTURO NERI-LOZ	NO	4959216177
172125	26/06/2012	ZSCR	551	035-1	0	A2C3286560093	NA	A2C00003629	2	3011	050		1351	"3K83,1%,TK50,250mW,MINIMELF0204,LIN RES/"		ROH	NA	0.16	ES_B299_ARTURO NERI-LOZ	NO	4959216224
172125	26/06/2012	ZSCR	551	035-1	0	A2C3286560092	NA	A2C00003748	88	3011	050		1351	"0R22,5%,TK100,250mW,MINIMELF0204,LIN RES"		ROH	NA	10.56	ES_B299_ARTURO NERI-LOZ	NO	4959216177
172125	26/06/2012	ZSCR	551	035-1	0	A2C3286560092	NA	A2C00003761	2	3011	050		1351	"6K65,1%,TK50,250mW,MINIMELF0204,LIN RES/"		ROH	NA	0.16	ES_B299_ARTURO NERI-LOZ	NO	4959216177
172125	26/06/2012	ZSCR	551	035-1	0	A2C3286560092	NA	A2C00003779	60	3011	050		1351	"100R,5%,TK200,63mW,0603,LIN RES/RC"		ROH	NA	0.6	ES_B299_ARTURO NERI-LOZ	NO	4959216177
172125	26/06/2012	ZSCR	551	035-1	0	A2C3286560092	NA	A2C00003828	15	3011	050		1351	"R LIN,2K2,5%,TK200,100mW,0603"		ROH	NA	0.15	ES_B299_ARTURO NERI-LOZ	NO	4959216177
172125	26/06/2012	ZSCR	551	035-1	0	A2C3286590092	NA	A2C00004071	5	3011	050		1351	"100K,1%,TK100,125mW,0805,LIN RES/RC"		ROH	NA	0.1	ES_B299_ARTURO NERI-LOZ	NO	4959216256
