No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
583365	04/02/2015	ZSCR	551	040-3	NA	'054	A2C91764400	NA	A2C9257270093	1	3011	054	 	1403	pcb assy GMSMD30 Top	NA	HALB	S.Real	395.76	PS_SDM30_.	NO	
583366	04/02/2015	ZSCR	551	040-3	NA	'054	A2C91764100	NA	A2C9257230093	1	3011	054	 	1403	pcb assy GMSMD30 Top	NA	HALB	S.Real	260.88	PS_SDM30_.	NO	
583367	04/02/2015	ZSCR	551	040-3	NA	'054	A2C91764100	NA	A2C9257230093	1	3011	054	 	1403	pcb assy GMSMD30 Top	NA	HALB	S.Real	260.88	PS_SDM30_.	NO	
583368	04/02/2015	ZSCR	551	040-3	NA	'054	A2C91764100	NA	A2C9257230093	1	3011	054	 	1403	pcb assy GMSMD30 Top	NA	HALB	S.Real	260.88	PS_SDM30_.	NO	
583370	04/02/2015	ZSCR	551	040-1	NA	'054	A2C80644602	NA	A2C53108387	10	3011	054	 	1401	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	2	PS_ARAMIS III_.	NO	
583370	04/02/2015	ZSCR	551	040-1	NA	'054	A2C80644602	NA	A2C53245952	2	3011	054	 	1401	"housing FIP 152,0x 135,7"	NA	ROH	NA	48.5	PS_ARAMIS III_.	NO	
583370	04/02/2015	ZSCR	551	040-1	NA	'054	5WK44094	NA	A2C53324560	2	3011	054	 	1401	certification label spool part p	NA	ROH	NA	1.06	PS_ARAMIS III_.	NO	4986566414
583370	04/02/2015	ZSCR	551	040-1	NA	'054	A2C80644602	NA	A2C53371768	2	3011	054	 	1401	cover FIP T GY	NA	ROH	NA	6.02	PS_ARAMIS III_.	NO	
583370	04/02/2015	ZSCR	551	040-1	NA	'054	A2C80644602	NA	A2C81531200	2	3011	054	 	1401	pcb assy DAGARM3 V14	NA	HALB	S.Real	919.64	PS_ARAMIS III_.	NO	
583375	04/02/2015	ZSCR	551	040-1	NA	'054	5WK44771	NA	A2C53108387	5	3011	054	 	1401	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	1	PS_ARAMIS III_.	NO	4986566570
583375	04/02/2015	ZSCR	551	040-1	NA	'054	5WK44771	NA	A2C53245952	1	3011	054	 	1401	"housing FIP 152,0x 135,7"	NA	ROH	NA	24.25	PS_ARAMIS III_.	NO	4986566570
583375	04/02/2015	ZSCR	551	040-1	NA	'054	5WK44771	NA	A2C53371768	1	3011	054	 	1401	cover FIP T GY	NA	ROH	NA	3.01	PS_ARAMIS III_.	NO	4986566570
583375	04/02/2015	ZSCR	551	040-1	NA	'054	5WK44771	NA	A2C81531200	1	3011	054	 	1401	pcb assy DAGARM3 V14	NA	HALB	S.Real	459.82	PS_ARAMIS III_.	NO	4986566570
583521	04/02/2015	ZSCR	551	040-3	NA	'054	5WK44808	NA	A2C53245952	2	3011	054	 	1403	"housing FIP 152,0x 135,7"	NA	ROH	NA	48.5	PS_ARAMIS III_.	NO	4986566598
583521	04/02/2015	ZSCR	551	040-3	NA	'054	5WK44808	NA	A2C53371768	2	3011	054	 	1403	cover FIP T GY	NA	ROH	NA	6.02	PS_ARAMIS III_.	NO	4986566598
