No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
364193	18/10/2013	ZSCR	551	034-2	NA	'054	5WY89350	NA	A2C53436156	3	cover RAP T BK	NA	ROH	NA	17.94	PS_CHRYSLER MY2013_E.ED	NO	4971755988
364194	18/10/2013	ZSCR	551	034-2	NA	'054	A2C83971800	NA	A2C40000022	22	"C ELEC,AL,4.7mF,20%,35V"	NA	ROH	NA	154.44	PS_SDM10+_C.CAROLINA OT	NO	4971756187
364194	18/10/2013	ZSCR	551	034-2	NA	'054	A2C87074800	NA	A2C53338471	100	contact element	NA	ROH	NA	93	PS_SDM10+_C.CAROLINA OT	NO	4971756341
364195	18/10/2013	ZSCR	551	034-2	NA	'054	5WK44673	NA	A2C53332366	3	cover RAP T BK	NA	ROH	NA	15.75	PS_FIAT BRAZIL_E.EDWIN	NO	4971755463
364417	18/10/2013	ZSCR	551	040-1	NA	'054	5WY88030	NA	A2C53419789	1	PIN CONNECTOR / 50 POL. A-B	NA	ROH	NA	19.51	PSAD_GM BRASIL_A.ANA TA	NO	4971756509
364419	18/10/2013	ZSCR	551	040-1	NA	'054	5WY88040	NA	A2C53419788	3	PIN CONNECTOR / 50 POL. F-G	NA	ROH	NA	58.53	PSAD_GM BRASIL_A.ANA TA	NO	4971756521
364431	18/10/2013	ZSCR	551	040-1	NA	'054	5WK44774	NA	A2C53371768	1	cover FIP T GY	NA	ROH	NA	3	PS_ARAMIS III_E.EDWIN R	NO	4971756467
364431	18/10/2013	ZSCR	551	040-1	NA	'054	5WK44808	NA	A2C53245952	1	"housing FIP 152,0x 135,7"	NA	ROH	NA	22.1	PS_ARAMIS III_E.EDWIN R	NO	4971756486
364431	18/10/2013	ZSCR	551	040-1	NA	'054	5WK44004	NA	A2C53108387	5	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	0.95	PS_ARAMIS III_E.EDWIN R	NO	4971756434
364434	18/10/2013	ZSCR	551	040-1	NA	'054	5WK44808	NA	A2C53245952	1	"housing FIP 152,0x 135,7"	NA	ROH	NA	22.1	PS_ARAMIS III_E.EDWIN R	NO	4971756486
364535	18/10/2013	ZSCR	551	040-1	NA	'054	5WK44354	NA	A2C30901300	1	base plate	NA	ROH	NA	10.69	PS_HYUNDAI_.	NO	4971756449
364563	18/10/2013	ZSCR	551	034-2	NA	'054	5WK44591	NA	A2C53405650	2	multipoint connector 82P H 2SYS YE	NA	ROH	NA	44.82	PS_HONDA HRS6_J.JUAN CH	NO	4971755252
364565	18/10/2013	ZSCR	551	034-2	NA	'054	5WK44689	NA	A2C53397769	3	housing	NA	ROH	NA	67.62	PS_HONDA HRS6_J.JUAN CH	NO	4971755410
364565	18/10/2013	ZSCR	551	034-2	NA	'054	5WK44600	NA	A2C53108387	5	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	0.95	PS_HONDA HRS6_J.JUAN CH	NO	4971755321
364565	18/10/2013	ZSCR	551	034-2	NA	'054	5WK43024	NA	6593331401	100	ETIQUETA DE IDENTIFIC. HONDA	NA	ROH	NA	27	PS_HONDA HRS6_J.JUAN CH	NO	4971755067
364566	18/10/2013	ZSCR	551	034-2	NA	'054	5WK44771	NA	A2C53245952	1	"housing FIP 152,0x 135,7"	NA	ROH	NA	22.1	PS_ARAMIS III_E.EDWIN R	NO	4971755394
364566	18/10/2013	ZSCR	551	034-2	NA	'054	5WK44771	NA	A2C53371768	1	cover FIP T GY	NA	ROH	NA	3	PS_ARAMIS III_E.EDWIN R	NO	4971755394
364566	18/10/2013	ZSCR	551	034-2	NA	'054	5WY89140	NA	A2C53108387	5	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	0.95	PS_ARAMIS III_E.EDWIN R	NO	4971755950
364571	18/10/2013	ZSCR	551	034-2	NA	'054	A2C30910800	NA	A2C32519500	3	base plate	NA	ROH	NA	16.2	PSAD_VW20_U.ULISES VILL	NO	4971756022
364571	18/10/2013	ZSCR	551	034-2	NA	'054	A2C30910800	NA	A2C32519400	3	COVER	NA	ROH	NA	25.74	PSAD_VW20_U.ULISES VILL	NO	4971756022
364606	18/10/2013	ZSCR	551	034-2	NA	'054	5WY72880	NA	A2C00013954	208	"pan head screw SF-M4 x 10,00 1241"	NA	ROH	NA	62.4	PSAD_EPSILON_O.OSCAR FO	NO	4971755491
364606	18/10/2013	ZSCR	551	034-2	NA	'054	5WY79410	NA	6590110301	52	Epsilon SDM Housing	NA	ROH	NA	841.36	PSAD_EPSILON_O.OSCAR FO	NO	4971755718
