No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP			
481518	6/29/2014	ZSCR	551	034-2	NA	'054	5WY90360	NA	A2C53408549	5	housing D= 2	NA	ROH	NA	102.65	PSAD_GM BRASIL_A.ANA TA	NO				
481518	6/29/2014	ZSCR	551	034-2	NA	'054	5WY90220	NA	A2C53108387	8	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	1.44	PSAD_GM BRASIL_A.ANA TA	NO				
481763	6/29/2014	ZSCR	551	040-2	NA	'054	A2C37924700	3	A2C37924700	1	ACU FIA326 MY12 S10 06 3V	NA	FERT	NA	171.4	PS_FIAT BRAZIL_E.EDWIN	NO				
482101	6/30/2014	ZSCR	551	042-4	NA	'054	A2C81768400	NA	A2C53337250	4	"pan head screw M3 x 8,00 1242"	NA	ROH	NA	0.76	PS_HYUNDAI_.	NO				
482101	6/30/2014	ZSCR	551	042-4	NA	'054	A2C86852400	NA	A2C30901300	1	base plate	NA	ROH	NA	10.12	PS_HYUNDAI_.	NO				
482113	6/30/2014	ZSCR	551	034-2	NA	'054	5WK44465	NA	A2C53330105	2	socket	NA	ROH	NA	24.02	PS_FIAT BRAZIL_E.EDWIN	NO				
482152	6/30/2014	ZSCR	551	034-2	NA	'054	A2C30910800	NA	A2C53424040	1000	"pan head screw M3,5 x 12,00 1268"	NA	ROH	NA	270	PSAD_VW20_U.ULISES VILL	NO				
482708	7/1/2014	ZSCR	551	040-3	NA	'054	A2C82544900	NA	A2C40005692	261	"C ELEC,AL,100uF,20%,50V"	NA	ROH	NA	86.13	PSAD_OPEL 4400_J.JOSE O	NO				
482708	7/1/2014	ZSCR	551	040-3	NA	'054	A2C82544900	NA	A2C40001318	87	"C ELEC,AL,1mF,20%,35V"	NA	ROH	NA	154.86	PSAD_OPEL 4400_J.JOSE O	NO				
482708	7/1/2014	ZSCR	551	040-3	NA	'054	A2C83011900	NA	A2C83015700	87	pin header 56/ 33P H 3R THP 6018 Y-E	NA	ROH	NA	1347.63	PSAD_OPEL 4400_J.JOSE O	NO				
482708	7/1/2014	ZSCR	551	040-3	NA	'054	A2C82544900	NA	A2C82535800	87	pin header 56/ 28P H 2R THP 7015 X-B	NA	ROH	NA	1347.63	PSAD_OPEL 4400_J.JOSE O	NO				
482708	7/1/2014	ZSCR	551	040-3	NA	'054	A2C82544900	NA	A2C40005883	87	"C ELEC,AL,3.3mF,20%,35V"	NA	ROH	NA	348	PSAD_OPEL 4400_J.JOSE O	NO				
