No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
591362	24/02/2015	ZSCR	551	030-1	NA	'054	A2C3774430092	NA	A2C53387067	16	3011	054	 	1301	pcb FIAT ACU MA	NA	ROH	NA	194.4	PS_FIAT BRAZIL_.	NO	STOCK
591690	24/02/2015	ZSCR	551	035-1	0	'054	A2C53364457A	NA	A2C00029072	2	3011	054	 	1351	"10nF,10%,50V,X7R,0603,TINNED,CER CAP/GCM"		ROH	NA	0.02	OC_BOSE VW_N.NORTON MAR	NO	4987076432
591690	24/02/2015	ZSCR	551	035-1	0	'054	A2C53364457A	NA	A2C00032411	39	3011	054	 	1351	"100nF,10%,100V,X7R,1206,Sn,CER CAP/++ op"		ROH	NA	8.97	OC_BOSE VW_N.NORTON MAR	NO	4987076432
591690	24/02/2015	ZSCR	551	035-1	0	'054	A2C53395078	NA	A2C00039707	13	3011	054	 	1351	"24V,0W,SOD323,ZENER/PESD1LIN"		ROH	NA	5.85	OC_BOSE VW_N.NORTON MAR	NO	4987076467
591690	24/02/2015	ZSCR	551	035-1	0	'054	A2C53395077	NA	A2C00046806	23	3011	054	 	1351	"1M2,1%,TK100,100mW,0603,LIN RES/"		ROH	NA	0.23	OC_BOSE VW_N.NORTON MAR	NO	4987076457
591690	24/02/2015	ZSCR	551	035-1	0	'054	A2C53395078	NA	A2C00056536	19	3011	054	 	1351	"E910.15, TRANSCEIVER,K/L Line LIN,SO8,BU"		ROH	NA	196.84	OC_BOSE VW_N.NORTON MAR	NO	4987076467
591691	24/02/2015	ZSCR	551	035-1	0	'054	A2C9449080093	NA	A2C00004349	27	3011	054	 	1351	"R JUMP,0R05,100mW,1A,0603"		ROH	NA	0.27	PS_HONDA HRS5_N.NORTON	NO	4987076761
591691	24/02/2015	ZSCR	551	035-1	0	'054	A2C9219090093	NA	A2C00004349	4	3011	054	 	1351	"R JUMP,0R05,100mW,1A,0603"		ROH	NA	0.04	PS_HONDA HRS5_N.NORTON	NO	4987076743
591691	24/02/2015	ZSCR	551	035-1	0	'054	A2C53399617A	NA	A2C00004349	1	3011	054	 	1351	"R JUMP,0R05,100mW,1A,0603"		ROH	NA	0.01	PS_HONDA HRS5_N.NORTON	NO	4987076479
591691	24/02/2015	ZSCR	551	035-1	0	'054	A2C53404915A	NA	A2C00004349	1	3011	054	 	1351	"R JUMP,0R05,100mW,1A,0603"		ROH	NA	0.01	PS_HONDA HRS5_N.NORTON	NO	4987076576
591691	24/02/2015	ZSCR	551	035-1	0	'054	A2C53404914A	NA	A2C00004349	12	3011	054	 	1351	"R JUMP,0R05,100mW,1A,0603"		ROH	NA	0.12	PS_HONDA HRS5_N.NORTON	NO	4987076565
591691	24/02/2015	ZSCR	551	035-1	0	'054	A2C5339962993	NA	A2C00004349	50	3011	054	 	1351	"R JUMP,0R05,100mW,1A,0603"		ROH	NA	0.5	PS_HONDA HRS5_N.NORTON	NO	4987076536
591691	24/02/2015	ZSCR	551	035-1	0	'054	A2C53399620A	NA	A2C00004500	1	3011	054	 	1351	"R LIN,56K2,1%,TK100,100mW,0603"		ROH	NA	0.01	PS_HONDA HRS5_N.NORTON	NO	4987076489
591691	24/02/2015	ZSCR	551	035-1	0	'054	A2C53404915B	NA	A2C00043144	2	3011	054	 	1351	"340R,1%,TK50,1W,MELF0207,LIN RES/MMB0207"		ROH	NA	0.52	PS_HONDA HRS5_N.NORTON	NO	4987076587
591691	24/02/2015	ZSCR	551	035-1	0	'054	A2C5339962992	NA	A2C00043144	2	3011	054	 	1351	"340R,1%,TK50,1W,MELF0207,LIN RES/MMB0207"		ROH	NA	0.52	PS_HONDA HRS5_N.NORTON	NO	4987076504
591694	24/02/2015	ZSCR	551	035-1	0	'054	A2C53374378A	NA	A2C00003779	17	3011	054	 	1351	"R LIN,100R,5%,TK200,100mW,0603"		ROH	NA	0.17	PS_VW10 LC_N.NORTON MAR	NO	4987076442
