No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
561544	08/12/2014	ZSCR	551	034-2	NA	'015	A2C9242820093	NA	A2C9242820093	6				1342	circuit board assy TPM SMD TOP	NA	HALB	S.Real	167.52	S5_HONDA HL LL SP37_M.M	NO	4985668720
561545	08/12/2014	ZSCR	551	034-2	NA	'015	A2C9242820093	NA	A2C9242820093	14				1342	circuit board assy TPM SMD TOP	NA	HALB	S.Real	390.88	S5_HONDA HL LL SP37_M.M	NO	4985668720
561546	08/12/2014	ZSCR	551	034-2	NA	'015	A2C8248640093	NA	A2C8248640093	1				1342	circuit board assy TPM 433 MHz TOP	NA	HALB	S.Real	28.25	S5_HONDA HL LL SP37_M.M	NO	4985668694
562116	09/12/2014	ZSCR	551	034-1	NA	'015	A2C9242820093	NA	A2C9242820093	11				1341	circuit board assy TPM SMD TOP	NA	HALB	S.Real	307.12	S5_HONDA HL LL SP37_M.M	NO	4985668683
562186	09/12/2014	ZSCR	551	034-2	NA	'015	A2C9242820093	NA	A2C9242820093	1				1342	circuit board assy TPM SMD TOP	NA	HALB	S.Real	27.92	S5_HONDA HL LL SP37_M.M	NO	4985668720
562640	09/12/2014	ZSCR	551	034-2	NA	'015	A2C9242820093	NA	A2C9242820093	1				1342	circuit board assy TPM SMD TOP	NA	HALB	S.Real	27.92	S5_HONDA HL LL SP37_M.M	NO	4985668720
562642	09/12/2014	ZSCR	551	034-2	NA	'015	A2C9242820093	NA	A2C9242820093	5				1342	circuit board assy TPM SMD TOP	NA	HALB	S.Real	139.6	S5_HONDA HL LL SP37_M.M	NO	4985668720
562651	09/12/2014	ZSCR	551	040-3	NA	'015	A2C9242820093	NA	A2C9242820093	1				1403	circuit board assy TPM SMD TOP	NA	HALB	S.Real	27.92	S5_HONDA HL LL SP37_M.M	NO	4985668729
562732	10/12/2014	ZSCR	551	034-2	NA	'015	A2C9242820093	NA	A2C9242820093	1				1342	circuit board assy TPM SMD TOP	NA	HALB	S.Real	27.92	S5_HONDA HL LL SP37_M.M	NO	4985668720
563298	11/12/2014	ZSCR	551	034-2	NA	'015	A2C8248640093	NA	A2C8248640093	6				1342	circuit board assy TPM 433 MHz TOP	NA	HALB	S.Real	169.5	S5_HONDA HL LL SP37_M.M	NO	4985668694
564493	13/12/2014	ZSCR	551	040-1	NA	'015	A2C80584800	NA	A2C8058480093	1				1401	circuit board assy TPM TOP	NA	HALB	S.Real	27.86	S5_HONDA HL LL SP37_M.M	NO	4985668613
564571	14/12/2014	ZSCR	551	034-2	NA	'015	A2C30723201	NA	A2C8058480093	1				1342	circuit board assy TPM TOP	NA	HALB	S.Real	27.86	S5_HONDA HL LL SP37_M.M	NO	4985668603
565111	15/12/2014	ZSCR	551	040-3	NA	'015	A2C8058480093	NA	A2C8058480093	3				1403	circuit board assy TPM TOP	NA	HALB	S.Real	83.58	S5_HONDA HL LL SP37_M.M	NO	4985668621
565112	15/12/2014	ZSCR	551	034-2	NA	'015	A2C8058480093	NA	A2C8058480093	4				1342	circuit board assy TPM TOP	NA	HALB	S.Real	111.44	S5_HONDA HL LL SP37_M.M	NO	4985668603
565438	15/12/2014	ZSCR	551	040-3	NA	'050	A2C8248640093	NA	A2C8248640093	7				1403	circuit board assy TPM 433 MHz TOP	NA	HALB	S.Real	197.75	S5_HONDA HL LL SP37_M.M	NO	4985668708
565621	16/12/2014	ZSCR	551	040-3	NA	'015	A2C8058480093	NA	A2C8058480093	1				1403	circuit board assy TPM TOP	NA	HALB	S.Real	27.86	S5_HONDA HL LL SP37_M.M	NO	4985668621
566199	17/12/2014	ZSCR	551	034-1	NA	'015	A2C8248640093	NA	A2C8248640093	1				1341	circuit board assy TPM 433 MHz TOP	NA	HALB	S.Real	28.25	S5_HONDA HL LL SP37_M.M	NO	4985668676
567417	19/12/2014	ZSCR	551	034-2	NA	'015	A2C9242820093	NA	A2C9242820093	48				1342	circuit board assy TPM SMD TOP	NA	HALB	S.Real	1340.16	S5_HONDA HL LL SP37_M.M	NO	4985668720
567421	19/12/2014	ZSCR	551	034-2	NA	'015	A2C53328281	NA	A2C8248640093	2				1342	circuit board assy TPM 433 MHz TOP	NA	HALB	S.Real	56.5	S5_HONDA HL LL SP37_M.M	NO	4985668694
567421	19/12/2014	ZSCR	551	034-2	NA	'015	A2C9242820093	NA	A2C9242820093	8				1342	circuit board assy TPM SMD TOP	NA	HALB	S.Real	223.36	S5_HONDA HL LL SP37_M.M	NO	4985668720
567798	20/12/2014	ZSCR	551	034-1	NA	'015	A2C30723201	NA	A2C8058480093	34				1341	circuit board assy TPM TOP	NA	HALB	S.Real	947.24	S5_HONDA HL LL SP37_M.M	NO	4985668597
567798	20/12/2014	ZSCR	551	034-1	NA	'015	A2C53328281	NA	A2C8248640093	1				1341	circuit board assy TPM 433 MHz TOP	NA	HALB	S.Real	28.25	S5_HONDA HL LL SP37_M.M	NO	4985668676
567898	21/12/2014	ZSCR	551	034-2	NA	'015	A2C30188101	NA	A2C8058480093	1				1342	circuit board assy TPM TOP	NA	HALB	S.Real	27.86	S5_HONDA HL LL SP37_M.M	NO	4985668603
567898	21/12/2014	ZSCR	551	034-2	NA	'015	A2C9242820093	NA	A2C9242820093	1				1342	circuit board assy TPM SMD TOP	NA	HALB	S.Real	27.92	S5_HONDA HL LL SP37_M.M	NO	4985668720
569715	02/01/2015	ZSCR	551	034-9	NA	'015	A2C90360200	NA	A2C3776250093	5				1349	pcb assy V2/V3/V5 Top	NA	HALB	S.Real	319.95	S4_BMW FBD 3_. (APROBA	NO	4985668553
569720	02/01/2015	ZSCR	551	034-9	NA	'015	A2C90360200	NA	A2C3776250093	41				1349	pcb assy V2/V3/V5 Top	NA	HALB	S.Real	2623.59	S4_BMW FBD 3_. (APROBA	NO	4985668553
569779	02/01/2015	ZSCR	551	034-2	NA	'015	A2C53328412	NA	A2C53328412	11				1342	circuit board assy	NA	HALB	S.Real	882.64	S1_DCU_A.ADRIAN CEBALLO	NO	4985667423
569780	02/01/2015	ZSCR	551	034-2	NA	'015	A2C53338452	NA	A2C53338452	1				1342	circuit board assy	NA	HALB	S.Real	51.82	S1_DCU_A.ADRIAN CEBALLO	NO	4985667434
569789	02/01/2015	ZSCR	551	034-2	NA	'015	A2C31563500	NA	A2C3156350093	1				1342	circuit board assy TPM LOCAPASE TOP	NA	HALB	S.Real	28.01	S1_TG1C NISSAN_J.JAIME	NO	4985667570
569790	02/01/2015	ZSCR	551	034-2	NA	'015	A2C80157400	NA	A2C8669800093	1				1342	circuit board assy TPM Top	NA	HALB	S.Real	31.93	S1_TG1C UNIVERSAL_J.JAI	NO	4985667792
569791	02/01/2015	ZSCR	551	034-2	NA	'015	A2C83144100	NA	A2C8314440093	4				1342	circuit board assy TPM Top	NA	HALB	S.Real	128.8	S1_TG1C UNIVERSAL_J.JAI	NO	4985667777
569792	02/01/2015	ZSCR	551	034-2	NA	'015	A2C83143000	NA	A2C8314420093	10				1342	circuit board assy TPM Top	NA	HALB	S.Real	321.2	S1_TG1C UNIVERSAL_J.JAI	NO	4985667759
569794	02/01/2015	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C32880400	9				1342	housing assy TPM	NA	HALB	S.Real/AutoBF	386.55	S1_TIS 1D CHRYSLER_J.JA	NO	4985670582
569797	02/01/2015	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C32880400	1				1342	housing assy TPM	NA	HALB	S.Real/AutoBF	42.95	S1_TIS 1D CHRYSLER_J.JA	NO	4985670582
569805	02/01/2015	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C32880400	77				1342	housing assy TPM	NA	HALB	S.Real/AutoBF	3307.15	S1_TIS 1D CHRYSLER_J.JA	NO	4985670582
569806	02/01/2015	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C32880100	5				1342	module assy TPM	NA	HALB	S.Real/AutoBF	206.5	S1_TIS 1D CHRYSLER_J.JA	NO	4985670556
569807	02/01/2015	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C32880400	4				1342	housing assy TPM	NA	HALB	S.Real/AutoBF	171.8	S1_TIS 1D CHRYSLER_J.JA	NO	4985670582
569808	02/01/2015	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C32880400	4				1342	housing assy TPM	NA	HALB	S.Real/AutoBF	171.8	S1_TIS 1D CHRYSLER_J.JA	NO	4985670582
569809	02/01/2015	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C32880400	2				1342	housing assy TPM	NA	HALB	S.Real/AutoBF	85.9	S1_TIS 1D CHRYSLER_J.JA	NO	4985670582
569810	02/01/2015	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C32880400	15				1342	housing assy TPM	NA	HALB	S.Real/AutoBF	644.25	S1_TIS 1D CHRYSLER_J.JA	NO	4985670582
569812	02/01/2015	ZSCR	551	034-2	NA	'015	A2C86733500	NA	A2C86733500	4				1342	pcb assy VDC	NA	HALB	S.Real/AutoBF	87.92	S1_TIS 1D CHRYSLER_J.JA	NO	4985670926
569820	02/01/2015	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C32880400	4				1342	housing assy TPM	NA	HALB	S.Real/AutoBF	171.8	S1_TIS 1D CHRYSLER_J.JA	NO	4985670582
569822	02/01/2015	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C32880400	2				1342	housing assy TPM	NA	HALB	S.Real/AutoBF	85.9	S1_TIS 1D CHRYSLER_J.JA	NO	4985670582
569823	02/01/2015	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C32880400	3				1342	housing assy TPM	NA	HALB	S.Real/AutoBF	128.85	S1_TIS 1D CHRYSLER_J.JA	NO	4985670582
569824	02/01/2015	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C32880100	5				1342	module assy TPM	NA	HALB	S.Real/AutoBF	206.5	S1_TIS 1D CHRYSLER_J.JA	NO	4985670556
569826	02/01/2015	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C32880400	8				1342	housing assy TPM	NA	HALB	S.Real/AutoBF	343.6	S1_TIS 1D CHRYSLER_J.JA	NO	4985670582
569827	02/01/2015	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C32880400	23				1342	housing assy TPM	NA	HALB	S.Real/AutoBF	987.85	S1_TIS 1D CHRYSLER_J.JA	NO	4985670582
569828	02/01/2015	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C32880400	28				1342	housing assy TPM	NA	HALB	S.Real/AutoBF	1202.6	S1_TIS 1D CHRYSLER_J.JA	NO	4985670582
569829	02/01/2015	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C32880400	18				1342	housing assy TPM	NA	HALB	S.Real/AutoBF	773.1	S1_TIS 1D CHRYSLER_J.JA	NO	4985670582
569832	02/01/2015	ZSCR	551	034-2	NA	'015	A2C84455600	NA	A2C8314420093	1				1342	circuit board assy TPM Top	NA	HALB	S.Real	32.12	S1_TG1C UNIVERSAL_J.JAI	NO	4985667759
569848	02/01/2015	ZSCR	551	034-2	NA	'015	A2C53402830	NA	A2C3144240093	1				1342	circuit board assy TPM 315 MHz Top	NA	HALB	S.Real	27.93	S1_TG1C DCX_J.JAIME JIM	NO	4985667544
569854	02/01/2015	ZSCR	551	034-2	NA	'015	A2C37350900	NA	A2C8158270093	1				1342	circuit board assy TPM TOP	NA	HALB	S.Real	25.99	S1_TG1C NISSAN_J.JAIME	NO	4985667604
569856	02/01/2015	ZSCR	551	034-2	NA	'015	A2C92270400	NA	A2C92739401	3				1342	module assy TPM	NA	HALB	S.Real/AutoBF	111.57	S1_TG1C NISSAN_J.JAIME	NO	4985670133
569858	02/01/2015	ZSCR	551	034-2	NA	'015	A2C92270400	NA	A2C92739101	1				1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	38.36	S1_TG1C NISSAN_J.JAIME	NO	4985669851
569863	02/01/2015	ZSCR	551	034-2	NA	'015	A2C95968801	NA	A2C95969001	5				1342	module assy TPM	NA	HALB	S.Real/AutoBF	206.8	S1_TIS 1C GREAT WALL_.	NO	4985670372
569864	02/01/2015	ZSCR	551	034-2	NA	'015	A2C86733500	NA	A2C8673350093	2				1342	pcb assy VDC Top	NA	HALB	S.Real	43.66	S1_TIS 1D CHRYSLER_J.JA	NO	4985668197
569865	02/01/2015	ZSCR	551	034-2	NA	'015	A2C31749200	NA	A2C32880400	9				1342	housing assy TPM	NA	HALB	S.Real/AutoBF	386.55	S1_TIS 1D CHRYSLER_J.JA	NO	4985670582
569877	02/01/2015	ZSCR	551	034-2	NA	'015	A2C37966400	NA	A2C8551390093	3				1342	circuit board assy TPM Bottom	NA	HALB	S.Real	69.69	S1_TIS1C127 BMW_A.ADRIA	NO	4985668462
569878	02/01/2015	ZSCR	551	040-2	NA	'015	A2C95968801	NA	A2C95969001	5				1402	module assy TPM	NA	HALB	S.Real/AutoBF	206.8	S1_TIS 1C GREAT WALL_.	NO	4985670441
569883	02/01/2015	ZSCR	551	034-9	NA	'015	A2C92739501	NA	A2C92739501	4				1349	module assy TPM	NA	HALB	S.Real/AutoBF	156.84	S1_TG1C NISSAN_J.JAIME	NO	4985670175
569884	02/01/2015	ZSCR	551	034-2	NA	'015	A2C35029700	NA	A2C3776250093	156				1342	pcb assy V2/V3/V5 Top	NA	HALB	S.Real	9982.44	S4_BMW FBD 3_. (APROBA	NO	4985668536
569885	02/01/2015	ZSCR	551	034-2	NA	'015	A2C35029700S	NA	A2C3776250093	118				1342	pcb assy V2/V3/V5 Top	NA	HALB	S.Real	7550.82	S4_BMW FBD 3_. (APROBA	NO	4985668536
569978	03/01/2015	ZSCR	551	040-3	NA	'015	A2C92739501	NA	A2C92739501	1				1403	module assy TPM	NA	HALB	S.Real/AutoBF	39.21	S1_TG1C NISSAN_J.JAIME	NO	4985670190
569979	03/01/2015	ZSCR	551	034-2	NA	'015	A2C92738801	NA	A2C92738801	1				1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	40.37	S1_TG1C NISSAN_J.JAIME	NO	4985669800
569995	03/01/2015	ZSCR	551	040-3	NA	'015	A2C95968801	NA	A2C95969001	2				1403	module assy TPM	NA	HALB	S.Real/AutoBF	82.72	S1_TIS 1C GREAT WALL_.	NO	4985670449
569996	03/01/2015	ZSCR	551	034-2	NA	'015	A2C95968801	NA	A2C95969001	1				1342	module assy TPM	NA	HALB	S.Real/AutoBF	41.36	S1_TIS 1C GREAT WALL_.	NO	4985670372
570011	03/01/2015	ZSCR	551	034-2	NA	'015	A2C92270500	NA	A2C92739201	1				1342	module assy TPM	NA	HALB	S.Real/AutoBF	37.19	S1_TG1C NISSAN_J.JAIME	NO	4985670094
570013	03/01/2015	ZSCR	551	034-2	NA	'015	A2C92738801	NA	A2C92738801	3				1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	121.11	S1_TG1C NISSAN_J.JAIME	NO	4985669800
570025	03/01/2015	ZSCR	551	022-2	NA	'015	A2C83143000	NA	A2C84455700	1				1222	parts kit assy TPM	NA	HALB	S.Real/AutoBF	43.96	S1_TG1C UNIVERSAL_J.JAI	NO	4985670213
570028	03/01/2015	ZSCR	551	022-2	NA	'015	A2C83143000	NA	A2C84455600	1				1222	parts kit assy TPM	NA	HALB	S.Real/AutoBF	45.6	S1_TG1C UNIVERSAL_J.JAI	NO	4985670225
570029	03/01/2015	ZSCR	551	022-2	NA	'015	A2C83143000	NA	A2C84455600	1				1222	parts kit assy TPM	NA	HALB	S.Real/AutoBF	45.6	S1_TG1C UNIVERSAL_J.JAI	NO	4985670225
570032	03/01/2015	ZSCR	551	022-2	NA	'015	A2C83143000	NA	A2C84455600	5				1222	parts kit assy TPM	NA	HALB	S.Real/AutoBF	228	S1_TG1C UNIVERSAL_J.JAI	NO	4985670225
570052	03/01/2015	ZSCR	551	034-2	NA	'015	A2C83144100	NA	A2C84455800	2				1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	91.36	S1_TG1C UNIVERSAL_J.JAI	NO	4985670284
570054	03/01/2015	ZSCR	551	034-2	NA	'015	A2C83144100	NA	A2C84455800	1				1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	45.68	S1_TG1C UNIVERSAL_J.JAI	NO	4985670284
570057	03/01/2015	ZSCR	551	034-2	NA	'015	A2C53348715	NA	A2C53402830	3				1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	120.18	S1_TG1C DCX_J.JAIME JIM	NO	4985669462
570089	03/01/2015	ZSCR	551	034-2	NA	'015	A2C92738801	NA	A2C92738801	1				1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	40.37	S1_TG1C NISSAN_J.JAIME	NO	4985669800
570090	03/01/2015	ZSCR	551	034-2	NA	'015	A2C92738801	NA	A2C92738801	1				1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	40.37	S1_TG1C NISSAN_J.JAIME	NO	4985669800
570095	03/01/2015	ZSCR	551	034-2	NA	'015	A2C95968801	NA	A2C53402102	1				1342	housing assy TPM NOIR	NA	HALB	S.Real/AutoBF	40.07	S1_TIS 1C GREAT WALL_.	NO	4985670340
570096	03/01/2015	ZSCR	551	034-2	NA	'015	A2C95968801	NA	A2C95968901	1				1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	50.73	S1_TIS 1C GREAT WALL_.	NO	4985670353
570097	03/01/2015	ZSCR	551	034-2	NA	'015	A2C53402102	NA	A2C96372400	3				1342	circuit board assy TPM	NA	HALB	S.Real/AutoBF	85.41	S1_TIS 1C GREAT WALL_.	NO	4985670394
570101	03/01/2015	ZSCR	551	034-2	NA	'015	A2C95968801	NA	A2C95969001	2				1342	module assy TPM	NA	HALB	S.Real/AutoBF	82.72	S1_TIS 1C GREAT WALL_.	NO	4985670372
570102	03/01/2015	ZSCR	551	034-2	NA	'015	A2C53348715	NA	A2C53402830	2				1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	80.12	S1_TG1C DCX_J.JAIME JIM	NO	4985669462
570107	03/01/2015	ZSCR	551	034-2	NA	'015	A2C53402102	NA	A2C53402102	2				1342	housing assy TPM NOIR	NA	HALB	S.Real/AutoBF	80.14	S1_TIS 1C GREAT WALL_.	NO	4985670340
570108	03/01/2015	ZSCR	551	034-2	NA	'015	A2C82208300	NA	A2C8749600093	4				1342	pcb assy BCU Top	NA	HALB	S.Real	84.84	S5_TIS1C127 NISSAN_C.CA	NO	4985668940
570110	03/01/2015	ZSCR	551	030-1	NA	'050	A2C9637240093	NA	A2C9637240092	1008				1301	circuit board assy TPM SMD BOT	NA	HALB	S.Real/AutoBF	5423.04	S1_TIS 1C GREAT WALL_.	NO	4985670422
570117	03/01/2015	ZSCR	551	050-4	NA	'015	A2C31749200	NA	A2C32880400	9				1504	housing assy TPM	NA	HALB	S.Real/AutoBF	386.55	S1_TIS 1D CHRYSLER_J.JA	NO	4985670958
570132	03/01/2015	ZSCR	551	034-2	NA	'015	A2C92739501	NA	A2C92739501	2				1342	module assy TPM	NA	HALB	S.Real/AutoBF	78.42	S1_TG1C NISSAN_J.JAIME	NO	4985670165
570138	03/01/2015	ZSCR	551	034-2	NA	'015	A2C31556400	NA	A2C31563500	1				1342	circuit board assy TPM	NA	HALB	S.Real/AutoBF	28.01	S1_TG1C NISSAN_J.JAIME	NO	4985669664
570141	03/01/2015	ZSCR	551	034-2	NA	'015	A2C83143000	NA	A2C83144200	1				1342	circuit board assy TPM	NA	HALB	S.Real/AutoBF	32.12	S1_TG1C UNIVERSAL_J.JAI	NO	4985670252
570144	03/01/2015	ZSCR	551	034-2	NA	'015	A2C83143000	NA	A2C84455700	1				1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	43.96	S1_TG1C UNIVERSAL_J.JAI	NO	4985670273
570149	03/01/2015	ZSCR	551	022-2	NA	'015	A2C81952900	NA	A2C8195290093	32				1222	pcb assy Top	NA	HALB	S.Real	1503.04	S5_HYUNDAI TPMS ECU_E.E	NO	4985668755
570155	03/01/2015	ZSCR	551	040-3	NA	'015	A2C53402397	NA	A2C53402397	2				1403	circuit board assy DIVZZDIVTI	NA	HALB	S.Real	87.38	S5_HYUNDAI TPMS ECU_E.E	NO	4985668989
570166	03/01/2015	ZSCR	551	034-2	NA	'015	A2C53406787	NA	A2C53402397	1				1342	circuit board assy DIVZZDIVTI	NA	HALB	S.Real	43.69	S5_HYUNDAI TPMS ECU_E.E	NO	4985668764
570167	03/01/2015	ZSCR	551	034-2	NA	'015	A2C53406787	NA	A2C53402397	3				1342	circuit board assy DIVZZDIVTI	NA	HALB	S.Real	131.07	S5_HYUNDAI TPMS ECU_E.E	NO	4985668764
570168	03/01/2015	ZSCR	551	040-4	NA	'015	A2C53406787	NA	A2C53402397	4				1404	circuit board assy DIVZZDIVTI	NA	HALB	S.Real	174.76	S5_HYUNDAI TPMS ECU_E.E	NO	4985669001
570178	03/01/2015	ZSCR	551	034-2	NA	'015	A2C37522000	NA	A2C3752200093	8				1342	circuit board assy BMWZZDIV 902MHZ	NA	HALB	S.Real	473.6	S1_BMW_A.ADRIAN CEBALLO	NO	4985667286
570181	03/01/2015	ZSCR	551	034-2	NA	'015	A2C37523900	NA	A2C3752390093	1				1342	circuit board assy BMWZZDIV 868MHZ TOP	NA	HALB	S.Real	60.1	S1_BMW_A.ADRIAN CEBALLO	NO	4985667321
570184	03/01/2015	ZSCR	551	050-3	NA	'015	A2C53328412	NA	A2C53328412	8				1503	circuit board assy	NA	HALB	S.Real	641.92	S1_DCU_A.ADRIAN CEBALLO	NO	4985667502
570189	03/01/2015	ZSCR	551	034-2	NA	'015	A2C95025000	NA	A2C95025000	38				1342	valve assy	NA	HALB	S.Real/AutoBF	236.36	S1_TIS 1D CHRYSLER_J.JA	NO	4985670950
570191	03/01/2015	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C32880400	22				1342	housing assy TPM	NA	HALB	S.Real/AutoBF	944.9	S1_TIS 1D CHRYSLER_J.JA	NO	4985670582
570192	03/01/2015	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C32880400	10				1342	housing assy TPM	NA	HALB	S.Real/AutoBF	429.5	S1_TIS 1D CHRYSLER_J.JA	NO	4985670582
570195	03/01/2015	ZSCR	551	034-2	NA	'015	A2C92739501	NA	A2C92739501	1				1342	module assy TPM	NA	HALB	S.Real/AutoBF	39.21	S1_TG1C NISSAN_J.JAIME	NO	4985670165
570196	03/01/2015	ZSCR	551	034-2	NA	'015	A2C92738801	NA	A2C92738801	1				1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	40.37	S1_TG1C NISSAN_J.JAIME	NO	4985669800
570329	04/01/2015	ZSCR	551	034-2	NA	'015	A2C92739501	NA	A2C92739501	2				1342	module assy TPM	NA	HALB	S.Real/AutoBF	78.42	S1_TG1C NISSAN_J.JAIME	NO	4985670165
570332	04/01/2015	ZSCR	551	034-2	NA	'015	A2C83143000	NA	A2C84455600	1				1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	45.6	S1_TG1C UNIVERSAL_J.JAI	NO	4985670261
570333	04/01/2015	ZSCR	551	034-2	NA	'015	A2C53347681	NA	A2C53401174	1				1342	module assy TPM	NA	HALB	S.Real/AutoBF	39.28	S1_TIS 1C MMC_. (APROB	NO	4985670470
570356	04/01/2015	ZSCR	551	040-1	NA	'015	A2C92739501	NA	A2C92739501	2				1401	module assy TPM	NA	HALB	S.Real/AutoBF	78.42	S1_TG1C NISSAN_J.JAIME	NO	4985670183
570359	04/01/2015	ZSCR	551	034-2	NA	'015	A2C92739501	NA	A2C92739501	1				1342	module assy TPM	NA	HALB	S.Real/AutoBF	39.21	S1_TG1C NISSAN_J.JAIME	NO	4985670165
570363	04/01/2015	MB1A	951	025-3	NA	'015	NA	NA	A2C31109500	45				1253	valve housing assy	ECN257081	ROH	NA	266.4	S1_TG1C NISSAN_J.JAIME	NO	4985664698
570363	04/01/2015	MB1A	951	025-3	NA	'015	NA	NA	A2C31556200	45				1253	parts kit assy TPM 433 MHz	ECN257081	HALB	S.Real/AutoBF	1755.9	S1_TG1C NISSAN_J.JAIME	NO	4985664698
570363	04/01/2015	MB1A	951	025-3	NA	'015	NA	NA	A2C53352996	45				1253	"sealing ring 9,5x 4,4 BK"	ECN257081	ROH	NA	83.7	S1_TG1C NISSAN_J.JAIME	NO	4985664698
570365	04/01/2015	MB1A	951	025-3	NA	'015	NA	NA	A2C53407338	44				1253	wheel unit TPM 315 MHz	ECN257082	HALB	S.Real/AutoBF	2034.56	S1_TG1C NISSAN_J.JAIME	NO	4985664698
570366	04/01/2015	MB1A	951	025-3	NA	'015	NA	NA	A2C81364500	88				1253	module assy TPM 433 MHz	ECN257081	HALB	S.Real/AutoBF	4255.68	S1_TG1C NISSAN_J.JAIME	NO	4985664698
