No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
574475	13/01/2015	ZSCR	551	035-1	0	'054	A2C8300900092	NA	A2C40003935	2	3011	054	 	1351	"R LIN,30K,1%,TK100,100mW,0603"		ROH	NA	0.02	PS_SDM30_N.NORTON MARQU	NO	No stock
574475	13/01/2015	ZSCR	551	035-1	0	'054	A2C8300900093	NA	A2C40011629	25	3011	054	 	1351	"R LIN,14K,1%,TK100,100mW,0603"		ROH	NA	0.25	PS_SDM30_N.NORTON MARQU	NO	No stock
574475	13/01/2015	ZSCR	551	035-1	0	'054	A2C8300780093	NA	A2C40011629	84	3011	054	 	1351	"R LIN,14K,1%,TK100,100mW,0603"		ROH	NA	0.84	PS_SDM30_N.NORTON MARQU	NO	No stock
574746	14/01/2015	ZSCR	551	030-1	NA	'054	A2C83021101	NA	A2C8302110193	2	3011	054	 	1301	pcb assy DAGARM3 3i DC Mex Top	NA	HALB	S.Real	473.36	PSAD_ARMIN_J.JOSE ORTIZ	NO	No stock
574810	14/01/2015	ZSCR	551	98	NA	'054	A2C83972000	NA	A2C8397200093	5	3011	054	 	1098	pcb topSMD Top	NA	HALB	S.Real	1793.75	PS_SDM10+_.	NO	4985891270
574829	14/01/2015	ZSCR	551	040-5	NA	'054	A2C87076701	NA	A2C34599800	6	3011	054	 	1405	"holder assy PTPSS CAPAssy8,8"	NA	ROH	NA	99.48	PSAD_STAR 22_.	NO	
574882	14/01/2015	ZSCR	551	030-1	NA	'054	A2C37817202	NA	A2C5334566993	2	3011	054	 	1301	pcb assy DAGARM3 V03 Top	NA	HALB	S.Real	733.68	PS_ARAMIS III_.	NO	No product cost collector
575110	15/01/2015	ZSCR	551	030-1	NA	'054	A2C83972000	NA	A2C8397200093	1	3011	054	 	1301	pcb topSMD Top	NA	HALB	S.Real	358.75	PS_SDM10+_.	NO	4985891270
575113	15/01/2015	ZSCR	551	030-1	NA	'054	A2C83972000	NA	A2C8397200093	1	3011	054	 	1301	pcb topSMD Top	NA	HALB	S.Real	358.75	PS_SDM10+_.	NO	4985891270
575169	15/01/2015	ZSCR	551	030-1	NA	'054	A2C9257210093	NA	A2C9257210093	1	3011	054	 	1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	247	PS_SDM30_.	NO	
575406	16/01/2015	ZSCR	551	030-1	NA	'054	A2C87038500	NA	A2C5339962993	1	3011	054	 	1301	pcb assy HONHRS5 RO V13 TOP	NA	HALB	S.Real	278.67	PS_HONDA HRS5_.	NO	
575414	16/01/2015	ZSCR	551	030-1	NA	'054	A2C83971900	NA	A2C8397190093	1	3011	054	 	1301	pcb topSMD top	NA	HALB	S.Real	332.31	PS_SDM10+_.	NO	4985891243
575437	16/01/2015	ZSCR	551	030-1	NA	'054	A2C37817202	NA	A2C53338029	18	3011	054	 	1301	pcb panel multiple 6-up main	NA	ROH	NA	384.84	PS_ARAMIS III_.	NO	No product cost collector
575447	16/01/2015	ZSCR	551	030-1	NA	'054	A2C83971900	NA	A2C8397190093	1	3011	054	 	1301	pcb topSMD top	NA	HALB	S.Real	332.31	PS_SDM10+_.	NO	4985891243
575451	16/01/2015	ZSCR	551	030-1	NA	'054	A2C86852400	NA	A2C87110200	1	3011	054	 	1301	pcb assy PTFSPEED10 D_26	NA	HALB	S.Real	204.2	PS_HYUNDAI_.	NO	
