No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock			
662941	14/09/2015	ZSCR	551	034-8	NA	'054	A2C82134800	NA	A2C53395713	1	1348	housing WIC P BK A-D	#N/A	ROH	NA	51.54	PS_SDM10+_.	NO	STOCK		
663039	14/09/2015	ZSCR	551	034-2	NA	'054	A2C81542500	NA	A2C81543200	1	1342	pcb assy	#N/A	HALB	S.Real	442.38	PS_ARAMIS 2013_.	NO	4993824351		
663272	15/09/2015	ZSCR	551	030-1	NA	'054	A2C8327850092	NA	A2C83277500	4	1301	pcb	#N/A	ROH	NA	96.56	PS_SDM30_.	NO	4993824482		
663274	15/09/2015	ZSCR	551	030-1	NA	'054	5WK44752	NA	A2C32679900	6	1301	pcb	#N/A	ROH	NA	116.46	PS_HONDA HRS6_.	NO	4993824482		
663322	15/09/2015	ZSCR	551	030-1	NA	'054	A2C8327850092	NA	A2C83277500	4	1301	pcb	#N/A	ROH	NA	96.56	PS_SDM30_.	NO	4993824482		
663385	15/09/2015	ZSCR	551	030-1	NA	'054	5WK44468	NA	A2C53295039	24	1301	pcb HONDA ACU16 main	#N/A	ROH	NA	422.4	PS_HONDA HRS5_.	NO	4993823741		
663387	15/09/2015	ZSCR	551	030-1	NA	'054	A2C8327860092	NA	A2C83277500	4	1301	pcb	#N/A	ROH	NA	96.56	PS_SDM30_.	NO	4993823741		
663388	15/09/2015	ZSCR	551	030-1	NA	'054	5WK44760	NA	A2C32679900	6	1301	pcb	#N/A	ROH	NA	116.46	PS_HONDA HRS6_J.JUAN CH	NO	STOCK		
663408	15/09/2015	ZSCR	551	040-1	NA	'054	A2C37964112	NA	A2C35116201	1	1401	pcb assy DAGSTAR2 D_13	#N/A	HALB	S.Real	410.61	PSAD_DAIMLER STAR 2_A.A	NO	4993824263		
663417	15/09/2015	ZSCR	551	040-2	NA	'054	A2C32453903	NA	A2C83435000	2	1402	cover FIP T BK	#N/A	ROH	NA	35.62	PSAD_DAIMLER STAR2_ISC_	NO	4993824189		
663426	15/09/2015	ZSCR	551	040-3	NA	'054	A2C91085700	NA	A2C92598000	3	1403	cover FIP T BK Laser Weld	#N/A	ROH	NA	7.68	PS_SDM30_.	NO	993824740		
