No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock			
665120	21/09/2015	ZSCR	551	035-1	0	'054	A2C9858300093	NA	A2C00020895	2	1351	"70V,150mA,2, common anode, FAST,SOT323_3"	#N/A	ROH	NA	0.14	PS_VW10 LC_L.LPL AUTOMA	NO	4993826925		
665120	21/09/2015	ZSCR	551	035-1	0	'054	A2C9858300092	NA	A2C00034044	3	1351	"1,N_CHAN,LL,MOS,POWER,55V,15A,69mOhm,TO2"	#N/A	ROH	NA	3.39	PS_VW10 LC_L.LPL AUTOMA	NO	STOCK		
665120	21/09/2015	ZSCR	551	035-1	0	'054	A2C9858300093	NA	A2C00043841	1	1351	"EEPROM,64KBit,8k x 8,SO8,-40C,125C,MEMOR"	#N/A	ROH	NA	2.58	PS_VW10 LC_L.LPL AUTOMA	NO	BOM		
665129	21/09/2015	ZSCR	551	035-1	0	'054	A2C9139010092	NA	A2C00003974	6	1351	"R LIN,20R,5%,TK200,125mW,0805"	#N/A	ROH	NA	0.06	PS_HONDA HRS6_L.LPL AUT	NO	4993824756		
665129	21/09/2015	ZSCR	551	035-1	0	'054	A2C3268040093	NA	A2C00004025	2	1351	"R LIN,1K3,1%,TK100,250mW,1206"	#N/A	ROH	NA	0.06	PS_HONDA HRS6_L.LPL AUT	NO	4993823958		
665129	21/09/2015	ZSCR	551	035-1	0	'054	A2C8021790093	NA	A2C00020218	1	1351	"12pF,5%,50V,C0G,0603,TINNED,CER CAP/"	#N/A	ROH	NA	0.02	PS_HONDA HRS6_L.LPL AUT	NO	4993824063		
665129	21/09/2015	ZSCR	551	035-1	0	'054	A2C3268040093	NA	A2C00020218	4	1351	"12pF,5%,50V,C0G,0603,TINNED,CER CAP/"	#N/A	ROH	NA	0.08	PS_HONDA HRS6_L.LPL AUT	NO	4993823958		
665129	21/09/2015	ZSCR	551	035-1	0	'054	A2C3268040093	NA	A2C00023857	4	1351	"F BEAD/BLM41P,90mOhm,1KOhm,1.5A,SMD"	#N/A	ROH	NA	1.28	PS_HONDA HRS6_L.LPL AUT	NO	4993823958		
665129	21/09/2015	ZSCR	551	035-1	0	'054	A2C3268040093	NA	A2C00024522	7	1351	"C CER,X7R,1uF,10%,25V,0805,Sn,STANDARD"	#N/A	ROH	NA	0.56	PS_HONDA HRS6_L.LPL AUT	NO	4993823958		
665129	21/09/2015	ZSCR	551	035-1	0	'054	A2C8021790093	NA	A2C00033919	2	1351	"1uF,10%,50V,X7R,1206,Sn,CER CAP/GCM"	#N/A	ROH	NA	0.24	PS_HONDA HRS6_L.LPL AUT	NO	4993824063		
665129	21/09/2015	ZSCR	551	035-1	0	'054	A2C3268040093	NA	A2C00033919	37	1351	"1uF,10%,50V,X7R,1206,Sn,CER CAP/GCM"	#N/A	ROH	NA	4.44	PS_HONDA HRS6_L.LPL AUT	NO	4993823958		
665129	21/09/2015	ZSCR	551	035-1	0	'054	A2C9139010092	NA	A2C00040894	15	1351	"2,PNP,RET,R<b>=10k R<e-b>=10k, 100mA,50"	#N/A	ROH	NA	2.4	PS_HONDA HRS6_L.LPL AUT	NO	4993824756		
665129	21/09/2015	ZSCR	551	035-1	0	'054	A2C3268040092	NA	A2C00040894	2	1351	"2,PNP,RET,R<b>=10k R<e-b>=10k, 100mA,50"	#N/A	ROH	NA	0.32	PS_HONDA HRS6_L.LPL AUT	NO	4993823958		
665129	21/09/2015	ZSCR	551	035-1	0	'054	A2C8021790093	NA	A2C00057767	1	1351	"IC MCU BLK/SPC560P50L3 (Pictus512K),A1,L"	#N/A	ROH	NA	17.58	PS_HONDA HRS6_L.LPL AUT	NO	4993824063		
665129	21/09/2015	ZSCR	551	035-1	0	'054	A2C3268040093	NA	A2C00057767	5	1351	"IC MCU BLK/SPC560P50L3 (Pictus512K),A1,L"	#N/A	ROH	NA	87.9	PS_HONDA HRS6_L.LPL AUT	NO	4993823958		
665129	21/09/2015	ZSCR	551	035-1	0	'054	A2C8021790093	NA	A2C00059117	6	1351	"5R6,1%,TK50,100mW,0603,LIN RES/"	#N/A	ROH	NA	0.3	PS_HONDA HRS6_L.LPL AUT	NO	4993824063		
665129	21/09/2015	ZSCR	551	035-1	0	'054	A2C9139010093	NA	A2C00059117	13	1351	"5R6,1%,TK50,100mW,0603,LIN RES/"	#N/A	ROH	NA	0.65	PS_HONDA HRS6_L.LPL AUT	NO	4993824756		
665129	21/09/2015	ZSCR	551	035-1	0	'054	A2C3268040093	NA	A2C00059117	161	1351	"5R6,1%,TK50,100mW,0603,LIN RES/"	#N/A	ROH	NA	8.05	PS_HONDA HRS6_L.LPL AUT	NO	4993823958		
665129	21/09/2015	ZSCR	551	035-1	0	'054	A2C8021790092	NA	A2C00488200	2	1351	"IC BUS DRIV/TJA1051T/3,SO8"	#N/A	ROH	NA	3.62	PS_HONDA HRS6_L.LPL AUT	NO	4993824063		
665171	22/09/2015	ZSCR	551	030-1	NA	'054	A2C96810300	NA	A2C9840990093	1	1301	pcb assy GMSMD30	#N/A	HALB	S.Real	289.86	PS_SDM30_.	NO	4993826909		
665177	22/09/2015	ZSCR	551	030-1	NA	'054	A2C96810300	NA	A2C9840990093	1	1301	pcb assy GMSMD30	#N/A	HALB	S.Real	289.86	PS_SDM30_.	NO	4993826909		
665180	22/09/2015	ZSCR	551	030-1	NA	'054	A2C96810300	NA	A2C9840990093	1	1301	pcb assy GMSMD30	#N/A	HALB	S.Real	289.86	PS_SDM30_.	NO	4993826909		
665188	22/09/2015	ZSCR	551	030-1	NA	'054	A2C96810300	NA	A2C9840990093	1	1301	pcb assy GMSMD30	#N/A	HALB	S.Real	289.86	PS_SDM30_.	NO	4993826909		
665197	22/09/2015	ZSCR	551	030-1	NA	'054	A2C96810300	NA	A2C9840990093	1	1301	pcb assy GMSMD30	#N/A	HALB	S.Real	289.86	PS_SDM30_.	NO	4993826909		
665212	22/09/2015	ZSCR	551	030-1	NA	'054	A2C32453912	NA	A2C3511610193	1	1301	pcb assy DAGSTAR2 D_12 SMD TOP	#N/A	HALB	S.Real	316.77	PSAD_DAIMLER STAR 2_A.A	NO	4993824197		
665226	22/09/2015	ZSCR	551	030-1	NA	'054	A2C32453912	NA	A2C3511610193	1	1301	pcb assy DAGSTAR2 D_12 SMD TOP	#N/A	HALB	S.Real	316.77	PSAD_DAIMLER STAR 2_A.A	NO	4993824197		
665414	22/09/2015	ZSCR	551	040-3	NA	'054	5WK44515	NA	A2C53397769	6	1403	housing	#N/A	ROH	NA	137.16	PS_HONDA HRS6_J.JUAN CH	NO	4993823855		
665415	22/09/2015	ZSCR	551	040-3	NA	'054	5WK44673	NA	A2C53332366	1	1403	cover RAP T BK	#N/A	ROH	NA	7.79	PS_FIAT BRAZIL_.	NO	4993823855		
665417	22/09/2015	ZSCR	551	040-3	NA	'054	5WK44352	NA	A2C53381596	1	1403	cover	#N/A	ROH	NA	5.89	PS_HYUNDAI_.	NO	4993823676		
665488	22/09/2015	ZSCR	551	050-2	NA	'054	A2C92114800	NA	A2C3268040002	7	1502	pcb assy HONHRS6 V11B	#N/A	HALB	S.Real	2227.33	PS_HONDA HRS6_J.JUAN CH	NO	4993824823		
665639	23/09/2015	ZSCR	551	030-1	NA	'054	A2C96706603	NA	A2C9682930193	1	1301	pcb assy HONHRS7 D_1-1	#N/A	HALB	S.Real	278.27	PS_HONDA HRS7_.	NO	4993826901		
665746	23/09/2015	ZSCR	551	040-3	NA	'054	A2C82134600	NA	A2C40000022	4	1403	"C ELEC,AL,4.7mF,20%,35V"	#N/A	ROH	NA	31.44	PS_SDM30_.	NO	4993824386		
