d	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
406840	1/30/2014	ZSCR	551	034-2	NA	'054	5WY89350	NA	A2C30202900	3	1342	multipoint connector 84P H 2SYS AFAD	NA	ROH	NA	116.31	PS_CHRYSLER MY2013_E.ED	NO	
406840	1/30/2014	ZSCR	551	034-2	NA	'054	5WK44687	NA	A2C53330107	2	1342	socket	NA	ROH	NA	26.38	PS_CHRYSLER MY2013_E.ED	NO	
406840	1/30/2014	ZSCR	551	034-2	NA	'054	5WY89350	NA	A2C53330109	6	1342	socket	NA	ROH	NA	108.6	PS_CHRYSLER MY2013_E.ED	NO	
406841	1/30/2014	MB1A	551	034-2	K96019	'054	NA	NA	A2C83303100	1	1095	multipoint connector124/ 86P H 2SYS 1018	NA	ROH	NA	56.79	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
406842	1/30/2014	ZSCR	551	034-2	NA	'054	5WK44354	NA	A2C53381596	2	1342	cover	NA	ROH	NA	11	PS_HYUNDAI_.	NO	
406847	1/30/2014	ZSCR	551	030-1	NA	'054	A2C31080700	NA	A2C3108070093	4	1301	SMT Top Chrysler RT ORC MY13	NA	HALB	S.Real	1091.68	PS_CHRYSLER MY2013_E.ED	NO	4974578291
406860	1/30/2014	ZSCR	551	030-1	NA	'054	A2C53412213	NA	A2C53412223	1	1301	GMB SMT Top side	NA	HALB	S.Real	127	PSAD_GM BRASIL_A.ANA TA	NO	4974578414
406861	1/30/2014	ZSCR	551	030-1	NA	'054	A2C34527100	NA	A2C53388687	1	1301	circuit board assy	NA	HALB	S.Real	359.32	PS_ARAMIS 2012_E.EDWIN	NO	4974578343
406862	1/30/2014	ZSCR	551	030-1	NA	'054	A2C34527200	NA	A2C53388687	1	1301	circuit board assy	NA	HALB	S.Real	359.32	PS_ARAMIS 2012_E.EDWIN	NO	4974578343
406863	1/30/2014	ZSCR	551	030-1	NA	'054	A2C34527100	NA	A2C53388687	1	1301	circuit board assy	NA	HALB	S.Real	359.32	PS_ARAMIS 2012_E.EDWIN	NO	4974578343
406865	1/30/2014	ZSCR	551	030-1	NA	'054	A2C81542300	NA	A2C53388687	1	1301	circuit board assy	NA	HALB	S.Real	359.32	PS_ARAMIS 2012_E.EDWIN	NO	4974578343
406871	1/30/2014	ZSCR	551	030-1	NA	'054	A2C34527200	NA	A2C53388687	1	1301	circuit board assy	NA	HALB	S.Real	359.32	PS_ARAMIS 2012_E.EDWIN	NO	4974578343
406872	1/30/2014	ZSCR	551	030-1	NA	'054	A2C34527200	NA	A2C53388687	1	1301	circuit board assy	NA	HALB	S.Real	359.32	PS_ARAMIS 2012_E.EDWIN	NO	4974578343
406873	1/30/2014	ZSCR	551	030-1	NA	'054	A2C81542300	NA	A2C53388687	1	1301	circuit board assy	NA	HALB	S.Real	359.32	PS_ARAMIS 2012_E.EDWIN	NO	4974578343
406874	1/30/2014	ZSCR	551	030-1	NA	'054	A2C34527200	NA	A2C53388687	3	1301	circuit board assy	NA	HALB	S.Real	1077.96	PS_ARAMIS 2012_E.EDWIN	NO	4974578343
406883	1/30/2014	ZSCR	551	030-1	NA	'054	A2C53375496	NA	A2C5337549693	1	1301	pcb assy DAGARM3 V04 Top	NA	HALB	S.Real	236.69	PS_ARAMIS III_E.EDWIN R	NO	4974578337
406885	1/30/2014	ZSCR	551	030-1	NA	'054	A2C8021770002	NA	A2C8021770093	1	1301	pcb assy HONHRS6 V20 TOP	NA	HALB	S.Real	265.24	PS_HONDA HRS6_J.JUAN CH	NO	4974578452
406887	1/30/2014	ZSCR	551	030-1	NA	'054	A2C83972000	NA	A2C8397200093	1	1301	pcb topSMD Top	NA	HALB	S.Real	358.75	PS_SDM10+_C.CAROLINA OT	NO	4974578463
406894	1/30/2014	MB1A	551	030-1	K96019	'054	NA	NA	A2C8254200093	1	1095	pcb assy OPLA4400 4401XESE lado top	NA	HALB	S.Real	187.84	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
406896	1/30/2014	MB1A	551	030-1	K96019	'054	NA	NA	A2C8254200093	1	1095	pcb assy OPLA4400 4401XESE lado top	NA	HALB	S.Real	187.84	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
406898	1/30/2014	MB1A	551	030-1	K96019	'054	NA	NA	A2C8254200093	1	1095	pcb assy OPLA4400 4401XESE lado top	NA	HALB	S.Real	187.84	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
406901	1/30/2014	MB1A	551	030-1	K96019	'054	NA	NA	A2C8254200093	1	1095	pcb assy OPLA4400 4401XESE lado top	NA	HALB	S.Real	187.84	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
406903	1/30/2014	ZSCR	551	030-1	NA	'054	A2C31080700	NA	A2C3108070093	1	1301	SMT Top Chrysler RT ORC MY13	NA	HALB	S.Real	272.92	PS_CHRYSLER MY2013_E.ED	NO	4974578291
406907	1/30/2014	ZSCR	551	030-1	NA	'054	A2C34527100	NA	A2C53388687	1	1301	circuit board assy	NA	HALB	S.Real	359.32	PS_ARAMIS 2012_E.EDWIN	NO	4974578343
406909	1/30/2014	ZSCR	551	030-1	NA	'054	A2C34527200	NA	A2C53388687	1	1301	circuit board assy	NA	HALB	S.Real	359.32	PS_ARAMIS 2012_E.EDWIN	NO	4974578343
406911	1/30/2014	ZSCR	551	030-1	NA	'054	A2C81542500	NA	A2C53388687	1	1301	circuit board assy	NA	HALB	S.Real	359.32	PS_ARAMIS 2012_E.EDWIN	NO	4974578343
406913	1/30/2014	ZSCR	551	030-1	NA	'054	A2C81542300	NA	A2C53388687	1	1301	circuit board assy	NA	HALB	S.Real	359.32	PS_ARAMIS 2012_E.EDWIN	NO	4974578343
406915	1/30/2014	ZSCR	551	030-1	NA	'054	A2C34527200	NA	A2C53388687	1	1301	circuit board assy	NA	HALB	S.Real	359.32	PS_ARAMIS 2012_E.EDWIN	NO	4974578343
406916	1/30/2014	ZSCR	551	030-1	NA	'054	A2C34527100	NA	A2C53388687	1	1301	circuit board assy	NA	HALB	S.Real	359.32	PS_ARAMIS 2012_E.EDWIN	NO	4974578343
406917	1/30/2014	ZSCR	551	030-1	NA	'054	A2C34527200	NA	A2C53388687	1	1301	circuit board assy	NA	HALB	S.Real	359.32	PS_ARAMIS 2012_E.EDWIN	NO	4974578343
406942	1/30/2014	MB1A	551	022-2	K96019	'054	NA	NA	A2C82541900	18	1095	ACU OPLA4400 12 HX4401XESE	NA	FERT	NA	4935.24	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
406950	1/30/2014	MB1A	551	030-1	K96019	'054	NA	NA	A2C8254200093	4	1095	pcb assy OPLA4400 4401XESE lado top	NA	HALB	S.Real	751.36	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
406960	1/30/2014	MB1A	551	030-1	K96019	'054	NA	NA	A2C83012100	5	1095	pcb assy OPLA3 370	NA	HALB	S.Real/AutoBF	1172.65	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
406971	1/30/2014	ZSCR	551	030-1	NA	'054	NA	NA	A2C8021660093	1	1301	pcb assy HONHRS6 V04 TOP	NA	HALB	S.Real	264.89	PS_HONDA HRS6_J.JUAN CH	NO	4974578444
406973	1/30/2014	MB1A	551	030-1	K96019	'054	NA	NA	A2C3511610093	1	1095	pcb assy DAGSTAR2 V02	NA	HALB	S.Real	305.73	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
406976	1/30/2014	MB1A	551	030-1	K96019	'054	NA	NA	A2C3511610092	1	1095	pcb assy DAGSTAR2 V02	NA	HALB	S.Real/AutoBF	147.49	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
406978	1/30/2014	MB1A	551	030-1	K96019	'054	NA	NA	A2C3511610093	1	1095	pcb assy DAGSTAR2 V02	NA	HALB	S.Real	305.73	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
406979	1/30/2014	MB1A	551	030-1	K96019	'054	NA	NA	A2C3511610092	1	1095	pcb assy DAGSTAR2 V02	NA	HALB	S.Real/AutoBF	147.49	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
406981	1/30/2014	MB1A	551	030-1	K96019	'054	NA	NA	A2C3511610093	1	1095	pcb assy DAGSTAR2 V02	NA	HALB	S.Real	305.73	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
406983	1/30/2014	MB1A	551	030-1	K96019	'054	NA	NA	A2C3511610093	8	1095	pcb assy DAGSTAR2 V02	NA	HALB	S.Real	2445.84	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
406994	1/30/2014	MB1A	551	034-9	K96019	'054	NA	NA	A2C81768406	5	1095	ACU DAGSTAR2 MY13 ISC 32 W/S/V/C205	NA	FERT	NA	2521	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
406995	1/30/2014	MB1A	551	034-1	K96019	'054	NA	NA	A2C81768406	1	1095	ACU DAGSTAR2 MY13 ISC 32 W/S/V/C205	NA	FERT	NA	504.2	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
406996	1/30/2014	MB1A	551	040-2	K96019	'054	NA	NA	A2C37964107	1	1095	ACU DAGSTAR2 MY12 RO 28 W/V/X222ma	NA	FERT	NA	443.7	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
407003	1/30/2014	MB1A	551	042-4	K96019	'054	NA	NA	A2C82542000	2	1095	pcb assy OPLA4400 4401XESE	NA	HALB	S.Real/AutoBF	479.34	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
407023	1/30/2014	MB1A	551	034-4	K96019	'054	NA	NA	A2C91764100	1	1095	ACU MY14 12 SDM30.12.I	NA	FERT	NA	313.1	PS_SDM30_C.CAROLINA OTA	NO	4974577494
407028	1/30/2014	ZSCR	551	040-2	NA	'054	A2C38081602	NA	A2C53375496	1	1402	pcb assy DAGARM3 V04	NA	HALB	S.Real	296.44	PS_ARAMIS III_E.EDWIN R	NO	
407029	1/30/2014	ZSCR	551	042-4	NA	'054	5WK44508	NA	A2C53416946	1	1424	ACU VW10 MY10 8 RdW	NA	HALB	S.Real	212.5	PS_VW10 LC_U.ULISES VIL	NO	
407032	1/30/2014	ZSCR	551	034-2	NA	'054	A2C84851600	NA	A2C84851600	1	1342	ACU VW10 16 NAR BOSE	NA	FERT	NA	287.21	PS_VW10 LC_U.ULISES VIL	NO	
407034	1/30/2014	MB1A	551	040-3	K96019	'054	NA	NA	A2C8254490093	2	1095	pcb assy OPLA4400 440XXESE lado top	NA	HALB	S.Real	329.3	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
407035	1/30/2014	ZSCR	551	042-4	NA	'054	A2C81542500	NA	A2C81543200	3	1424	pcb assy	NA	HALB	S.Real	1245.6	PS_ARAMIS 2012_E.EDWIN	NO	
407036	1/30/2014	ZSCR	551	034-2	NA	'054	A2C37924700	NA	A2C53332366	2	1342	cover RAP T BK	NA	ROH	NA	9.64	PS_FIAT BRAZIL_E.EDWIN	NO	
407039	1/30/2014	MB1A	551	040-3	K96019	'054	NA	NA	A2C82544800	5	1095	ACU OPLA4400 12 KB440XXESE	NA	FERT	NA	1249.6	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
407041	1/30/2014	ZSCR	551	040-3	NA	'054	A2C81542300	2	A2C81542300	1	1403	2013 JC HI DOM 7 Passenger	NA	FERT	NA	447.22	PS_ARAMIS 2012_E.EDWIN	NO	
407043	1/30/2014	ZSCR	551	034-2	NA	'054	5WK44461	NA	A2C53404914	2	1342	pcb assy HONHRS5 V30	NA	HALB	S.Real/AutoBF	653.78	PS_HONDA HRS5_.	NO	4974578214
407047	1/30/2014	ZSCR	551	034-2	NA	'054	5WY89350	NA	A2C31080700	2	1342	IM Chrysler RT ORC MY13	NA	HALB	S.Real	663.64	PS_CHRYSLER MY2013_E.ED	NO	
407048	1/30/2014	ZSCR	551	034-2	NA	'054	A2C86832700	NA	A2C53405780	1	1342	housing	NA	ROH	NA	26.37	PS_HONDA HRS6_J.JUAN CH	NO	
407050	1/30/2014	MB1A	551	034-2	K96019	'054	NA	NA	A2C53424040	10	1095	"pan head screw M3,5 x 12,00 1268"	NA	ROH	NA	2.7	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
407050	1/30/2014	MB1A	551	034-2	K96019	'054	NA	NA	A2C83435000	2	1095	cover FIP T BK	NA	ROH	NA	38.04	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
407052	1/30/2014	ZSCR	551	034-4	NA	'054	A2C30910800	NA	A2C32509000	2	1344	pcb assy VW20 V01 Mecanico	NA	HALB	S.Real	274.66	PSAD_VW20_U.ULISES VILL	NO	
407059	1/30/2014	MB1A	551	034-2	K96019	'054	NA	NA	A2C83378700	3	1095	pcb assy DAGSTAR2 V07	NA	HALB	S.Real	1823.82	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
407060	1/30/2014	MB1A	551	040-3	K96019	'054	NA	NA	A2C92284500	1	1095	pcb assy DAGSTAR2 ISC D_15	NA	HALB	S.Real	453.76	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
407061	1/30/2014	MB1A	551	034-2	K96019	'054	NA	NA	A2C35116200	2	1095	pcb assy DAGSTAR2 D_3	NA	HALB	S.Real	797.9	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
407062	1/30/2014	MB1A	551	034-2	K96019	'054	NA	NA	A2C35116200	1	1095	pcb assy DAGSTAR2 D_3	NA	HALB	S.Real	398.95	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
407063	1/30/2014	MB1A	551	034-4	K96019	'054	NA	NA	A2C35116100	1	1095	pcb assy DAGSTAR2 D_2	NA	HALB	S.Real	383.01	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
407065	1/30/2014	MB1A	551	040-1	K96019	'054	NA	NA	A2C87057001	1	1095	pcb assy DAGSTAR2 D_18	NA	HALB	S.Real	420.33	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
407066	1/30/2014	MB1A	551	050-3	K96019	'054	NA	NA	A2C92284500	1	1095	pcb assy DAGSTAR2 ISC D_15	NA	HALB	S.Real	453.76	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
407067	1/30/2014	MB1A	551	040-1	K96019	'054	NA	NA	A2C92284500	1	1095	pcb assy DAGSTAR2 ISC D_15	NA	HALB	S.Real	453.76	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
407069	1/30/2014	MB1A	551	040-3	K96019	'054	NA	NA	A2C92284500	1	1095	pcb assy DAGSTAR2 ISC D_15	NA	HALB	S.Real	453.76	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
407071	1/30/2014	MB1A	551	034-1	K96019	'054	NA	NA	A2C8254200093	4	1095	pcb assy OPLA4400 4401XESE lado top	NA	HALB	S.Real	751.36	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
407072	1/30/2014	ZSCR	551	034-2	NA	'054	A2C38081602	NA	A2C53375496	2	1342	pcb assy DAGARM3 V04	NA	HALB	S.Real	592.88	PS_ARAMIS III_E.EDWIN R	NO	
407074	1/30/2014	ZSCR	551	034-2	NA	'054	A2C91085700	NA	A2C91085700	1	1342	ACU MY11 18 R SDM10+	NA	FERT	NA	427.68	PS_SDM10+_C.CAROLINA OT	NO	
407075	1/30/2014	ZSCR	551	040-1	NA	'054	5WK44675	NA	A2C53408763	1	1401	pcb assy	NA	HALB	S.Real	154.96	PS_FIAT BRAZIL_E.EDWIN	NO	
407077	1/30/2014	MB1A	551	040-1	K96019	'054	NA	NA	A2C8254200093	2	1095	pcb assy OPLA4400 4401XESE lado top	NA	HALB	S.Real	375.68	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
407079	1/30/2014	MB1A	551	034-2	K96019	'054	NA	NA	A2C32453907	1	1095	ACU DAGSTAR2 MY12 RO 24 W/V/X222mi	NA	FERT	NA	427.76	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
407080	1/30/2014	MB1A	551	034-2	K96019	'054	NA	NA	A2C92284500	1	1095	pcb assy DAGSTAR2 ISC D_15	NA	HALB	S.Real	453.76	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
407083	1/30/2014	MB1A	551	040-1	K96019	'054	NA	NA	A2C35116200	1	1095	pcb assy DAGSTAR2 D_3	NA	HALB	S.Real	398.95	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
407085	1/30/2014	MB1A	551	040-3	K96019	'054	NA	NA	A2C38172001	1	1095	ACU DAGSM MY13 18 C453/X07	NA	FERT	NA	390.54	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
407086	1/30/2014	MB1A	551	022-2	K96019	'054	NA	NA	A2C89558000	1	1095	MRS*Z/G3IOZ/4/ADXL GMB VIVA PC HAND ASS.	NA	HALB	S.Real	204.21	PSAD_OPEL 3i_J.JOSE ORT	NO	4974577868
407088	1/30/2014	ZSCR	551	040-1	NA	'054	A2C81542900	NA	A2C81543200	1	1401	pcb assy	NA	HALB	S.Real	415.2	PS_ARAMIS 2012_E.EDWIN	NO	
407092	1/30/2014	MB1A	551	040-4	K96019	'054	NA	NA	A2C83378600	2	1095	pcb assy DAGSTAR2 D_6	NA	HALB	S.Real	998.48	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
407094	1/30/2014	MB1A	551	022-2	K96019	'054	NA	NA	A2C91764300	1	1095	ACU MY14 18 SDM30.18.I	NA	FERT	NA	341.95	PS_SDM30_C.CAROLINA OTA	NO	4974577494
407095	1/30/2014	MB1A	551	022-2	K96019	'054	NA	NA	A2C91764400	1	1095	ACU MY14 18 SDM30.18R	NA	FERT	NA	441.94	PS_SDM30_C.CAROLINA OTA	NO	4974577494
407097	1/30/2014	MB1A	551	040-1	K96019	'054	NA	NA	A2C83377700	1	1095	pcb assy RCMT5 LR	NA	HALB	S.Real/AutoBF	466.91	PSAD_LAND ROVER_J.JOSE	NO	4974577824
407099	1/30/2014	MB1A	551	040-1	K96019	'054	NA	NA	A2C83377700	2	1095	pcb assy RCMT5 LR	NA	HALB	S.Real/AutoBF	933.82	PSAD_LAND ROVER_J.JOSE	NO	4974577824
407101	1/30/2014	MB1A	551	034-3	K96019	'054	NA	NA	A2C9257230093	1	1095	pcb assy GMSMD30 Top	NA	HALB	S.Real	256.95	PS_SDM30_C.CAROLINA OTA	NO	4974577494
407103	1/30/2014	MB1A	551	040-3	K96019	'054	NA	NA	A2C82538600	1	1095	ACU OPLA4400 12 HU XE SE	NA	FERT	NA	274.18	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
407103	1/30/2014	MB1A	551	040-3	K96019	'054	NA	NA	A2C82538600	1	1095	ACU OPLA4400 12 HU XE SE	NA	FERT	NA	274.18	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
407103	1/30/2014	MB1A	551	040-3	K96019	'054	NA	NA	A2C82541900	1	1095	ACU OPLA4400 12 HX4401XESE	NA	FERT	NA	274.18	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
407104	1/30/2014	MB1A	551	040-3	K96019	'054	NA	NA	A2C92284500	2	1095	pcb assy DAGSTAR2 ISC D_15	NA	HALB	S.Real	907.52	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
407109	1/30/2014	MB1A	551	040-3	K96019	'054	NA	NA	A2C35116100	1	1095	pcb assy DAGSTAR2 D_2	NA	HALB	S.Real	383.01	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
407119	1/30/2014	MB1A	551	040-3	K96019	'054	NA	NA	A2C92284500	1	1095	pcb assy DAGSTAR2 ISC D_15	NA	HALB	S.Real	453.76	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
407121	1/30/2014	MB1A	551	034-4	K96019	'054	NA	NA	A2C35116100	1	1095	pcb assy DAGSTAR2 D_2	NA	HALB	S.Real	383.01	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
407124	1/30/2014	ZSCR	551	034-2	NA	'054	A2C37924700	NA	A2C53332366	1	1342	cover RAP T BK	NA	ROH	NA	4.82	PS_FIAT BRAZIL_E.EDWIN	NO	
407126	1/30/2014	ZSCR	551	034-2	NA	'054	5WK44675	5	5WK44675	1	1342	FIAT 326 V15 6 FL	NA	FERT	NA	170.12	PS_FIAT BRAZIL_E.EDWIN	NO	
407131	1/30/2014	ZSCR	551	034-2	NA	'054	5WK44468	NA	6593831401	1	1342	WARNING LABEL c/d/i HONDA	NA	ROH	NA	1.11	PS_HONDA HRS6_J.JUAN CH	NO	
407131	1/30/2014	ZSCR	551	034-2	NA	'054	A2C85606300	NA	A2C3268040002	1	1342	pcb assy HONHRS6 V11B	NA	HALB	S.Real/AutoBF	308.02	PS_HONDA HRS6_J.JUAN CH	NO	4974578079
407131	1/30/2014	ZSCR	551	034-2	NA	'054	5WK44692	NA	A2C53108387	5	1342	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	0.9	PS_HONDA HRS6_J.JUAN CH	NO	
407131	1/30/2014	ZSCR	551	034-2	NA	'054	5WK44690	NA	A2C53397769	1	1342	housing	NA	ROH	NA	20.75	PS_HONDA HRS6_J.JUAN CH	NO	
407131	1/30/2014	ZSCR	551	034-2	NA	'054	5WK44788	NA	A2C53405780	1	1342	housing	NA	ROH	NA	26.37	PS_HONDA HRS6_J.JUAN CH	NO	
407133	1/30/2014	ZSCR	551	034-2	NA	'054	A2C91764100	NA	A2C91764100	2	1342	ACU MY14 12 SDM30.12.I	NA	FERT	NA	626.2	PS_SDM30_C.CAROLINA OTA	NO	
407135	1/30/2014	MB1A	551	040-2	K96019	'054	NA	NA	A2C91085500	1	1095	ACU MY11 12 R SDM10+	NA	FERT	NA	390.9	PS_SDM30_C.CAROLINA OTA	NO	4974577494
407135	1/30/2014	MB1A	551	040-2	K96019	'054	NA	NA	A2C91085700	1	1095	ACU MY11 18 R SDM10+	NA	FERT	NA	427.68	PS_SDM30_C.CAROLINA OTA	NO	4974577494
407139	1/30/2014	MB1A	551	040-3	K96019	'054	NA	NA	A2C92284500	1	1095	pcb assy DAGSTAR2 ISC D_15	NA	HALB	S.Real	453.76	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
407141	1/30/2014	ZSCR	551	034-2	NA	'054	5WY89350	NA	A2C31080700	2	1342	IM Chrysler RT ORC MY13	NA	HALB	S.Real	663.64	PS_CHRYSLER MY2013_E.ED	NO	
407142	1/30/2014	ZSCR	551	040-2	NA	'054	5WK44773	NA	A2C53371768	1	1402	cover FIP T GY	NA	ROH	NA	2.84	PS_ARAMIS 2012_E.EDWIN	NO	
407142	1/30/2014	ZSCR	551	040-2	NA	'054	A2C81542300	2	A2C81542300	2	1402	2013 JC HI DOM 7 Passenger	NA	FERT	NA	894.44	PS_ARAMIS 2012_E.EDWIN	NO	
407145	1/30/2014	ZSCR	551	034-2	NA	'054	A2C84851600	NA	A2C84851600	1	1342	ACU VW10 16 NAR BOSE	NA	FERT	NA	287.21	PS_VW10 LC_U.ULISES VIL	NO	
407154	1/30/2014	MB1A	551	034-2	K96019	'054	NA	NA	A2C92284500	1	1095	pcb assy DAGSTAR2 ISC D_15	NA	HALB	S.Real	453.76	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
407157	1/30/2014	MB1A	551	034-2	K96019	'054	NA	NA	A2C92284500	1	1095	pcb assy DAGSTAR2 ISC D_15	NA	HALB	S.Real	453.76	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
407159	1/30/2014	MB1A	551	042-4	K96019	'054	NA	NA	A2C83012100	1	1095	pcb assy OPLA3 370	NA	HALB	S.Real/AutoBF	234.53	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
407160	1/30/2014	MB1A	551	042-4	K96019	'054	NA	NA	A2C82538700	1	1095	pcb assy OPLA4400 XESE	NA	HALB	S.Real/AutoBF	239.67	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
407162	1/30/2014	MB1A	551	040-2	K96019	'054	NA	NA	A2C8301430093	1	1095	pcb assy OPLA3 300 AU/SN lado top	NA	HALB	S.Real	184.09	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
407163	1/30/2014	MB1A	551	040-1	K96019	'054	NA	NA	A2C8712890093	2	1095	pcb assy GMSDM30 Top	NA	HALB	S.Real	512.16	PS_SDM30_C.CAROLINA OTA	NO	4974577494
407168	1/30/2014	MB1A	551	022-2	K96019	'054	NA	NA	A2C82541900	1	1095	ACU OPLA4400 12 HX4401XESE	NA	FERT	NA	274.18	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
407168	1/30/2014	MB1A	551	022-2	K96019	'054	NA	NA	A2C82542000	1	1095	pcb assy OPLA4400 4401XESE	NA	HALB	S.Real/AutoBF	239.67	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
407168	1/30/2014	MB1A	551	022-2	K96019	'054	NA	NA	A2C82542000	4	1095	pcb assy OPLA4400 4401XESE	NA	HALB	S.Real/AutoBF	958.68	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
407168	1/30/2014	MB1A	551	022-2	K96019	'054	NA	NA	A2C83012100	3	1095	pcb assy OPLA3 370	NA	HALB	S.Real/AutoBF	703.59	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
407168	1/30/2014	MB1A	551	022-2	K96019	'054	NA	NA	A2C8301620093	1	1095	pcb assy OPLA3 301 AU/SN lado top	NA	HALB	S.Real	184.09	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
407170	1/30/2014	MB1A	551	034-4	K96019	'054	NA	NA	A2C91764200	1	1095	ACU MY14 12 SDM30.12R	NA	FERT	NA	413.51	PS_SDM30_C.CAROLINA OTA	NO	4974577494
407173	1/30/2014	MB1A	551	022-2	K96019	'054	NA	NA	A2C91764100	3	1095	ACU MY14 12 SDM30.12.I	NA	FERT	NA	939.3	PS_SDM30_C.CAROLINA OTA	NO	4974577494
407174	1/30/2014	MB1A	551	040-2	K96019	'054	NA	NA	A2C8254200093	1	1095	pcb assy OPLA4400 4401XESE lado top	NA	HALB	S.Real	187.84	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
407176	1/30/2014	MB1A	551	034-2	K96019	'054	NA	NA	A2C35116100	1	1095	pcb assy DAGSTAR2 D_2	NA	HALB	S.Real	383.01	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
407176	1/30/2014	MB1A	551	034-2	K96019	'054	NA	NA	A2C35116200	1	1095	pcb assy DAGSTAR2 D_3	NA	HALB	S.Real	398.95	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
407176	1/30/2014	MB1A	551	034-2	K96019	'054	NA	NA	A2C92284500	1	1095	pcb assy DAGSTAR2 ISC D_15	NA	HALB	S.Real	453.76	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
407178	1/30/2014	ZSCR	551	034-9	NA	'054	5WK43232	NA	6593571403	5	1349	ETIQUETA C/ROTULO DE ADVERTENC s/d	NA	ROH	NA	4.05	PS_HONDA HRS6_J.JUAN CH	NO	
407178	1/30/2014	ZSCR	551	034-9	NA	'054	5WK44547	NA	6593831401	5	1349	WARNING LABEL c/d/i HONDA	NA	ROH	NA	5.55	PS_HONDA HRS6_J.JUAN CH	NO	
407178	1/30/2014	ZSCR	551	034-9	NA	'054	5WK44320	NA	A2C53108387	15	1349	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	2.7	PS_HONDA HRS6_J.JUAN CH	NO	
407178	1/30/2014	ZSCR	551	034-9	NA	'054	5WK44689	NA	A2C53397769	5	1349	housing	NA	ROH	NA	103.75	PS_HONDA HRS6_J.JUAN CH	NO	
407178	1/30/2014	ZSCR	551	034-9	NA	'054	5WK44591	NA	A2C53397780	5	1349	cover	NA	ROH	NA	15.9	PS_HONDA HRS6_J.JUAN CH	NO	
