No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
102706	ZSCR	551	035-1	0	A2C53164057	NA	A2C00023789	20	"47nF,10%,50V,X7R,0603,Sn,CER CAP/GCM"		ROH	NA	0.4	4955027412
102706	ZSCR	551	035-1	0	A2C53164057B	NA	A2C00031915	1	"3R3,5%,TK200,1W,2512,LIN RES/ERJ"		ROH	NA	0.18	4955027420
102706	ZSCR	551	035-1	0	A2C53164057B	NA	A2C00053545	5	"S9S12Q128VFUE1,OM66G,QFP80,FLASH,0bit,MI"		ROH	NA	107	4955027420
102706	ZSCR	551	035-1	0	A2C53169947	NA	A2C00042254	1	POLYFUSE MINISMDC050		ROH	NA	1.2	4955027430
102706	ZSCR	551	035-1	0	A2C53305117	NA	A2C00002070	4	"C CER,X7R,22nF,10%,100V,0805,Sn"		ROH	NA	0.16	4955027552
102706	ZSCR	551	035-1	0	A2C53305117	NA	A2C00019447	3	"51uH,800mA,SMD,CAN COIL/++ recommendatio"		ROH	NA	4.5	4955027552
102706	ZSCR	551	035-1	0	A2C53305117	NA	A2C00023789	8	"47nF,10%,50V,X7R,0603,Sn,CER CAP/GCM"		ROH	NA	0.16	4955027552
102706	ZSCR	551	035-1	0	A2C53305117	NA	A2C00018230	1	"400V,1A,1,STANDARD,DO214AC,RECT DIODE/S1"		ROH	NA	0.18	4955027552
102706	ZSCR	551	035-1	0	A2C53305117	NA	A2C00002070	4	"C CER,X7R,22nF,10%,100V,0805,Sn"		ROH	NA	0.16	4955027552
102706	ZSCR	551	035-1	0	A2C53305117	NA	A2C00019447	3	"51uH,800mA,SMD,CAN COIL/++ recommendatio"		ROH	NA	4.5	4955027552
102706	ZSCR	551	035-1	0	A2C53305117	NA	A2C00023789	8	"47nF,10%,50V,X7R,0603,Sn,CER CAP/GCM"		ROH	NA	0.16	4955027552
102706	ZSCR	551	035-1	0	A2C53305117	NA	A2C00018230	1	"400V,1A,1,STANDARD,DO214AC,RECT DIODE/S1"		ROH	NA	0.18	4955027552
102706	ZSCR	551	035-1	0	A2C53305117B	NA	A2C00031915	11	"3R3,5%,TK200,1W,2512,LIN RES/ERJ"		ROH	NA	1.98	4955027552
102706	ZSCR	551	035-1	0	A2C53305117B	NA	A2C00041235	5	QUARTZ		ROH	NA	14.15	4955027552
102706	ZSCR	551	035-1	0	A2C53305117B	NA	A2C00002070	21	"C CER,X7R,22nF,10%,100V,0805,Sn"		ROH	NA	0.84	4955027552
102706	ZSCR	551	035-1	0	A2C53305117B	NA	A2C00016420	4	"28.8V,220mOhm,P-DSO-28-14,GENERAL PURPOS"		ROH	NA	35.28	4955027552
102706	ZSCR	551	035-1	0	A2C53305117B	NA	A2C00002498	2	"10uF,10%,16V,SMD,TA,ELEC CAP/"		ROH	NA	1.54	4955027552
102706	ZSCR	551	035-1	0	A2C53305117B	NA	A2C00043986	5	"EEPROM,16kBit,2048*8,0s,SO8,-40C,125C,ME"		ROH	NA	8	4955027552
102706	ZSCR	551	035-1	0	A2C53305117B	NA	A2C00005665	5	"RF-IC,PCF7991AT/1081//M, SO14, Advanced"		ROH	NA	28.2	4955027552
102706	ZSCR	551	035-1	0	A2C53305117B	NA	A2C00046387	4	"1nF,2%,100V,C0G,1206,Sn,CER CAP/"		ROH	NA	2.24	4955027552
102706	ZSCR	551	035-1	0	A2C53305117B	NA	A2C00053545	5	"S9S12Q128VFUE1,OM66G,QFP80,FLASH,0bit,MI"		ROH	NA	107	4955027552
102706	ZSCR	551	035-1	0	A2C53305117B	NA	A2C00021728	3	"LIN Transceiver with wake up function,OT"		ROH	NA	8.7	4955027552
102706	ZSCR	551	035-1	0	A2C53164055	NA	A2C00002070	9	"C CER,X7R,22nF,10%,100V,0805,Sn"		ROH	NA	0.36	4955027404
102706	ZSCR	551	035-1	0	A2C53164055	NA	A2C00003528	3	"2K4,5%,TK250,250mW,1206,LIN RES/"		ROH	NA	0.06	4955027404
102706	ZSCR	551	035-1	0	A2C53164055	NA	A2C00019447	5	"51uH,800mA,SMD,CAN COIL/++ recommendatio"		ROH	NA	7.5	4955027404
102706	ZSCR	551	035-1	0	A2C53164055	NA	A2C00003781	1	"15K,5%,TK200,63mW,0603,LIN RES/"		ROH	NA	0.01	4955027404
102706	ZSCR	551	035-1	0	A2C53164055	NA	A2C00020117	34	"13V,300mW,SOT23,ZENER/BZX84 C13"		ROH	NA	3.4	4955027404
102706	ZSCR	551	035-1	0	A2C53164055	NA	A2C00002070	9	"C CER,X7R,22nF,10%,100V,0805,Sn"		ROH	NA	0.36	4955027404
102706	ZSCR	551	035-1	0	A2C53164055	NA	A2C00023789	16	"47nF,10%,50V,X7R,0603,Sn,CER CAP/GCM"		ROH	NA	0.32	4955027404
102706	ZSCR	551	035-1	0	A2C53164055	NA	A2C00003528	3	"2K4,5%,TK250,250mW,1206,LIN RES/"		ROH	NA	0.06	4955027404
102706	ZSCR	551	035-1	0	A2C53164055	NA	A2C00019447	5	"51uH,800mA,SMD,CAN COIL/++ recommendatio"		ROH	NA	7.5	4955027404
102706	ZSCR	551	035-1	0	A2C53164055	NA	A2C00003781	1	"15K,5%,TK200,63mW,0603,LIN RES/"		ROH	NA	0.01	4955027404
102706	ZSCR	551	035-1	0	A2C53164055	NA	A2C00020117	34	"13V,300mW,SOT23,ZENER/BZX84 C13"		ROH	NA	3.4	4955027404
102706	ZSCR	551	035-1	0	A2C53164055	NA	A2C00023789	16	"47nF,10%,50V,X7R,0603,Sn,CER CAP/GCM"		ROH	NA	0.32	4955027404
102707	ZSCR	551	035-1	0	6598177632	NA	6577362054	3	"100NF,10%,50V,X7R,0805,NISN,CE"		ROH	NA	0.15	4955026881
102707	ZSCR	551	035-1	0	6598177632	NA	A2C00049618	4	"IC OTH/PCF7941ATS/M2AB1200,SSOP20"		ROH	NA	38.6	4955026881
102707	ZSCR	551	035-1	0	6598177632	NA	6577362054	3	"100NF,10%,50V,X7R,0805,NISN,CE"		ROH	NA	0.15	4955026881
102707	ZSCR	551	035-1	0	6598177632	NA	A2C00049618	4	"IC OTH/PCF7941ATS/M2AB1200,SSOP20"		ROH	NA	38.6	4955026881
