No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP									
150318	ZSCR	551	030-1	NA	A2C53429875	NA	A2C53429875A	3	3011	054		1301	Hyundai circuit board assy 12FL SMD Top	NA	HALB	S.Real	541.29	PS_HYUNDAI_GERARDO ECHE	4957841710									
150319	ZSCR	551	030-1	NA	A2C53429875	NA	A2C53429875A	1	3011	054		1301	Hyundai circuit board assy 12FL SMD Top	NA	HALB	S.Real	180.43	PS_HYUNDAI_GERARDO ECHE	4957841710									
150322	ZSCR	551	030-1	NA	A2C53189515MI	NA	A2C53189515A	1	3011	054		1301	SMD assy W/S 212 WITH PPS/RO side A	NA	HALB	S.Real	473.77	PS_ARAMIS II MCG_GERARD	4957841471									
150324	ZSCR	551	030-1	NA	A2C53375511MI	NA	A2C53375511A	1	3011	054		1301	SMD Assy C218 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real	406.32	PS_ARAMIS III_GERARDO E	4957841351									
150326	ZSCR	551	030-1	NA	A2C53375496MI2	NA	A2C53375496A2	1	3011	054		1301	SMD Assy W/S204 WO/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	256.47	PS_ARAMIS III_GERARDO E	4957841318									
150331	ZSCR	551	030-1	NA	5WK44288	NA	A2C53367547	1	3011	054		1301	ACU VW10 MY10 16 NAR BOSE	NA	HALB	S.Real	283.53	PS_VW10 LC_GERARDO ECHE	4957841031									
150332	ZSCR	551	030-1	NA	A2C53189515MI	NA	A2C53189515A	1	3011	054		1301	SMD assy W/S 212 WITH PPS/RO side A	NA	HALB	S.Real	473.77	PS_ARAMIS II MCG_GERARD	4957841471									
150333	ZSCR	551	030-1	NA	A2C53189515MI	NA	A2C53189515A	1	3011	054		1301	SMD assy W/S 212 WITH PPS/RO side A	NA	HALB	S.Real	473.77	PS_ARAMIS II MCG_GERARD	4957841471									
150334	ZSCR	551	030-1	NA	A2C53189515MI	NA	A2C53189515A	1	3011	054		1301	SMD assy W/S 212 WITH PPS/RO side A	NA	HALB	S.Real	473.77	PS_ARAMIS II MCG_GERARD	4957841471									
150335	ZSCR	551	030-1	NA	A2C53375496MI2	NA	A2C53375496A2	1	3011	054		1301	SMD Assy W/S204 WO/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	256.47	PS_ARAMIS III_GERARDO E	4957841318									
150336	ZSCR	551	030-1	NA	A2C53375496MI2	NA	A2C53375496A2	1	3011	054		1301	SMD Assy W/S204 WO/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	256.47	PS_ARAMIS III_GERARDO E	4957841318									
150337	ZSCR	551	030-1	NA	A2C53375496MI2	NA	A2C53375496A2	1	3011	054		1301	SMD Assy W/S204 WO/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	256.47	PS_ARAMIS III_GERARDO E	4957841318									
150338	ZSCR	551	030-1	NA	A2C53375511MI	NA	A2C53375511A	1	3011	054		1301	SMD Assy C218 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real	406.32	PS_ARAMIS III_GERARDO E	4957841351									
150340	ZSCR	551	030-1	NA	A2C53375511MI	NA	A2C53375511A	1	3011	054		1301	SMD Assy C218 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real	406.32	PS_ARAMIS III_GERARDO E	4957841351									
150341	ZSCR	551	030-1	NA	A2C53345669MI	NA	A2C53345669A	1	3011	054		1301	SMD Assy R172 ECE with PyroPPSg with RO	NA	HALB	S.Real	400.7	PS_ARAMIS III_GERARDO E	4957841342									
150342	ZSCR	551	030-1	NA	A2C53375511MI	NA	A2C53375511A	1	3011	054		1301	SMD Assy C218 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real	406.32	PS_ARAMIS III_GERARDO E	4957841351									
150343	ZSCR	551	030-1	NA	A2C53375511MI	NA	A2C53375511A	1	3011	054		1301	SMD Assy C218 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real	406.32	PS_ARAMIS III_GERARDO E	4957841351									
150344	ZSCR	551	030-1	NA	5WK44524	NA	A2C53375496MI2	1	3011	054		1301	MI Assy W/S204 WO/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	309.88	PS_ARAMIS III_GERARDO E	4957841281									
150349	ZSCR	551	030-1	NA	A2C53362292	NA	A2C53383913A	1	3011	054		1301	SMD ACCORD 11 TOP	NA	HALB	S.Real	254.01	PS_HONDA ACCORD_GERARDO	4957841672									
150353	ZSCR	551	030-1	NA	A2C53362292	NA	A2C53383913A	1	3011	054		1301	SMD ACCORD 11 TOP	NA	HALB	S.Real	254.01	PS_HONDA ACCORD_GERARDO	4957841672									
150354	ZSCR	551	030-1	NA	A2C53367544	NA	A2C53374378A	1	3011	054		1301	VW10 circuit board assy 12FL SMD Top	NA	HALB	S.Real	173.97	PS_VW10 LC_GERARDO ECHE	4957841043									
150355	ZSCR	551	030-1	NA	A2C53367544	NA	A2C53374378A	1	3011	054		1301	VW10 circuit board assy 12FL SMD Top	NA	HALB	S.Real	173.97	PS_VW10 LC_GERARDO ECHE	4957841043									
150356	ZSCR	551	030-1	NA	A2C53367544	NA	A2C53374378A	1	3011	054		1301	VW10 circuit board assy 12FL SMD Top	NA	HALB	S.Real	173.97	PS_VW10 LC_GERARDO ECHE	4957841043									
150357	ZSCR	551	030-1	NA	A2C53367544	NA	A2C53374378A	1	3011	054		1301	VW10 circuit board assy 12FL SMD Top	NA	HALB	S.Real	173.97	PS_VW10 LC_GERARDO ECHE	4957841043									
150358	ZSCR	551	030-1	NA	A2C53364457	NA	A2C53364457A	1	3011	054		1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	76.78	OC_BOSE VW_GERARDO ECHE	4957841421									
150359	ZSCR	551	030-1	NA	A2C53364457	NA	A2C53364457A	1	3011	054		1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	76.78	OC_BOSE VW_GERARDO ECHE	4957841421									
150360	ZSCR	551	030-1	NA	A2C53364457	NA	A2C53364457A	1	3011	054		1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	76.78	OC_BOSE VW_GERARDO ECHE	4957841421									
150361	ZSCR	551	030-1	NA	A2C53364457	NA	A2C53364457A	1	3011	054		1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	76.78	OC_BOSE VW_GERARDO ECHE	4957841421									
150362	ZSCR	551	030-1	NA	A2C53364457	NA	A2C53364457A	1	3011	054		1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	76.78	OC_BOSE VW_GERARDO ECHE	4957841421									
150363	ZSCR	551	030-1	NA	5WK44291	NA	A2C53395078	1	3011	054		1301	pcb assy	NA	HALB	S.Real	82.64	OC_BOSE BMW_GERARDO EC	4957841382									
150364	ZSCR	551	030-1	NA	5WK44291	NA	A2C53395078	1	3011	054		1301	pcb assy	NA	HALB	S.Real	82.64	OC_BOSE BMW_GERARDO EC	4957841382									
150365	ZSCR	551	030-1	NA	5WK44291	NA	A2C53395078	1	3011	054		1301	pcb assy	NA	HALB	S.Real	82.64	OC_BOSE BMW_GERARDO EC	4957841382									
150366	ZSCR	551	030-1	NA	5WK44291	NA	A2C53395078	1	3011	054		1301	pcb assy	NA	HALB	S.Real	82.64	OC_BOSE BMW_GERARDO EC	4957841382									
150367	ZSCR	551	030-1	NA	5WK44291	NA	A2C53395078	1	3011	054		1301	pcb assy	NA	HALB	S.Real	82.64	OC_BOSE BMW_GERARDO EC	4957841382									
150368	ZSCR	551	030-1	NA	A2C32682200	NA	A2C53391886	1				1301	circuit board assy	NA	HALB	S.Real	202.96	PSAD_EPSILON_GERARDO EC	4957840959									
150374	ZSCR	551	030-1	NA	A2C53388685MI	NA	A2C53388685	3	3011	054		1301	pcb assy	NA	HALB	S.Real	1184.16	PS_ARAMIS 2011_GERARDO	4957841439									
150383	ZSCR	551	030-1	NA	A2C53367544	NA	A2C53374378A	6	3011	054		1301	VW10 circuit board assy 12FL SMD Top	NA	HALB	S.Real	1043.82	PS_VW10 LC_GERARDO ECHE	4957841043									
150385	ZSCR	551	030-1	NA	A2C53367544	NA	A2C53374378A	6	3011	054		1301	VW10 circuit board assy 12FL SMD Top	NA	HALB	S.Real	1043.82	PS_VW10 LC_GERARDO ECHE	4957841043									
