No.Item	Fecha		Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
224384	28/10/2012		ZSCR	551	042-4	NA	'054	5WK43871	NA	A2C53189515MI	2	1424	Manual insertion assy W/S 212 WITH PPS/R	NA	HALB	S.Real	1136.76	PS_ARAMIS II MCG_FERNAN	NO			
224386	28/10/2012		ZSCR	551	040-1	NA	'054	5WK43871	NA	A2C53189515MI	1	1401	Manual insertion assy W/S 212 WITH PPS/R	NA	HALB	S.Real	568.38	PS_ARAMIS II MCG_FERNAN	NO			
224390	28/10/2012		MB1A	551	040-3	K96019	'054	NA	NA	A2C80216600	1	1095	pcb assy HONHRS6 V04	NA	HALB	S.Real	357.49	PS_HONDA HRS6_JUAN CHAV	NO	4962324868		
224392	28/10/2012		MB1A	551	034-4	K96019	'054	NA	NA	A2C80216600	1	1095	pcb assy HONHRS6 V04	NA	HALB	S.Real	357.49	PS_HONDA HRS6_JUAN CHAV	NO	4962324868		
224394	28/10/2012		MB1A	551	040-1	K96019	'054	NA	NA	A2C31080700	1	1095	IM Chrysler RT ORC MY13	NA	HALB	S.Real	385.91	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
224396	28/10/2012		MB1A	551	040-1	K96019	'054	NA	NA	A2C31080700	1	1095	IM Chrysler RT ORC MY13	NA	HALB	S.Real	385.91	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
224403	28/10/2012		ZSCR	551	040-1	NA	'054	5WK44354	NA	A2C53429875	1	1401	pcb assy PTFSPEED10 V10	NA	HALB	S.Real	229.01	PS_HYUNDAI_	NO			
224406	28/10/2012		ZSCR	551	040-1	NA	'054	5WK43871	NA	A2C53108387	1	1401	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	0.19	PS_ARAMIS II MCG_FERNAN	NO	4962326006		
224406	28/10/2012		ZSCR	551	040-1	NA	'054	5WK43807	NA	A2C53108376	1	1401	"housing FIP 175,0x 152,0"	NA	ROH	NA	21.54	PS_ARAMIS II MCG_FERNAN	NO	4962325574		
224406	28/10/2012		ZSCR	551	040-1	NA	'054	5WK43871	NA	A2C53108377	1	1401	cover FIP T GY	NA	ROH	NA	3.72	PS_ARAMIS II MCG_FERNAN	NO	4962326006		
224406	28/10/2012		ZSCR	551	040-1	NA	'054	5WK43871	NA	A2C53189515MI	1	1401	Manual insertion assy W/S 212 WITH PPS/R	NA	HALB	S.Real	568.38	PS_ARAMIS II MCG_FERNAN	NO			
224487	28/10/2012		ZSCR	551	040-5	NA	'054	A2C53189515MI	NA	A2C53189515A	1	1405	SMD assy W/S 212 WITH PPS/RO side A	NA	HALB	S.Real	473.77	PS_ARAMIS II MCG_FERNAN	NO			
224488	28/10/2012		ZSCR	551	040-5	NA	'054	A2C53189515MI	NA	A2C53189515A	1	1405	SMD assy W/S 212 WITH PPS/RO side A	NA	HALB	S.Real	473.77	PS_ARAMIS II MCG_FERNAN	NO			
224489	28/10/2012		ZSCR	551	040-5	NA	'054	A2C53189515MI	NA	A2C53189515A	1	1405	SMD assy W/S 212 WITH PPS/RO side A	NA	HALB	S.Real	473.77	PS_ARAMIS II MCG_FERNAN	NO			
224759	29/10/2012		ZSCR	551	034-2	NA	'054	5WK44749	NA	A2C53108387	56	1342	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	10.64	PS_HONDA HRS5_	NO	4962326492		
224759	29/10/2012		ZSCR	551	034-2	NA	'054	5WK44749	NA	6593331401	100	1342	ETIQUETA DE IDENTIFIC. HONDA	NA	ROH	NA	29	PS_HONDA HRS5_	NO	4962326492		
224759	29/10/2012		ZSCR	551	034-2	NA	'054	5WK44749	NA	A2C53397780	2	1342	COVER	NA	ROH	NA	16.9	PS_HONDA HRS5_	NO	4962326492		
224759	29/10/2012		ZSCR	551	034-2	NA	'054	5WK44749	NA	A2C53397769	7	1342	housing	NA	ROH	NA	163.17	PS_HONDA HRS5_	NO	4962326492		
224761	29/10/2012		ZSCR	551	034-2	NA	'054	5WK43871	NA	A2C53324560	100	1342	certification label spool part p	NA	ROH	NA	50	PS_ARAMIS II MCG_FERNAN	NO	4962326006		
224761	29/10/2012		ZSCR	551	034-2	NA	'054	5WY86930	NA	A2C53108379	3	1342	cover FIP T GY	NA	ROH	NA	9.96	PS_ARAMIS II MCG_FERNAN	NO	4962326220		
224761	29/10/2012		ZSCR	551	034-2	NA	'054	5WK43871	NA	A2C53108377	1	1342	cover FIP T GY	NA	ROH	NA	3.72	PS_ARAMIS II MCG_FERNAN	NO	4962326006		
224762	29/10/2012		MB1A	551	034-2	K96019	'054	NA	NA	A2C53436156	6	1095	cover RAP T BK	NA	ROH	NA	36.48	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
224762	29/10/2012		MB1A	551	034-2	K96019	'054	NA	NA	A2C30199000	3	1095	base plate	NA	ROH	NA	20.64	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
224763	29/10/2012		ZSCR	551	034-2	NA	'054	5WK44286	NA	A2C00027389	51	1342	COVER	NA	ROH	NA	140.25	PS_VW10 LC_ULISES VILLE	NO	4962328194		
224763	29/10/2012		ZSCR	551	034-2	NA	'054	5WK44288	NA	A2C00014697	100	1342	sticker	NA	ROH	NA	51	PS_VW10 LC_ULISES VILLE	NO	4962328266		
224764	29/10/2012		ZSCR	551	034-2	NA	'054	5WK44286	NA	A2C00027389	70	1342	COVER	NA	ROH	NA	192.5	PS_VW10 LC_ULISES VILLE	NO	4962328194		
224765	29/10/2012		ZSCR	551	034-2	NA	'054	5WK44749	NA	A2C53397769	4	1342	housing	NA	ROH	NA	93.24	PS_HONDA HRS5_	NO	4962326492		
224765	29/10/2012		ZSCR	551	034-2	NA	'054	5WK44749	NA	A2C53397780	7	1342	COVER	NA	ROH	NA	59.15	PS_HONDA HRS5_	NO	4962326492		
224766	29/10/2012		ZSCR	551	034-2	NA	'054	5WY86930	NA	A2C53324560	100	1342	certification label spool part p	NA	ROH	NA	50	PS_ARAMIS 2012_EDWIN RO	NO	4962325381		
224767	29/10/2012		ZSCR	551	034-2	NA	'054	5WK43871	NA	A2C53108376	2	1342	"housing FIP 175,0x 152,0"	NA	ROH	NA	43.08	PS_ARAMIS II MCG_FERNAN	NO	4962326006		
224767	29/10/2012		ZSCR	551	034-2	NA	'054	5WK43871	NA	A2C53108377	5	1342	cover FIP T GY	NA	ROH	NA	18.6	PS_ARAMIS II MCG_FERNAN	NO	4962326006		
224767	29/10/2012		ZSCR	551	034-2	NA	'054	5WY86930	NA	A2C53108379	16	1342	cover FIP T GY	NA	ROH	NA	53.12	PS_ARAMIS II MCG_FERNAN	NO	4962326220		
224768	29/10/2012		MB1A	551	040-2	K96019	'054	NA	NA	A2C31080700	6	1095	IM Chrysler RT ORC MY13	NA	HALB	S.Real	2315.46	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
224769	29/10/2012		ZSCR	551	034-2	NA	'054	5WK44252	NA	A2C53364457	4	1342	pcb assy	NA	HALB	S.Real	421.4	OC_BOSE VW_ANA TAPIA-VI	NO			
224772	29/10/2012		ZSCR	551	034-2	NA	'054	5WK44354	NA	A2C53429875	1	1342	pcb assy PTFSPEED10 V10	NA	HALB	S.Real	229.01	PS_HYUNDAI_	NO			
224804	29/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8334150093	1	1095	pcb topSMD TOP	NA	HALB	S.Real	234.04	PS_SDM10+_CAROLINA OTAN	NO	4962324916		
224805	29/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8334150093	1	1095	pcb topSMD TOP	NA	HALB	S.Real	234.04	PS_SDM10+_CAROLINA OTAN	NO	4962324916		
224806	29/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8334150093	1	1095	pcb topSMD TOP	NA	HALB	S.Real	234.04	PS_SDM10+_CAROLINA OTAN	NO	4962324916		
224808	29/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8334150093	1	1095	pcb topSMD TOP	NA	HALB	S.Real	234.04	PS_SDM10+_CAROLINA OTAN	NO	4962324916		
224809	29/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8334150093	1	1095	pcb topSMD TOP	NA	HALB	S.Real	234.04	PS_SDM10+_CAROLINA OTAN	NO	4962324916		
224843	29/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8334150093	1	1095	pcb topSMD TOP	NA	HALB	S.Real	234.04	PS_SDM10+_CAROLINA OTAN	NO	4962324916		
224844	29/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8334150093	1	1095	pcb topSMD TOP	NA	HALB	S.Real	234.04	PS_SDM10+_CAROLINA OTAN	NO	4962324916		
224850	29/10/2012		ZSCR	551	030-1	NA	'054	A2C53417068A	NA	A2C53374377	1	1301	pcb VW ZZDIV AC	NA	ROH	NA	16.33	PS_VW10 LC_ULISES VILLE	NO	4962328436		
224852	29/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C3108070093	1	1095	SMT Top Chrysler RT ORC MY13	NA	HALB	S.Real	334.15	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
224853	29/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8021660093	1	1095	pcb assy HONHRS6 V04 TOP	NA	HALB	S.Real	308.98	PS_HONDA HRS6_JUAN CHAV	NO	4962324886		
224885	29/10/2012		ZSCR	551	030-1	NA	'054	A2C53367547	NA	A2C53372300A	1	1301	VW10G circuit board assy 16FL SMD Top	NA	HALB	S.Real	219.85	PS_VW10 LC_ULISES VILLE	NO			
224886	29/10/2012		ZSCR	551	030-1	NA	'054	A2C53364457	NA	A2C53364457A	1	1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	76.78	OC_BOSE VW_ANA TAPIA-VI	NO			
224887	29/10/2012		ZSCR	551	030-1	NA	'054	A2C53364457	NA	A2C53364457A	1	1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	76.78	OC_BOSE VW_ANA TAPIA-VI	NO			
224888	29/10/2012		ZSCR	551	030-1	NA	'054	A2C53364457	NA	A2C53364457A	1	1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	76.78	OC_BOSE VW_ANA TAPIA-VI	NO			
224889	29/10/2012		ZSCR	551	030-1	NA	'054	A2C53364457	NA	A2C53364457A	1	1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	76.78	OC_BOSE VW_ANA TAPIA-VI	NO			
224890	29/10/2012		ZSCR	551	030-1	NA	'054	A2C53364457A	NA	A2C53364453	2	1301	pcb IEEZZDIV BOSE IEE VW3	NA	ROH	NA	17.16	OC_BOSE VW_ANA TAPIA-VI	NO	4962325108		
224905	29/10/2012		ZSCR	551	030-1	NA	'054	A2C53375499MI2	NA	A2C53375499A2	1	1301	SMD Assy W/S 204 W/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	285.41	PS_ARAMIS III_FERNANDO	NO			
224907	29/10/2012		ZSCR	551	030-1	NA	'054	A2C53375499MI2	NA	A2C53375499A2	1	1301	SMD Assy W/S 204 W/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	285.41	PS_ARAMIS III_FERNANDO	NO			
224909	29/10/2012		ZSCR	551	030-1	NA	'054	A2C53375499MI2	NA	A2C53375499A2	1	1301	SMD Assy W/S 204 W/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	285.41	PS_ARAMIS III_FERNANDO	NO			
224910	29/10/2012		ZSCR	551	030-1	NA	'054	A2C53375499MI2	NA	A2C53375499A2	1	1301	SMD Assy W/S 204 W/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	285.41	PS_ARAMIS III_FERNANDO	NO			
224933	29/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C3268040093	1	1095	pcb assy HONHRS6 V11 top side	NA	HALB	S.Real	318.12	PS_HONDA HRS6_JUAN CHAV	NO	4962324886		
224934	29/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C3268040093	1	1095	pcb assy HONHRS6 V11 top side	NA	HALB	S.Real	318.12	PS_HONDA HRS6_JUAN CHAV	NO	4962324886		
224936	29/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8397190093	1	1095	pcb topSMD top	NA	HALB	S.Real	356.67	PS_SDM10+_CAROLINA OTAN	NO	4962324916		
224938	29/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C3108070093	1	1095	SMT Top Chrysler RT ORC MY13	NA	HALB	S.Real	334.15	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
224943	29/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C3108070093	1	1095	SMT Top Chrysler RT ORC MY13	NA	HALB	S.Real	334.15	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
224944	29/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C3108070093	1	1095	SMT Top Chrysler RT ORC MY13	NA	HALB	S.Real	334.15	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
224946	29/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C3108070093	1	1095	SMT Top Chrysler RT ORC MY13	NA	HALB	S.Real	334.15	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
224951	29/10/2012		ZSCR	551	030-1	NA	'054	5WK44291	NA	A2C53395078	14	1301	pcb assy	NA	HALB	S.Real	1156.96	OC_BOSE BMW_ANA TAPIA-V	NO			
224952	29/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C30816300	60	1095	pcb SVI	NA	ROH	NA	1122	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
224956	29/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C34638400	4	1095	pcb 6-lay main	NA	ROH	NA	98.28	PS_SDM10+_CAROLINA OTAN	NO	4962324916		
224957	29/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8334150093	4	1095	pcb topSMD TOP	NA	HALB	S.Real	936.16	PS_SDM10+_CAROLINA OTAN	NO	4962324916		
224958	29/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C30816300	12	1095	pcb SVI	NA	ROH	NA	224.4	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
224959	29/10/2012		ZSCR	551	030-1	NA	'054	A2C53364457A	NA	A2C53364453	12	1301	pcb IEEZZDIV BOSE IEE VW3	NA	ROH	NA	102.96	OC_BOSE VW_ANA TAPIA-VI	NO	4962325108		
224960	29/10/2012		ZSCR	551	030-1	NA	'054	5WK44551	NA	A2C53287893	72	1301	pcb BMWOCE E70 OCE2007 EMC	NA	ROH	NA	502.56	OC_OCS NISSAN_ANA TAPIA	NO	4962325160		
224962	29/10/2012		ZSCR	551	030-1	NA	'054	A2C81542300	NA	A2C53342620	3	1301	pcb DC main	NA	ROH	NA	65.79	PS_ARAMIS 2012_EDWIN RO	NO	4962325465		
224962	29/10/2012		ZSCR	551	030-1	NA	'054	A2C81542300	NA	A2C53388687	3	1301	circuit board assy	NA	HALB	S.Real	1172.34	PS_ARAMIS 2012_EDWIN RO	NO			
224966	29/10/2012		ZSCR	551	030-1	NA	'054	A2C53399620	NA	A2C53399620A	1	1301	circuit board assy	NA	HALB	S.Real	190.03	PS_HONDA HRS6_JUAN CHAV	NO			
224967	29/10/2012		ZSCR	551	030-1	NA	'054	5WK44514	NA	A2C53399620	1	1301	pcb assy	NA	HALB	S.Real	232.64	PS_HONDA HRS6_JUAN CHAV	NO			
224968	29/10/2012		ZSCR	551	030-1	NA	'054	5WK44514	NA	A2C53399620	1	1301	pcb assy	NA	HALB	S.Real	232.64	PS_HONDA HRS6_JUAN CHAV	NO			
224984	29/10/2012		ZSCR	551	040-1	NA	'054	5WK44742	NA	A2C53375499MI2	1	1401	MI Assy W/S 204 W/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	338.82	PS_ARAMIS III_FERNANDO	NO			
224986	29/10/2012		ZSCR	551	040-1	NA	'054	5WK44742	NA	A2C53375499MI2	1	1401	MI Assy W/S 204 W/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	338.82	PS_ARAMIS III_FERNANDO	NO			
224987	29/10/2012		ZSCR	551	040-1	NA	'054	5WK44742	NA	A2C53375499MI2	1	1401	MI Assy W/S 204 W/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	338.82	PS_ARAMIS III_FERNANDO	NO			
224988	29/10/2012		ZSCR	551	042-4	NA	'054	5WK44742	NA	A2C53375499MI2	1	1424	MI Assy W/S 204 W/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	338.82	PS_ARAMIS III_FERNANDO	NO			
224989	29/10/2012		ZSCR	551	042-4	NA	'054	5WK44354	NA	A2C53429875	1	1424	pcb assy PTFSPEED10 V10	NA	HALB	S.Real	229.01	PS_HYUNDAI_	NO			
224990	29/10/2012		ZSCR	551	040-1	NA	'054	5WK44385	NA	A2C53390474	1	1401	ACU VW10 MY10 12 NAR BOSE	NA	HALB	S.Real	273.35	PS_VW10 LC_ULISES VILLE	NO			
224991	29/10/2012		ZSCR	551	050-3	NA	'054	5WK43611	NA	A2C53108385MI	2	1503	Manual insertion assy for CCG	NA	HALB	S.Real	890.48	PS_ARAMIS I_EDWIN RODRI	NO			
224993	29/10/2012		ZSCR	551	034-2	NA	'054	5WK44739	NA	A2C53375496MI2	2	1342	MI Assy W/S204 WO/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	619.76	PS_ARAMIS III_FERNANDO	NO			
224995	29/10/2012		ZSCR	551	042-4	NA	'054	5WK43968	NA	A2C53243156MI	1	1424	MI assy C207 WITHOUT PPS / RO	NA	HALB	S.Real	355.23	PS_ARAMIS II MCG_FERNAN	NO			
224996	29/10/2012		ZSCR	551	040-1	NA	'054	5WK44385	NA	A2C53390474	1	1401	ACU VW10 MY10 12 NAR BOSE	NA	HALB	S.Real	273.35	PS_VW10 LC_ULISES VILLE	NO			
224997	29/10/2012		MB1A	551	042-4	K96019	'054	NA	NA	A2C31080700	3	1095	IM Chrysler RT ORC MY13	NA	HALB	S.Real	1157.73	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
225031	29/10/2012		ZSCR	551	034-2	NA	'054	5WK44252	NA	A2C53355144	1	1342	housing	NA	ROH	NA	4.04	OC_BOSE VW_ANA TAPIA-VI	NO	4962325071		
225031	29/10/2012		ZSCR	551	034-2	NA	'054	5WK44252	NA	A2C53355145	1	1342	front plate	NA	ROH	NA	23.88	OC_BOSE VW_ANA TAPIA-VI	NO	4962325071		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375499A2	NA	A2C00010442	13	1351	"1K,1%,TK100,63mW,0402,LIN RES/CRCW"		ROH	NA	0.13	PS_ARAMIS III_FERNANDO	NO	4962326389		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375499A2	NA	A2C00046692	74	1351	"100nF,10%,50V,X7R,0603,Sn,CER CAP/GCM"		ROH	NA	2.22	PS_ARAMIS III_FERNANDO	NO	4962326389		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375499A2	NA	A2C00007695	7	1351	"2,NPN,RET,100mA,50V,SOT363,BIP/BCR135/R<"		ROH	NA	1.19	PS_ARAMIS III_FERNANDO	NO	4962326389		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375499A2	NA	A2C00004322	21	1351	"5K62,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.21	PS_ARAMIS III_FERNANDO	NO	4962326389		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375499A2	NA	A2C00047805	9	1351	"1nF,10%,200V,X7R,0805,Sn,CER CAP/ ++ Ope"		ROH	NA	0.99	PS_ARAMIS III_FERNANDO	NO	4962326389		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375499A2	NA	A2C00019592	64	1351	"R LIN,5K62,1%,TK100,63mW,0402"		ROH	NA	0.64	PS_ARAMIS III_FERNANDO	NO	4962326389		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375499A2	NA	A2C00056152	11	1351	"22uH,1.95A,SMD,COIL/"		ROH	NA	16.5	PS_ARAMIS III_FERNANDO	NO	4962326389		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375499A2	NA	A2C00004324	29	1351	"R LIN,22K1,1%,TK100,100mW,0603"		ROH	NA	0.29	PS_ARAMIS III_FERNANDO	NO	4962326389		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375499A2	NA	A2C00016442	11	1351	"R LIN,165R,1%,TK100,100mW,0603"		ROH	NA	0.22	PS_ARAMIS III_FERNANDO	NO	4962326389		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375498A2	NA	A2C00010442	16	1351	"1K,1%,TK100,63mW,0402,LIN RES/CRCW"		ROH	NA	0.16	PS_ARAMIS III_FERNANDO	NO	4962326381		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375498A2	NA	A2C53041436	94	1351	"1,NPN,RET,R<b>=10k,R<e-b>=47k,100mA,50V,"		ROH	NA	8.46	PS_ARAMIS III_FERNANDO	NO	4962326381		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375498A2	NA	A2C00031355	2	1351	"200V,250mA,1,FAST,SOD323,RECT DIODE/BAS2"		ROH	NA	0.2	PS_ARAMIS III_FERNANDO	NO	4962326381		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375498A2	NA	A2C00007695	111	1351	"2,NPN,RET,100mA,50V,SOT363,BIP/BCR135/R<"		ROH	NA	18.87	PS_ARAMIS III_FERNANDO	NO	4962326381		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375498A2	NA	A2C00046692	340	1351	"100nF,10%,50V,X7R,0603,Sn,CER CAP/GCM"		ROH	NA	10.2	PS_ARAMIS III_FERNANDO	NO	4962326381		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375498A2	NA	A2C00010877	8	1351	"R LIN,3K24,1%,TK100,100mW,0603"		ROH	NA	0.08	PS_ARAMIS III_FERNANDO	NO	4962326381		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375498A2	NA	A2C00019592	52	1351	"R LIN,5K62,1%,TK100,63mW,0402"		ROH	NA	0.52	PS_ARAMIS III_FERNANDO	NO	4962326381		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375498A2	NA	A2C00056152	73	1351	"22uH,1.95A,SMD,COIL/"		ROH	NA	109.5	PS_ARAMIS III_FERNANDO	NO	4962326381		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375498A2	NA	A2C00028102	10	1351	"2,OP AMP,0Hz,TSSOP8,OP-COMP/TLC2272-QPW"		ROH	NA	20.6	PS_ARAMIS III_FERNANDO	NO	4962326381		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375498A2	NA	A2C00004324	40	1351	"R LIN,22K1,1%,TK100,100mW,0603"		ROH	NA	0.4	PS_ARAMIS III_FERNANDO	NO	4962326381		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375498A2	NA	A2C00035033	2	1351	"1,N_CHAN,MOS,POWER,55V,23A,40mOhm,TO252/"		ROH	NA	3.02	PS_ARAMIS III_FERNANDO	NO	4962326381		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375498A2	NA	A2C00016442	13	1351	"R LIN,165R,1%,TK100,100mW,0603"		ROH	NA	0.26	PS_ARAMIS III_FERNANDO	NO	4962326381		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375497A2	NA	A2C00010442	10	1351	"1K,1%,TK100,63mW,0402,LIN RES/CRCW"		ROH	NA	0.1	PS_ARAMIS III_FERNANDO	NO	4962326364		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375497A2	NA	A2C00034350	5	1351	"32V,33V,7VA,FLYBACKCONV,TRAFO/"		ROH	NA	38.35	PS_ARAMIS III_FERNANDO	NO	4962326364		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375497A2	NA	A2C00047805	77	1351	"1nF,10%,200V,X7R,0805,Sn,CER CAP/ ++ Ope"		ROH	NA	8.47	PS_ARAMIS III_FERNANDO	NO	4962326364		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375497A2	NA	A2C00007695	37	1351	"2,NPN,RET,100mA,50V,SOT363,BIP/BCR135/R<"		ROH	NA	6.29	PS_ARAMIS III_FERNANDO	NO	4962326364		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375497A2	NA	A2C00046692	21	1351	"100nF,10%,50V,X7R,0603,Sn,CER CAP/GCM"		ROH	NA	0.63	PS_ARAMIS III_FERNANDO	NO	4962326364		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375497A2	NA	A2C00010877	11	1351	"R LIN,3K24,1%,TK100,100mW,0603"		ROH	NA	0.11	PS_ARAMIS III_FERNANDO	NO	4962326364		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375497A2	NA	A2C00004322	8	1351	"5K62,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.08	PS_ARAMIS III_FERNANDO	NO	4962326364		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375497A2	NA	A2C00019592	63	1351	"R LIN,5K62,1%,TK100,63mW,0402"		ROH	NA	0.63	PS_ARAMIS III_FERNANDO	NO	4962326364		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375497A2	NA	A2C00054239	49	1351	"600V,1.5A,1,STANDARD,SMB/DO214AA,RECT DI"		ROH	NA	14.21	PS_ARAMIS III_FERNANDO	NO	4962326364		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375496A2	NA	A2C00010442	32	1351	"1K,1%,TK100,63mW,0402,LIN RES/CRCW"		ROH	NA	0.32	PS_ARAMIS III_FERNANDO	NO	4962326351		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375496A2	NA	A2C53041436	47	1351	"1,NPN,RET,R<b>=10k,R<e-b>=47k,100mA,50V,"		ROH	NA	4.23	PS_ARAMIS III_FERNANDO	NO	4962326351		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375496A2	NA	A2C00046692	415	1351	"100nF,10%,50V,X7R,0603,Sn,CER CAP/GCM"		ROH	NA	12.45	PS_ARAMIS III_FERNANDO	NO	4962326351		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375496A2	NA	A2C00004322	17	1351	"5K62,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.17	PS_ARAMIS III_FERNANDO	NO	4962326351		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375496A2	NA	A2C00052767	10	1351	"100uH,1A,SMD,COIL/"		ROH	NA	28.3	PS_ARAMIS III_FERNANDO	NO	4962326351		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375496A2	NA	A2C00019592	151	1351	"R LIN,5K62,1%,TK100,63mW,0402"		ROH	NA	1.51	PS_ARAMIS III_FERNANDO	NO	4962326351		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375496A2	NA	A2C00056152	27	1351	"22uH,1.95A,SMD,COIL/"		ROH	NA	40.5	PS_ARAMIS III_FERNANDO	NO	4962326351		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375496A2	NA	A2C00004324	75	1351	"R LIN,22K1,1%,TK100,100mW,0603"		ROH	NA	0.75	PS_ARAMIS III_FERNANDO	NO	4962326351		
225066	29/10/2012		ZSCR	551	035-1	0	'054	A2C53375496A2	NA	A2C00003779	635	1351	"R LIN,100R,5%,TK200,100mW,0603"		ROH	NA	6.35	PS_ARAMIS III_FERNANDO	NO	4962326351		
