No.Item	Fecha		Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
223935	27/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C3108070093	1	1095	SMT Top Chrysler RT ORC MY13	NA	HALB	S.Real	334.15	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
223937	27/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C3108070093	1	1095	SMT Top Chrysler RT ORC MY13	NA	HALB	S.Real	334.15	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
223938	27/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C3250900093	1	1095	circuit board assy TOP side VW20	NA	HALB	S.Real	143.9	PSAD_VW20_ULISES VILLEG	NO	4962324941		
223940	27/10/2012		MB1A	551	040-5	K96019	'054	NA	NA	A2C3250900093	1	1095	circuit board assy TOP side VW20	NA	HALB	S.Real	143.9	PSAD_VW20_ULISES VILLEG	NO	4962324941		
223943	27/10/2012		MB1A	551	040-5	K96019	'054	NA	NA	A2C3250900093	1	1095	circuit board assy TOP side VW20	NA	HALB	S.Real	143.9	PSAD_VW20_ULISES VILLEG	NO	4962324941		
223957	27/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8334150093	1	1095	pcb topSMD TOP	NA	HALB	S.Real	234.04	PS_SDM10+_CAROLINA OTAN	NO	4962324916		
223961	27/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8334150093	1	1095	pcb topSMD TOP	NA	HALB	S.Real	234.04	PS_SDM10+_CAROLINA OTAN	NO	4962324916		
223981	27/10/2012		MB1A	551	034-2	K96019	'054	NA	NA	A2C53436156	1	1095	cover RAP T BK	NA	ROH	NA	6.08	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
223985	27/10/2012		ZSCR	551	034-2	NA	'054	5WK44285	NA	A2C00014697	350	1342	sticker	NA	ROH	NA	178.5	PS_VW10 LC_ULISES VILLE	NO	4962328167		
223999	27/10/2012		ZSCR	551	034-2	NA	'054	5WK44673	NA	A2C53332366	7	1342	cover RAP T BK	NA	ROH	NA	31.5	PS_FIAT BRAZIL_EDWIN RO	NO	4962326450		
224001	27/10/2012		ZSCR	551	034-2	NA	'054	5WK44675	NA	A2C53332366	7	1342	cover RAP T BK	NA	ROH	NA	31.5	PS_FIAT BRAZIL_EDWIN RO	NO	4962326450		
224002	27/10/2012		ZSCR	551	034-2	NA	'054	5WK44675	NA	A2C53332366	7	1342	cover RAP T BK	NA	ROH	NA	31.5	PS_FIAT BRAZIL_EDWIN RO	NO	4962326450		
224004	27/10/2012		ZSCR	551	034-2	NA	'054	5WK44674	NA	A2C53332369	12	1342	base plate B	NA	ROH	NA	105.6	PS_FIAT BRAZIL_EDWIN RO	NO	4962326450		
224004	27/10/2012		ZSCR	551	034-2	NA	'054	5WK44675	NA	A2C53337250	30	1342	"pan head screw M3 x 8,00 1242"	NA	ROH	NA	4.8	PS_FIAT BRAZIL_EDWIN RO	NO	4962326450		
224004	27/10/2012		ZSCR	551	034-2	NA	'054	5WK44675	NA	A2C53332366	12	1342	cover RAP T BK	NA	ROH	NA	54	PS_FIAT BRAZIL_EDWIN RO	NO	4962326450		
224005	27/10/2012		MB1A	551	034-2	K96019	'054	NA	NA	A2C30199000	2	1095	base plate	NA	ROH	NA	13.76	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
224005	27/10/2012		MB1A	551	034-2	K96019	'054	NA	NA	A2C53436156	2	1095	cover RAP T BK	NA	ROH	NA	12.16	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
224006	27/10/2012		MB1A	551	034-2	K96019	'054	NA	NA	A2C53424040	40	1095	"pan head screw M3,5 x 12,00 1268"	NA	ROH	NA	12	PSAD_VW20_ULISES VILLEG	NO	4962324941		
224006	27/10/2012		MB1A	551	034-2	K96019	'054	NA	NA	A2C32519400	8	1095	COVER	NA	ROH	NA	66.72	PSAD_VW20_ULISES VILLEG	NO	4962324941		
224006	27/10/2012		MB1A	551	034-2	K96019	'054	NA	NA	A2C32519500	8	1095	base plate	NA	ROH	NA	50.96	PSAD_VW20_ULISES VILLEG	NO	4962324941		
224120	28/10/2012		ZSCR	551	034-2	NA	'054	5WY86930	NA	A2C53108379	1	1342	cover FIP T GY	NA	ROH	NA	3.32	PS_ARAMIS II MCG_FERNAN	NO	4962326220		
224120	28/10/2012		ZSCR	551	034-2	NA	'054	5WK43871	NA	A2C53324560	100	1342	certification label spool part p	NA	ROH	NA	50	PS_ARAMIS II MCG_FERNAN	NO	4962326006		
224120	28/10/2012		ZSCR	551	034-2	NA	'054	5WK43871	NA	A2C53108377	6	1342	cover FIP T GY	NA	ROH	NA	22.32	PS_ARAMIS II MCG_FERNAN	NO	4962326006		
224122	28/10/2012		ZSCR	551	034-2	NA	'054	5WK44252	NA	A2C53355145	3	1342	front plate	NA	ROH	NA	71.64	OC_BOSE VW_ANA TAPIA-VI	NO	4962325071		
