No.Item	Fecha	Txs SAP	Mov	C—digo Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	DŽficit Stock	No.Docto.SAP
421283	28/02/2014	ZSCR	551	034-2	NA	'015	68163903AB	NA	A2C73658000	2	1342	module assy BCU TIPM 7Ci MY13	NA	HALB	S.Real	419.16	S1_TIPM MEDIUM_P.PABLO	NO	4975635259
421395	28/02/2014	ZSCR	551	030-1	NA	'050	A2C73658000	NA	A2C73658000	13	1301	module assy BCU TIPM 7Ci MY13	NA	HALB	S.Real	2724.54	S1_TIPM MEDIUM_P.PABLO	NO	4975635248
421414	28/02/2014	ZSCR	551	040-5	NA	'015	68163903AB	NA	A2C73658100	1	1405	pcb topMAN BCU CHR PRODMY13	NA	HALB	S.Real/AutoBF	208.84	S1_TIPM MEDIUM_P.PABLO	NO	4975635187
421684	01/03/2014	ZSCR	551	034-2	NA	'050	A2C73658000	NA	A2C73658000	3	1342	module assy BCU TIPM 7Ci MY13	NA	HALB	S.Real	628.74	S1_TIPM MEDIUM_P.PABLO	NO	4975635259
422241	02/03/2014	ZSCR	551	034-2	NA	'015	5WY8844	NA	A2C31231400	3	1342	pcb topMAN BCU CHR 7Ci S1	NA	HALB	S.Real/AutoBF	679.98	S1_TIPM LOGIC_P.PABLO P	NO	4975635191
422245	02/03/2014	ZSCR	551	034-2	NA	'015	A2C33278700	NA	A2C33278700	4	1342	module assy BCU BUX LOG	NA	HALB	S.Real	910.6	S1_TIPM LOGIC_P.PABLO P	NO	4975635217
422424	02/03/2014	ZSCR	551	040-3	NA	'015	68163903AB	NA	A2C73658000	2	1403	module assy BCU TIPM 7Ci MY13	NA	HALB	S.Real	419.16	S1_TIPM MEDIUM_P.PABLO	NO	4975635274
422437	02/03/2014	ZSCR	551	040-3	NA	'015	68163903AB	NA	A2C33278700	4	1403	module assy BCU BUX LOG	NA	HALB	S.Real	910.6	S1_TIPM LOGIC_P.PABLO P	NO	4975635224
422525	02/03/2014	ZSCR	551	050-2	NA	'015	5WY8844	NA	A2C31231400	3	1502	pcb topMAN BCU CHR 7Ci S1	NA	HALB	S.Real/AutoBF	679.98	S1_TIPM LOGIC_P.PABLO P	NO	4975635204
422526	02/03/2014	ZSCR	551	034-2	NA	'015	68165691AB	NA	A2C33278700	2	1342	module assy BCU BUX LOG	NA	HALB	S.Real	455.3	S1_TIPM LOGIC_P.PABLO P	NO	4975635217
422547	03/03/2014	ZSCR	551	030-1	NA	'050	A2C32119300	NA	A2C32119300	2	1301	MY12 SPDJB HELIX PROGRAM ASM MODEL C	NA	HALB	S.Real	479.26	S1_SPDJB_P.PABLO PALMER	NO	4975635211
