No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	Reason Code	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
237451	25/11/2012	ZSCR	551	030-1	NA	'015	5WK49308	NA	A2C53215449-B	1	1301	"SMD BOT Assy US/Asia 313,85MHz 4 button"	NA	HALB	S.Real	33.57	S5_TXK_JORGE AGUILAR (A	NO	4963177049		
237452	25/11/2012	ZSCR	551	040-3	NA	'015	6598177632	NA	6598177632	3	1403	SMD CS - RS MINIVAN NA	NA	HALB	S.Real	71.19	S1_CORPORATE_ (APROBAC	NO	4963178288		
237459	26/11/2012	ZSCR	551	034-2	NA	'015	A2C53328412	NA	A2C53328412	8	1342	circuit board assy	NA	HALB	S.Real	745.04	S1_DCU_ADRIAN CEBALLOS	NO	4963178014		
237460	26/11/2012	ZSCR	551	030-1	NA	'015	A2C53328412	NA	A2C53328412	10	1301	circuit board assy	NA	HALB	S.Real	931.3	S1_DCU_ADRIAN CEBALLOS	NO	4963177077		
237461	26/11/2012	ZSCR	551	030-1	NA	'015	A2C53338452	NA	A2C53338452	5	1301	circuit board assy	NA	HALB	S.Real	299.45	S1_DCU_ADRIAN CEBALLOS	NO	4963177096		
237578	26/11/2012	ZSCR	551	030-1	NA	'015	5WK49308	NA	A2C53215449-B	3	1301	"SMD BOT Assy US/Asia 313,85MHz 4 button"	NA	HALB	S.Real	100.71	S5_TXK_JORGE AGUILAR (A	NO	4963177049		
237581	26/11/2012	ZSCR	551	030-1	NA	'015	5WK49308	NA	A2C53215449-B	1	1301	"SMD BOT Assy US/Asia 313,85MHz 4 button"	NA	HALB	S.Real	33.57	S5_TXK_JORGE AGUILAR (A	NO	4963177049		
237582	26/11/2012	ZSCR	551	030-1	NA	'015	5WK49308	NA	A2C53215449-B	1	1301	"SMD BOT Assy US/Asia 313,85MHz 4 button"	NA	HALB	S.Real	33.57	S5_TXK_JORGE AGUILAR (A	NO	4963177049		
237585	26/11/2012	ZSCR	551	030-1	NA	'015	5WK49309	NA	A2C5321554092	1	1301	circuit board assy HONDA KEY Bottom	NA	HALB	S.Real	31.91	S5_TXK_JORGE AGUILAR (A	NO	4963177055		
237587	26/11/2012	ZSCR	551	034-2	NA	'015	5WK49308	NA	A2C53215449-B	1	1342	"SMD BOT Assy US/Asia 313,85MHz 4 button"	NA	HALB	S.Real	33.57	S5_TXK_JORGE AGUILAR (A	NO	4963177932		
237590	26/11/2012	ZSCR	551	040-2	NA	'015	5WK49309	NA	A2C5321554092	1	1402	circuit board assy HONDA KEY Bottom	NA	HALB	S.Real	31.91	S5_TXK_JORGE AGUILAR (A	NO	4963178257		
237594	26/11/2012	ZSCR	551	040-2	NA	'015	5WY7632	NA	6598177632	10	1402	SMD CS - RS MINIVAN NA	NA	HALB	S.Real	237.3	S1_CORPORATE_ (APROBAC	NO	4963178245		
237598	26/11/2012	ZSCR	551	040-2	NA	'015	5WY7633	NA	6598177652	20	1402	SMD ASSY SKREEK KJ EU	NA	HALB	S.Real	469.8	S1_CORPORATE_ (APROBAC	NO	4963178254		
237699	26/11/2012	ZSCR	551	040-1	NA	'015	5WY7361	NA	A2C53310663	1	1401	circuit board assy CHR DCX MY	NA	HALB	S.Real	21.49	S1_LF_ADRIAN CEBALLOS (	NO	4963178168		
237702	26/11/2012	ZSCR	551	040-2	NA	'015	5WY7632	NA	6598177632	4	1402	SMD CS - RS MINIVAN NA	NA	HALB	S.Real	94.92	S1_CORPORATE_ (APROBAC	NO	4963178245		
237750	26/11/2012	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53345109	4	1342	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	245.72	S5_TG1C HONDA_MIGUEL QU	NO	4963178506		
237751	26/11/2012	ZSCR	551	034-2	NA	'015	A2C53402231	NA	A2C53402230	50	1342	module assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	2553.5	S5_TG1C HONDA_MIGUEL QU	NO	4963178519		
