No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	Reason Code	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
238486	28/11/2012	ZSCR	551	040-1	NA	'015	A2C53427192	NA	A2C53426161B	1	1401	SMD SUB ASSY SMART FOB BOT ACURA RDX 4B	NA	HALB	S.Real	67.7	S5_ACURA FOB_ENRIQUE GA	NO	4963178233		
238487	28/11/2012	ZSCR	551	030-1	NA	'015	5WK49521H	NA	A2C53105128	2	1301	Contact Spring positive	NA	ROH	NA	0.6	S5_ACURA FOB_ENRIQUE GA	NO	4963179938		
238487	28/11/2012	ZSCR	551	030-1	NA	'015	5WK49685	NA	A2C53278285	2	1301	housing bottom	NA	ROH	NA	3.16	S5_ACURA FOB_ENRIQUE GA	NO	4963180290		
238487	28/11/2012	ZSCR	551	030-1	NA	'015	5WK49685	NA	A2C53278283B	2	1301	SMD SUB ASSY SMART FOB TOP ACURA 09	NA	HALB	S.Real	134.02	S5_ACURA FOB_ENRIQUE GA	NO	4963177067		
238487	28/11/2012	ZSCR	551	030-1	NA	'015	5WK49685	NA	A2C53278282	2	1301	housing cover	NA	ROH	NA	2.82	S5_ACURA FOB_ENRIQUE GA	NO	4963180290		
238489	28/11/2012	ZSCR	551	030-1	NA	'015	5WK49685	NA	A2C53278285	1	1301	housing bottom	NA	ROH	NA	1.58	S5_ACURA FOB_ENRIQUE GA	NO	4963180290		
238489	28/11/2012	ZSCR	551	030-1	NA	'015	5WK49685	NA	A2C53278282	1	1301	housing cover	NA	ROH	NA	1.41	S5_ACURA FOB_ENRIQUE GA	NO	4963180290		
238489	28/11/2012	ZSCR	551	030-1	NA	'015	A2C83388400F	NA	A2C53278294	1	1301	circuit board assy HON HONDA	NA	HALB	S.Real/AutoBF	61.5	S5_ACURA FOB_ENRIQUE GA	NO	4963178440		
238489	28/11/2012	ZSCR	551	030-1	NA	'015	5WK49521H	NA	A2C53105128	1	1301	Contact Spring positive	NA	ROH	NA	0.3	S5_ACURA FOB_ENRIQUE GA	NO	4963179938		
238492	28/11/2012	ZSCR	551	040-1	NA	'015	5WK50173	NA	A2C53364288B	4	1401	SMD SUB ASSY SMART FOB BOT VARIANT 10	NA	HALB	S.Real	288.12	S5_SMART FOB_ENRIQUE GA	NO	4963178212		
238496	28/11/2012	ZSCR	551	034-2	NA	'015	5WK49829	NA	A2C53335966B	1	1342	SMD Assy Fob Mobilio HP (Bot)	NA	HALB	S.Real	73.23	S5_SMART FOB_ENRIQUE GA	NO	4963178019		
238497	28/11/2012	ZSCR	551	040-1	NA	'015	5WK49524	NA	A2C53311812B	1	1401	SMD SUB ASSY SMART FOB BOT V7	NA	HALB	S.Real	73.26	S5_SMART FOB_ENRIQUE GA	NO	4963178173		
238503	28/11/2012	ZSCR	551	034-2	NA	'015	A2C53427192	NA	A2C53426161B	1	1342	SMD SUB ASSY SMART FOB BOT ACURA RDX 4B	NA	HALB	S.Real	67.7	S5_ACURA FOB_ENRIQUE GA	NO	4963178111		
238514	28/11/2012	ZSCR	551	040-5	NA	'015	5WK49210	NA	A2C53190307	1	1405	circuit board assy	NA	HALB	S.Real	84.3	S5_RXM_JORGE AGUILAR	NO	4963178358		
238515	28/11/2012	ZSCR	551	034-2	NA	'015	5WK49215	NA	A2C53216751	2	1342	circuit board assy HONDA ZZDI V01 / E	NA	HALB	S.Real	162.44	S5_RXM_JORGE AGUILAR	NO	4963177951		
238517	28/11/2012	ZSCR	551	034-2	NA	'015	5WK49215	NA	A2C53216751	1	1342	circuit board assy HONDA ZZDI V01 / E	NA	HALB	S.Real	81.22	S5_RXM_JORGE AGUILAR	NO	4963177951		
238523	28/11/2012	ZSCR	551	034-2	NA	'015	5WK49308	NA	A2C53215449-B	1	1342	"SMD BOT Assy US/Asia 313,85MHz 4 button"	NA	HALB	S.Real	33.57	S5_TXK_JORGE AGUILAR	NO	4963177932		
238525	28/11/2012	ZSCR	551	034-2	NA	'015	5WK49308	NA	A2C53215449-B	1	1342	"SMD BOT Assy US/Asia 313,85MHz 4 button"	NA	HALB	S.Real	33.57	S5_TXK_JORGE AGUILAR	NO	4963177932		
238528	28/11/2012	ZSCR	551	034-2	NA	'015	5WK49308	NA	A2C53215449-B	16	1342	"SMD BOT Assy US/Asia 313,85MHz 4 button"	NA	HALB	S.Real	537.12	S5_TXK_JORGE AGUILAR	NO	4963177932		
238532	28/11/2012	ZSCR	551	030-1	NA	'050	5WK49309	NA	A2C31535000	40	1301	pcb HONDA KEY U	NA	ROH	NA	88	S5_TXK_JORGE AGUILAR	NO	4963179924		
238561	28/11/2012	ZSCR	551	030-1	NA	'050	A2C53427190	NA	A2C53426149	25	1301	pcb HON HONDA F	NA	ROH	NA	108.25	S5_ACURA FOB_ENRIQUE GA	NO	4963180356		
238669	28/11/2012	ZSCR	551	040-3	NA	'015	5WK49309	NA	A2C5321554092	1	1403	circuit board assy HONDA KEY Bottom	NA	HALB	S.Real	31.91	S5_TXK_JORGE AGUILAR	NO	4963178319		
238721	29/11/2012	ZSCR	551	030-1	NA	'015	5WK49309	NA	A2C5321554092	1	1301	circuit board assy HONDA KEY Bottom	NA	HALB	S.Real	31.91	S5_TXK_JORGE AGUILAR	NO	4963177055		
238722	29/11/2012	ZSCR	551	030-1	NA	'015	5WK47832	NA	A2C53249259	1	1301	circuit board assy HONDA ZZDI	NA	HALB	S.Real	193.56	S5_SMART ECU_ENRIQUE GA	NO	4963177057		
238722	29/11/2012	ZSCR	551	030-1	NA	'015	5WK47832	NA	A2C53249431	10	1301	multipoint connector 73P H 3SYS BK	NA	ROH	NA	228.5	S5_SMART ECU_ENRIQUE GA	NO	4963179906		
238723	29/11/2012	ZSCR	551	030-1	NA	'015	A2C53249282	NA	A2C53249282	2	1301	circuit board assy HONDA ZZDI	NA	HALB	S.Real	362.74	S5_SMART ECU_ENRIQUE GA	NO	4963177062		
238723	29/11/2012	ZSCR	551	030-1	NA	'015	5WK47832	NA	A2C53249431	2	1301	multipoint connector 73P H 3SYS BK	NA	ROH	NA	45.7	S5_SMART ECU_ENRIQUE GA	NO	4963179906		
238878	29/11/2012	ZSCR	551	034-2	NA	'015	5WK49790	NA	A2C53311811B	1	1342	SMD SUB ASSY SMART FOB BOT VARIANT 6	NA	HALB	S.Real	70.23	S5_SMART FOB_ENRIQUE GA	NO	4963178010		
238881	29/11/2012	ZSCR	551	034-2	NA	'015	5WK49830	NA	A2C53335967B	1	1342	SMD Assy Fob Mobilio HP 4Bot(Bot)	NA	HALB	S.Real	74.41	S5_SMART FOB_ENRIQUE GA	NO	4963178021		
238936	29/11/2012	ZSCR	551	030-1	NA	'015	A2C53427189	NA	A2C53419610	1	1301	housing bottom	NA	ROH	NA	1.96	S5_ACURA FOB_ENRIQUE GA	NO	4963180349		
238936	29/11/2012	ZSCR	551	030-1	NA	'015	5WY8145	NA	A2C53105128	1	1301	Contact Spring positive	NA	ROH	NA	0.3	S5_ACURA FOB_ENRIQUE GA	NO	4963180334		
238936	29/11/2012	ZSCR	551	030-1	NA	'015	5WK49684	NA	A2C53278282	1	1301	housing cover	NA	ROH	NA	1.41	S5_ACURA FOB_ENRIQUE GA	NO	4963180276		
238936	29/11/2012	ZSCR	551	030-1	NA	'015	A2C53427192	NA	A2C53426161B	1	1301	SMD SUB ASSY SMART FOB BOT ACURA RDX 4B	NA	HALB	S.Real	67.7	S5_ACURA FOB_ENRIQUE GA	NO	4963177120		
238938	29/11/2012	ZSCR	551	030-1	NA	'015	A2C53427192	NA	A2C53426161B	11	1301	SMD SUB ASSY SMART FOB BOT ACURA RDX 4B	NA	HALB	S.Real	744.7	S5_ACURA FOB_ENRIQUE GA	NO	4963177120		
238943	29/11/2012	ZSCR	551	034-2	NA	'015	A2C53427192	NA	A2C53426161B	1	1342	SMD SUB ASSY SMART FOB BOT ACURA RDX 4B	NA	HALB	S.Real	67.7	S5_ACURA FOB_ENRIQUE GA	NO	4963178111		
238946	29/11/2012	ZSCR	551	040-1	NA	'015	A2C53427192	NA	A2C53426161B	4	1401	SMD SUB ASSY SMART FOB BOT ACURA RDX 4B	NA	HALB	S.Real	270.8	S5_ACURA FOB_ENRIQUE GA	NO	4963178233		
238963	29/11/2012	ZSCR	551	040-1	NA	'015	A2C53427189	NA	A2C53426160B	2	1401	SMD SUB ASSY SMART FOB BOT ACURA RDX 3B	NA	HALB	S.Real	132.36	S5_ACURA FOB_ENRIQUE GA	NO	4963178223		
238966	29/11/2012	ZSCR	551	034-2	NA	'015	A2C53427192	NA	A2C53426161B	3	1342	SMD SUB ASSY SMART FOB BOT ACURA RDX 4B	NA	HALB	S.Real	203.1	S5_ACURA FOB_ENRIQUE GA	NO	4963178111		
238969	29/11/2012	ZSCR	551	030-1	NA	'015	A2C53427189	NA	A2C53105128	1	1301	Contact Spring positive	NA	ROH	NA	0.3	S5_ACURA FOB_ENRIQUE GA	NO	4963180349		
238969	29/11/2012	ZSCR	551	030-1	NA	'015	A2C53427189	NA	A2C53426160B	1	1301	SMD SUB ASSY SMART FOB BOT ACURA RDX 3B	NA	HALB	S.Real	66.18	S5_ACURA FOB_ENRIQUE GA	NO	4963177104		
238969	29/11/2012	ZSCR	551	030-1	NA	'015	A2C53427189	NA	A2C53419610	1	1301	housing bottom	NA	ROH	NA	1.96	S5_ACURA FOB_ENRIQUE GA	NO	4963180349		
238969	29/11/2012	ZSCR	551	030-1	NA	'015	A2C53427189	NA	A2C53278282	1	1301	housing cover	NA	ROH	NA	1.41	S5_ACURA FOB_ENRIQUE GA	NO	4963180349		
238971	29/11/2012	ZSCR	551	034-2	NA	'015	A2C53427192	NA	A2C53426161B	1	1342	SMD SUB ASSY SMART FOB BOT ACURA RDX 4B	NA	HALB	S.Real	67.7	S5_ACURA FOB_ENRIQUE GA	NO	4963178111		
239077	29/11/2012	ZSCR	551	040-1	NA	'015	5WK49210	NA	A2C53190307	1	1401	circuit board assy	NA	HALB	S.Real	84.3	S5_RXM_JORGE AGUILAR	NO	4963178150		
239078	29/11/2012	ZSCR	551	034-2	NA	'015	5WK49393	NA	A2C53242673	1	1342	circuit board assy HONDA ZZDI	NA	HALB	S.Real/AutoBF	50.41	S5_INMMO_JORGE AGUILAR	NO	4963178473		
239081	29/11/2012	ZSCR	551	022-2	NA	'015	A2C53406357	NA	A2C53404863	10	1222	circuit board assy HONZZDIV V02	NA	HALB	S.Real/AutoBF	991	S5_TG ECU_JORGE AGUILAR	NO	4963178419		
239081	29/11/2012	ZSCR	551	022-2	NA	'015	A2C53406357	NA	A2C53335101	10	1222	pin header 20P H 2R PF BK	NA	ROH	NA	461.4	S5_TG ECU_JORGE AGUILAR	NO	4963179897		
239110	29/11/2012	ZSCR	551	034-2	NA	'015	5WK47834	NA	A2C53249282	4	1342	circuit board assy HONDA ZZDI	NA	HALB	S.Real	725.48	S5_SMART ECU_ENRIQUE GA	NO	4963177969		
239112	29/11/2012	ZSCR	551	034-2	NA	'015	5WK47832	NA	A2C53249259	2	1342	circuit board assy HONDA ZZDI	NA	HALB	S.Real	387.12	S5_SMART ECU_ENRIQUE GA	NO	4963177961		
239112	29/11/2012	ZSCR	551	034-2	NA	'015	5WK47832	NA	A2C53249431	2	1342	multipoint connector 73P H 3SYS BK	NA	ROH	NA	45.7	S5_SMART ECU_ENRIQUE GA	NO	4963180454		
239115	29/11/2012	ZSCR	551	034-4	NA	'015	5WK47834	NA	A2C53249282	1	1344	circuit board assy HONDA ZZDI	NA	HALB	S.Real	181.37	S5_SMART ECU_ENRIQUE GA	NO	4963178132		
239119	29/11/2012	ZSCR	551	034-2	NA	'015	5WK47832	NA	A2C53249431	3	1342	multipoint connector 73P H 3SYS BK	NA	ROH	NA	68.55	S5_SMART ECU_ENRIQUE GA	NO	4963180454		
239119	29/11/2012	ZSCR	551	034-2	NA	'015	5WK47832	NA	A2C53249259	3	1342	circuit board assy HONDA ZZDI	NA	HALB	S.Real	580.68	S5_SMART ECU_ENRIQUE GA	NO	4963177961		
239121	29/11/2012	ZSCR	551	034-2	NA	'015	5WK47837	NA	A2C53249285	1	1342	circuit board assy HONDA ZZDI	NA	HALB	S.Real	181.98	S5_ACURA ECU_ENRIQUE GA	NO	4963177971		
239122	29/11/2012	ZSCR	551	034-4	NA	'015	A2C53427342	NA	A2C5333838493	1	1344	circuit board HONDA ECU TX4 - TX6 TOP	NA	HALB	S.Real	179.15	S5_ACURA ECU_ENRIQUE GA	NO	4963178141		
239124	29/11/2012	ZSCR	551	034-2	NA	'015	A2C53427342	NA	A2C5333838493	4	1342	circuit board HONDA ECU TX4 - TX6 TOP	NA	HALB	S.Real	716.6	S5_ACURA ECU_ENRIQUE GA	NO	4963178031		
239149	30/11/2012	ZSCR	551	040-5	NA	'015	5WK49393	NA	A2C53242673	1	1405	circuit board assy HONDA ZZDI	NA	HALB	S.Real/AutoBF	50.41	S5_INMMO_JORGE AGUILAR	NO	4963178661		
239150	30/11/2012	ZSCR	551	034-4	NA	'015	5WK49393	NA	A2C53242673	1	1344	circuit board assy HONDA ZZDI	NA	HALB	S.Real/AutoBF	50.41	S5_INMMO_JORGE AGUILAR	NO	4963178610		
239151	30/11/2012	ZSCR	551	042-4	NA	'015	5WK49210	NA	A2C53190307	1	1424	circuit board assy	NA	HALB	S.Real	84.3	S5_RXM_JORGE AGUILAR	NO	4963178367		
239152	30/11/2012	ZSCR	551	034-2	NA	'015	5WK49393	NA	A2C53242673	5	1342	circuit board assy HONDA ZZDI	NA	HALB	S.Real/AutoBF	252.05	S5_INMMO_JORGE AGUILAR	NO	4963178473		
239159	30/11/2012	ZSCR	551	040-1	NA	'015	A2C53426161B	NA	A2C53426161B	3	1401	SMD SUB ASSY SMART FOB BOT ACURA RDX 4B	NA	HALB	S.Real	203.1	S5_ACURA FOB_ENRIQUE GA	NO	4963178233		
239163	30/11/2012	ZSCR	551	022-2	NA	'015	5WK49215	NA	A2C53216753	2	1222	COVER	NA	ROH	NA	3.58	S5_RXM_JORGE AGUILAR	NO	4963179888		
239164	30/11/2012	ZSCR	551	034-4	NA	'015	5WK49393	NA	A2C53242673	1	1344	circuit board assy HONDA ZZDI	NA	HALB	S.Real/AutoBF	50.41	S5_INMMO_JORGE AGUILAR	NO	4963178610		
239172	30/11/2012	ZSCR	551	022-2	NA	'015	5WK49210	NA	A2C53216755	4	1222	housing	NA	ROH	NA	85.28	S5_RXM_JORGE AGUILAR	NO	4963179885		
239173	30/11/2012	ZSCR	551	040-3	NA	'015	A2C53190307	NA	A2C53190307	1	1403	circuit board assy	NA	HALB	S.Real	84.3	S5_RXM_JORGE AGUILAR	NO	4963178310		
239174	30/11/2012	ZSCR	551	022-2	NA	'015	5WK49210	NA	A2C53216753	2	1222	COVER	NA	ROH	NA	3.58	S5_RXM_JORGE AGUILAR	NO	4963179885		
239174	30/11/2012	ZSCR	551	022-2	NA	'015	5WK49210	NA	A2C53190307	2	1222	circuit board assy	NA	HALB	S.Real	168.6	S5_RXM_JORGE AGUILAR	NO	4963177025		
239174	30/11/2012	ZSCR	551	022-2	NA	'015	5WK49210	NA	A2C53216755	2	1222	housing	NA	ROH	NA	42.64	S5_RXM_JORGE AGUILAR	NO	4963179885		
239176	30/11/2012	ZSCR	551	030-1	NA	'050	5WK49845	NA	A2C53331175	31	1301	antenna	NA	ROH	NA	49.6	S5_TG ECU_JORGE AGUILAR	NO	4963180319		
239179	30/11/2012	ZSCR	551	030-1	NA	'050	5WK47832	NA	A2C00045608	106	1301	"220uF,20%,35V,SMD,AL,ELEC CAP/"	NA	ROH	NA	119.78	S5_ACURA ECU_ENRIQUE GA	NO	4963179906		
239185	30/11/2012	ZSCR	551	030-1	NA	'050	A2C5333838493	NA	A2C5333838493	3	1301	circuit board HONDA ECU TX4 - TX6 TOP	NA	HALB	S.Real	537.45	S5_ACURA ECU_ENRIQUE GA	NO	4963177092		
239186	30/11/2012	ZSCR	551	034-2	NA	'015	A2C53404863	NA	A2C53404863	1	1342	circuit board assy HONZZDIV V02	NA	HALB	S.Real/AutoBF	99.1	S5_TG ECU_JORGE AGUILAR	NO	4963178552		
239187	30/11/2012	ZSCR	551	040-3	NA	'015	A2C53404863	NA	A2C53404863	4	1403	circuit board assy HONZZDIV V02	NA	HALB	S.Real/AutoBF	396.4	S5_TG ECU_JORGE AGUILAR	NO	4963178653		
