0	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
510995	25/08/2014	MB1A	951	025-3	NA	'054	NA	NA	A2C83702300	98	1253	pcb assy VW20 D_8	VUG017432	HALB	S.Real	22313.62	PS_VW20 MQB_. (APROBAC	NO	4981598699
511374	26/08/2014	ZSCR	551	034-4	NA	'054	5WK44692	NA	A2C34599500	6	1344	pcb assy HONHRS3 V03	NA	HALB	S.Real	2462.64	OES_HONDA CR-V HE_.	NO	
511402	26/08/2014	ZSCR	551	030-1	NA	'054	A2C53142640	NA	A2C00049991	1	1301	"470uF,20%,35V,HOL,AL,ELEC CAP/ELXZ350ETD"	NA	ROH	NA	0.93	OES_HONDA CR-V MC_.	NO	
511412	26/08/2014	ZSCR	551	030-1	NA	'054	A2C53334928	NA	A2C00017824	1	1301	"3.2mF,30%,35V,HOL,AL,ELEC CAP/AIRBAG, J"	NA	ROH	NA	4.05	OES_HONDA CR-V MC_.	NO	
511413	26/08/2014	ZSCR	551	030-1	NA	'054	A2C53239778	NA	A2C00049991	1	1301	"470uF,20%,35V,HOL,AL,ELEC CAP/ELXZ350ETD"	NA	ROH	NA	0.93	OES_HONDA ACCORD_.	NO	
511414	26/08/2014	ZSCR	551	030-1	NA	'054	A2C53239778	NA	A2C00049991	1	1301	"470uF,20%,35V,HOL,AL,ELEC CAP/ELXZ350ETD"	NA	ROH	NA	0.93	OES_HONDA ACCORD_.	NO	
511415	26/08/2014	ZSCR	551	030-1	NA	'054	A2C53239778	NA	A2C00049991	1	1301	"470uF,20%,35V,HOL,AL,ELEC CAP/ELXZ350ETD"	NA	ROH	NA	0.93	OES_HONDA ACCORD_.	NO	
511416	26/08/2014	ZSCR	551	030-1	NA	'054	A2C53239778	NA	A2C00017824	1	1301	"3.2mF,30%,35V,HOL,AL,ELEC CAP/AIRBAG, J"	NA	ROH	NA	4.05	OES_HONDA ACCORD_.	NO	
511416	26/08/2014	ZSCR	551	030-1	NA	'054	A2C53186313A	NA	A2C53186313B	1	1301	SMD ACCORD 08 BOTTOM	NA	HALB	S.Real/AutoBF	42.13	OES_HONDA ACCORD_.	NO	
511417	26/08/2014	ZSCR	551	030-1	NA	'054	A2C53186313A	NA	A2C53186313B	1	1301	SMD ACCORD 08 BOTTOM	NA	HALB	S.Real/AutoBF	42.13	OES_HONDA ACCORD_.	NO	
512676	29/08/2014	ZSCR	551	030-1	NA	'054	5WK44508	NA	A2C53416946	1	1301	ACU VW10 MY11 M35 08 04 0 0 0 000	NA	HALB	S.Real	212.5	PS_VW10 LC_U.ULISES VIL	NO	
512690	29/08/2014	ZSCR	551	030-1	NA	'054	A2C53429875A	NA	A2C53429875B	3	1301	Hyundai circuit board assy 12FL SMD Bot	NA	HALB	S.Real/AutoBF	234.06	PS_HYUNDAI_. (APROBACI	NO	
512695	29/08/2014	ZSCR	551	030-1	NA	'054	A2C31080700	NA	A2C3108070092	1	1301	SMT Bot Chrysler RT ORC MY13	NA	HALB	S.Real/AutoBF	111.08	PS_CHRYSLER MY2013_E.ED	NO	
512729	29/08/2014	ZSCR	551	030-1	NA	'054	5WK44822	NA	A2C32679900	6	1301	pcb	NA	ROH	NA	117.6	PS_HONDA HRS6_J.JUAN CH	NO	
512731	29/08/2014	ZSCR	551	030-1	NA	'054	A2C53388687	NA	A2C53342620	6	1301	pcb DC main	NA	ROH	NA	110.28	PS_ARAMIS 2012_.	NO	
512732	29/08/2014	ZSCR	551	030-1	NA	'054	A2C8397200092	NA	A2C34638400	4	1301	pcb 6-lay main	NA	ROH	NA	99.24	PS_SDM10+_.	NO	
512733	29/08/2014	ZSCR	551	030-1	NA	'054	A2C30910800	NA	A2C32508800	20	1301	pcb	NA	ROH	NA	233.6	PSAD_VW20_U.ULISES VILL	NO	
512754	29/08/2014	ZSCR	551	034-2	NA	'054	5WK44508	NA	5WK44508	3	1342	ACU VW10 MY09 M35	NA	FERT	NA	705.09	PS_VW10 LC_U.ULISES VIL	NO	
512755	29/08/2014	ZSCR	551	042-4	NA	'054	5WK44252	2	5WK44252	1	1424	BoSe VW	NA	FERT	NA	104.03	OC_BOSE VW_A.ANA TAPIA-	NO	
512779	29/08/2014	ZSCR	551	050-3	NA	'054	A2C82540900	NA	A2C82540900	1	1503	ACU OPL4401 MY11 G40 12 XX 0 0 0 000	NA	FERT	NA	275.08	PSAD_OPEL 4400_J.JOSE O	NO	
512782	29/08/2014	ZSCR	551	034-2	NA	'054	A2C83971700	NA	A2C40000025	7	1342	"C ELEC,AL,6.8mF,20%,35V"	NA	ROH	NA	47.81	PS_SDM10+_.	NO	
512786	29/08/2014	ZSCR	551	034-2	NA	'054	5WY86930	NA	A2C53331574	1	1342	"housing FIP 157,0x 130,8"	NA	ROH	NA	15.75	PS_ARAMIS 2012_.	NO	
512787	29/08/2014	ZSCR	551	034-2	NA	'054	A2C30910808	NA	A2C30910808	2	1342	ACU VWAE MY12 S15 04 00 0 0 0 000	NA	FERT	NA	316.34	PSAD_VW20_U.ULISES VILL	NO	
512793	29/08/2014	ZSCR	551	040-1	NA	'054	A2C32453905	NA	A2C35116100	1	1401	pcb assy DAGSTAR2 D_2	NA	HALB	S.Real	383.01	PSAD_DAIMLER STAR 2_A.A	NO	
512794	29/08/2014	ZSCR	551	040-1	NA	'054	A2C32453901	NA	A2C35116100	1	1401	pcb assy DAGSTAR2 D_2	NA	HALB	S.Real	383.01	PSAD_DAIMLER STAR 2_A.A	NO	
512807	29/08/2014	ZSCR	551	034-2	NA	'054	A2C30910800	NA	A2C32509000	1	1342	pcb assy VW20 V01	NA	HALB	S.Real	137.33	PSAD_VW20_U.ULISES VILL	NO	
512825	29/08/2014	ZSCR	551	034-2	NA	'054	A2C53388685MI	NA	A2C00018861	3000	1342	"150uH,540mA,HOL,COIL/BC-Drossel"	NA	ROH	NA	900	PS_ARAMIS 2012_.	NO	
512834	29/08/2014	ZSCR	551	034-2	NA	'054	5WK43521	NA	A2C53106605	2	1342	keypad assy	NA	HALB	S.Real/AutoBF	1077.86	OC_OCS SUZUKI_A.ANA TAP	NO	
512836	29/08/2014	ZSCR	551	034-2	NA	'054	5WK43521	NA	A2C53106605	1	1342	keypad assy	NA	HALB	S.Real/AutoBF	538.93	OC_OCS SUZUKI_A.ANA TAP	NO	
512844	29/08/2014	ZSCR	551	034-2	NA	'054	5WK44079	NA	5WK44079	1	1342	OCS Nissan E53D Climatic	NA	FERT	NA	528.17	OC_OCS NISSAN_A.ANA TAP	NO	
513081	30/08/2014	ZSCR	551	034-2	NA	'054	5WK44781	NA	A2C00014697	200	1342	sticker	NA	ROH	NA	102	PS_VW10 LC_U.ULISES VIL	NO	
513084	30/08/2014	ZSCR	551	034-2	NA	'054	5WY75821	NA	6594352056	24	1342	"14VRMS,RAD,VARISTOR/S14K14AUTO"	NA	ROH	NA	14.64	PS_ARAMIS 2012_.	NO	
