	Tus SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP		
138760	ZSCR	551	034-2	NA	5WK49521	NA	A2C53105128	2	1342	contact spring	NA	ROH	NA	0.64	4957084644		
138760	ZSCR	551	034-2	NA	5WK49521	NA	A2C53248676	8	1342	inner housing	NA	ROH	NA	21.12	4957084644		
138760	ZSCR	551	034-2	NA	5WK49521	NA	A2C53248677	1	1342	cover inner housing	NA	ROH	NA	1.65	4957084644		
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
