No.Item	Txs SAP	Mov	Código Scrap	O.I.	OKJ	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
129094	ZSCR	551	030-1	NA	5WG50030	NA	A2C53353141	1	1301	circuit board assy VW PQ35	NA	HALB	S.Real	106.04	4956706162
129095	ZSCR	551	030-1	NA	5WG50027	NA	A2C53380883	1	1301	circuit board assy VW PQ35	NA	HALB	S.Real	94.72	4956706208
129096	ZSCR	551	030-1	NA	5WG50027	NA	A2C53380883T	2	1301	circuit board assy VW PQ35 V05 TOP	NA	HALB	S.Real	185.4	4956706227
129117	ZSCR	551	030-1	NA	5WY7700S	NA	A2C53184512	1	1301	circuit board assy NIS D-PLAT PCB = CO	NA	HALB	S.Real/AutoBF	39.3	4956706967
129119	ZSCR	551	030-1	NA	5WY7700	NA	A2C53184512	1	1301	circuit board assy NIS D-PLAT PCB = CO	NA	HALB	S.Real/AutoBF	39.3	4956706967
129125	ZSCR	551	030-1	NA	5WY7700	NA	A2C53184512	2	1301	circuit board assy NIS D-PLAT PCB = CO	NA	HALB	S.Real/AutoBF	78.6	4956706967
129127	MB1A	551	034-2	B30301-02395	NA	NA	A2C53420006	8	1095	pcb assy VW PQ35 ZE	NA	HALB	S.Real	2998.96	4956704374
129138	ZSCR	551	030-1	NA	S180039011	NA	A2C53212575	2	1301	Subassy ICT TLS_RECEIV 433 MHz	NA	HALB	S.Real/AutoBF	118.02	4956707009
129303	MB1A	551	030-1	B30301-00495	NA	NA	A2C53333370	19	1095	SMD SUB ASSY FORD PK 315 Mhz NA	NA	HALB	S.Real	1190.16	4956703617
129357	MB1A	551	040-2	B30301-00495	NA	NA	A2C31197800	45	1095	key	NA	ROH	NA	19.35	4956703617
129357	MB1A	551	040-2	B30301-00495	NA	NA	A2C53333378	3	1095	FORD LOGO	NA	ROH	NA	14.7	4956703617
129357	MB1A	551	040-2	B30301-00495	NA	NA	A2C53395685	45	1095	housing assy FOG FORD P	NA	ROH	NA	1219.05	4956703617
129357	MB1A	551	040-2	B30301-00495	NA	NA	A2C53434669	3	1095	housing assy FOG FORD P	NA	ROH	NA	13.35	4956703617
129365	MB1A	551	040-2	B30301-00495	NA	NA	A2C53441221	3	1095	sticker	NA	ROH	NA	3.36	4956703617
129366	MB1A	551	040-2	B30301-00495	NA	NA	A2C00004906	1	1095	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	1.37	4956703617
129391	MB1A	551	040-2	B30301-01195	NA	NA	A2C00004906	1	1095	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	1.37	4956704108
129391	MB1A	551	040-2	B30301-01195	NA	NA	A2C30115900	1	1095	housing bottom	NA	ROH	NA	3.79	4956704108
129391	MB1A	551	040-2	B30301-01195	NA	NA	A2C31221300	1	1095	circuit board assy TPM	NA	HALB	S.Real	49.1	4956704108
129391	MB1A	551	040-2	B30301-01195	NA	NA	A2C53358639	1	1095	contact spring	NA	ROH	NA	0.56	4956704108
129391	MB1A	551	040-2	B30301-01195	NA	NA	A2C53405271	1	1095	Foam PEPS PK MY11	NA	ROH	NA	0.4	4956704108
