No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad		Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40005535	52		1351	"R NET,200K,5%,63mW,1206"		ROH	NA	1.56	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40005535	70		1351	"R NET,200K,5%,63mW,1206"		ROH	NA	2.1	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40005535	31		1351	"R NET,200K,5%,63mW,1206"		ROH	NA	0.93	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40005535	60		1351	"R NET,200K,5%,63mW,1206"		ROH	NA	1.8	S1_SPDJB_	4957984868
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40006972	202		1351	"C CER,X7R,100nF,10%,50V,0805,-"		ROH	NA	8.08	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40006972	37		1351	"C CER,X7R,100nF,10%,50V,0805,-"		ROH	NA	1.48	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40006972	40		1351	"C CER,X7R,100nF,10%,50V,0805,-"		ROH	NA	1.6	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40006972	75		1351	"C CER,X7R,100nF,10%,50V,0805,-"		ROH	NA	3	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40006972	101		1351	"C CER,X7R,100nF,10%,50V,0805,-"		ROH	NA	4.04	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40006972	45		1351	"C CER,X7R,100nF,10%,50V,0805,-"		ROH	NA	1.8	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40006972	64		1351	"C CER,X7R,100nF,10%,50V,0805,-"		ROH	NA	2.56	S1_SPDJB_	4957984868
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40006996	13		1351	"C CER,X7R,4.7nF,10%,50V,0805,-"		ROH	NA	0.39	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40006996	2		1351	"C CER,X7R,4.7nF,10%,50V,0805,-"		ROH	NA	0.06	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40006996	3		1351	"C CER,X7R,4.7nF,10%,50V,0805,-"		ROH	NA	0.09	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40006996	5		1351	"C CER,X7R,4.7nF,10%,50V,0805,-"		ROH	NA	0.15	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40006996	6		1351	"C CER,X7R,4.7nF,10%,50V,0805,-"		ROH	NA	0.18	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40006996	3		1351	"C CER,X7R,4.7nF,10%,50V,0805,-"		ROH	NA	0.09	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40006996	4		1351	"C CER,X7R,4.7nF,10%,50V,0805,-"		ROH	NA	0.12	S1_SPDJB_	4957984868
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007008	2		1351	"C CER,C0G,2.2pF,0.1pF,50V,0402,-"		ROH	NA	0.04	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007008	3		1351	"C CER,C0G,2.2pF,0.1pF,50V,0402,-"		ROH	NA	0.06	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007008	6		1351	"C CER,C0G,2.2pF,0.1pF,50V,0402,-"		ROH	NA	0.12	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007008	3		1351	"C CER,C0G,2.2pF,0.1pF,50V,0402,-"		ROH	NA	0.06	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007009	13		1351	"C CER,C0G,2.7pF,0.1pF,50V,0402,-"		ROH	NA	0.26	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007009	5		1351	"C CER,C0G,2.7pF,0.1pF,50V,0402,-"		ROH	NA	0.1	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40007009	4		1351	"C CER,C0G,2.7pF,0.1pF,50V,0402,-"		ROH	NA	0.08	S1_SPDJB_	4957984868
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007011	13		1351	"C CER,C0G,6.8pF,0.1pF,50V,0402,-"		ROH	NA	0.26	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007011	5		1351	"C CER,C0G,6.8pF,0.1pF,50V,0402,-"		ROH	NA	0.1	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40007011	4		1351	"C CER,C0G,6.8pF,0.1pF,50V,0402,-"		ROH	NA	0.08	S1_SPDJB_	4957984868
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007013	13		1351	"C CER,C0G,12pF,1%,50V,0402,-"		ROH	NA	0.39	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007013	5		1351	"C CER,C0G,12pF,1%,50V,0402,-"		ROH	NA	0.15	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40007013	4		1351	"C CER,C0G,12pF,1%,50V,0402,-"		ROH	NA	0.12	S1_SPDJB_	4957984868
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007014	51		1351	"C CER,C0G,15pF,1%,50V,0402,-"		ROH	NA	1.53	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007014	9		1351	"C CER,C0G,15pF,1%,50V,0402,-"		ROH	NA	0.27	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007014	10		1351	"C CER,C0G,15pF,1%,50V,0402,-"		ROH	NA	0.3	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007014	19		1351	"C CER,C0G,15pF,1%,50V,0402,-"		ROH	NA	0.57	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007014	25		1351	"C CER,C0G,15pF,1%,50V,0402,-"		ROH	NA	0.75	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007014	11		1351	"C CER,C0G,15pF,1%,50V,0402,-"		ROH	NA	0.33	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40007014	16		1351	"C CER,C0G,15pF,1%,50V,0402,-"		ROH	NA	0.48	S1_SPDJB_	4957984868
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007015	13		1351	"C CER,C0G,33pF,1%,50V,0402,-"		ROH	NA	0.39	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007015	2		1351	"C CER,C0G,33pF,1%,50V,0402,-"		ROH	NA	0.06	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007015	3		1351	"C CER,C0G,33pF,1%,50V,0402,-"		ROH	NA	0.09	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007015	5		1351	"C CER,C0G,33pF,1%,50V,0402,-"		ROH	NA	0.15	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007015	6		1351	"C CER,C0G,33pF,1%,50V,0402,-"		ROH	NA	0.18	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007015	3		1351	"C CER,C0G,33pF,1%,50V,0402,-"		ROH	NA	0.09	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40007015	4		1351	"C CER,C0G,33pF,1%,50V,0402,-"		ROH	NA	0.12	S1_SPDJB_	4957984868
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007020	13		1351	"C CER,C0G,75pF,5%,50V,0402,-"		ROH	NA	0.13	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007020	2		1351	"C CER,C0G,75pF,5%,50V,0402,-"		ROH	NA	0.02	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007020	3		1351	"C CER,C0G,75pF,5%,50V,0402,-"		ROH	NA	0.03	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007020	5		1351	"C CER,C0G,75pF,5%,50V,0402,-"		ROH	NA	0.05	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007020	6		1351	"C CER,C0G,75pF,5%,50V,0402,-"		ROH	NA	0.06	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007020	3		1351	"C CER,C0G,75pF,5%,50V,0402,-"		ROH	NA	0.03	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40007020	4		1351	"C CER,C0G,75pF,5%,50V,0402,-"		ROH	NA	0.04	S1_SPDJB_	4957984868
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007021	13		1351	"C CER,C0G,160pF,5%,50V,0402,-"		ROH	NA	0.26	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007021	2		1351	"C CER,C0G,160pF,5%,50V,0402,-"		ROH	NA	0.04	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007021	3		1351	"C CER,C0G,160pF,5%,50V,0402,-"		ROH	NA	0.06	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007021	5		1351	"C CER,C0G,160pF,5%,50V,0402,-"		ROH	NA	0.1	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007021	6		1351	"C CER,C0G,160pF,5%,50V,0402,-"		ROH	NA	0.12	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007021	3		1351	"C CER,C0G,160pF,5%,50V,0402,-"		ROH	NA	0.06	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40007021	4		1351	"C CER,C0G,160pF,5%,50V,0402,-"		ROH	NA	0.08	S1_SPDJB_	4957984868
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007061	25		1351	"C CER,C0G,100pF,5%,50V,0603,-"		ROH	NA	0.5	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007061	5		1351	"C CER,C0G,100pF,5%,50V,0603,-"		ROH	NA	0.1	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007061	5		1351	"C CER,C0G,100pF,5%,50V,0603,-"		ROH	NA	0.1	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007061	9		1351	"C CER,C0G,100pF,5%,50V,0603,-"		ROH	NA	0.18	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007061	13		1351	"C CER,C0G,100pF,5%,50V,0603,-"		ROH	NA	0.26	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007061	6		1351	"C CER,C0G,100pF,5%,50V,0603,-"		ROH	NA	0.12	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40007061	8		1351	"C CER,C0G,100pF,5%,50V,0603,-"		ROH	NA	0.16	S1_SPDJB_	4957984868
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007087	13		1351	"C CER,X7R,3.3nF,5%,25V,-TBD-,-"		ROH	NA	0.26	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007087	2		1351	"C CER,X7R,3.3nF,5%,25V,-TBD-,-"		ROH	NA	0.04	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007087	3		1351	"C CER,X7R,3.3nF,5%,25V,-TBD-,-"		ROH	NA	0.06	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007087	5		1351	"C CER,X7R,3.3nF,5%,25V,-TBD-,-"		ROH	NA	0.1	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007087	6		1351	"C CER,X7R,3.3nF,5%,25V,-TBD-,-"		ROH	NA	0.12	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007087	3		1351	"C CER,X7R,3.3nF,5%,25V,-TBD-,-"		ROH	NA	0.06	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40007087	4		1351	"C CER,X7R,3.3nF,5%,25V,-TBD-,-"		ROH	NA	0.08	S1_SPDJB_	4957984868
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007092	13		1351	"C CER,X7R,470pF,5%,16V,-TBD-,-"		ROH	NA	0.26	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007092	2		1351	"C CER,X7R,470pF,5%,16V,-TBD-,-"		ROH	NA	0.04	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007092	3		1351	"C CER,X7R,470pF,5%,16V,-TBD-,-"		ROH	NA	0.06	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007092	5		1351	"C CER,X7R,470pF,5%,16V,-TBD-,-"		ROH	NA	0.1	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007092	6		1351	"C CER,X7R,470pF,5%,16V,-TBD-,-"		ROH	NA	0.12	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007092	3		1351	"C CER,X7R,470pF,5%,16V,-TBD-,-"		ROH	NA	0.06	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40007092	4		1351	"C CER,X7R,470pF,5%,16V,-TBD-,-"		ROH	NA	0.08	S1_SPDJB_	4957984868
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007094	13		1351	"C CER,X7R,1.5nF,5%,16V,-TBD-,-"		ROH	NA	0.26	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007094	2		1351	"C CER,X7R,1.5nF,5%,16V,-TBD-,-"		ROH	NA	0.04	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007094	3		1351	"C CER,X7R,1.5nF,5%,16V,-TBD-,-"		ROH	NA	0.06	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007094	5		1351	"C CER,X7R,1.5nF,5%,16V,-TBD-,-"		ROH	NA	0.1	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007094	6		1351	"C CER,X7R,1.5nF,5%,16V,-TBD-,-"		ROH	NA	0.12	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007094	3		1351	"C CER,X7R,1.5nF,5%,16V,-TBD-,-"		ROH	NA	0.06	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40007094	4		1351	"C CER,X7R,1.5nF,5%,16V,-TBD-,-"		ROH	NA	0.08	S1_SPDJB_	4957984868
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007095	25		1351	"C CER,X7R,47nF,5%,16V,-TBD-,-"		ROH	NA	1	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007095	5		1351	"C CER,X7R,47nF,5%,16V,-TBD-,-"		ROH	NA	0.2	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007095	5		1351	"C CER,X7R,47nF,5%,16V,-TBD-,-"		ROH	NA	0.2	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007095	9		1351	"C CER,X7R,47nF,5%,16V,-TBD-,-"		ROH	NA	0.36	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007095	13		1351	"C CER,X7R,47nF,5%,16V,-TBD-,-"		ROH	NA	0.52	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007095	6		1351	"C CER,X7R,47nF,5%,16V,-TBD-,-"		ROH	NA	0.24	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40007095	8		1351	"C CER,X7R,47nF,5%,16V,-TBD-,-"		ROH	NA	0.32	S1_SPDJB_	4957984868
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007141	379		1351	"C CER,X7R,10nF,10%,16V,0603,-"		ROH	NA	7.58	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007141	69		1351	"C CER,X7R,10nF,10%,16V,0603,-"		ROH	NA	1.38	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007141	75		1351	"C CER,X7R,10nF,10%,16V,0603,-"		ROH	NA	1.5	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007141	141		1351	"C CER,X7R,10nF,10%,16V,0603,-"		ROH	NA	2.82	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007141	190		1351	"C CER,X7R,10nF,10%,16V,0603,-"		ROH	NA	3.8	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007141	84		1351	"C CER,X7R,10nF,10%,16V,0603,-"		ROH	NA	1.68	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40007141	120		1351	"C CER,X7R,10nF,10%,16V,0603,-"		ROH	NA	2.4	S1_SPDJB_	4957984868
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007145	76		1351	"C CER,X7R,100nF,10%,16V,0603,-"		ROH	NA	1.52	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007145	14		1351	"C CER,X7R,100nF,10%,16V,0603,-"		ROH	NA	0.28	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007145	15		1351	"C CER,X7R,100nF,10%,16V,0603,-"		ROH	NA	0.3	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007145	28		1351	"C CER,X7R,100nF,10%,16V,0603,-"		ROH	NA	0.56	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007145	38		1351	"C CER,X7R,100nF,10%,16V,0603,-"		ROH	NA	0.76	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007145	17		1351	"C CER,X7R,100nF,10%,16V,0603,-"		ROH	NA	0.34	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40007145	24		1351	"C CER,X7R,100nF,10%,16V,0603,-"		ROH	NA	0.48	S1_SPDJB_	4957984868
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007146	38		1351	"C CER,X7R,220nF,10%,16V,C0603,-"		ROH	NA	1.14	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007146	7		1351	"C CER,X7R,220nF,10%,16V,C0603,-"		ROH	NA	0.21	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007146	8		1351	"C CER,X7R,220nF,10%,16V,C0603,-"		ROH	NA	0.24	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007146	14		1351	"C CER,X7R,220nF,10%,16V,C0603,-"		ROH	NA	0.42	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007146	19		1351	"C CER,X7R,220nF,10%,16V,C0603,-"		ROH	NA	0.57	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007146	8		1351	"C CER,X7R,220nF,10%,16V,C0603,-"		ROH	NA	0.24	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40007146	12		1351	"C CER,X7R,220nF,10%,16V,C0603,-"		ROH	NA	0.36	S1_SPDJB_	4957984868
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007534	51		1351	"D REC/SBAW56LT3,0V,0A,TBD,0s"		ROH	NA	3.57	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007534	9		1351	"D REC/SBAW56LT3,0V,0A,TBD,0s"		ROH	NA	0.63	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007534	10		1351	"D REC/SBAW56LT3,0V,0A,TBD,0s"		ROH	NA	0.7	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007534	19		1351	"D REC/SBAW56LT3,0V,0A,TBD,0s"		ROH	NA	1.33	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007534	25		1351	"D REC/SBAW56LT3,0V,0A,TBD,0s"		ROH	NA	1.75	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007534	11		1351	"D REC/SBAW56LT3,0V,0A,TBD,0s"		ROH	NA	0.77	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40007534	28		1351	"D REC/SBAW56LT3,0V,0A,TBD,0s"		ROH	NA	1.96	S1_SPDJB_	4957984868
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007573	25		1351	"D REC/S2G-002/5BT,0V,0A,5.59 X 3.81,0s"		ROH	NA	6.75	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007573	5		1351	"D REC/S2G-002/5BT,0V,0A,5.59 X 3.81,0s"		ROH	NA	1.35	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007573	5		1351	"D REC/S2G-002/5BT,0V,0A,5.59 X 3.81,0s"		ROH	NA	1.35	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007573	9		1351	"D REC/S2G-002/5BT,0V,0A,5.59 X 3.81,0s"		ROH	NA	2.43	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007573	13		1351	"D REC/S2G-002/5BT,0V,0A,5.59 X 3.81,0s"		ROH	NA	3.51	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007573	6		1351	"D REC/S2G-002/5BT,0V,0A,5.59 X 3.81,0s"		ROH	NA	1.62	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40007573	8		1351	"D REC/S2G-002/5BT,0V,0A,5.59 X 3.81,0s"		ROH	NA	2.16	S1_SPDJB_	4957984868
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007720	13		1351	"D SUP/U5ZA27C(TE24L),10.50 X 16.00"		ROH	NA	51.61	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007720	2		1351	"D SUP/U5ZA27C(TE24L),10.50 X 16.00"		ROH	NA	7.94	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007720	3		1351	"D SUP/U5ZA27C(TE24L),10.50 X 16.00"		ROH	NA	11.91	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007720	5		1351	"D SUP/U5ZA27C(TE24L),10.50 X 16.00"		ROH	NA	19.85	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007720	6		1351	"D SUP/U5ZA27C(TE24L),10.50 X 16.00"		ROH	NA	23.82	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007720	3		1351	"D SUP/U5ZA27C(TE24L),10.50 X 16.00"		ROH	NA	11.91	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40007720	4		1351	"D SUP/U5ZA27C(TE24L),10.50 X 16.00"		ROH	NA	15.88	S1_SPDJB_	4957984868
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007730	38		1351	"D SUP/MMBZ27VALT1,SOT23"		ROH	NA	5.7	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007730	7		1351	"D SUP/MMBZ27VALT1,SOT23"		ROH	NA	1.05	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007730	8		1351	"D SUP/MMBZ27VALT1,SOT23"		ROH	NA	1.2	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007730	14		1351	"D SUP/MMBZ27VALT1,SOT23"		ROH	NA	2.1	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007730	19		1351	"D SUP/MMBZ27VALT1,SOT23"		ROH	NA	2.85	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007730	8		1351	"D SUP/MMBZ27VALT1,SOT23"		ROH	NA	1.2	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40007730	12		1351	"D SUP/MMBZ27VALT1,SOT23"		ROH	NA	1.8	S1_SPDJB_	4957984868
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007759	13		1351	"D SUP/TPSMC43A/57T,DO-214AB"		ROH	NA	12.35	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007759	2		1351	"D SUP/TPSMC43A/57T,DO-214AB"		ROH	NA	1.9	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007759	3		1351	"D SUP/TPSMC43A/57T,DO-214AB"		ROH	NA	2.85	S1_SPDJB_	4957985039
151522	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007759	5		1351	"D SUP/TPSMC43A/57T,DO-214AB"		ROH	NA	4.75	S1_SPDJB_	4957985347
151522	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007759	6		1351	"D SUP/TPSMC43A/57T,DO-214AB"		ROH	NA	5.7	S1_SPDJB_	4957985144
151522	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40007759	3		1351	"D SUP/TPSMC43A/57T,DO-214AB"		ROH	NA	2.85	S1_SPDJB_	4957985039
