area;tegnologia;linea;dibivision;proyecto
SMD;PRUEBA FUNCIONAL;Linea 5;ID 2;ZUSAT
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;BMW;ID 2;BMW
BACKEND/ENSAMBLE FINAL;EMPAQUE;BMW;ID 2;BMW
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;EFLEX;ID 2;EFLEX
BACKEND/ENSAMBLE FINAL;EMPAQUE;EFLEX;ID 2;EFLEX
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;EPSILON FAMILIA 1;ID 2;EPSILON FAMILIA 1
BACKEND/ENSAMBLE FINAL;EMPAQUE;EPSILON FAMILIA 1;ID 2;EPSILON FAMILIA 1
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;EPSILON FAMILIA 2;ID 2;EPSILON FAMILIA 2
BACKEND/ENSAMBLE FINAL;EMPAQUE;EPSILON FAMILIA 2;ID 2;EPSILON FAMILIA 2
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;EPSILON FAMILIA 3;ID 2;EPSILON FAMILIA 3
BACKEND/ENSAMBLE FINAL;EMPAQUE;EPSILON FAMILIA 3;ID 2;EPSILON FAMILIA 3
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;MB BR 166;ID 2;MB BR 166
BACKEND/ENSAMBLE FINAL;EMPAQUE;MB BR 166;ID 2;MB BR 166
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;VOLT;ID 2;VOLT
BACKEND/ENSAMBLE FINAL;EMPAQUE;VOLT;ID 2;VOLT
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;VW A4;ID 2;VW A4
BACKEND/ENSAMBLE FINAL;EMPAQUE;VW A4;ID 2;VW A4
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;VW A6;ID 2;VW A6
BACKEND/ENSAMBLE FINAL;EMPAQUE;VW A6;ID 2;VW A6
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;ZUSAT;ID 2;ZUSAT
BACKEND/ENSAMBLE FINAL;EMPAQUE;ZUSAT;ID 2;ZUSAT
