area,tecnologia,linea,division,proyecto
BACKEND/ENSAMBLE FINAL,ATORNILLADO,PQ35 5TA GEN,B&S,PQ35 5TA GEN
BACKEND/ENSAMBLE FINAL,,PQ35 5TA GEN,B&S,PQ35 5TA GEN
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,PQ35 5TA GEN,B&S,PQ35 5TA GEN
BACKEND/ENSAMBLE FINAL,EBERHARD,PQ35 5TA GEN,B&S,PQ35 5TA GEN
BACKEND/ENSAMBLE FINAL,EMPAQUE,PQ35 5TA GEN,B&S,PQ35 5TA GEN
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,PQ35 5TA GEN,B&S,PQ35 5TA GEN
BACKEND/ENSAMBLE FINAL,ICT,PQ35 5TA GEN,B&S,PQ35 5TA GEN
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,PQ35 5TA GEN,B&S,PQ35 5TA GEN
BACKEND/ENSAMBLE FINAL,ROUTER,PQ35 5TA GEN,B&S,PQ35 5TA GEN
DIAGNOSTICO,JAULA DE CALIDAD,PQ35 5TA GEN,B&S,PQ35 5TA GEN
DIAGNOSTICO,RETRABAJO,PQ35 5TA GEN,B&S,PQ35 5TA GEN
SMD,AOI,Linea N,B&S,PQ35 5TA GEN
SMD,ASYS,Linea N,B&S,PQ35 5TA GEN
SMD,DEK,Linea N,B&S,PQ35 5TA GEN
SMD,HORNO DE REFLUJO,Linea N,B&S,PQ35 5TA GEN
SMD,LASER,Linea N,B&S,PQ35 5TA GEN
SMD,SIPLACE,Linea N,B&S,PQ35 5TA GEN
WHSE,002,BIN DETENIDOS,B&S,PQ35 5TA GEN
WHSE,002,BIN EMBARQUE,B&S,PQ35 5TA GEN
