area,tecnologia,division,proyecto
Backend/Ensamble Final,Atornillado Automatico,PSAD,GM BRASIL
Backend/Ensamble Final,Empaque,PSAD,GM BRASIL
Backend/Ensamble Final,Ict,PSAD,GM BRASIL
Backend/Ensamble Final,Prueba Final,PSAD,GM BRASIL
Backend/Ensamble Final,Sawing,PSAD,GM BRASIL
PTH,Aoi de Ola,PSAD,GM BRASIL
PTH,Soldadura de Ola,PSAD,GM BRASIL
Smd,Aoi,PSAD,GM BRASIL
Smd,Aspi,PSAD,GM BRASIL
Smd,Asys,PSAD,GM BRASIL
Smd,Horno,PSAD,GM BRASIL
Smd,Impresion De Pasta,PSAD,GM BRASIL
Smd,Laser,PSAD,GM BRASIL
Smd,Siplace,PSAD,GM BRASIL
