area,tecnologia,defecto,causa,division,proyecto
SMD,DEK,BARRIDA,MANO DE OBRA,B&S 2,TXK
SMD,DEK,COBRE EXPUESTO,MANO DE OBRA,B&S 2,TXK
SMD,DEK,CONTAMINACION,MANO DE OBRA,B&S 2,TXK
SMD,DEK,CORTO ,MANO DE OBRA,B&S 2,TXK
SMD,DEK,FALLA DE VISION ,MANO DE OBRA,B&S 2,TXK
SMD,DEK,FLUJO INADECUADO ,MANO DE OBRA,B&S 2,TXK
SMD,DEK,INSUFICIENCIA,MANO DE OBRA,B&S 2,TXK
SMD,DEK,PANEL ABORTADO,MANO DE OBRA,B&S 2,TXK
SMD,DEK,PANEL ATORADO,MANO DE OBRA,B&S 2,TXK
SMD,DEK,PANEL ENCIMADO,MANO DE OBRA,B&S 2,TXK
SMD,DEK,PANEL QUEBRADO,MANO DE OBRA,B&S 2,TXK
SMD,DEK,PASTA ALTA,MANO DE OBRA,B&S 2,TXK
SMD,DEK,BARRIDA,MAQUINA,B&S 2,TXK
SMD,DEK,COBRE EXPUESTO,MAQUINA,B&S 2,TXK
SMD,DEK,CONTAMINACION,MAQUINA,B&S 2,TXK
SMD,DEK,CORTO ,MAQUINA,B&S 2,TXK
SMD,DEK,FALLA DE VISION ,MAQUINA,B&S 2,TXK
SMD,DEK,FLUJO INADECUADO ,MAQUINA,B&S 2,TXK
SMD,DEK,INSUFICIENCIA,MAQUINA,B&S 2,TXK
SMD,DEK,PANEL ABORTADO,MAQUINA,B&S 2,TXK
SMD,DEK,PANEL ATORADO,MAQUINA,B&S 2,TXK
SMD,DEK,PANEL ENCIMADO,MAQUINA,B&S 2,TXK
SMD,DEK,PANEL QUEBRADO,MAQUINA,B&S 2,TXK
SMD,DEK,PASTA ALTA,MAQUINA,B&S 2,TXK
SMD,SIPLACE,ADICIONALES,MAQUINA,B&S 2,TXK
SMD,SIPLACE,BARRIDA,MAQUINA,B&S 2,TXK
SMD,SIPLACE,CANTO,MAQUINA,B&S 2,TXK
SMD,SIPLACE,COBRE EXPUESTO,MAQUINA,B&S 2,TXK
SMD,SIPLACE,COMP INVERTIDO,MAQUINA,B&S 2,TXK
SMD,SIPLACE,COMPONENTE DE CABEZA,MAQUINA,B&S 2,TXK
SMD,SIPLACE,COMPONENTE ELEVADO,MAQUINA,B&S 2,TXK
SMD,SIPLACE,COMPONENTE EQUIVOCADO,MAQUINA,B&S 2,TXK
