area,tecnologia,linea,division,proyecto
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,BCM,B&S,BCM SQUARE D
BACKEND/ENSAMBLE FINAL,EMPAQUE,BCM,B&S,BCM SQUARE D
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,BCM,B&S,BCM SQUARE D
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,BCM,B&S,BCM SQUARE D
BACKEND/ENSAMBLE FINAL,HOT MELT,BCM,B&S,BCM SQUARE D
BACKEND/ENSAMBLE FINAL,ICT,BCM,B&S,BCM SQUARE D
BACKEND/ENSAMBLE FINAL,OLA,BCM,B&S,BCM SQUARE D
BACKEND/ENSAMBLE FINAL,PROGRAMING,BCM,B&S,BCM SQUARE D
BACKEND/ENSAMBLE FINAL,SAFE LAUNCH,BCM,B&S,BCM SQUARE D
DIAGNOSTICO,DIAGNOSTICO,BCM,B&S,BCM SQUARE D
DIAGNOSTICO,JAULA DE CALIDAD,BCM,B&S,BCM SQUARE D
DIAGNOSTICO,RETRABAJO,BCM,B&S,BCM SQUARE D
SMD,AOI,Linea L,B&S,BCM SQUARE D
SMD,ASYS,Linea L,B&S,BCM SQUARE D
SMD,DEK,Linea L,B&S,BCM SQUARE D
SMD,HORNO DE REFLUJO,Linea L,B&S,BCM SQUARE D
SMD,LASER,Linea L,B&S,BCM SQUARE D
SMD,REPARACION,SMD,B&S,BCM SQUARE D
SMD,SIPLACE,Linea L,B&S,BCM SQUARE D
WHSE,002,BIN DETENIDOS,B&S,BCM SQUARE D
WHSE,002,BIN EMBARQUE,B&S,
