area,tecnologia,division,proyecto,,
SMD,DEK,B&S,PASE FOB CUSW,,
SMD,DESPANELIZADO,B&S,PASE FOB CUSW,,
SMD,FUJI,B&S,PASE FOB CUSW,,
SMD,HORNO DE REFLUJO,B&S,PASE FOB CUSW,,
SMD,ICT,B&S,PASE FOB CUSW,,
SMD,LAQUEADO,B&S,PASE FOB CUSW,,
SMD,LASER,B&S,PASE FOB CUSW,,
SMD,MPM,B&S,PASE FOB CUSW,,
SMD,OLA,B&S,PASE FOB CUSW,,
SMD,PIN IN PASTE,B&S,PASE FOB CUSW,,
SMD,PROGRAMACION,B&S,PASE FOB CUSW,,
SMD,SIPLACE,B&S,PASE FOB CUSW,,
SMD,UNIVERSAL,B&S,PASE FOB CUSW,,
