area,tecnologia,defecto,causa,division,proyecto
BACKEND/ENSAMBLE FINAL,AMBIENTE,UNIDAD CAIDA AL PISO,MANO DE OBRA,PE,ETM
BACKEND/ENSAMBLE FINAL,CRIMPING,UNIDAD CAIDA AL PISO,MANO DE OBRA,PE,ETM
BACKEND/ENSAMBLE FINAL,DOSIFICADO,UNIDAD CAIDA AL PISO,MANO DE OBRA,PE,ETM
BACKEND/ENSAMBLE FINAL,DOSIFICADO PACTAN,UNIDAD CAIDA AL PISO,MANO DE OBRA,PE,ETM
BACKEND/ENSAMBLE FINAL,DOSIFICADO TIM,UNIDAD CAIDA AL PISO,MANO DE OBRA,PE,ETM
BACKEND/ENSAMBLE FINAL,MINI OLA,UNIDAD CAIDA AL PISO,MANO DE OBRA,PE,ETM
BACKEND/ENSAMBLE FINAL,OBSOLESCENCIA,UNIDAD CAIDA AL PISO,MANO DE OBRA,PE,ETM
BACKEND/ENSAMBLE FINAL,PRESS FIT,UNIDAD CAIDA AL PISO,MANO DE OBRA,PE,ETM
BACKEND/ENSAMBLE FINAL,PROGRAMACION,UNIDAD CAIDA AL PISO,MANO DE OBRA,PE,ETM
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,UNIDAD CAIDA AL PISO,MANO DE OBRA,PE,ETM
SMD,AOI,UNIDAD CAIDA AL PISO,MANO DE OBRA,PE,ETM
SMD,ASYS,UNIDAD CAIDA AL PISO,MANO DE OBRA,PE,ETM
SMD,DEK,UNIDAD CAIDA AL PISO,MANO DE OBRA,PE,ETM
SMD,DESPANELIZADO,UNIDAD CAIDA AL PISO,MANO DE OBRA,PE,ETM
SMD,DIAGNOSTICO,UNIDAD CAIDA AL PISO,MANO DE OBRA,PE,ETM
SMD,F4,UNIDAD CAIDA AL PISO,MANO DE OBRA,PE,ETM
SMD,FUJI,UNIDAD CAIDA AL PISO,MANO DE OBRA,PE,ETM
SMD,HORNO DE REFLUJO,UNIDAD CAIDA AL PISO,MANO DE OBRA,PE,ETM
SMD,HS 50,UNIDAD CAIDA AL PISO,MANO DE OBRA,PE,ETM
SMD,HS 60,UNIDAD CAIDA AL PISO,MANO DE OBRA,PE,ETM
SMD,ICT,UNIDAD CAIDA AL PISO,MANO DE OBRA,PE,ETM
SMD,LAQUEADO,UNIDAD CAIDA AL PISO,MANO DE OBRA,PE,ETM
