area,tecnologia,defecto,causa,division,proyecto
BACKEND/ENSAMBLE FINAL,Empaque,Unidad Golpeada/Dañada,Proveedor,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Ict,Componentes Arrancados,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Ict,Componentes Arrancados,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Ict,Componentes Dañados/Golpeado,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Ict,Componentes Dañados/Golpeado,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Ict,Exceso De Pruebas,METODO,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Ict,Material Obsoleto,METODO,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Ict,Sin Prueba Anterior,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Ict,Sin Prueba Anterior,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Ict,Unidad Caída Al Piso,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Ict,Unidad Caída Al Piso,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Ict,Unidad Dañada Por Equipo -Eos,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,MiniDTA,Componente Arrancado,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,MiniDTA,Componente Arrancado,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,MiniDTA,Componente Dañado/Golpeado,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,MiniDTA,Componente Dañado/Golpeado,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,MiniDTA,Conector Dañado,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,MiniDTA,Conector Dañado,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,MiniDTA,Conector Dañado,Proveedor,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,MiniDTA,Conector Manchado,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,MiniDTA,Conector Manchado,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,MiniDTA,Exceso De Pruebas,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,MiniDTA,Mal Diseño,METODO,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,MiniDTA,Material Obsoleto,METODO,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,MiniDTA,Muestra De Oro Obsoleta,METODO,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,MiniDTA,Pines De Conector Sumidos,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,MiniDTA,Pines De Conector Sumidos,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,MiniDTA,Pruebas De Ingenieria,METODO,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,MiniDTA,Set Up De Equipo,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,MiniDTA,Unidad Caida Al Piso,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,MiniDTA,Unidad Caida Al Piso,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Pressfit,Componentes Arrancados,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Pressfit,Componentes Arrancados,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Pressfit,Componentes Dañados/Golpeado,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Pressfit,Componentes Dañados/Golpeado,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Pressfit,Contaminación,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Pressfit,Contaminación,METODO,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Pressfit,Falla De Prensa,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Pressfit,Pcb Dañado,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Pressfit,Pcb Dañado,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Pressfit,Pines Doblados Del Conector,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Pressfit,Pines Doblados Del Conector,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Pressfit,Pines Doblados Del Conector,Proveedor,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Pressfit,Unidad Caída Al Piso,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Pressfit,Unidad Caída Al Piso,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Prueba Final,Conector Dañado,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Prueba Final,Conector Dañado,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Prueba Final,Conector Dañado,Proveedor,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Prueba Final,Exceso De Pruebas,Mano De Obra,PSAD,DAIMLER STAR 2
