area,tecnologia,defecto,causa,division,proyecto,,,,,,
WHSE,015,DAÑADO,PROVEEDOR,PE,EMS 2213,,,,,,
WHSE,015,DAÑADO POR TRANSPORTE,METODO,PE,EMS 2213,,,,,,
WHSE,015,DAÑADO POR TRANSPORTE,PROVEEDOR,PE,EMS 2213,,,,,,
WHSE,015,DERRAME,MANO DE OBRA,PE,EMS 2213,,,,,,
WHSE,015,DERRAME,METODO,PE,EMS 2213,,,,,,
WHSE,015,DERRAME,PROVEEDOR,PE,EMS 2213,,,,,,
WHSE,015,DERRAME POR TRANSPORTE,MANO DE OBRA,PE,EMS 2213,,,,,,
WHSE,015,DERRAME POR TRANSPORTE,METODO,PE,EMS 2213,,,,,,
WHSE,015,DERRAME POR TRANSPORTE,PROVEEDOR,PE,EMS 2213,,,,,,
WHSE,015,GOLPEADO,MANO DE OBRA,PE,EMS 2213,,,,,,
WHSE,015,GOLPEADO,METODO,PE,EMS 2213,,,,,,
WHSE,015,GOLPEADO,PROVEEDOR,PE,EMS 2213,,,,,,
WHSE,015,MAL MANEJO DE ALMACEN,MANO DE OBRA,PE,EMS 2213,,,,,,
WHSE,015,MAL MANEJO DE ALMACEN,METODO,PE,EMS 2213,,,,,,
WHSE,015,MATERIAL DAÑADO,MANO DE OBRA,PE,EMS 2213,,,,,,
WHSE,015,MATERIAL DAÑADO,METODO,PE,EMS 2213,,,,,,
WHSE,015,MATERIAL DAÑADO,PROVEEDOR,PE,EMS 2213,,,,,,
WHSE,015,MOJADO,MANO DE OBRA,PE,EMS 2213,,,,,,
WHSE,015,MOJADO,METODO,PE,EMS 2213,,,,,,
WHSE,015,MOJADO,PROVEEDOR,PE,EMS 2213,,,,,,
WHSE,015,OBSOLETO,MANO DE OBRA,PE,EMS 2213,,,,,,
WHSE,015,OBSOLETO,METODO,PE,EMS 2213,,,,,,
WHSE,015,SOBRE INVENTARIO,METODO,PE,EMS 2213,,,,,,
WHSE,014,CADUCO,MANO DE OBRA,PE,EMS 2214,,,,,,
WHSE,014,CADUCO,METODO,PE,EMS 2214,,,,,,
WHSE,014,CADUCO,PROVEEDOR,PE,EMS 2214,,,,,,
WHSE,014,CAMBIO DE INGENIERIA,METODO,PE,EMS 2214,,,,,,
WHSE,014,DAÑADO,MANO DE OBRA,PE,EMS 2214,,,,,,
WHSE,014,DAÑADO,METODO,PE,EMS 2214,,,,,,
WHSE,014,DAÑADO,PROVEEDOR,PE,EMS 2214,,,,,,
