division,segmento,profit_center,proyecto,codigo_scrap,orden_interna,,
PSAD,OES,30301-056,EPS,010-4,95000113,,
PSAD,OES,30301-056,EPS,010-5,95000113,,
PSAD,OES,30301-056,EPS,010-6,95000113,,
PSAD,OES,30301-056,EPS,012-1,95000113,,
PSAD,OES,30301-056,EPS,013-1,95000113,,
PSAD,OES,30301-056,ER20,010-3,95000114,,
PSAD,OES,30301-056,ER20,010-4,95000114,,
PSAD,OES,30301-056,ER20,010-5,95000114,,
PSAD,OES,30301-056,ER20,010-6,95000114,,
PSAD,OES,30301-056,ER20,012-1,95000114,,
PSAD,OES,30301-056,ER20,013-1,95000114,,
PSAD,OES,30301-056,ER25,010-3,95000115,,
PSAD,OES,30301-056,ER25,010-4,95000115,,
PSAD,OES,30301-056,ER25,010-5,95000115,,
PSAD,OES,30301-056,ER25,010-6,95000115,,
PSAD,OES,30301-056,ER25,012-1,95000115,,
PSAD,OES,30301-056,ER25,013-1,95000115,,
PSAD,OES,30301-056,HONDA,010-3,95000116,,
PSAD,OES,30301-056,HONDA,010-4,95000116,,
PSAD,OES,30301-056,HONDA,010-5,95000116,,
PSAD,OES,30301-056,HONDA,010-6,95000116,,
PSAD,OES,30301-056,HONDA,012-1,95000116,,
PSAD,OES,30301-056,HONDA,013-1,95000116,,
PSAD,OES,30301-056,HP,010-3,95000117,,
PSAD,OES,30301-056,HP,010-4,95000117,,
PSAD,OES,30301-056,HP,010-5,95000117,,
PSAD,OES,30301-056,HP,010-6,95000117,,
PSAD,OES,30301-056,HP,012-1,95000117,,
PSAD,OES,30301-056,HP,013-1,95000117,,
PSAD,OES,30301-056,MK25,010-3,95000118,,
PSAD,OES,30301-056,MK25,010-4,95000118,,
PSAD,OES,30301-056,MK25,010-5,95000118,,
PSAD,OES,30301-056,MK25,010-6,95000118,,
PSAD,OES,30301-056,MK25,012-1,95000118,,
PSAD,OES,30301-056,MK25,013-1,95000118,,
PSAD,OES,30301-056,ODISSEY,010-3,95000119,,
PSAD,OES,30301-056,ODISSEY,010-4,95000119,,
PSAD,OES,30301-056,ODISSEY,010-5,95000119,,
PSAD,OES,30301-056,ODISSEY,010-6,95000119,,
PSAD,OES,30301-056,ODISSEY,012-1,95000119,,
PSAD,OES,30301-056,ODISSEY,013-1,95000119,,
PSAD,OES,30301-056,P131,010-3,95000120,,
PSAD,OES,30301-056,P131,010-4,95000120,,
PSAD,OES,30301-056,P131,010-5,95000120,,
PSAD,OES,30301-056,P131,010-6,95000120,,
PSAD,OES,30301-056,P131,012-1,95000120,,
PSAD,OES,30301-056,P131,013-1,95000120,,
PSAD,OES,30301-056,P356,010-3,95000121,,
PSAD,OES,30301-056,P356,010-4,95000121,,
PSAD,OES,30301-056,P356,010-5,95000121,,
PSAD,OES,30301-056,P356,010-6,95000121,,
PSAD,OES,30301-056,P356,012-1,95000121,,
PSAD,OES,30301-056,P356,013-1,95000121,,
PSAD,OES,30301-056,RCM,010-3,95000122,,
PSAD,OES,30301-056,RCM,010-4,95000122,,
PSAD,OES,30301-056,RCM,010-5,95000122,,
PSAD,OES,30301-056,RCM,010-6,95000122,,
PSAD,OES,30301-056,RCM,012-1,95000122,,
PSAD,OES,30301-056,RCM,013-1,95000122,,
PSAD,OES,30301-056,SACM,010-3,95000123,,
PSAD,OES,30301-056,SACM,010-4,95000123,,
PSAD,OES,30301-056,SACM,010-5,95000123,,
PSAD,OES,30301-056,SACM,010-6,95000123,,
PSAD,OES,30301-056,SACM,012-1,95000123,,
PSAD,OES,30301-056,SACM,013-1,95000123,,
PSAD,OES,30301-056,SATURN,010-3,95000124,,
PSAD,OES,30301-056,SATURN,010-4,95000124,,
PSAD,OES,30301-056,SATURN,010-5,95000124,,
PSAD,OES,30301-056,SATURN,010-6,95000124,,
PSAD,OES,30301-056,SATURN,012-1,95000124,,
PSAD,OES,30301-056,SATURN,013-1,95000124,,
PSAD,OES,30301-056,SUV,010-3,95000125,,
PSAD,OES,30301-056,SUV,010-4,95000125,,
PSAD,OES,30301-056,SUV,010-5,95000125,,
PSAD,OES,30301-056,SUV,010-6,95000125,,
PSAD,OES,30301-056,SUV,012-1,95000125,,
PSAD,OES,30301-056,SUV,013-1,95000125,,
PSAD,OES,30301-056,TRW,010-3,95000126,,
PSAD,OES,30301-056,TRW,010-4,95000126,,
PSAD,OES,30301-056,TRW,010-5,95000126,,
PSAD,OES,30301-056,TRW,010-6,95000126,,
PSAD,OES,30301-056,TRW,012-1,95000126,,
PSAD,OES,30301-056,TRW,013-1,95000126,,
PSAD,OES,30301-056,VN127,010-3,95000127,,
PSAD,OES,30301-056,VN127,010-4,95000127,,
PSAD,OES,30301-056,VN127,010-5,95000127,,
PSAD,OES,30301-056,VN127,010-6,95000127,,
PSAD,OES,30301-056,VN127,012-1,95000127,,
PSAD,OES,30301-056,VN127,013-1,95000127,,
PSAD,OES,30301-056,VW3,010-3,95000128,,
PSAD,OES,30301-056,VW3,010-4,95000128,,
PSAD,OES,30301-056,VW3,010-5,95000128,,
PSAD,OES,30301-056,VW3,010-6,95000128,,
PSAD,OES,30301-056,VW3,012-1,95000128,,
PSAD,OES,30301-056,VW3,013-1,95000128,,
PSAD,PS,30301-002,ARAMIS 2010,010-3,95000071,,
PSAD,PS,30301-002,ARAMIS 2010,010-4,95000071,,
PSAD,PS,30301-002,ARAMIS 2010,010-5,95000071,,
PSAD,PS,30301-002,ARAMIS 2010,010-6,95000071,,
PSAD,PS,30301-002,ARAMIS 2010,012-1,95000071,,
PSAD,PS,30301-002,ARAMIS 2010,013-1,95000071,,
PSAD,PS,30301-002,ARAMIS 2011,010-3,95000072,,
PSAD,PS,30301-002,ARAMIS 2011,010-4,95000072,,
PSAD,PS,30301-002,ARAMIS 2011,010-5,95000072,,
PSAD,PS,30301-002,ARAMIS 2011,010-6,95000072,,
PSAD,PS,30301-002,ARAMIS 2011,012-1,95000072,,
PSAD,PS,30301-002,ARAMIS 2011,013-1,95000072,,
PSAD,PS,30301-002,ARAMIS 2012,010-3,95000073,,
PSAD,PS,30301-002,ARAMIS 2012,010-4,95000073,,
PSAD,PS,30301-002,ARAMIS 2012,010-5,95000073,,
PSAD,PS,30301-002,ARAMIS 2012,010-6,95000073,,
PSAD,PS,30301-002,ARAMIS 2012,012-1,95000073,,
PSAD,PS,30301-002,ARAMIS 2012,013-1,95000073,,
PSAD,PS,30301-002,ARAMIS I,010-3,95000074,,
PSAD,PS,30301-002,ARAMIS I,010-4,95000074,,
PSAD,PS,30301-002,ARAMIS I,010-5,95000074,,
PSAD,PS,30301-002,ARAMIS I,010-6,95000074,,
PSAD,PS,30301-002,ARAMIS I,012-1,95000074,,
PSAD,PS,30301-002,ARAMIS I,013-1,95000074,,
PSAD,PS,30301-002,ARAMIS II MCG,010-3,95000068,,
PSAD,PS,30301-002,ARAMIS II MCG,010-4,95000068,,
PSAD,PS,30301-002,ARAMIS II MCG,010-5,95000068,,
PSAD,PS,30301-002,ARAMIS II MCG,010-6,95000068,,
PSAD,PS,30301-002,ARAMIS II MCG,012-1,95000068,,
PSAD,PS,30301-002,ARAMIS II MCG,013-1,95000068,,
PSAD,PS,30301-002,ARAMIS III,010-3,95000069,,
PSAD,PS,30301-002,ARAMIS III,010-4,95000069,,
PSAD,PS,30301-002,ARAMIS III,010-5,95000069,,
PSAD,PS,30301-002,ARAMIS III,010-6,95000069,,
PSAD,PS,30301-002,ARAMIS III,012-1,95000069,,
PSAD,PS,30301-002,ARAMIS III,013-1,95000069,,
PSAD,PS,30301-002,CHRYSLER MY2013,010-3,95000070,,
PSAD,PS,30301-002,CHRYSLER MY2013,010-4,95000070,,
PSAD,PS,30301-002,CHRYSLER MY2013,010-5,95000070,,
PSAD,PS,30301-002,CHRYSLER MY2013,010-6,95000070,,
PSAD,PS,30301-002,CHRYSLER MY2013,012-1,95000070,,
PSAD,PS,30301-002,CHRYSLER MY2013,013-1,95000070,,
PSAD,PS,30301-002,FIAT BRAZIL,010-3,95000075,,
PSAD,PS,30301-002,FIAT BRAZIL,010-4,95000075,,
PSAD,PS,30301-002,FIAT BRAZIL,010-5,95000075,,
PSAD,PS,30301-002,FIAT BRAZIL,010-6,95000075,,
PSAD,PS,30301-002,FIAT BRAZIL,012-1,95000075,,
PSAD,PS,30301-002,FIAT BRAZIL,013-1,95000075,,
PSAD,PS,30301-002,FORD,010-3,95000076,,
PSAD,PS,30301-002,FORD,010-4,95000076,,
PSAD,PS,30301-002,FORD,010-5,95000076,,
PSAD,PS,30301-002,FORD,010-6,95000076,,
PSAD,PS,30301-002,FORD,012-1,95000076,,
PSAD,PS,30301-002,FORD,013-1,95000076,,
PSAD,PS,30301-002,HONDA ACCORD,010-3,95000077,,
PSAD,PS,30301-002,HONDA ACCORD,010-4,95000077,,
PSAD,PS,30301-002,HONDA ACCORD,010-5,95000077,,
PSAD,PS,30301-002,HONDA ACCORD,010-6,95000077,,
PSAD,PS,30301-002,HONDA ACCORD,012-1,95000077,,
PSAD,PS,30301-002,HONDA ACCORD,013-1,95000077,,
PSAD,PS,30301-002,HONDA CR-V HE,010-3,95000078,,
PSAD,PS,30301-002,HONDA CR-V HE,010-4,95000078,,
PSAD,PS,30301-002,HONDA CR-V HE,010-5,95000078,,
PSAD,PS,30301-002,HONDA CR-V HE,010-6,95000078,,
PSAD,PS,30301-002,HONDA CR-V HE,012-1,95000078,,
PSAD,PS,30301-002,HONDA CR-V HE,013-1,95000078,,
PSAD,PS,30301-002,HONDA CR-V MC,010-3,95000079,,
PSAD,PS,30301-002,HONDA CR-V MC,010-4,95000079,,
PSAD,PS,30301-002,HONDA CR-V MC,010-5,95000079,,
PSAD,PS,30301-002,HONDA CR-V MC,010-6,95000079,,
PSAD,PS,30301-002,HONDA CR-V MC,012-1,95000079,,
PSAD,PS,30301-002,HONDA CR-V MC,013-1,95000079,,
PSAD,PS,30301-002,HONDA HRS5,010-3,95000080,,
PSAD,PS,30301-002,HONDA HRS5,010-4,95000080,,
PSAD,PS,30301-002,HONDA HRS5,010-5,95000080,,
PSAD,PS,30301-002,HONDA HRS5,010-6,95000080,,
PSAD,PS,30301-002,HONDA HRS5,012-1,95000080,,
PSAD,PS,30301-002,HONDA HRS5,013-1,95000080,,
PSAD,PS,30301-002,HONDA HRS6,010-3,95000081,,
PSAD,PS,30301-002,HONDA HRS6,010-4,95000081,,
PSAD,PS,30301-002,HONDA HRS6,010-5,95000081,,
PSAD,PS,30301-002,HONDA HRS6,010-6,95000081,,
PSAD,PS,30301-002,HONDA HRS6,012-1,95000081,,
PSAD,PS,30301-002,HONDA HRS6,013-1,95000081,,
PSAD,PS,30301-002,HYUNDAI,010-3,95000084,,
PSAD,PS,30301-002,HYUNDAI,010-4,95000084,,
PSAD,PS,30301-002,HYUNDAI,010-5,95000084,,
PSAD,PS,30301-002,HYUNDAI,010-6,95000084,,
PSAD,PS,30301-002,HYUNDAI,012-1,95000084,,
PSAD,PS,30301-002,HYUNDAI,013-1,95000084,,
PSAD,PS,30301-002,VW10 LC,010-3,95000085,,
PSAD,PS,30301-002,VW10 LC,010-4,95000085,,
PSAD,PS,30301-002,VW10 LC,010-5,95000085,,
PSAD,PS,30301-002,VW10 LC,010-6,95000085,,
PSAD,PS,30301-002,VW10 LC,012-1,95000085,,
PSAD,PS,30301-002,VW10 LC,013-1,95000085,,
PSAD,PSAD,30301-002,DAIMLER STAR 2,010-3,95000065,,
PSAD,PSAD,30301-002,DAIMLER STAR 2,010-4,95000065,,
PSAD,PSAD,30301-002,DAIMLER STAR 2,010-5,95000065,,
PSAD,PSAD,30301-002,DAIMLER STAR 2,010-6,95000065,,
PSAD,PSAD,30301-002,DAIMLER STAR 2,012-1,95000065,,
PSAD,PSAD,30301-002,DAIMLER STAR 2,013-1,95000065,,
PSAD,PSAD,30301-002,DAIMLER STAR2_ISC,010-3,95000066,,
PSAD,PSAD,30301-002,DAIMLER STAR2_ISC,010-4,95000066,,
PSAD,PSAD,30301-002,DAIMLER STAR2_ISC,010-5,95000066,,
PSAD,PSAD,30301-002,DAIMLER STAR2_ISC,010-6,95000066,,
PSAD,PSAD,30301-002,DAIMLER STAR2_ISC,012-1,95000066,,
PSAD,PSAD,30301-002,DAIMLER STAR2_ISC,013-1,95000066,,
PSAD,PSAD,30301-002,EPSILON,010-3,95000082,,
PSAD,PSAD,30301-002,EPSILON,010-4,95000082,,
PSAD,PSAD,30301-002,EPSILON,010-5,95000082,,
PSAD,PSAD,30301-002,EPSILON,010-6,95000082,,
PSAD,PSAD,30301-002,EPSILON,012-1,95000082,,
PSAD,PSAD,30301-002,EPSILON,013-1,95000082,,
PSAD,PSAD,30301-002,GM BRASIL,010-3,95000143,,
PSAD,PSAD,30301-002,GM BRASIL,010-4,95000143,,
PSAD,PSAD,30301-002,GM BRASIL,010-5,95000143,,
PSAD,PSAD,30301-002,GM BRASIL,010-6,95000143,,
PSAD,PSAD,30301-002,GM BRASIL,012-1,95000143,,
PSAD,PSAD,30301-002,GM BRASIL,013-1,95000143,,
PSAD,PSAD,30301-002,VW20,010-3,95000067,,
PSAD,PSAD,30301-002,VW20,010-4,95000067,,
PSAD,PSAD,30301-002,VW20,010-5,95000067,,
PSAD,PSAD,30301-002,VW20,010-6,95000067,,
PSAD,PSAD,30301-002,VW20,012-1,95000067,,
PSAD,PSAD,30301-002,VW20,013-1,95000067,,
B&S 2,S5,30301-014,HONDA HL LL SP37,95,K96019 ,,
B&S,S5,30301-014,TIS1C127 HMC,95,K96019 ,,
B&S,S2,30301-011,NISSAN KEY FOB SQUARE D,95,K96019 ,,
PSAD,PS,30301-002,FIAT BRAZIL,95,K96019 ,,
PSAD,PSAD,30301-002,GM BRASIL,95,K96019 ,,
B&S 2,S1,30301-014,DCU,95,K96019 ,,
B&S,S1,30301-004,GLOBAL A,95,K96019 ,,
B&S 2,S1,30301-004,RFHM CUSW,95,K96019 ,,
B&S 2,S1,30301-004,RKE FOB CUSW,95,K96019 ,,
B&S 2,S1,30301-004,IGNM CUSW,95,K96019 ,,
PE,ES,30301-024,EMS 2208,95,K96019 ,,
PE,ES,30301-024,SIMOS 12.2,95,K96019 ,,
PSAD,PSAD,30301-002,VW20,95,K96019 ,,
PSAD,PSAD,30301-002,DAIMLER STAR2_ISC,95,K96019 ,,
PSAD,PSAD,30301-002,DAIMLER STAR 2,95,K96019 ,,
B&S,S6,30301-004,KWANG JIN,95,K96019 ,,
B&S,S6,30301-065,WEBASTO,95,K96019 ,,
PSAD,PS,30301-002,HONDA HRS6,95,K96019 ,,
B&S,S5,30301-014,ECU TX4 TX6,95,K96019 ,,
B&S,S5,30301-014,FOBS TX4 TX6,95,K96019 ,,
B&S 2,S1,30301-014,TG1C NISSAN,95,K96019 ,,
B&S,S6,30301-065,ESCL,95,K96019 ,,
B&S,S2,30301-011,BCM SQUARE D,95,K96019 ,,
B&S,S1,30301-004,PEPS PK MY13,95,K96019 ,,
