area;tegnologia;defecto;causa;division;proyecto
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;SIN PRUEBA ANTERIOR;;METODO;ZUSAT
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;UNIDAD DAÑADA;;MAQUINA;ZUSAT
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;UNIDAD DE PRUEBAS ;;METODO;ZUSAT
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;UNIDAD GOLPEADA ;;MANO DE OBRA;ZUSAT
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;UNIDAD CAIDA AL PISO;;METODO;ZUSAT
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;CARCASA ABIERTA;;MANO DE OBRA;ZUSAT
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;CARCASA QUEBRADA;;MANO DE OBRA;ZUSAT
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;CARCASA RAYADA;;MANO DE OBRA;ZUSAT
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;CARCAZA DAÑADA ;;MANO DE OBRA;ZUSAT
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;MAL ENSAMBLADA ;;MANO DE OBRA;ZUSAT
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;MAL FLUJO;;MANO DE OBRA;ZUSAT
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;UNIDAD GOLPEADA;;MANO DE OBRA;ZUSAT
BACKEND/ENSAMBLE FINAL;EMPAQUE;SIN PRUEBA ANTERIOR;;METODO;ZUSAT
BACKEND/ENSAMBLE FINAL;EMPAQUE;EXCESO DE PASS-COUNT;;METODO;ZUSAT
BACKEND/ENSAMBLE FINAL;EMPAQUE;MAL MANEJO;;MANO DE OBRA;ZUSAT
BACKEND/ENSAMBLE FINAL;EMPAQUE;NO LEE DATA MATRIZ;;MAQUINA;ZUSAT
BACKEND/ENSAMBLE FINAL;EMPAQUE;UNIDAD CAIDA AL PISO;;METODO;ZUSAT
DIAGNOSTICO ;RETRABAJO;RETRABAJO;;MANO DE OBRA;ZUSAT
