area,tecnologia,defecto,causa,proyecto
SMD,ASYS,DESPLAZADO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,UNIDAD CAIDA AL PISO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,UNIDAD CAIDA AL PISO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,SET UP DE EQUIPO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,SET UP DE EQUIPO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,LIBERACION DE EQUIPO,METODO,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,PRUEBA DE INGENIERIA,METODO,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,DESPLAZADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,PANEL ATORADO,METODO,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,PANEL ATORADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,PANEL ATORADO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,DESPLAZADO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,UNIDAD CAIDA AL PISO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,UNIDAD CAIDA AL PISO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,SET UP DE EQUIPO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,SET UP DE EQUIPO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,LIBERACION DE EQUIPO,METODO,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,PRUEBA DE INGENIERIA,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,PANEL ATORADO,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,PANEL ATORADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,PANEL ATORADO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,INSUFICIENCIA DE SOLDADURA LADO A ,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,INSUFICIENCIA DE SOLDADURA LADO A ,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,INSUFICIENCIA DE SOLDADURA LADO B ,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,INSUFICIENCIA DE SOLDADURA LADO B ,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,PERLAS DE SOLDADURA,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,PERLAS DE SOLDADURA,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,CORTOS,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,CORTOS,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,CORTOS,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,SOLDADURA POROSA,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,SOLDADURA POROSA,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,SOLDADURA POROSA,PROVEEDOR,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,COMPONENTE DAÑADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,COMPONENTE DAÑADO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,COMPONENTE FALTANTE,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,COMPONENTE FALTANTE,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,COMPONENTE ARRANCADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,COMPONENTE ARRANCADO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,COMPONENTE DE CANTO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,COMPONENTE DE CANTO,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,DESPLAZADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,TOMBSTONE,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,TOMBSTONE,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,CONTAMINACION,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,CONTAMINACION,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,CONTAMINACION,PROVEEDOR,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,CONTAMINACION,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,PCB ABORTADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,UNIDAD CAIDA AL PISO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,LIBERACION DE EQUIPO,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,PRUEBA DE INGENIERIA,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,SIN PRUEBA ANTERIOR,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,PANEL ATORADO,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,PANEL ATORADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,PANEL ATORADO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,INSUFICIENCIA DE SOLDADURA LADO A ,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,INSUFICIENCIA DE SOLDADURA LADO A ,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,INSUFICIENCIA DE SOLDADURA LADO B ,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,INSUFICIENCIA DE SOLDADURA LADO B ,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,PERLAS DE SOLDADURA,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,PERLAS DE SOLDADURA,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,CORTOS,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,CORTOS,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,CORTOS,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,SOLDADURA POROSA,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,SOLDADURA POROSA,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,SOLDADURA POROSA,PROVEEDOR,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,COMPONENTE DAÑADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,COMPONENTE DAÑADO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,COMPONENTE FALTANTE,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,COMPONENTE FALTANTE,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,COMPONENTE ARRANCADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,COMPONENTE ARRANCADO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,COMPONENTE DE CANTO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,COMPONENTE DE CANTO,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,DESPLAZADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,TOMBSTONE,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,TOMBSTONE,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,CONTAMINACION,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,CONTAMINACION,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,CONTAMINACION,PROVEEDOR,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,CONTAMINACION,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,PCB ABORTADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,UNIDAD CAIDA AL PISO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,LIBERACION DE EQUIPO,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,PRUEBA DE INGENIERIA,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,SIN PRUEBA ANTERIOR,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,PANEL ATORADO,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,PANEL ATORADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,PANEL ATORADO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,INSUFICIENCIA DE SOLDADURA LADO A ,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,INSUFICIENCIA DE SOLDADURA LADO A ,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,INSUFICIENCIA DE SOLDADURA LADO B ,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,INSUFICIENCIA DE SOLDADURA LADO B ,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,PERLAS DE SOLDADURA,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,PERLAS DE SOLDADURA,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,CORTOS,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,CORTOS,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,CORTOS,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,SOLDADURA POROSA,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,SOLDADURA POROSA,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,SOLDADURA POROSA,PROVEEDOR,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,COMPONENTE DAÑADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,COMPONENTE DAÑADO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,COMPONENTE FALTANTE,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,COMPONENTE FALTANTE,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,COMPONENTE ARRANCADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,COMPONENTE ARRANCADO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,COMPONENTE DE CANTO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,COMPONENTE DE CANTO,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,DESPLAZADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,TOMBSTONE,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,TOMBSTONE,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,CONTAMINACION,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,CONTAMINACION,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,CONTAMINACION,PROVEEDOR,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,CONTAMINACION,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,PCB ABORTADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,UNIDAD CAIDA AL PISO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,LIBERACION DE EQUIPO,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,PRUEBA DE INGENIERIA,METODO,ARAMIS 2010 / 2011 / 2012
SMD,HORNO,SIN PRUEBA ANTERIOR,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,PANEL ATORADO,METODO,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,PANEL ATORADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,PANEL ATORADO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,INSUFICIENCIA DE SOLDADURA LADO A ,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,INSUFICIENCIA DE SOLDADURA LADO A ,METODO,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,INSUFICIENCIA DE SOLDADURA LADO B ,MAQUINA,ARAMIS 2010 / 2011 / 2012
