area,tecnologia,defecto,causa,proyecto
BACKEND/ENSAMBLE FINAL,SAWING,PCB CON REBABAS ,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,PCB CON EXCESO DE CORTE,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,PCB FALTANTE DE CORTE,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,PCB CON CORTE CHUECO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,PCB FRACTURADO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,PCB FRACTURADO,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,PCB FRACTURADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,PCB FRACTURADO,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,CONECTOR QUEBRADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,CONECTOR QUEBRADO,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,PIN DOBLADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,PIN DOBLADO,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,PIN DOBLADO,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,PIN DOBLADO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,UNIDAD CAIDA AL PISO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,UNIDAD GOLPEADA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,UNIDAD RAYADA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,PRUEBA DESTRUCTIVA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,PROBLEMA SOFTWARE,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,PROBLEMA SOFTWARE,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,EXCESO DE PRUEBAS,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,SIN PRUEBA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,FALLA INTERLOKING,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,MUESTRA DE ORO OBSOLETA ,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,MUESTRA DE ORO DAÑADA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,UNIDAD DUPLICADA,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,UNIDAD DUPLICADA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,UNIDAD DUPLICADA,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,CONTAMINACION,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,CONTAMINACION,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,CONTAMINACION,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,PCB CON RAYADURAS,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,PCB CON RAYADURAS,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,PCB CON RAYADURAS,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,PCB CONTAMINADO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,PCB CONTAMINADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,PCB CONTAMINADO,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,EXCESO DE PRUEBAS,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,CAMBIO DE INGENIERIA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,COMPONENTE FRACTURADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,COMPONENTE FRACTURADO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,DAÑO POR FIXTURA,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,DAÑO POR MAL DISEÑO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,SET UP DE EQUIPO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,SET UP DE EQUIPO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,MAL MANEJO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,MALA REPARACION,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,SAWING,UNIDAD POR LIBERACION,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL ,CONECTOR QUEBRADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL ,CONECTOR QUEBRADO,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL ,PIN DOBLADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL ,PIN DOBLADO,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL ,PIN DOBLADO,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL ,PIN DOBLADO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL ,UNIDAD CAIDA AL PISO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL ,UNIDAD GOLPEADA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL ,UNIDAD MANCHADA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL ,UNIDAD RAYADA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL ,PRUEBA DESTRUCTIVA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL ,PROBLEMA SOFTWARE,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL ,PROBLEMA SOFTWARE,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL ,UNIDAD DUPLICADA,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL ,UNIDAD DUPLICADA,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL ,UNIDAD DUPLICADA,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL ,CONTAMINACION,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL ,CONTAMINACION,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL ,CONTAMINACION,METODO,BOSE VW
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL ,PCB CON RAYADURAS,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL ,PCB CON RAYADURAS,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL ,PCB CON RAYADURAS,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL ,PCB CONTAMINADO,MAQUINA,BOSE VW
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL ,PCB CONTAMINADO,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL ,PCB CONTAMINADO,PROVEEDOR,BOSE VW
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL ,EXCESO DE PRUEBAS,MANO DE OBRA,BOSE VW
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL ,CAMBIO DE INGENIERIA,MANO DE OBRA,BOSE VW
