area,tecnologia,linea,division,proyecto
BACKEND/ENSAMBLE FINAL,EMPAQUE,  TG1C UNIVERSAL,B&S 2,  TG1C UNIVERSAL
SMD,SMD,Linea O,B&S 2,  TG1C UNIVERSAL
SMD,SMD,Linea I,B&S 2,  TG1C UNIVERSAL
SMD,SMD,Linea D,B&S 2,  TG1C UNIVERSAL
SMD,SMD,Linea P,B&S 2,  TG1C UNIVERSAL
SMD,SMD,Linea Q,B&S 2,  TG1C UNIVERSAL
BACKEND/ENSAMBLE FINAL,EMPAQUE,  TG1C NISSAN,B&S 2,  TG1C NISSAN
SMD,SMD,Linea O,B&S 2,  TG1C NISSAN
SMD,SMD,Linea I,B&S 2,  TG1C NISSAN
SMD,SMD,Linea D,B&S 2,  TG1C NISSAN
SMD,SMD,Linea P,B&S 2,  TG1C NISSAN
SMD,SMD,Linea Q,B&S 2,  TG1C NISSAN
BACKEND/ENSAMBLE FINAL,EMPAQUE,  TG1C HONDA,B&S 2,  TG1C HONDA
SMD,SMD,Linea O,B&S 2,  TG1C HONDA
SMD,SMD,Linea I,B&S 2,  TG1C HONDA
SMD,SMD,Linea D,B&S 2,  TG1C HONDA
SMD,SMD,Linea P,B&S 2,  TG1C HONDA
SMD,SMD,Linea Q,B&S 2,  TG1C HONDA
BACKEND/ENSAMBLE FINAL,EMPAQUE,  TIPM MEDIUM,B&S 2,  TIPM MEDIUM
SMD,SMD,Linea O,B&S 2,  TIPM MEDIUM
SMD,SMD,Linea I,B&S 2,  TIPM MEDIUM
SMD,SMD,Linea D,B&S 2,  TIPM MEDIUM
SMD,SMD,Linea P,B&S 2,  TIPM MEDIUM
SMD,SMD,Linea Q,B&S 2,  TIPM MEDIUM
BACKEND/ENSAMBLE FINAL,EMPAQUE,  TIPM LOGIC,B&S 2,  TIPM LOGIC
SMD,SMD,Linea O,B&S 2,  TIPM LOGIC
SMD,SMD,Linea I,B&S 2,  TIPM LOGIC
SMD,SMD,Linea D,B&S 2,  TIPM LOGIC
SMD,SMD,Linea P,B&S 2,  TIPM LOGIC
SMD,SMD,Linea Q,B&S 2,  TIPM LOGIC
BACKEND/ENSAMBLE FINAL,EMPAQUE,  BMW,B&S 2,  BMW
SMD,SMD,Linea O,B&S 2,  BMW
SMD,SMD,Linea I,B&S 2,  BMW
SMD,SMD,Linea D,B&S 2,  BMW
SMD,SMD,Linea P,B&S 2,  BMW
SMD,SMD,Linea Q,B&S 2,  BMW
BACKEND/ENSAMBLE FINAL,EMPAQUE,  DCU,B&S 2,  DCU
SMD,SMD,Linea O,B&S 2,  DCU
SMD,SMD,Linea I,B&S 2,  DCU
SMD,SMD,Linea D,B&S 2,  DCU
SMD,SMD,Linea P,B&S 2,  DCU
SMD,SMD,Linea Q,B&S 2,  DCU
