area,tecnologia,division,proyecto
BACKEND/ENSAMBLE FINAL,Despanelizado,B&S,IGNM CUSW
BACKEND/ENSAMBLE FINAL,Despanelizado,B&S,RFHM CUSW
BACKEND/ENSAMBLE FINAL,Despanelizado,B&S,RKE FOB CUSW
BACKEND/ENSAMBLE FINAL,Empaque,B&S,IGNM CUSW
BACKEND/ENSAMBLE FINAL,Empaque,B&S,PASE FOB CUSW
BACKEND/ENSAMBLE FINAL,Empaque,B&S,RFHM CUSW
BACKEND/ENSAMBLE FINAL,Empaque,B&S,RKE FOB CUSW
BACKEND/ENSAMBLE FINAL,Ensamble de Carcasa y Etiquetado,B&S,RFHM CUSW
BACKEND/ENSAMBLE FINAL,Kitting,B&S,PASE FOB CUSW
BACKEND/ENSAMBLE FINAL,Kitting,B&S,RFHM CUSW
BACKEND/ENSAMBLE FINAL,Kitting,B&S,RKE FOB CUSW
BACKEND/ENSAMBLE FINAL,Prueba Final LF,B&S,RFHM CUSW
BACKEND/ENSAMBLE FINAL,Prueba Final PASE FOB,B&S,PASE FOB CUSW
BACKEND/ENSAMBLE FINAL,Prueba Final PCB,B&S,IGNM CUSW
BACKEND/ENSAMBLE FINAL,Prueba Final PCB,B&S,RKE FOB CUSW
BACKEND/ENSAMBLE FINAL,Prueba Final RF,B&S,RFHM CUSW
BACKEND/ENSAMBLE FINAL,Prueba Final RKE,B&S,RKE FOB CUSW
BACKEND/ENSAMBLE FINAL,Verificación Kitting,B&S,RFHM CUSW
