No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
103670	ZSCR	551	030-1	NA	5WY8679	NA	A2C53353727	1	3011	045		1301	Wave sub assy FORD PEPS MY 2011	NA	HALB	S.Real/AutoBF	178.12	4955396453
103703	ZSCR	551	030-1	NA	5WG50029	NA	A2C53390797T	1	3011	045		1301	circuit board assy VW PQ35 V07 TOP	NA	HALB	S.Real	97.34	4955396404
103704	ZSCR	551	030-1	NA	5WG50029	NA	A2C53390797T	1	3011	045		1301	circuit board assy VW PQ35 V07 TOP	NA	HALB	S.Real	97.34	4955396404
104022	ZSCR	551	022-2	NA	5WY7700	NA	A2C53114671	1	3011	045		1222	housing	NA	ROH	NA	2.8	4955397533
104022	ZSCR	551	022-2	NA	5WY7700	NA	A2C53124003	1	3011	045		1222	sticker	NA	ROH	NA	0.17	4955397533
104022	ZSCR	551	022-2	NA	5WY7700	NA	A2C53141571	1	3011	045		1222	housing assy NIS D-PLAT	NA	ROH	NA	32.22	4955397533
104022	ZSCR	551	022-2	NA	5WY7700	NA	A2C53184512	1	3011	045		1222	circuit board assy NIS D-PLAT PCB = CO	NA	HALB	S.Real/AutoBF	39.3	4955397564
104023	ZSCR	551	022-2	NA	S180039013	NA	A2C53121775	1	3011	045		1222	housing	NA	ROH	NA	1.68	4955397546
104023	ZSCR	551	022-2	NA	S180039013	NA	A2C53121776	1	3011	045		1222	cover	NA	ROH	NA	1.18	4955397546
104023	ZSCR	551	022-2	NA	S180039013	NA	A2C53121779	2	3011	045		1222	sticker	NA	ROH	NA	0.44	4955397546
104023	ZSCR	551	022-2	NA	S180039014	NA	A2C53184074	1	3011	045		1222	pcb NISD-PLATUN ICT TEST ASS	NA	HALB	S.Real/AutoBF	73.16	4955397574
104159	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	30	3011	045		1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	1529.4	4955396368
104548	ZSCR	551	030-1	NA	5WK50457	NA	A2C31082800	1	3011	045		1301	pcb assy BCU 434 v25	NA	HALB	S.Real	401.18	4955396340
104601	ZSCR	551	035-1	NA	5WK50437	NA	A2C53213478	244	3011	045		1351	"tab 4,8x0,8"	NA	ROH	NA	80.52	4955395591
104945	ZSCR	551	034-2	NA	5WK50437	NA	A2C53398079	3	3011	045		1342	"""pcb assy VW POLO, VECU v020"""	NA	HALB	S.Real	979.26	4955395704
105573	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53188764	30	3011	045		1301	PCB Nissan Key Fob 4B Handy Counter	NA	ROH	NA	97.8	4955395894
106210	ZSCR	551	034-2	NA	5WK49670C	NA	A2C53394918	70	3011	045		1342	certification label	NA	ROH	NA	345.1	4955395726
106497	ZSCR	551	030-1	NA	5WY7700	NA	A2C53117474T	8	3011	045		1301	Subassy Nissan D Fob Reader Top	NA	HALB	S.Real	205.28	4955396353
106978	ZSCR	551	034-1	NA	5WK49670C	NA	A2C53394918	12	3011	045		1341	certification label	NA	ROH	NA	59.16	4955395802
107082	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	30	3011	045		1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	1529.4	4955396368
107615	ZSCR	551	035-1	0	A2C53350875B	NA	6594362074	183	3011	045		1351	"1NF,10%,50V,X7R,0603,NISN,CER"		ROH	NA	3.66	4955395687
107615	ZSCR	551	035-1	0	A2C53350875	NA	6598740701	111	3011	045		1351	MD RF SHIELD FOR SMD RX SKREE		ROH	NA	165.39	4955395666
107621	ZSCR	551	035-1	0	6598147621	NA	9152151	3	3011	045		1351	RESISTOR 10R 5% 0603		ROH	NA	0.03	4955395488
107621	ZSCR	551	035-1	0	6598147621	NA	9165673	91	3011	045		1351	"56K2,1%,TK100,63MW,0603,FIX RE"		ROH	NA	0.91	4955395510
107669	ZSCR	551	030-1	NA	A2C53398079T	NA	A2C00052547	26	3011	045		1301	"EX2-N20-W RELAY,POWER,TWIN,12V"	NA	ROH	NA	172.38	4955395906
107670	ZSCR	551	030-1	NA	5WK50435	NA	A2C53396776	2	3011	045		1301	"""pcb assy VW POLO, VECU v018"""	NA	HALB	S.Real	602.5	4955396414
107671	ZSCR	551	030-1	NA	A2C53396746	NA	A2C53398080	1	3011	045		1301	"""pcb assy VW POLO, VECU v019"""	NA	HALB	S.Real	332.86	4955396429
107735	ZSCR	551	030-1	NA	5WG50027	NA	A2C53380883T	1	3011	045		1301	circuit board assy VW PQ35 V05 TOP	NA	HALB	S.Real	92.7	4955396392
