No.Item	Txs SAP	Mov	C—digo Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00002189	5	1351	"470pF,10%,100V,X7R,0603,TINNED,CER CAP/"		ROH	NA	0.1	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00002189	1	1351	"470pF,10%,100V,X7R,0603,TINNED,CER CAP/"		ROH	NA	0.02	4955581393
112260	ZSCR	551	035-1	0	A2C53375498A2	NA	A2C00002208	2	1351	"1nF,10%,50V,X7R,0603,TINNED,CER CAP/"		ROH	NA	0.04	4955581476
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00002208	7	1351	"1nF,10%,50V,X7R,0603,TINNED,CER CAP/"		ROH	NA	0.14	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00002208	2	1351	"1nF,10%,50V,X7R,0603,TINNED,CER CAP/"		ROH	NA	0.04	4955581393
112260	ZSCR	551	035-1	0	A2C53350937A	NA	A2C00002208	1	1351	"1nF,10%,50V,X7R,0603,TINNED,CER CAP/"		ROH	NA	0.02	4955579452
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00003407	2	1351	"100R,5%,TK200,125mW,0805,LIN RES/"		ROH	NA	0.02	4955581534
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00003512	2	1351	"33R,5%,TK250,250mW,1206,LIN RES/"		ROH	NA	0.04	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00003512	1	1351	"33R,5%,TK250,250mW,1206,LIN RES/"		ROH	NA	0.02	4955581393
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00003571	5	1351	"180R,1%,TK50,250mW,MINIMELF0204,LIN RES/"		ROH	NA	0.45	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00003571	1	1351	"180R,1%,TK50,250mW,MINIMELF0204,LIN RES/"		ROH	NA	0.09	4955581393
112260	ZSCR	551	035-1	0	A2C53375498A2	NA	A2C00003596	5	1351	"17R8,1%,TK50,250mW,MINIMELF0204,LIN RES/"		ROH	NA	0.45	4955581476
