No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP			
563677	11/12/2014	MB1A	951	025-3	NA	'054	NA	NA	A2C9483230193	2	pcb assy DAGSTAR22 D_2-1 SMD TOP	VUG019523	HALB	S.Real	" $1,060.48 "	PSAD_STAR 22_. (APROBA	NO	4985269469			
563677	11/12/2014	MB1A	951	025-3	NA	'054	NA	NA	A2C94832401	2	pcb assy DAGSTAR22 D_3-1	VUG019523	HALB	S.Real	" $1,142.22 "	PSAD_STAR 22_. (APROBA	NO	4985269469			
563677	11/12/2014	MB1A	951	025-3	NA	'054	NA	NA	A2C94832301	6	pcb assy DAGSTAR22 D_2-1	VUG019523	HALB	S.Real	" $3,583.56 "	PSAD_STAR 22_. (APROBA	NO	4985269469			
563677	11/12/2014	MB1A	951	025-3	NA	'054	NA	NA	A2C9483240192	3	pcb assy DAGSTAR22 D_3-1 SMD BOT	VUG019523	HALB	S.Real/AutoBF	 $578.76 	PSAD_STAR 22_. (APROBA	NO	4985269469			
566744	18/12/2014	MB1A	551	030-1	K96019	'054	NA	NA	A2C3481530093	1	pcb assy VW20 V04 TOP	NA	HALB	S.Real	 $153.97 	PS_VW20 MQB_.	NO	4985269466			
566824	18/12/2014	ZSCR	551	042-4	NA	'054	A2C96660500	#N/A	A2C95898500	1	multipoint connector 56/ 26P H 2SYS BE 5	NA	ROH	NA	 $23.87 	PS_FIAT BRAZIL_E.EDWIN	NO				
566885	18/12/2014	ZSCR	551	030-1	NA	'054	5WK44822	#N/A	A2C32679900	12	pcb	NA	ROH	NA	235.2	PS_HONDA HRS6_J.JUAN CH	NO	4985269716			
566885	18/12/2014	ZSCR	551	030-1	NA	'054	A2C96003000	#N/A	A2C94817900	6	pcb	NA	ROH	NA	 $114.12 	PS_HONDA HRS6_J.JUAN CH	NO				
567099	19/12/2014	ZSCR	551	030-1	NA	'054	5WK44749	#N/A	A2C8021770003	1	pcb assy HONHRS6 D_20_SW	NA	HALB	S.Real	307.48	PS_HONDA HRS6_J.JUAN CH	NO	4985269710			
567100	19/12/2014	ZSCR	551	030-1	NA	'054	5WK44749	#N/A	A2C8021770003	1	pcb assy HONHRS6 D_20_SW	NA	HALB	S.Real	307.48	PS_HONDA HRS6_J.JUAN CH	NO	4985269710			
567106	19/12/2014	ZSCR	551	030-1	NA	'054	A2C3320950092	#N/A	A2C53387067	16	pcb FIAT ACU MA	NA	ROH	NA	183.2	PS_FIAT BRAZIL_E.EDWIN	NO	4985269744			
