No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	 	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
561821	08/12/2014	ZSCR	551	050-1	NA	'054	5WK44040	NA	A2C53279728	1	1501	keypad assy	NA	HALB	S.Real/AutoBF	474.15	OC_OCS NISSAN_A.ANA TAP	NO	4985096229
561830	08/12/2014	ZSCR	551	034-2	NA	'054	5WK44252	NA	A2C53364457	1	1342	pcb assy	NA	HALB	S.Real/AutoBF	96.25	PS_FIAT BRAZIL_E.EDWIN	NO	4985094326
561844	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C53108379	1	1401	cover FIP T GY	NA	ROH	NA	3.45	PS_ARAMIS 2013_E.EDWIN	NO	
561844	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C53108387	5	1401	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	0.9	PS_ARAMIS 2013_E.EDWIN	NO	
561844	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C53324560	1	1401	certification label spool part p	NA	ROH	NA	0.5	PS_ARAMIS 2013_E.EDWIN	NO	
561844	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C53331574	1	1401	"housing FIP 157,0x 130,8"	NA	ROH	NA	15.75	PS_ARAMIS 2013_E.EDWIN	NO	
561844	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C81543200	1	1401	pcb assy	NA	HALB	S.Real	415.2	PS_ARAMIS 2013_E.EDWIN	NO	
561846	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C53108379	1	1401	cover FIP T GY	NA	ROH	NA	3.45	PS_ARAMIS 2013_E.EDWIN	NO	
561846	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C53108387	5	1401	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	0.9	PS_ARAMIS 2013_E.EDWIN	NO	
561846	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C53331574	1	1401	"housing FIP 157,0x 130,8"	NA	ROH	NA	15.75	PS_ARAMIS 2013_E.EDWIN	NO	
561846	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C81543200	1	1401	pcb assy	NA	HALB	S.Real	415.2	PS_ARAMIS 2013_E.EDWIN	NO	
561847	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C53108379	1	1401	cover FIP T GY	NA	ROH	NA	3.45	PS_ARAMIS 2013_E.EDWIN	NO	
561847	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C53108387	5	1401	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	0.9	PS_ARAMIS 2013_E.EDWIN	NO	
561847	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C53331574	1	1401	"housing FIP 157,0x 130,8"	NA	ROH	NA	15.75	PS_ARAMIS 2013_E.EDWIN	NO	
561847	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C81543200	1	1401	pcb assy	NA	HALB	S.Real	415.2	PS_ARAMIS 2013_E.EDWIN	NO	
561849	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C53108379	1	1401	cover FIP T GY	NA	ROH	NA	3.45	PS_ARAMIS 2013_E.EDWIN	NO	
561849	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C53108387	5	1401	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	0.9	PS_ARAMIS 2013_E.EDWIN	NO	
561849	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C53331574	1	1401	"housing FIP 157,0x 130,8"	NA	ROH	NA	15.75	PS_ARAMIS 2013_E.EDWIN	NO	
561849	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C81543200	1	1401	pcb assy	NA	HALB	S.Real	415.2	PS_ARAMIS 2013_E.EDWIN	NO	
562410	09/12/2014	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C92572700	1	1342	pcb assy GMSDM30	NA	HALB	S.Real/AutoBF	387.18	PS_SDM30_.	NO	4985094483
562425	09/12/2014	ZSCR	551	040-1	NA	'054	A2C86852400	NA	A2C87110200	1	1401	pcb assy PTFSPEED10 D_26	NA	HALB	S.Real	204.2	PS_HYUNDAI_.	NO	
562426	09/12/2014	ZSCR	551	040-1	NA	'054	A2C91764400	NA	A2C92572700	1	1401	pcb assy GMSDM30	NA	HALB	S.Real/AutoBF	387.18	PS_SDM30_.	NO	4985095456
562429	09/12/2014	ZSCR	551	040-5	NA	'054	5WK44252	NA	A2C53364457	1	1405	pcb assy	NA	HALB	S.Real/AutoBF	96.25	OC_BOSE VW_A.ANA TAPIA-	NO	4985096052
562484	09/12/2014	ZSCR	551	030-1	NA	'054	5WY85270	NA	A2C53183404	1	1301	circuit board assy	NA	HALB	S.Real	188.51	PSAD_EPSILON_O.OSCAR FO	NO	
562494	09/12/2014	ZSCR	551	040-4	NA	'054	A2C83971400	NA	A2C83971600	1	1404	pcb topSMD	NA	HALB	S.Real/AutoBF	388.75	PS_SDM10_.	NO	4985095834
562496	09/12/2014	ZSCR	551	040-4	NA	'054	A2C83971400	NA	A2C83971600	1	1404	pcb topSMD	NA	HALB	S.Real/AutoBF	388.75	PS_SDM10_.	NO	4985095834
562497	09/12/2014	ZSCR	551	040-4	NA	'054	A2C85801200	NA	A2C83972000	1	1404	pcb topSMD	NA	HALB	S.Real/AutoBF	361.65	PS_SDM10+_.	NO	4985095901
562499	09/12/2014	ZSCR	551	040-4	NA	'054	A2C85801200	NA	A2C83972000	1	1404	pcb topSMD	NA	HALB	S.Real/AutoBF	361.65	PS_SDM10+_.	NO	4985095901
562500	09/12/2014	ZSCR	551	040-4	NA	'054	A2C85801000	NA	A2C83971900	1	1404	pcb topSMD	NA	HALB	S.Real/AutoBF	335.21	PS_SDM10+_.	NO	4985095872
562501	09/12/2014	ZSCR	551	040-4	NA	'054	A2C91764200	NA	A2C92572400	1	1404	pcb assy GMSDM30	NA	HALB	S.Real/AutoBF	360.42	PS_SDM30_.	NO	4985095985
562503	09/12/2014	ZSCR	551	040-4	NA	'054	A2C91763800	NA	A2C92572000	1	1404	pcb botMAN GMSDM30	NA	HALB	S.Real/AutoBF	143.9	PS_SDM30_.	NO	4985095911
