No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
396301	04/01/2014	ZSCR	551	030-1	NA	'045	S122736205L	NA	8800652005	0.7	3011	045		1301	PASTA PARA SOLDAR PROFLOW TIJERA	NA	ROH	NA	678.68	S2_BCM_R.RODRIGO CERVAN	NO	
399322	11/01/2014	ZSCR	551	035-1	0	'045	A2C30852700B	NA	A2C53001969	261	3011	045		1351	"56R,1%,TK50,125mW,0805,LIN RES/M12-TK50-"		HIBE	NA	23.49	S6_WEBASTO_E.EDGAR FLOR	NO	no
400248	14/01/2014	ZSCR	551	050-1	NA	'045	5WK49608	NA	A2C00004906	6	3011	045		1501	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	9.84	S1_EZKEY_L.LUIS LIZARRA	NO	4974572053
400248	14/01/2014	ZSCR	551	050-1	NA	'045	5WK49618	NA	A2C53105128	6	3011	045		1501	Contact Spring positive	NA	ROH	NA	1.68	S1_EZKEY_L.LUIS LIZARRA	NO	
400248	14/01/2014	ZSCR	551	050-1	NA	'045	5WY7760	NA	A2C53139537	4	3011	045		1501	Housing Top 4B	NA	ROH	NA	16.4	S1_EZKEY_L.LUIS LIZARRA	NO	
400248	14/01/2014	ZSCR	551	050-1	NA	'045	5WY8420	NA	A2C53141159	5	3011	045		1501	Spring	NA	ROH	NA	4.05	S1_EZKEY_L.LUIS LIZARRA	NO	
400248	14/01/2014	ZSCR	551	050-1	NA	'045	5WY7758A	NA	A2C53141160	7	3011	045		1501	pushbutton 0 top	NA	ROH	NA	8.96	S1_EZKEY_L.LUIS LIZARRA	NO	
400248	14/01/2014	ZSCR	551	050-1	NA	'045	A2C83817600	NA	A2C83818700	3	3011	045		1501	sticker Chev Emblm	NA	ROH	NA	63.84	S1_EZKEY_L.LUIS LIZARRA	NO	
400248	14/01/2014	ZSCR	551	050-1	NA	'045	A2C89732500	NA	A2C89731400	2	3011	045		1501	sticker Emblem	NA	ROH	NA	33.24	S1_EZKEY_L.LUIS LIZARRA	NO	
400248	14/01/2014	ZSCR	551	050-1	NA	'045	A2C89732500	NA	A2C90085200	4	3011	045		1501	keypad	NA	ROH	NA	95.04	S1_EZKEY_L.LUIS LIZARRA	NO	
400306	14/01/2014	ZSCR	551	030-1	NA	'045	S180144008	NA	A2C3122130092	30	3011	045		1301	PCB Assy 5B 433.92 MHz	NA	HALB	S.Real	1342.2	S2_NISSAN KEY FOB SQUAR	NO	4974572585
400766	16/01/2014	MB1A	551	040-3	K96019	'045	NA	NA	A2C53221116	3	3011	045		1095	housing BK	NA	ROH	NA	41.16	S4_PQ25 LP3_. (APROBAC	NO	NO
400785	16/01/2014	ZSCR	551	040-3	NA	'045	5WY7700	NA	A2C53114671	7	3011	045		1403	housing	NA	ROH	NA	19.74	S2_FOB READER_A.ANTONIO	NO	
400897	16/01/2014	ZSCR	551	034-2	NA	'045	5WK48902C	NA	A2C53319341	6	3011	045		1342	"compression spring D= 1,20x 0,25x 9,40"	NA	ROH	NA	0.24	S2_KEY FOB_A.ANTONIO AL	NO	
400900	16/01/2014	ZSCR	551	034-2	NA	'045	S180144018	NA	A2C00004906	21	3011	045		1342	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	34.44	S2_NISSAN KEY FOB SQUAR	NO	4974572171
400900	16/01/2014	ZSCR	551	034-2	NA	'045	S180144018	NA	A2C30115900	6	3011	045		1342	housing bottom	NA	ROH	NA	22.86	S2_NISSAN KEY FOB SQUAR	NO	4974572171
400900	16/01/2014	ZSCR	551	034-2	NA	'045	S180144018	NA	A2C53358639	5	3011	045		1342	contact spring	NA	ROH	NA	2.3	S2_NISSAN KEY FOB SQUAR	NO	4974572171
401107	16/01/2014	ZSCR	551	040-3	NA	'045	S180144018	NA	A2C53394918	5	3011	045		1403	certification label	NA	ROH	NA	20.15	S2_NISSAN KEY FOB SQUAR	NO	4974572171
401107	16/01/2014	ZSCR	551	040-3	NA	'045	S180144018	NA	A2C53430063	1	3011	045		1403	housing assy ISU L/UL/T H	NA	ROH	NA	13.08	S2_NISSAN KEY FOB SQUAR	NO	4974572171
401122	16/01/2014	ZSCR	551	040-3	NA	'045	A2C34172100	NA	A2C40001299	10	3011	045		1403	"C ELEC,AL,150uF,20%,25V"	NA	ROH	NA	7.7	S6_KWANG JIN_J.JAVIER B	NO	
401191	16/01/2014	ZSCR	551	040-3	NA	'045	5WY7703	NA	A2C53119454	24	3011	045		1403	PCB Clip On FR4/2-LAYER PATS	NA	ROH	NA	42.72	S1_PATS_M.MANUEL MANZAN	NO	
401417	17/01/2014	ZSCR	551	040-2	NA	'045	5WY7700	NA	A2C53114671	3	3011	045		1402	housing	NA	ROH	NA	8.46	S2_FOB READER_A.ANTONIO	NO	
401423	17/01/2014	ZSCR	551	040-3	NA	'045	5WY7700	NA	A2C53114671	1	3011	045		1403	housing	NA	ROH	NA	2.82	S2_FOB READER_A.ANTONIO	NO	
401461	17/01/2014	ZSCR	551	030-1	NA	'045	5WK49670	NA	A2C53188764	30	3011	045		1301	PCB Nissan Key Fob 4B Handy Counter	NA	ROH	NA	93	S2_KEY FOB_A.ANTONIO AL	NO	4974572079
401476	17/01/2014	ZSCR	551	040-3	NA	'045	A2C83817901	NA	A2C00005518	5	3011	045		1403	"100uF,20%,35V,HOL,AL,ELEC CAP/SMG-VB,ECA"	NA	ROH	NA	2.25	S1_EZKEY_L.LUIS LIZARRA	NO	
401934	18/01/2014	ZSCR	551	040-3	NA	'045	5WY7132	NA	5WY7132	1	3011	045		1403	TRANSCEIVER CRYPTO CON NUEVO C	NA	FERT	NA	60.14	S1_PATS_M.MANUEL MANZAN	NO	4974572631
401986	18/01/2014	ZSCR	551	030-1	NA	'045	NA	NA	A2C30852700T	1	3011	045		1301	pcb assy TOP	NA	HALB	S.Real	112.98	S6_WEBASTO_J.JAVIER BEC	NO	4974572754
402023	18/01/2014	ZSCR	551	040-3	NA	'045	5WK49622C	NA	A2C53297306B	3	3011	045		1403	SMD Subassy NIS US 315MH 2bundle; top	NA	HALB	S.Real	132.18	S2_KEY FOB_A.ANTONIO AL	NO	4974572146
402710	20/01/2014	ZSCR	551	030-1	NA	'045	A2C30852700	NA	A2C30852700	1	3011	045		1301	pcb assy	NA	HALB	S.Real	147.11	S6_WEBASTO_M.MIGUEL ZAV	NO	4974572381
402711	20/01/2014	ZSCR	551	030-1	NA	'045	A2C30852700	NA	A2C30852700	1	3011	045		1301	pcb assy	NA	HALB	S.Real	147.11	S6_WEBASTO_M.MIGUEL ZAV	NO	4974572381
