No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
406356	29/01/2014	MB1A	951	025-3	NA	'054	NA	NA	A2C53388687	6	3011	054		1253	circuit board assy	VUG018128	HALB	S.Real	2155.92	PS_ARAMIS 2013_E.EDWIN	NO	4974657583
406705	29/01/2014	MB1A	951	025-3	NA	'054	NA	NA	5WK44600	15	3011	054		1253	AIRBAG HONDA HRS6 2GA MY13 V4	VUG018108	FERT	NA	5089.65	PS_HONDA HRS6_J.JUAN CH	NO	4974657596
406710	29/01/2014	MB1A	951	025-3	NA	'054	NA	NA	6593331401	5	3011	054		1253	ETIQUETA DE IDENTIFIC. HONDA	VUG018108	ROH	NA	1.3	PS_HONDA HRS6_J.JUAN CH	NO	4974657596
406710	29/01/2014	MB1A	951	025-3	NA	'054	NA	NA	A2C53108387	25	3011	054		1253	"pan head screw SF-M3,5x 10,00 1241"	VUG018108	ROH	NA	4.5	PS_HONDA HRS6_J.JUAN CH	NO	4974657596
406710	29/01/2014	MB1A	951	025-3	NA	'054	NA	NA	A2C53397769	5	3011	054		1253	housing	VUG018108	ROH	NA	103.75	PS_HONDA HRS6_J.JUAN CH	NO	4974657596
406710	29/01/2014	MB1A	951	025-3	NA	'054	NA	NA	A2C53397780	5	3011	054		1253	cover	VUG018108	ROH	NA	15.9	PS_HONDA HRS6_J.JUAN CH	NO	4974657596
406710	29/01/2014	MB1A	951	025-3	NA	'054	NA	NA	A2C8021660002	5	3011	054		1253	pcb assy HONHRS6 V04	VUG018108	HALB	S.Real/AutoBF	1535.65	PS_HONDA HRS6_J.JUAN CH	NO	4974657596
406713	29/01/2014	MB1A	951	025-3	NA	'054	NA	NA	6593331401	20	3011	054		1253	ETIQUETA DE IDENTIFIC. HONDA	VUG018108	ROH	NA	5.2	PS_HONDA HRS6_J.JUAN CH	NO	4974657596
406713	29/01/2014	MB1A	951	025-3	NA	'054	NA	NA	6593571403	20	3011	054		1253	ETIQUETA C/ROTULO DE ADVERTENC s/d	VUG018108	ROH	NA	16.2	PS_HONDA HRS6_J.JUAN CH	NO	4974657596
406713	29/01/2014	MB1A	951	025-3	NA	'054	NA	NA	A2C53108387	100	3011	054		1253	"pan head screw SF-M3,5x 10,00 1241"	VUG018108	ROH	NA	18	PS_HONDA HRS6_J.JUAN CH	NO	4974657596
406713	29/01/2014	MB1A	951	025-3	NA	'054	NA	NA	A2C53397769	20	3011	054		1253	housing	VUG018108	ROH	NA	415	PS_HONDA HRS6_J.JUAN CH	NO	4974657596
406713	29/01/2014	MB1A	951	025-3	NA	'054	NA	NA	A2C53397780	20	3011	054		1253	cover	VUG018108	ROH	NA	63.6	PS_HONDA HRS6_J.JUAN CH	NO	4974657596
406713	29/01/2014	MB1A	951	025-3	NA	'054	NA	NA	A2C8021660002	20	3011	054		1253	pcb assy HONHRS6 V04	VUG018108	HALB	S.Real/AutoBF	6142.6	PS_HONDA HRS6_J.JUAN CH	NO	4974657596
406849	30/01/2014	ZSCR	551	030-1	NA	'054	A2C31080700	NA	A2C3108070093	1	3011	054		1301	SMT Top Chrysler RT ORC MY13	NA	HALB	S.Real	272.92	PS_CHRYSLER MY2013_E.ED	NO	4974658088
406851	30/01/2014	ZSCR	551	030-1	NA	'054	A2C31080700	NA	A2C3108070092	1	3011	054		1301	SMT Bot Chrysler RT ORC MY13	NA	HALB	S.Real/AutoBF	111.08	PS_CHRYSLER MY2013_E.ED	NO	4974657617
406852	30/01/2014	ZSCR	551	030-1	NA	'054	A2C31080700	NA	A2C3108070093	1	3011	054		1301	SMT Top Chrysler RT ORC MY13	NA	HALB	S.Real	272.92	PS_CHRYSLER MY2013_E.ED	NO	4974658088
406853	30/01/2014	ZSCR	551	030-1	NA	'054	A2C31080700	NA	A2C3108070093	1	3011	054		1301	SMT Top Chrysler RT ORC MY13	NA	HALB	S.Real	272.92	PS_CHRYSLER MY2013_E.ED	NO	4974658088
406855	30/01/2014	ZSCR	551	030-1	NA	'054	A2C5337549693	NA	A2C5337549692	1	3011	054		1301	pcb assy DAGARM3 V04 bottom	NA	HALB	S.Real/AutoBF	76.39	PS_ARAMIS III_E.EDWIN R	NO	4974657909
406858	30/01/2014	ZSCR	551	030-1	NA	'054	A2C5337549693	NA	A2C5337549692	1	3011	054		1301	pcb assy DAGARM3 V04 bottom	NA	HALB	S.Real/AutoBF	76.39	PS_ARAMIS III_E.EDWIN R	NO	4974657909
