No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad		Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
316718	6/23/2013	ZSCR	551	034-2	NA	'054	5WK44740	NA	A2C53125065	2		1342	multipoint connector 96P H 2SYS C-B	NA	ROH	NA	77.14	PS_ARAMIS III_FERNANDO	NO	4968435150
316747	6/23/2013	ZSCR	551	030-1	NA	'054	A2C8483530093	NA	A2C8483530092	1		1301	pcb assy VW10 V08 bottom	NA	HALB	S.Real/AutoBF	39.72	PS_VW10 LC_ULISES VILLE	NO	4968435637
316748	6/23/2013	ZSCR	551	030-1	NA	'054	A2C83971900	NA	A2C8397190093	1		1301	pcb topSMD top	NA	HALB	S.Real	354.89	PS_SDM10+_CAROLINA OTAN	NO	4968435803
316761	6/23/2013	ZSCR	551	030-1	NA	'054	A2C8483530093	NA	A2C8483530092	6		1301	pcb assy VW10 V08 bottom	NA	HALB	S.Real/AutoBF	238.32	PS_VW10 LC_ULISES VILLE	NO	4968435637
316782	6/23/2013	ZSCR	551	030-1	NA	'054	A2C84835300	NA	A2C84835300	1		1301	pcb assy VW10 V08	NA	HALB	S.Real	286.71	PS_VW10 LC_ULISES VILLE	NO	4968435789
316783	6/23/2013	ZSCR	551	030-1	NA	'054	A2C84835300	NA	A2C84835300	1		1301	pcb assy VW10 V08	NA	HALB	S.Real	286.71	PS_VW10 LC_ULISES VILLE	NO	4968435789
316809	6/23/2013	ZSCR	551	030-1	NA	'054	A2C8483530093	NA	A2C8483530092	1		1301	pcb assy VW10 V08 bottom	NA	HALB	S.Real/AutoBF	39.72	PS_VW10 LC_ULISES VILLE	NO	4968435637
316834	6/23/2013	ZSCR	551	034-2	NA	'054	A2C87075100	NA	A2C40000022	7		1342	"C ELEC,AL,4.7mF,20%,35V"	NA	ROH	NA	49.14	PS_SDM10+_CAROLINA OTAN	NO	4968435033
316834	6/23/2013	ZSCR	551	034-2	NA	'054	A2C82134700	NA	A2C40000025	5		1342	"C ELEC,AL,6.8mF,20%,35V"	NA	ROH	NA	34.95	PS_SDM10+_CAROLINA OTAN	NO	4968435049
316839	6/23/2013	ZSCR	551	034-2	NA	'054	A2C85801200	NA	A2C53333520	80		1342	TYPE LABLE	NA	ROH	NA	33.6	PS_SDM10+_CAROLINA OTAN	NO	4968435033
316840	6/23/2013	ZSCR	551	034-2	NA	'054	5WK44689	NA	A2C53330107	8		1342	socket	NA	ROH	NA	123.76	PS_HONDA HRS5_	NO	4968435129
316840	6/23/2013	ZSCR	551	034-2	NA	'054	5WK44690	NA	A2C53397769	1		1342	housing	NA	ROH	NA	22.54	PS_HONDA HRS5_	NO	4968435121
316962	6/24/2013	ZSCR	551	034-2	NA	'054	5WK44688	NA	A2C53330107	4		1342	socket	NA	ROH	NA	61.88	PS_HONDA HRS6_JUAN CHAV	NO	4968435129
316962	6/24/2013	ZSCR	551	034-2	NA	'054	5WK44591	NA	A2C53397780	5		1342	COVER	NA	ROH	NA	17.95	PS_HONDA HRS6_JUAN CHAV	NO	4968435121
316962	6/24/2013	ZSCR	551	034-2	NA	'054	5WK44591	NA	A2C53405650	2		1342	multipoint connector 82P H 2SYS YE	NA	ROH	NA	44.82	PS_HONDA HRS6_JUAN CHAV	NO	4968435536
316962	6/24/2013	ZSCR	551	034-2	NA	'054	5WK44567	NA	A2C53405780	1		1342	housing	NA	ROH	NA	29.95	PS_HONDA HRS6_JUAN CHAV	NO	4968435168
316968	6/24/2013	ZSCR	551	034-2	NA	'054	A2C82134700	NA	A2C40000025	5		1342	"C ELEC,AL,6.8mF,20%,35V"	NA	ROH	NA	34.95	PS_SDM10+_CAROLINA OTAN	NO	4968435049
316969	6/24/2013	ZSCR	551	034-2	NA	'054	A2C87075100	NA	A2C40000022	20		1342	"C ELEC,AL,4.7mF,20%,35V"	NA	ROH	NA	140.4	PS_SDM10+_CAROLINA OTAN	NO	4968435033
316969	6/24/2013	ZSCR	551	034-2	NA	'054	A2C82134700	NA	A2C40000025	5		1342	"C ELEC,AL,6.8mF,20%,35V"	NA	ROH	NA	34.95	PS_SDM10+_CAROLINA OTAN	NO	4968435049
316976	6/24/2013	ZSCR	551	034-2	NA	'054	A2C37744300	NA	A2C37744300	2		1342	FIAT 326 3V Insercion	NA	HALB	S.Real	348.34	PS_HYUNDAI_	NO	4968435760
