No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
20219	ZSCR	551	034-2	NA	5WK43760	NA	A2C53221384	2				1342	keypad assy	NA	HALB	S.Real/AutoBF	975.52	
31703	ZSCR	551	034-2	NA	5WK43760	NA	A2C53221384	9				1342	keypad assy	NA	HALB	S.Real/AutoBF	4389.84	
54436	ZSCR	551	035-1	0	S208681003	NA	6592362089	8				1351	"8MHZ,0.5%,PAS RESO/CSTCS8.00MT"		ROH	NA	19.04	
56847	ZSCR	551	040-3	NA	A2C53299462	NA	A2C53295286	3	3011	054		1403	cable harness	NA	ROH	NA	76.56	
84306	ZSCR	551	035-1	0	A2C53100669	NA	A2C00019606	3				1351	"13K7,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.03	
84307	ZSCR	551	035-1	0	6598367621	NA	6594312008	89				1351	"200V,2A,SMB,DIODES RECTIFIER /"		ROH	NA	46.28	
84307	ZSCR	551	035-1	0	6598367621	NA	6596312072	23				1351	"00V,1A,SMA,FAST,SINGLE,RECT D"		ROH	NA	7.13	
84307	ZSCR	551	035-1	0	6598367621	NA	A2C00000414	1				1351	"70V,140mA,2,STANDARD,SOT23,RECT DIODE/BA"		ROH	NA	0.12	
84307	ZSCR	551	035-1	0	6598367621	NA	A2C00000479	59				1351	"1,NPN,NORMAL,4A,45V,TO252/DPAK,BIP/MJD14"		ROH	NA	90.86	
84307	ZSCR	551	035-1	0	6598367621	NA	A2C00032200	11				1351	"24MHz,0.5%,CSTCV,CER RESONATOR"		ROH	NA	19.91	
93913	MB1A	551	034-2	B30301-00295	NA	NA	A2C31267500MI	5				1095	circuit board assy Aramis 2012 MI	NA	HALB	S.Real	2065.2	
95253	ZSCR	551	034-2	NA	5WK43760	NA	A2C53221384	1				1342	keypad assy	NA	HALB	S.Real/AutoBF	487.76	
98129	ZSCR	551	034-9	NA	5WK8499	NA	5WK8499	19				1349	ABS ER20 EU bmw	NA	FERT	NA	50556.91	
98203	ZSCR	551	050-1	NA	S108196012	NA	S108196012	23				1501	EBC 430 LOTUS CROFT	NA	FERT	NA	14450.21	
98213	ZSCR	551	050-1	NA	S108196002	NA	S108196002	4				1501	EBC 430 OPEL	NA	FERT	NA	2513.52	
98248	ZSCR	551	050-1	NA	S108196008	NA	S108196008	3				1501	EBC 430 ABS PROTON	NA	FERT	NA	1864.95	
98453	ZSCR	551	035-1	0	A2C53214405A	NA	A2C00004211	12				1351	"681R,1%,TK100,250mW,1206,LIN RES/"		ROH	NA	0.24	
99898	ZSCR	551	030-1	NA	A2C53281075	NA	A2C53183410	1				1301	circuit board assy	NA	HALB	S.Real	190.74	
99902	ZSCR	551	030-1	NA	5WY72880	NA	6590119023	1				1301	Func tests Epsilon GMX381 6 Loops - SP	NA	HALB	S.Real	294.35	
100364	ZSCR	551	030-1	NA	A2C53396263	NA	A2C53396263B	8				1301	EPSFIAT 169 SMD BOTTOM SIDE	NA	HALB	S.Real/AutoBF	634.8	
100365	ZSCR	551	030-1	NA	A2C53396255	NA	A2C53396255B	4				1301	EPS FIAT 843 SMD BOTTOM SIDE	NA	HALB	S.Real/AutoBF	294.8	
100405	ZSCR	551	034-2	NA	5WK43871	NA	A2C53108376	11	3011	054		1342	"housing FIP 175,0x 152,0"	NA	ROH	NA	243.21	4955294670
100405	ZSCR	551	034-2	NA	5WK43871	NA	A2C53108377	8	3011	054		1342	cover FIP T GY	NA	ROH	NA	33.36	4955294691
100405	ZSCR	551	034-2	NA	5WK43771	NA	A2C53108387	1200	3011	054		1342	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	252	4955294713
100405	ZSCR	551	034-2	NA	5WK43606	NA	A2C53125063	3	3011	054		1342	multipoint connector 96P H 2SYS B-B	NA	ROH	NA	64.02	4955294754
100405	ZSCR	551	034-2	NA	5WK44096	NA	A2C53125065	1	3011	054		1342	multipoint connector 96P H 2SYS C-B	NA	ROH	NA	22.63	4955294766
100405	ZSCR	551	034-2	NA	5WK44277	NA	A2C53125066	4	3011	054		1342	multipoint connector 96P H 2SYS E-B	NA	ROH	NA	89.48	4955294788
100405	ZSCR	551	034-2	NA	5WK43871	NA	A2C53125067	5	3011	054		1342	multipoint connector 96P H 2SYS A-A	NA	ROH	NA	113.15	4955294810
100405	ZSCR	551	034-2	NA	A2C53298666MI	NA	A2C53125068	1	3011	054		1342	multipoint connector 96P H 2SYS B-A	NA	ROH	NA	22.63	4955294835
100405	ZSCR	551	034-2	NA	5WK43871	NA	A2C53324560	300	3011	054		1342	certification label spool part p	NA	ROH	NA	156	4955294874
100405	ZSCR	551	034-2	NA	A2C53345669MI	NA	A2C53345664	1	3011	054		1342	multipoint connector 96P H 2SYS A-A	NA	ROH	NA	34.36	4955294897
100438	ZSCR	551	040-2	NA	5WY78881	NA	5WY78881	8				1402	MODUL CONTROL FOR AIRBAG E240	NA	FERT	NA	2282.08	
100515	ZSCR	551	035-1	0	A2C53364457A	NA	A2C00002107	7				1351	"100pF,5%,50V,C0G,0603,TINNED,CER CAP/"		ROH	NA	0.14	
100515	ZSCR	551	035-1	0	A2C53364457A	NA	A2C00011772	18				1351	"432K,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.9	
100567	ZSCR	551	035-1	0	6590119027A	NA	6594362009	3				1351	"2.2NF,10%,100V,X7R,0805,NISN,C"		ROH	NA	0.12	
100567	ZSCR	551	035-1	0	6590119027A	NA	A2C00010760	4				1351	"1,PNP,NORMAL,100mA,50V,SOT323,BIP/BCR158"		ROH	NA	0.4	
100765	ZSCR	551	030-1	NA	A2C53396255	NA	A2C53396255B	8				1301	EPS FIAT 843 SMD BOTTOM SIDE	NA	HALB	S.Real/AutoBF	589.6	
101582	ZSCR	551	034-3	NA	5WY78881	NA	5WY78881	1				1343	MODUL CONTROL FOR AIRBAG E240	NA	FERT	NA	285.26	
101583	ZSCR	551	034-2	NA	5WK44354	NA	5WK44354	2				1342	MODULE CONTROL FOR AIRBAG Hyundai UD	NA	FERT	NA	554.12	
101584	ZSCR	551	042-4	NA	5WK44354	NA	5WK44354	2				1424	MODULE CONTROL FOR AIRBAG Hyundai UD	NA	FERT	NA	554.12	
101977	ZSCR	551	034-2	NA	5WK44252	B	5WK44252	59				1342	BoSe VW311	NA	FERT	NA	7428.1	
102353	ZSCR	551	030-1	NA	A2C53429875B	NA	A2C53390127	12	3011	054		1301	pcb DIVACU>6 main	NA	ROH	NA	199.56	4955294632
102354	ZSCR	551	040-1	NA	5WK44354	NA	A2C53412057	5	3011	054		1401	multipoint connector 66P H 2SYS 7036	NA	ROH	NA	141.55	4955294997
102357	ZSCR	551	040-1	NA	5WK44352	NA	A2C53330107	124	3011	054		1401	socket	NA	ROH	NA	2664.76	4955294961
102481	ZSCR	551	040-2	NA	5WY78940	NA	5WY78940	1				1402	MODUL CONTROL FOR AIRBAG VN127_08	NA	FERT	NA	359.29	
102642	ZSCR	551	040-3	NA	5WY78901	9	5WY78901	1				1403	MODUL CONTROL FOR AIRBAG E240	NA	FERT	NA	285.26	
103201	ZSCR	551	040-3	NA	5WY89150	NA	A2C31267700	2				1403	circuit board assy Aramis 2012 SMT	NA	HALB	S.Real	494.2	
103241	ZSCR	551	040-1	NA	5WY89130	NA	A2C31267500MI	1				1401	circuit board assy Aramis 2012 MI	NA	HALB	S.Real	413.04	
103243	ZSCR	551	040-1	NA	5WY87010	NA	A2C53405104MI	1				1401	circuit board assy	NA	HALB	S.Real	449.66	
103244	ZSCR	551	040-1	NA	5WY89130	NA	A2C31267500MI	1				1401	circuit board assy Aramis 2012 MI	NA	HALB	S.Real	413.04	
103251	ZSCR	551	040-3	NA	5WY89080	NA	A2C31267400MI	2				1403	circuit board assy Aramis 2012 MI	NA	HALB	S.Real	826.08	
103251	ZSCR	551	040-3	NA	5WY89080	NA	A2C31267400MI	1				1403	circuit board assy Aramis 2012 MI	NA	HALB	S.Real	413.04	
103251	ZSCR	551	040-3	NA	5WY89130	NA	A2C31267500MI	2				1403	circuit board assy Aramis 2012 MI	NA	HALB	S.Real	826.08	
103251	ZSCR	551	040-3	NA	5WY90220	NA	A2C34527200	1				1403	pcb mechanical assy Aramis 2012 v26	NA	HALB	S.Real	451.13	
103309	ZSCR	551	035-1	0	6590119027A	NA	6594362009	2.86				1351	"2.2NF,10%,100V,X7R,0805,NISN,C"		ROH	NA	0.11	
103309	ZSCR	551	035-1	0	6590119027A	NA	9152251	2.348				1351	"100K,5%,TK250,63MW,0603,FIX RE"		ROH	NA	0.02	
103309	ZSCR	551	035-1	0	A2C53214405B	NA	A2C00000467	3.044				1351	"1,NPN,NORMAL,1A,60V,SOT223,BIP/BCP55 --"		ROH	NA	1.86	
103309	ZSCR	551	035-1	0	A2C53214405B	NA	A2C00002201	7.308				1351	"10nF,10%,50V,X7R,0603,TINNED,CER CAP/++"		ROH	NA	0.15	
103309	ZSCR	551	035-1	0	A2C53214405B	NA	A2C00002208	1.036				1351	"1nF,10%,50V,X7R,0603,TINNED,CER CAP/"		ROH	NA	0.02	
103309	ZSCR	551	035-1	0	A2C53396241T	NA	A2C00002247	4.216				1351	"47nF,10%,100V,X7R,0805,TINNED,CER CAP/"		ROH	NA	0.25	
103309	ZSCR	551	035-1	0	A2C53214405B	NA	A2C00004363	4.092				1351	"15K4,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.04	
103309	ZSCR	551	035-1	0	A2C53241828B	NA	A2C00004555	164.784				1351	"R LIN,2K,1%,TK100,100mW,0603"		ROH	NA	1.65	
103309	ZSCR	551	035-1	0	A2C53214405B	NA	A2C00004555	26.296				1351	"R LIN,2K,1%,TK100,100mW,0603"		ROH	NA	0.26	
103309	ZSCR	551	035-1	0	A2C53383913B	NA	A2C00004556	1.292				1351	"590R,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.01	
103309	ZSCR	551	035-1	0	A2C53214405B	NA	A2C00006416	38.9				1351	"PTN ! 70V,200mA,2,FAST,SOT323_3,RECT DIO"		ROH	NA	3.5	
103309	ZSCR	551	035-1	0	A2C53214405B	NA	A2C00006557	1.108				1351	"22R,5%,TK200,63mW,0603,LIN RES/"		ROH	NA	0.01	
103309	ZSCR	551	035-1	0	A2C53214405B	NA	A2C00007695	2.048				1351	"2,NPN,RET,100mA,50V,SOT363,BIP/BCR135/R<"		ROH	NA	0.33	
103309	ZSCR	551	035-1	0	A2C53214405B	NA	A2C00007729	7.012				1351	"12K4,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.07	
103309	ZSCR	551	035-1	0	6590119027A	NA	A2C00010760	3.856				1351	"1,PNP,NORMAL,100mA,50V,SOT323,BIP/BCR158"		ROH	NA	0.39	
103309	ZSCR	551	035-1	0	A2C53214405B	NA	A2C00017564	19.96				1351	"0R2,5%,TK100,1W,MELF0207,LIN RES/MMB"		ROH	NA	14.57	
103309	ZSCR	551	035-1	0	A2C53383913B	NA	A2C00017609	3.012				1351	"1,60V,350mOhm,SO8,GENERAL PURPOSE,HIGH S"		ROH	NA	8.07	
103427	ZSCR	551	040-1	NA	5WK44285	NA	A2C53367544	1				1401	airbag control elect MY10	NA	HALB	S.Real	263.84	
103445	ZSCR	551	040-2	NA	5WK44285	NA	A2C53367544	1				1402	airbag control elect MY10	NA	HALB	S.Real	263.84	
103447	ZSCR	551	040-1	NA	5WK44285	NA	A2C53367544	1				1401	airbag control elect MY10	NA	HALB	S.Real	263.84	
103492	ZSCR	551	040-2	NA	5WY78891	NA	5WY78891	2				1402	MODUL CONTROL FOR AIRBAG E240	NA	FERT	NA	570.52	
103494	ZSCR	551	040-3	NA	5WY78891	NA	5WY78891	1				1403	MODUL CONTROL FOR AIRBAG E240	NA	FERT	NA	285.26	
103495	ZSCR	551	040-3	NA	5WY78940	NA	5WY78940	1				1403	MODUL CONTROL FOR AIRBAG VN127_08	NA	FERT	NA	359.29	
103496	ZSCR	551	040-2	NA	5WY78881	NA	5WY78881	1				1402	MODUL CONTROL FOR AIRBAG E240	NA	FERT	NA	285.26	
103821	ZSCR	551	042-4	NA	5WK43966	NA	A2C53189516MI	1				1424	MI assy W/S 212&A207 WOPPS/WRO	NA	HALB	S.Real	479.72	
103822	ZSCR	551	040-3	NA	5WK43966	NA	A2C53189516MI	1				1403	MI assy W/S 212&A207 WOPPS/WRO	NA	HALB	S.Real	479.72	
104029	MB1A	551	034-3	B30301-00295	NA		5WK43611	1				1095	DCX ACU ARAMIS RT with side / RO	NA	FERT	NA	494.83	
104033	MB1A	551	034-3	B30301-00295	NA		5WK43611	1				1095	DCX ACU ARAMIS RT with side / RO	NA	FERT	NA	494.83	
104051	MB1A	551	034-3	B30301-00295	NA		5WK43611	1				1095	DCX ACU ARAMIS RT with side / RO	NA	FERT	NA	494.83	
104107	MB1A	551	034-3	B30301-00295	NA		5WK43858	1				1095	DCX ACU ARAMIS RT BUX with side / RO	NA	FERT	NA	498.62	
104110	MB1A	551	034-1	B30301-00295	NA		5WK43858	1				1095	DCX ACU ARAMIS RT BUX with side / RO	NA	FERT	NA	498.62	
104114	MB1A	551	034-1	B30301-00295	NA		5WK43858	2				1095	DCX ACU ARAMIS RT BUX with side / RO	NA	FERT	NA	997.24	
104116	MB1A	551	034-3	B30301-00295	NA		5WK43611	1				1095	DCX ACU ARAMIS RT with side / RO	NA	FERT	NA	494.83	
104118	MB1A	551	034-3	B30301-00295	NA	NA	5WK44094	1				1095	ACU Aramis1 Gen CCG RT HI DOM Spare Part	NA	FERT	NA	495.29	
104142	MB1A	551	034-3	B30301-00295	NA	NA	5WK44094	1				1095	ACU Aramis1 Gen CCG RT HI DOM Spare Part	NA	FERT	NA	495.29	
104145	MB1A	551	040-2	B30301-00295	NA		5WK43611	3				1095	DCX ACU ARAMIS RT with side / RO	NA	FERT	NA	1484.49	
104175	ZSCR	551	040-3	NA	5WK44524	2	5WK44524	1				1403	W/S204 WO/PyroPPSg WO/RO WO/PO Aramis 3	NA	FERT	NA	340.84	
104187	ZSCR	551	034-3	NA	5WY86930		5WY86930	2				1343	RT HI DOM Aramis 2011	NA	FERT	NA	962.2	
104190	MB1A	551	034-3	B30301-00295	NA		5WY89130	1				1095	JC HI BUX 7 Passenger Aramis 2012	NA	FERT	NA	444.44	
104191	ZSCR	551	034-3	NA	5WY86980		5WY86980	1				1343	JC HI DOM 7 Passenger Aramis 2011	NA	FERT	NA	481.1	
104192	ZSCR	551	034-3	NA	5WY86960		5WY86960	1				1343	RM HI DOM Aramis 2011	NA	FERT	NA	481.1	
104193	ZSCR	551	034-3	NA	5WY87010		5WY87010	1				1343	JC HI DOM 5 Passenger Aramis 2011	NA	FERT	NA	481.1	
104194	ZSCR	551	034-2	NA	5WY86980		5WY86980	1				1342	JC HI DOM 7 Passenger Aramis 2011	NA	FERT	NA	481.1	
104195	ZSCR	551	042-4	NA	5WY86930		5WY86930	1				1424	RT HI DOM Aramis 2011	NA	FERT	NA	481.1	
104197	ZSCR	551	034-1	NA	5WY86930		5WY86930	1				1341	RT HI DOM Aramis 2011	NA	FERT	NA	481.1	
104198	ZSCR	551	034-3	NA	5WY86930		5WY86930	1				1343	RT HI DOM Aramis 2011	NA	FERT	NA	481.1	
104199	ZSCR	551	042-4	NA	5WY87010		5WY87010	1				1424	JC HI DOM 5 Passenger Aramis 2011	NA	FERT	NA	481.1	
104200	MB1A	551	040-1	B30301-00295	NA	NA	A2C31267500MI	1				1095	circuit board assy Aramis 2012 MI	NA	HALB	S.Real	413.04	
104203	MB1A	551	040-1	B30301-00295	NA	NA	A2C31267500MI	1				1095	circuit board assy Aramis 2012 MI	NA	HALB	S.Real	413.04	
104207	MB1A	551	030-1	B30301-00295	NA	NA	A2C31267700MI	1				1095	circuit board assy Aramis 2012 MI	NA	HALB	S.Real	290.65	
104210	MB1A	551	034-2	B30301-00295	NA	NA	A2C31267600MI	1				1095	circuit board assy Aramis 2012 MI	NA	HALB	S.Real	413.04	
104212	MB1A	551	040-3	B30301-00295	NA	NA	A2C31267700MI	1				1095	circuit board assy Aramis 2012 MI	NA	HALB	S.Real	290.65	
104234	ZSCR	551	040-1	NA	5WK44526	NA	A2C53371768	6	3011	054		1401	cover FIP T GY	NA	ROH	NA	20.88	4955294983
104234	ZSCR	551	040-1	NA	5WK44527	NA	A2C53375499MI2	6				1401	MI Assy W/S 204 W/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	2045.46	
104271	MB1A	551	034-3	B30301-00295	NA		5WY90220	1				1095	JC LO BUX 7 Passenger Aramis 2012	NA	FERT	NA	483.88	
104272	ZSCR	551	034-3	NA	5WY86930		5WY86930	1				1343	RT HI DOM Aramis 2011	NA	FERT	NA	481.1	
104273	ZSCR	551	034-3	NA	5WY86930		5WY86930	1				1343	RT HI DOM Aramis 2011	NA	FERT	NA	481.1	
104274	ZSCR	551	040-3	NA	5WY86930		5WY86930	2				1403	RT HI DOM Aramis 2011	NA	FERT	NA	962.2	
104275	ZSCR	551	022-2	NA	5WY86930		5WY86930	2				1222	RT HI DOM Aramis 2011	NA	FERT	NA	962.2	
104276	MB1A	551	034-3	B30301-00295	NA		5WK43611	2				1095	DCX ACU ARAMIS RT with side / RO	NA	FERT	NA	989.66	
104277	MB1A	551	034-1	B30301-00295	NA		5WK43858	1				1095	DCX ACU ARAMIS RT BUX with side / RO	NA	FERT	NA	498.62	
104278	MB1A	551	034-3	B30301-00295	NA	NA	5WK44094	1				1095	ACU Aramis1 Gen CCG RT HI DOM Spare Part	NA	FERT	NA	495.29	
104279	MB1A	551	034-3	B30301-00295	NA	NA	5WK44095	1				1095	ACU Aramis1 Gen CCG RT LO DOM Spare Part	NA	FERT	NA	378	
104280	MB1A	551	034-3	B30301-00295	NA		5WK43611	1				1095	DCX ACU ARAMIS RT with side / RO	NA	FERT	NA	494.83	
104281	MB1A	551	034-1	B30301-00295	NA		5WK43858	1				1095	DCX ACU ARAMIS RT BUX with side / RO	NA	FERT	NA	498.62	
104283	MB1A	551	034-3	B30301-00295	NA		5WK43610	3				1095	DCX ACU ARAMIS RT without side / RO	NA	FERT	NA	970.35	
